2024-08-15 15:47:03,511 - INFO - Ep.: 0, Score: -12.0, e: 1.00, Steps: 3376, Avg Q-val: nan, replay: 3376, Mem Usage: 81.2%
2024-08-15 15:47:07,211 - INFO - Ep.: 1, Score: -11.0, e: 1.00, Steps: 3318, Avg Q-val: nan, replay: 6694, Mem Usage: 82.1%
2024-08-15 15:47:10,407 - INFO - Ep.: 2, Score: -7.0, e: 1.00, Steps: 3143, Avg Q-val: nan, replay: 9837, Mem Usage: 82.9%
2024-08-15 15:47:13,731 - INFO - Ep.: 3, Score: -10.0, e: 1.00, Steps: 3351, Avg Q-val: nan, replay: 13188, Mem Usage: 83.7%
2024-08-15 15:47:16,975 - INFO - Ep.: 4, Score: -11.0, e: 1.00, Steps: 3324, Avg Q-val: nan, replay: 16512, Mem Usage: 84.5%
2024-08-15 15:47:20,183 - INFO - Ep.: 5, Score: -11.0, e: 1.00, Steps: 3225, Avg Q-val: nan, replay: 19737, Mem Usage: 85.4%
2024-08-15 15:47:23,390 - INFO - Ep.: 6, Score: -8.0, e: 1.00, Steps: 3257, Avg Q-val: nan, replay: 22994, Mem Usage: 86.2%
2024-08-15 15:47:26,618 - INFO - Ep.: 7, Score: -5.0, e: 1.00, Steps: 3305, Avg Q-val: nan, replay: 26299, Mem Usage: 87.0%
2024-08-15 15:47:29,838 - INFO - Ep.: 8, Score: -10.0, e: 1.00, Steps: 3256, Avg Q-val: nan, replay: 29555, Mem Usage: 87.8%
2024-08-15 15:47:33,043 - INFO - Ep.: 9, Score: -8.0, e: 1.00, Steps: 3262, Avg Q-val: nan, replay: 32817, Mem Usage: 88.7%
2024-08-15 15:47:36,324 - INFO - Ep.: 10, Score: -7.0, e: 1.00, Steps: 3206, Avg Q-val: nan, replay: 36023, Mem Usage: 89.5%
2024-08-15 15:47:39,807 - INFO - Ep.: 11, Score: -10.0, e: 1.00, Steps: 3431, Avg Q-val: nan, replay: 39454, Mem Usage: 90.3%
2024-08-15 15:47:43,441 - INFO - Ep.: 12, Score: -11.0, e: 1.00, Steps: 3511, Avg Q-val: nan, replay: 42965, Mem Usage: 91.1%
2024-08-15 15:47:47,091 - INFO - Ep.: 13, Score: -6.0, e: 1.00, Steps: 3595, Avg Q-val: nan, replay: 46560, Mem Usage: 92.0%
2024-08-15 15:47:50,572 - INFO - Ep.: 14, Score: -11.0, e: 1.00, Steps: 3425, Avg Q-val: nan, replay: 49985, Mem Usage: 92.9%
2024-08-15 15:47:53,807 - INFO - Ep.: 15, Score: -8.0, e: 1.00, Steps: 3109, Avg Q-val: nan, replay: 53094, Mem Usage: 93.7%
2024-08-15 15:47:57,247 - INFO - Ep.: 16, Score: -6.0, e: 1.00, Steps: 3347, Avg Q-val: nan, replay: 56441, Mem Usage: 94.5%
2024-08-15 15:48:00,408 - INFO - Ep.: 17, Score: -4.0, e: 1.00, Steps: 3105, Avg Q-val: nan, replay: 59546, Mem Usage: 95.3%
2024-08-15 15:48:03,609 - INFO - Ep.: 18, Score: -11.0, e: 1.00, Steps: 3134, Avg Q-val: nan, replay: 62680, Mem Usage: 96.1%
2024-08-15 15:48:06,818 - INFO - Ep.: 19, Score: -11.0, e: 1.00, Steps: 3234, Avg Q-val: nan, replay: 65914, Mem Usage: 96.9%
2024-08-15 15:48:10,163 - INFO - Ep.: 20, Score: -3.0, e: 1.00, Steps: 3200, Avg Q-val: nan, replay: 69114, Mem Usage: 97.7%
2024-08-15 15:48:13,381 - INFO - Ep.: 21, Score: -5.0, e: 1.00, Steps: 3158, Avg Q-val: nan, replay: 72272, Mem Usage: 98.5%
2024-08-15 15:48:16,768 - INFO - Ep.: 22, Score: -5.0, e: 1.00, Steps: 3306, Avg Q-val: nan, replay: 75578, Mem Usage: 99.3%
2024-08-15 15:48:20,002 - INFO - Ep.: 23, Score: -3.0, e: 1.00, Steps: 3297, Avg Q-val: nan, replay: 78875, Mem Usage: 99.9%
2024-08-15 15:48:39,035 - INFO - Ep.: 24, Score: -7.0, e: 1.00, Steps: 3177, Avg Q-val: nan, replay: 82052, Mem Usage: 82.3%
2024-08-15 15:48:42,604 - INFO - Ep.: 25, Score: -10.0, e: 1.00, Steps: 3258, Avg Q-val: nan, replay: 85310, Mem Usage: 76.6%
2024-08-15 15:48:46,529 - INFO - Ep.: 26, Score: -12.0, e: 1.00, Steps: 3637, Avg Q-val: nan, replay: 88947, Mem Usage: 77.5%
2024-08-15 15:48:49,819 - INFO - Ep.: 27, Score: -12.0, e: 1.00, Steps: 3202, Avg Q-val: nan, replay: 92149, Mem Usage: 78.3%
2024-08-15 15:48:52,928 - INFO - Ep.: 28, Score: -6.0, e: 1.00, Steps: 3117, Avg Q-val: nan, replay: 95266, Mem Usage: 79.1%
2024-08-15 15:48:56,246 - INFO - Ep.: 29, Score: -14.0, e: 1.00, Steps: 3369, Avg Q-val: nan, replay: 98635, Mem Usage: 79.9%
2024-08-15 15:48:57,592 - INFO - Total steps: 100000
