2024-08-30 09:59:39,637 - INFO - Ep.: 0, Score: 160.0, e: 1.00, Steps: 617, Avg Q-val: nan, replay: 617, Mem Usage: 43.2%
2024-08-30 09:59:40,510 - INFO - Ep.: 1, Score: 170.0, e: 1.00, Steps: 628, Avg Q-val: nan, replay: 1245, Mem Usage: 43.4%
2024-08-30 09:59:41,137 - INFO - Ep.: 2, Score: 220.0, e: 1.00, Steps: 692, Avg Q-val: nan, replay: 1937, Mem Usage: 43.5%
2024-08-30 09:59:41,896 - INFO - Ep.: 3, Score: 310.0, e: 1.00, Steps: 844, Avg Q-val: nan, replay: 2781, Mem Usage: 43.7%
2024-08-30 09:59:42,445 - INFO - Ep.: 4, Score: 140.0, e: 1.00, Steps: 606, Avg Q-val: nan, replay: 3387, Mem Usage: 43.8%
2024-08-30 09:59:42,989 - INFO - Ep.: 5, Score: 190.0, e: 1.00, Steps: 595, Avg Q-val: nan, replay: 3982, Mem Usage: 43.8%
2024-08-30 09:59:43,545 - INFO - Ep.: 6, Score: 150.0, e: 1.00, Steps: 615, Avg Q-val: nan, replay: 4597, Mem Usage: 44.0%
2024-08-30 09:59:44,238 - INFO - Ep.: 7, Score: 260.0, e: 1.00, Steps: 758, Avg Q-val: nan, replay: 5355, Mem Usage: 44.1%
2024-08-30 09:59:44,927 - INFO - Ep.: 8, Score: 200.0, e: 1.00, Steps: 763, Avg Q-val: nan, replay: 6118, Mem Usage: 44.2%
2024-08-30 09:59:45,459 - INFO - Ep.: 9, Score: 170.0, e: 1.00, Steps: 591, Avg Q-val: nan, replay: 6709, Mem Usage: 44.3%
2024-08-30 09:59:46,029 - INFO - Ep.: 10, Score: 190.0, e: 1.00, Steps: 635, Avg Q-val: nan, replay: 7344, Mem Usage: 44.5%
2024-08-30 09:59:46,455 - INFO - Ep.: 11, Score: 100.0, e: 1.00, Steps: 460, Avg Q-val: nan, replay: 7804, Mem Usage: 44.5%
2024-08-30 09:59:46,968 - INFO - Ep.: 12, Score: 230.0, e: 1.00, Steps: 562, Avg Q-val: nan, replay: 8366, Mem Usage: 44.7%
2024-08-30 09:59:47,453 - INFO - Ep.: 13, Score: 100.0, e: 1.00, Steps: 528, Avg Q-val: nan, replay: 8894, Mem Usage: 44.8%
2024-08-30 09:59:48,052 - INFO - Ep.: 14, Score: 220.0, e: 1.00, Steps: 657, Avg Q-val: nan, replay: 9551, Mem Usage: 44.9%
2024-08-30 09:59:48,610 - INFO - Ep.: 15, Score: 240.0, e: 1.00, Steps: 622, Avg Q-val: nan, replay: 10173, Mem Usage: 45.0%
2024-08-30 09:59:49,098 - INFO - Ep.: 16, Score: 130.0, e: 1.00, Steps: 534, Avg Q-val: nan, replay: 10707, Mem Usage: 45.2%
2024-08-30 09:59:49,597 - INFO - Ep.: 17, Score: 210.0, e: 1.00, Steps: 541, Avg Q-val: nan, replay: 11248, Mem Usage: 45.2%
2024-08-30 09:59:50,170 - INFO - Ep.: 18, Score: 170.0, e: 1.00, Steps: 608, Avg Q-val: nan, replay: 11856, Mem Usage: 45.3%
2024-08-30 09:59:50,694 - INFO - Ep.: 19, Score: 160.0, e: 1.00, Steps: 566, Avg Q-val: nan, replay: 12422, Mem Usage: 45.4%
2024-08-30 09:59:51,198 - INFO - Ep.: 20, Score: 190.0, e: 1.00, Steps: 544, Avg Q-val: nan, replay: 12966, Mem Usage: 45.6%
2024-08-30 09:59:51,728 - INFO - Ep.: 21, Score: 140.0, e: 1.00, Steps: 560, Avg Q-val: nan, replay: 13526, Mem Usage: 45.7%
2024-08-30 09:59:52,378 - INFO - Ep.: 22, Score: 130.0, e: 1.00, Steps: 692, Avg Q-val: nan, replay: 14218, Mem Usage: 45.8%
2024-08-30 09:59:53,039 - INFO - Ep.: 23, Score: 300.0, e: 1.00, Steps: 734, Avg Q-val: nan, replay: 14952, Mem Usage: 45.9%
2024-08-30 09:59:53,668 - INFO - Ep.: 24, Score: 180.0, e: 1.00, Steps: 681, Avg Q-val: nan, replay: 15633, Mem Usage: 46.1%
2024-08-30 09:59:54,143 - INFO - Ep.: 25, Score: 210.0, e: 1.00, Steps: 527, Avg Q-val: nan, replay: 16160, Mem Usage: 46.2%
2024-08-30 09:59:54,973 - INFO - Ep.: 26, Score: 330.0, e: 1.00, Steps: 906, Avg Q-val: nan, replay: 17066, Mem Usage: 46.4%
2024-08-30 09:59:55,664 - INFO - Ep.: 27, Score: 230.0, e: 1.00, Steps: 741, Avg Q-val: nan, replay: 17807, Mem Usage: 46.5%
2024-08-30 09:59:56,284 - INFO - Ep.: 28, Score: 140.0, e: 1.00, Steps: 682, Avg Q-val: nan, replay: 18489, Mem Usage: 46.6%
2024-08-30 09:59:56,900 - INFO - Ep.: 29, Score: 150.0, e: 1.00, Steps: 652, Avg Q-val: nan, replay: 19141, Mem Usage: 46.8%
2024-08-30 09:59:57,560 - INFO - Ep.: 30, Score: 270.0, e: 1.00, Steps: 731, Avg Q-val: nan, replay: 19872, Mem Usage: 47.0%
