2024-09-28 11:07:31,189 - INFO - Ep.: 0, Score: 0.0, e: 1.00, Steps: 159, Avg Q-val: nan, replay: 159, Mem Usage: 30.6%
2024-09-28 11:07:31,700 - INFO - Ep.: 1, Score: 3.0, e: 1.00, Steps: 219, Avg Q-val: nan, replay: 378, Mem Usage: 30.6%
2024-09-28 11:07:31,952 - INFO - Ep.: 2, Score: 2.0, e: 1.00, Steps: 194, Avg Q-val: nan, replay: 572, Mem Usage: 30.6%
2024-09-28 11:07:32,187 - INFO - Ep.: 3, Score: 0.0, e: 1.00, Steps: 147, Avg Q-val: nan, replay: 719, Mem Usage: 30.7%
2024-09-28 11:07:32,450 - INFO - Ep.: 4, Score: 2.0, e: 1.00, Steps: 190, Avg Q-val: nan, replay: 909, Mem Usage: 30.7%
2024-09-28 11:07:32,688 - INFO - Ep.: 5, Score: 1.0, e: 1.00, Steps: 176, Avg Q-val: nan, replay: 1085, Mem Usage: 30.7%
2024-09-28 11:07:32,931 - INFO - Ep.: 6, Score: 2.0, e: 1.00, Steps: 192, Avg Q-val: nan, replay: 1277, Mem Usage: 30.7%
2024-09-28 11:07:33,134 - INFO - Ep.: 7, Score: 0.0, e: 1.00, Steps: 133, Avg Q-val: nan, replay: 1410, Mem Usage: 30.7%
2024-09-28 11:07:33,361 - INFO - Ep.: 8, Score: 1.0, e: 1.00, Steps: 170, Avg Q-val: nan, replay: 1580, Mem Usage: 30.7%
2024-09-28 11:07:33,610 - INFO - Ep.: 9, Score: 2.0, e: 1.00, Steps: 191, Avg Q-val: nan, replay: 1771, Mem Usage: 30.8%
2024-09-28 11:07:33,840 - INFO - Ep.: 10, Score: 1.0, e: 1.00, Steps: 175, Avg Q-val: nan, replay: 1946, Mem Usage: 30.8%
2024-09-28 11:07:34,069 - INFO - Ep.: 11, Score: 1.0, e: 1.00, Steps: 163, Avg Q-val: nan, replay: 2109, Mem Usage: 30.8%
2024-09-28 11:07:34,286 - INFO - Ep.: 12, Score: 1.0, e: 1.00, Steps: 155, Avg Q-val: nan, replay: 2264, Mem Usage: 30.8%
2024-09-28 11:07:34,531 - INFO - Ep.: 13, Score: 2.0, e: 1.00, Steps: 195, Avg Q-val: nan, replay: 2459, Mem Usage: 30.8%
2024-09-28 11:07:34,746 - INFO - Ep.: 14, Score: 0.0, e: 1.00, Steps: 151, Avg Q-val: nan, replay: 2610, Mem Usage: 30.8%
2024-09-28 11:07:34,951 - INFO - Ep.: 15, Score: 0.0, e: 1.00, Steps: 138, Avg Q-val: nan, replay: 2748, Mem Usage: 30.9%
2024-09-28 11:07:35,177 - INFO - Ep.: 16, Score: 1.0, e: 1.00, Steps: 161, Avg Q-val: nan, replay: 2909, Mem Usage: 30.9%
2024-09-28 11:07:35,395 - INFO - Ep.: 17, Score: 1.0, e: 1.00, Steps: 156, Avg Q-val: nan, replay: 3065, Mem Usage: 30.9%
