2024-09-01 11:36:20,980 - INFO - Ep.: 0, Score: 0.0, e: 1.00, Steps: 144, Avg Q-val: nan, replay: 144, Mem Usage: 1.9%
2024-09-01 11:36:21,261 - INFO - Ep.: 1, Score: 0.0, e: 1.00, Steps: 129, Avg Q-val: nan, replay: 273, Mem Usage: 1.9%
2024-09-01 11:36:21,354 - INFO - Ep.: 2, Score: 0.0, e: 1.00, Steps: 143, Avg Q-val: nan, replay: 416, Mem Usage: 1.9%
2024-09-01 11:36:21,496 - INFO - Ep.: 3, Score: 2.0, e: 1.00, Steps: 224, Avg Q-val: nan, replay: 640, Mem Usage: 1.9%
2024-09-01 11:36:21,677 - INFO - Ep.: 4, Score: 3.0, e: 1.00, Steps: 291, Avg Q-val: nan, replay: 931, Mem Usage: 1.9%
2024-09-01 11:36:21,804 - INFO - Ep.: 5, Score: 2.0, e: 1.00, Steps: 200, Avg Q-val: nan, replay: 1131, Mem Usage: 1.9%
2024-09-01 11:36:21,911 - INFO - Ep.: 6, Score: 1.0, e: 1.00, Steps: 167, Avg Q-val: nan, replay: 1298, Mem Usage: 2.0%
2024-09-01 11:36:22,000 - INFO - Ep.: 7, Score: 0.0, e: 1.00, Steps: 138, Avg Q-val: nan, replay: 1436, Mem Usage: 2.0%
2024-09-01 11:36:22,114 - INFO - Ep.: 8, Score: 1.0, e: 1.00, Steps: 178, Avg Q-val: nan, replay: 1614, Mem Usage: 2.0%
2024-09-01 11:36:22,237 - INFO - Ep.: 9, Score: 1.0, e: 1.00, Steps: 193, Avg Q-val: nan, replay: 1807, Mem Usage: 2.0%
2024-09-01 11:36:22,339 - INFO - Ep.: 10, Score: 1.0, e: 1.00, Steps: 158, Avg Q-val: nan, replay: 1965, Mem Usage: 2.0%
2024-09-01 11:36:22,449 - INFO - Ep.: 11, Score: 1.0, e: 1.00, Steps: 171, Avg Q-val: nan, replay: 2136, Mem Usage: 2.0%
2024-09-01 11:36:22,564 - INFO - Ep.: 12, Score: 1.0, e: 1.00, Steps: 180, Avg Q-val: nan, replay: 2316, Mem Usage: 2.0%
2024-09-01 11:36:22,650 - INFO - Ep.: 13, Score: 0.0, e: 1.00, Steps: 134, Avg Q-val: nan, replay: 2450, Mem Usage: 2.1%
2024-09-01 11:36:22,811 - INFO - Ep.: 14, Score: 3.0, e: 1.00, Steps: 260, Avg Q-val: nan, replay: 2710, Mem Usage: 2.1%
2024-09-01 11:36:22,905 - INFO - Ep.: 15, Score: 0.0, e: 1.00, Steps: 147, Avg Q-val: nan, replay: 2857, Mem Usage: 2.1%
2024-09-01 11:36:23,027 - INFO - Ep.: 16, Score: 2.0, e: 1.00, Steps: 195, Avg Q-val: nan, replay: 3052, Mem Usage: 2.1%
2024-09-01 11:36:23,133 - INFO - Ep.: 17, Score: 1.0, e: 1.00, Steps: 169, Avg Q-val: nan, replay: 3221, Mem Usage: 2.1%
2024-09-01 11:36:23,220 - INFO - Ep.: 18, Score: 0.0, e: 1.00, Steps: 135, Avg Q-val: nan, replay: 3356, Mem Usage: 2.1%
2024-09-01 11:36:23,306 - INFO - Ep.: 19, Score: 0.0, e: 1.00, Steps: 135, Avg Q-val: nan, replay: 3491, Mem Usage: 2.1%
2024-09-01 11:36:23,387 - INFO - Ep.: 20, Score: 0.0, e: 1.00, Steps: 127, Avg Q-val: nan, replay: 3618, Mem Usage: 2.1%
2024-09-01 11:36:23,531 - INFO - Ep.: 21, Score: 3.0, e: 1.00, Steps: 232, Avg Q-val: nan, replay: 3850, Mem Usage: 2.2%
2024-09-01 11:36:23,729 - INFO - Ep.: 22, Score: 4.0, e: 1.00, Steps: 324, Avg Q-val: nan, replay: 4174, Mem Usage: 2.2%
2024-09-01 11:36:23,849 - INFO - Ep.: 23, Score: 2.0, e: 1.00, Steps: 192, Avg Q-val: nan, replay: 4366, Mem Usage: 2.2%
2024-09-01 11:36:23,981 - INFO - Ep.: 24, Score: 2.0, e: 1.00, Steps: 211, Avg Q-val: nan, replay: 4577, Mem Usage: 2.2%
2024-09-01 11:36:24,072 - INFO - Ep.: 25, Score: 0.0, e: 1.00, Steps: 144, Avg Q-val: nan, replay: 4721, Mem Usage: 2.2%
2024-09-01 11:36:24,277 - INFO - Ep.: 26, Score: 8.0, e: 1.00, Steps: 333, Avg Q-val: nan, replay: 5054, Mem Usage: 2.3%
2024-09-01 11:36:24,410 - INFO - Ep.: 27, Score: 2.0, e: 1.00, Steps: 213, Avg Q-val: nan, replay: 5267, Mem Usage: 2.3%
2024-09-01 11:36:24,498 - INFO - Ep.: 28, Score: 0.0, e: 1.00, Steps: 139, Avg Q-val: nan, replay: 5406, Mem Usage: 2.3%
2024-09-01 11:36:24,600 - INFO - Ep.: 29, Score: 1.0, e: 1.00, Steps: 161, Avg Q-val: nan, replay: 5567, Mem Usage: 2.3%
2024-09-01 11:36:24,742 - INFO - Ep.: 30, Score: 2.0, e: 1.00, Steps: 230, Avg Q-val: nan, replay: 5797, Mem Usage: 2.3%
2024-09-01 11:36:24,843 - INFO - Ep.: 31, Score: 1.0, e: 1.00, Steps: 160, Avg Q-val: nan, replay: 5957, Mem Usage: 2.3%
2024-09-01 11:36:24,954 - INFO - Ep.: 32, Score: 1.0, e: 1.00, Steps: 176, Avg Q-val: nan, replay: 6133, Mem Usage: 2.4%
2024-09-01 11:36:25,064 - INFO - Ep.: 33, Score: 1.0, e: 1.00, Steps: 173, Avg Q-val: nan, replay: 6306, Mem Usage: 2.4%
2024-09-01 11:36:25,276 - INFO - Ep.: 34, Score: 5.0, e: 1.00, Steps: 344, Avg Q-val: nan, replay: 6650, Mem Usage: 2.4%
2024-09-01 11:36:25,365 - INFO - Ep.: 35, Score: 0.0, e: 1.00, Steps: 139, Avg Q-val: nan, replay: 6789, Mem Usage: 2.4%
2024-09-01 11:36:25,493 - INFO - Ep.: 36, Score: 2.0, e: 1.00, Steps: 204, Avg Q-val: nan, replay: 6993, Mem Usage: 2.4%
2024-09-01 11:36:25,623 - INFO - Ep.: 37, Score: 2.0, e: 1.00, Steps: 205, Avg Q-val: nan, replay: 7198, Mem Usage: 2.4%
2024-09-01 11:36:25,818 - INFO - Ep.: 38, Score: 5.0, e: 1.00, Steps: 316, Avg Q-val: nan, replay: 7514, Mem Usage: 2.5%
2024-09-01 11:36:25,935 - INFO - Ep.: 39, Score: 1.0, e: 1.00, Steps: 184, Avg Q-val: nan, replay: 7698, Mem Usage: 2.5%
2024-09-01 11:36:26,020 - INFO - Ep.: 40, Score: 0.0, e: 1.00, Steps: 133, Avg Q-val: nan, replay: 7831, Mem Usage: 2.5%
2024-09-01 11:36:26,171 - INFO - Ep.: 41, Score: 3.0, e: 1.00, Steps: 241, Avg Q-val: nan, replay: 8072, Mem Usage: 2.5%
2024-09-01 11:36:26,283 - INFO - Ep.: 42, Score: 1.0, e: 1.00, Steps: 176, Avg Q-val: nan, replay: 8248, Mem Usage: 2.5%
2024-09-01 11:36:26,369 - INFO - Ep.: 43, Score: 0.0, e: 1.00, Steps: 135, Avg Q-val: nan, replay: 8383, Mem Usage: 2.6%
2024-09-01 11:36:26,469 - INFO - Ep.: 44, Score: 1.0, e: 1.00, Steps: 157, Avg Q-val: nan, replay: 8540, Mem Usage: 2.6%
2024-09-01 11:36:26,589 - INFO - Ep.: 45, Score: 1.0, e: 1.00, Steps: 191, Avg Q-val: nan, replay: 8731, Mem Usage: 2.6%
2024-09-01 11:36:26,722 - INFO - Ep.: 46, Score: 2.0, e: 1.00, Steps: 212, Avg Q-val: nan, replay: 8943, Mem Usage: 2.6%
2024-09-01 11:36:26,807 - INFO - Ep.: 47, Score: 0.0, e: 1.00, Steps: 132, Avg Q-val: nan, replay: 9075, Mem Usage: 2.6%
2024-09-01 11:36:26,891 - INFO - Ep.: 48, Score: 0.0, e: 1.00, Steps: 131, Avg Q-val: nan, replay: 9206, Mem Usage: 2.6%
2024-09-01 11:36:26,980 - INFO - Ep.: 49, Score: 0.0, e: 1.00, Steps: 139, Avg Q-val: nan, replay: 9345, Mem Usage: 2.6%
2024-09-01 11:36:27,083 - INFO - Ep.: 50, Score: 1.0, e: 1.00, Steps: 163, Avg Q-val: nan, replay: 9508, Mem Usage: 2.6%
2024-09-01 11:36:27,214 - INFO - Ep.: 51, Score: 2.0, e: 1.00, Steps: 208, Avg Q-val: nan, replay: 9716, Mem Usage: 2.7%
2024-09-01 11:36:27,329 - INFO - Ep.: 52, Score: 1.0, e: 1.00, Steps: 183, Avg Q-val: nan, replay: 9899, Mem Usage: 2.7%
2024-09-01 11:36:27,440 - INFO - Ep.: 53, Score: 1.0, e: 1.00, Steps: 174, Avg Q-val: nan, replay: 10073, Mem Usage: 2.7%
2024-09-01 11:36:27,589 - INFO - Ep.: 54, Score: 3.0, e: 1.00, Steps: 239, Avg Q-val: nan, replay: 10312, Mem Usage: 2.7%
2024-09-01 11:36:27,711 - INFO - Ep.: 55, Score: 2.0, e: 1.00, Steps: 194, Avg Q-val: nan, replay: 10506, Mem Usage: 2.7%
2024-09-01 11:36:27,882 - INFO - Ep.: 56, Score: 4.0, e: 1.00, Steps: 275, Avg Q-val: nan, replay: 10781, Mem Usage: 2.8%
2024-09-01 11:36:27,969 - INFO - Ep.: 57, Score: 0.0, e: 1.00, Steps: 136, Avg Q-val: nan, replay: 10917, Mem Usage: 2.8%
2024-09-01 11:36:28,060 - INFO - Ep.: 58, Score: 0.0, e: 1.00, Steps: 142, Avg Q-val: nan, replay: 11059, Mem Usage: 2.8%
2024-09-01 11:36:28,147 - INFO - Ep.: 59, Score: 0.0, e: 1.00, Steps: 136, Avg Q-val: nan, replay: 11195, Mem Usage: 2.8%
2024-09-01 11:36:28,277 - INFO - Ep.: 60, Score: 2.0, e: 1.00, Steps: 209, Avg Q-val: nan, replay: 11404, Mem Usage: 2.8%
2024-09-01 11:36:28,392 - INFO - Ep.: 61, Score: 1.0, e: 1.00, Steps: 182, Avg Q-val: nan, replay: 11586, Mem Usage: 2.8%
2024-09-01 11:36:28,477 - INFO - Ep.: 62, Score: 0.0, e: 1.00, Steps: 133, Avg Q-val: nan, replay: 11719, Mem Usage: 2.8%
2024-09-01 11:36:28,591 - INFO - Ep.: 63, Score: 1.0, e: 1.00, Steps: 182, Avg Q-val: nan, replay: 11901, Mem Usage: 2.8%
2024-09-01 11:36:28,688 - INFO - Ep.: 64, Score: 0.0, e: 1.00, Steps: 152, Avg Q-val: nan, replay: 12053, Mem Usage: 2.9%
