2024-08-21 09:27:43,205 - INFO - Ep.: 0, Score: -5.0, e: 1.00, Steps: 695, Avg Q-val: nan, replay: 695, Mem Usage: 43.1%
2024-08-21 09:27:44,209 - INFO - Ep.: 1, Score: -5.0, e: 1.00, Steps: 905, Avg Q-val: nan, replay: 1600, Mem Usage: 43.1%
2024-08-21 09:27:44,999 - INFO - Ep.: 2, Score: -5.0, e: 1.00, Steps: 1160, Avg Q-val: nan, replay: 2760, Mem Usage: 43.2%
2024-08-21 09:27:45,276 - INFO - Ep.: 3, Score: -5.0, e: 1.00, Steps: 404, Avg Q-val: nan, replay: 3164, Mem Usage: 43.2%
2024-08-21 09:27:46,032 - INFO - Ep.: 4, Score: -5.0, e: 1.00, Steps: 1051, Avg Q-val: nan, replay: 4215, Mem Usage: 43.3%
2024-08-21 09:27:46,913 - INFO - Ep.: 5, Score: -5.0, e: 1.00, Steps: 1308, Avg Q-val: nan, replay: 5523, Mem Usage: 43.4%
2024-08-21 09:27:47,414 - INFO - Ep.: 6, Score: -5.0, e: 1.00, Steps: 729, Avg Q-val: nan, replay: 6252, Mem Usage: 43.4%
2024-08-21 09:27:48,053 - INFO - Ep.: 7, Score: 1595.0, e: 1.00, Steps: 933, Avg Q-val: nan, replay: 7185, Mem Usage: 43.6%
2024-08-21 09:27:48,338 - INFO - Ep.: 8, Score: 1595.0, e: 1.00, Steps: 417, Avg Q-val: nan, replay: 7602, Mem Usage: 43.6%
2024-08-21 09:27:48,909 - INFO - Ep.: 9, Score: -5.0, e: 1.00, Steps: 829, Avg Q-val: nan, replay: 8431, Mem Usage: 43.7%
2024-08-21 09:27:49,336 - INFO - Ep.: 10, Score: -5.0, e: 1.00, Steps: 607, Avg Q-val: nan, replay: 9038, Mem Usage: 43.7%
2024-08-21 09:27:50,087 - INFO - Ep.: 11, Score: 1595.0, e: 1.00, Steps: 1096, Avg Q-val: nan, replay: 10134, Mem Usage: 43.8%
2024-08-21 09:27:50,617 - INFO - Ep.: 12, Score: -5.0, e: 1.00, Steps: 741, Avg Q-val: nan, replay: 10875, Mem Usage: 43.8%
2024-08-21 09:27:50,990 - INFO - Ep.: 13, Score: -5.0, e: 1.00, Steps: 549, Avg Q-val: nan, replay: 11424, Mem Usage: 43.9%
2024-08-21 09:27:51,613 - INFO - Ep.: 14, Score: -5.0, e: 1.00, Steps: 881, Avg Q-val: nan, replay: 12305, Mem Usage: 44.0%
2024-08-21 09:27:51,947 - INFO - Ep.: 15, Score: -5.0, e: 1.00, Steps: 464, Avg Q-val: nan, replay: 12769, Mem Usage: 44.1%
2024-08-21 09:27:52,943 - INFO - Ep.: 16, Score: -5.0, e: 1.00, Steps: 1390, Avg Q-val: nan, replay: 14159, Mem Usage: 44.1%
2024-08-21 09:27:53,706 - INFO - Ep.: 17, Score: -5.0, e: 1.00, Steps: 1110, Avg Q-val: nan, replay: 15269, Mem Usage: 44.2%
2024-08-21 09:27:54,192 - INFO - Ep.: 18, Score: -5.0, e: 1.00, Steps: 688, Avg Q-val: nan, replay: 15957, Mem Usage: 44.3%
2024-08-21 09:27:54,868 - INFO - Ep.: 19, Score: -5.0, e: 1.00, Steps: 985, Avg Q-val: nan, replay: 16942, Mem Usage: 44.4%
2024-08-21 09:27:55,338 - INFO - Ep.: 20, Score: -5.0, e: 1.00, Steps: 684, Avg Q-val: nan, replay: 17626, Mem Usage: 44.5%
2024-08-21 09:27:55,655 - INFO - Ep.: 21, Score: -5.0, e: 1.00, Steps: 434, Avg Q-val: nan, replay: 18060, Mem Usage: 44.5%
2024-08-21 09:27:56,581 - INFO - Ep.: 22, Score: -5.0, e: 1.00, Steps: 1328, Avg Q-val: nan, replay: 19388, Mem Usage: 44.6%
2024-08-21 09:27:56,791 - INFO - Ep.: 23, Score: 1595.0, e: 1.00, Steps: 306, Avg Q-val: nan, replay: 19694, Mem Usage: 44.6%
2024-08-21 09:27:57,256 - INFO - Ep.: 24, Score: -5.0, e: 1.00, Steps: 614, Avg Q-val: nan, replay: 20308, Mem Usage: 44.7%
2024-08-21 09:27:57,730 - INFO - Ep.: 25, Score: -5.0, e: 1.00, Steps: 692, Avg Q-val: nan, replay: 21000, Mem Usage: 44.7%
2024-08-21 09:27:58,214 - INFO - Ep.: 26, Score: -5.0, e: 1.00, Steps: 702, Avg Q-val: nan, replay: 21702, Mem Usage: 44.8%
2024-08-21 09:27:58,574 - INFO - Ep.: 27, Score: -5.0, e: 1.00, Steps: 522, Avg Q-val: nan, replay: 22224, Mem Usage: 44.8%
2024-08-21 09:27:59,008 - INFO - Ep.: 28, Score: 795.0, e: 1.00, Steps: 612, Avg Q-val: nan, replay: 22836, Mem Usage: 44.9%
2024-08-21 09:27:59,892 - INFO - Ep.: 29, Score: -5.0, e: 1.00, Steps: 1282, Avg Q-val: nan, replay: 24118, Mem Usage: 44.9%
2024-08-21 09:28:00,344 - INFO - Ep.: 30, Score: -5.0, e: 1.00, Steps: 676, Avg Q-val: nan, replay: 24794, Mem Usage: 45.0%
