2024-09-01 11:44:15,724 - INFO - Ep.: 0, Score: -19.0, e: 1.00, Steps: 1027, Avg Q-val: nan, replay: 1027, Mem Usage: 33.6%
2024-09-01 11:44:16,614 - INFO - Ep.: 1, Score: -20.0, e: 1.00, Steps: 919, Avg Q-val: nan, replay: 1946, Mem Usage: 33.8%
2024-09-01 11:44:17,192 - INFO - Ep.: 2, Score: -20.0, e: 1.00, Steps: 870, Avg Q-val: nan, replay: 2816, Mem Usage: 33.9%
2024-09-01 11:44:17,877 - INFO - Ep.: 3, Score: -20.0, e: 1.00, Steps: 1041, Avg Q-val: nan, replay: 3857, Mem Usage: 34.1%
2024-09-01 11:44:18,611 - INFO - Ep.: 4, Score: -19.0, e: 1.00, Steps: 1075, Avg Q-val: nan, replay: 4932, Mem Usage: 34.2%
2024-09-01 11:44:19,291 - INFO - Ep.: 5, Score: -21.0, e: 1.00, Steps: 994, Avg Q-val: nan, replay: 5926, Mem Usage: 34.4%
2024-09-01 11:44:19,955 - INFO - Ep.: 6, Score: -21.0, e: 1.00, Steps: 899, Avg Q-val: nan, replay: 6825, Mem Usage: 34.5%
2024-09-01 11:44:20,877 - INFO - Ep.: 7, Score: -19.0, e: 1.00, Steps: 1328, Avg Q-val: nan, replay: 8153, Mem Usage: 34.8%
2024-09-01 11:44:21,455 - INFO - Ep.: 8, Score: -21.0, e: 1.00, Steps: 843, Avg Q-val: nan, replay: 8996, Mem Usage: 35.0%
2024-09-01 11:44:22,166 - INFO - Ep.: 9, Score: -21.0, e: 1.00, Steps: 1065, Avg Q-val: nan, replay: 10061, Mem Usage: 35.2%
2024-09-01 11:44:22,756 - INFO - Ep.: 10, Score: -21.0, e: 1.00, Steps: 886, Avg Q-val: nan, replay: 10947, Mem Usage: 35.3%
2024-09-01 11:44:23,381 - INFO - Ep.: 11, Score: -21.0, e: 1.00, Steps: 854, Avg Q-val: nan, replay: 11801, Mem Usage: 35.4%
2024-09-01 11:44:23,945 - INFO - Ep.: 12, Score: -21.0, e: 1.00, Steps: 824, Avg Q-val: nan, replay: 12625, Mem Usage: 35.6%
2024-09-01 11:44:24,649 - INFO - Ep.: 13, Score: -19.0, e: 1.00, Steps: 1041, Avg Q-val: nan, replay: 13666, Mem Usage: 35.7%
2024-09-01 11:44:25,334 - INFO - Ep.: 14, Score: -20.0, e: 1.00, Steps: 1037, Avg Q-val: nan, replay: 14703, Mem Usage: 36.0%
2024-09-01 11:44:25,956 - INFO - Ep.: 15, Score: -20.0, e: 1.00, Steps: 933, Avg Q-val: nan, replay: 15636, Mem Usage: 36.1%
2024-09-01 11:44:26,607 - INFO - Ep.: 16, Score: -19.0, e: 1.00, Steps: 981, Avg Q-val: nan, replay: 16617, Mem Usage: 36.2%
2024-09-01 11:44:27,193 - INFO - Ep.: 17, Score: -21.0, e: 1.00, Steps: 883, Avg Q-val: nan, replay: 17500, Mem Usage: 36.5%
2024-09-01 11:44:27,818 - INFO - Ep.: 18, Score: -21.0, e: 1.00, Steps: 914, Avg Q-val: nan, replay: 18414, Mem Usage: 36.6%
2024-09-01 11:44:28,451 - INFO - Ep.: 19, Score: -21.0, e: 1.00, Steps: 944, Avg Q-val: nan, replay: 19358, Mem Usage: 36.7%
2024-09-01 11:44:29,069 - INFO - Ep.: 20, Score: -19.0, e: 1.00, Steps: 932, Avg Q-val: nan, replay: 20290, Mem Usage: 36.8%
2024-09-01 11:44:29,779 - INFO - Ep.: 21, Score: -19.0, e: 1.00, Steps: 1054, Avg Q-val: nan, replay: 21344, Mem Usage: 37.0%
2024-09-01 11:44:30,509 - INFO - Ep.: 22, Score: -19.0, e: 1.00, Steps: 1088, Avg Q-val: nan, replay: 22432, Mem Usage: 37.2%
2024-09-01 11:44:31,148 - INFO - Ep.: 23, Score: -19.0, e: 1.00, Steps: 957, Avg Q-val: nan, replay: 23389, Mem Usage: 37.3%
2024-09-01 11:44:31,749 - INFO - Ep.: 24, Score: -19.0, e: 1.00, Steps: 917, Avg Q-val: nan, replay: 24306, Mem Usage: 37.5%
2024-09-01 11:44:32,385 - INFO - Ep.: 25, Score: -21.0, e: 1.00, Steps: 946, Avg Q-val: nan, replay: 25252, Mem Usage: 37.7%
