2024-08-26 19:16:24,119 - INFO - Ep.: 0, Score: 270.0, e: 1.00, Steps: 820, Avg Q-val: nan, replay: 820, Mem Usage: 17.9%
2024-08-26 19:16:24,814 - INFO - Ep.: 1, Score: 100.0, e: 1.00, Steps: 590, Avg Q-val: nan, replay: 1410, Mem Usage: 18.0%
2024-08-26 19:16:25,256 - INFO - Ep.: 2, Score: 70.0, e: 1.00, Steps: 554, Avg Q-val: nan, replay: 1964, Mem Usage: 18.1%
2024-08-26 19:16:25,779 - INFO - Ep.: 3, Score: 210.0, e: 1.00, Steps: 669, Avg Q-val: nan, replay: 2633, Mem Usage: 18.1%
2024-08-26 19:16:26,394 - INFO - Ep.: 4, Score: 270.0, e: 1.00, Steps: 780, Avg Q-val: nan, replay: 3413, Mem Usage: 18.2%
2024-08-26 19:16:26,878 - INFO - Ep.: 5, Score: 200.0, e: 1.00, Steps: 614, Avg Q-val: nan, replay: 4027, Mem Usage: 18.3%
2024-08-26 19:16:27,451 - INFO - Ep.: 6, Score: 180.0, e: 1.00, Steps: 723, Avg Q-val: nan, replay: 4750, Mem Usage: 18.3%
2024-08-26 19:16:27,948 - INFO - Ep.: 7, Score: 190.0, e: 1.00, Steps: 629, Avg Q-val: nan, replay: 5379, Mem Usage: 18.3%
2024-08-26 19:16:28,435 - INFO - Ep.: 8, Score: 110.0, e: 1.00, Steps: 616, Avg Q-val: nan, replay: 5995, Mem Usage: 18.4%
2024-08-26 19:16:29,157 - INFO - Ep.: 9, Score: 240.0, e: 1.00, Steps: 915, Avg Q-val: nan, replay: 6910, Mem Usage: 18.5%
2024-08-26 19:16:29,667 - INFO - Ep.: 10, Score: 110.0, e: 1.00, Steps: 639, Avg Q-val: nan, replay: 7549, Mem Usage: 18.5%
2024-08-26 19:16:30,095 - INFO - Ep.: 11, Score: 140.0, e: 1.00, Steps: 542, Avg Q-val: nan, replay: 8091, Mem Usage: 18.6%
2024-08-26 19:16:30,508 - INFO - Ep.: 12, Score: 140.0, e: 1.00, Steps: 519, Avg Q-val: nan, replay: 8610, Mem Usage: 18.6%
2024-08-26 19:16:31,267 - INFO - Ep.: 13, Score: 300.0, e: 1.00, Steps: 968, Avg Q-val: nan, replay: 9578, Mem Usage: 18.7%
2024-08-26 19:16:31,840 - INFO - Ep.: 14, Score: 200.0, e: 1.00, Steps: 726, Avg Q-val: nan, replay: 10304, Mem Usage: 18.8%
2024-08-26 19:16:32,386 - INFO - Ep.: 15, Score: 220.0, e: 1.00, Steps: 690, Avg Q-val: nan, replay: 10994, Mem Usage: 18.8%
2024-08-26 19:16:32,794 - INFO - Ep.: 16, Score: 120.0, e: 1.00, Steps: 512, Avg Q-val: nan, replay: 11506, Mem Usage: 18.9%
2024-08-26 19:16:33,370 - INFO - Ep.: 17, Score: 220.0, e: 1.00, Steps: 731, Avg Q-val: nan, replay: 12237, Mem Usage: 18.9%
2024-08-26 19:16:33,967 - INFO - Ep.: 18, Score: 180.0, e: 1.00, Steps: 757, Avg Q-val: nan, replay: 12994, Mem Usage: 19.0%
2024-08-26 19:16:34,441 - INFO - Ep.: 19, Score: 170.0, e: 1.00, Steps: 594, Avg Q-val: nan, replay: 13588, Mem Usage: 19.0%
2024-08-26 19:16:34,908 - INFO - Ep.: 20, Score: 150.0, e: 1.00, Steps: 593, Avg Q-val: nan, replay: 14181, Mem Usage: 19.1%
2024-08-26 19:16:35,379 - INFO - Ep.: 21, Score: 140.0, e: 1.00, Steps: 595, Avg Q-val: nan, replay: 14776, Mem Usage: 19.2%
2024-08-26 19:16:35,811 - INFO - Ep.: 22, Score: 190.0, e: 1.00, Steps: 542, Avg Q-val: nan, replay: 15318, Mem Usage: 19.2%
2024-08-26 19:16:36,436 - INFO - Ep.: 23, Score: 190.0, e: 1.00, Steps: 791, Avg Q-val: nan, replay: 16109, Mem Usage: 19.3%
2024-08-26 19:16:36,964 - INFO - Ep.: 24, Score: 120.0, e: 1.00, Steps: 667, Avg Q-val: nan, replay: 16776, Mem Usage: 19.3%
2024-08-26 19:16:37,634 - INFO - Ep.: 25, Score: 390.0, e: 1.00, Steps: 854, Avg Q-val: nan, replay: 17630, Mem Usage: 19.4%
2024-08-26 19:16:38,160 - INFO - Ep.: 26, Score: 180.0, e: 1.00, Steps: 667, Avg Q-val: nan, replay: 18297, Mem Usage: 19.4%
2024-08-26 19:16:39,031 - INFO - Ep.: 27, Score: 930.0, e: 1.00, Steps: 1109, Avg Q-val: nan, replay: 19406, Mem Usage: 19.5%
2024-08-26 19:16:39,529 - INFO - Ep.: 28, Score: 160.0, e: 1.00, Steps: 628, Avg Q-val: nan, replay: 20034, Mem Usage: 19.6%
2024-08-26 19:16:39,992 - INFO - Ep.: 29, Score: 160.0, e: 1.00, Steps: 566, Avg Q-val: nan, replay: 20600, Mem Usage: 19.6%
2024-08-26 19:16:40,426 - INFO - Ep.: 30, Score: 180.0, e: 1.00, Steps: 544, Avg Q-val: nan, replay: 21144, Mem Usage: 19.7%
2024-08-26 19:16:40,891 - INFO - Ep.: 31, Score: 130.0, e: 1.00, Steps: 587, Avg Q-val: nan, replay: 21731, Mem Usage: 19.7%
2024-08-26 19:16:41,362 - INFO - Ep.: 32, Score: 230.0, e: 1.00, Steps: 600, Avg Q-val: nan, replay: 22331, Mem Usage: 19.7%
2024-08-26 19:16:41,984 - INFO - Ep.: 33, Score: 270.0, e: 1.00, Steps: 788, Avg Q-val: nan, replay: 23119, Mem Usage: 19.8%
2024-08-26 19:16:42,458 - INFO - Ep.: 34, Score: 220.0, e: 1.00, Steps: 604, Avg Q-val: nan, replay: 23723, Mem Usage: 19.9%
