2024-08-20 08:17:09,056 - INFO - Ep.: 0, Score: 9.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 1786, Mem Usage: 56.1%
2024-08-20 08:17:10,951 - INFO - Ep.: 1, Score: 3.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 3572, Mem Usage: 56.2%
2024-08-20 08:17:12,563 - INFO - Ep.: 2, Score: 4.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 5358, Mem Usage: 56.4%
2024-08-20 08:17:14,157 - INFO - Ep.: 3, Score: 1.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 7144, Mem Usage: 56.5%
2024-08-20 08:17:15,747 - INFO - Ep.: 4, Score: 4.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 8930, Mem Usage: 56.7%
2024-08-20 08:17:17,314 - INFO - Ep.: 5, Score: 0.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 10716, Mem Usage: 56.8%
2024-08-20 08:17:18,869 - INFO - Ep.: 6, Score: 4.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 12502, Mem Usage: 57.0%
2024-08-20 08:17:20,478 - INFO - Ep.: 7, Score: 0.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 14288, Mem Usage: 57.1%
2024-08-20 08:17:22,061 - INFO - Ep.: 8, Score: 3.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 16074, Mem Usage: 57.3%
2024-08-20 08:17:23,637 - INFO - Ep.: 9, Score: 2.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 17860, Mem Usage: 57.4%
2024-08-20 08:17:25,207 - INFO - Ep.: 10, Score: 4.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 19646, Mem Usage: 57.6%
2024-08-20 08:17:26,790 - INFO - Ep.: 11, Score: 1.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 21432, Mem Usage: 57.7%
2024-08-20 08:17:28,393 - INFO - Ep.: 12, Score: 2.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 23218, Mem Usage: 57.9%
2024-08-20 08:17:29,949 - INFO - Ep.: 13, Score: 2.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 25004, Mem Usage: 58.0%
2024-08-20 08:17:31,517 - INFO - Ep.: 14, Score: 3.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 26790, Mem Usage: 58.2%
2024-08-20 08:17:33,080 - INFO - Ep.: 15, Score: 5.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 28576, Mem Usage: 58.3%
2024-08-20 08:17:34,625 - INFO - Ep.: 16, Score: 12.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 30362, Mem Usage: 58.5%
2024-08-20 08:17:36,178 - INFO - Ep.: 17, Score: 12.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 32148, Mem Usage: 58.6%
2024-08-20 08:17:37,717 - INFO - Ep.: 18, Score: 6.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 33934, Mem Usage: 58.8%
2024-08-20 08:17:39,303 - INFO - Ep.: 19, Score: 4.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 35720, Mem Usage: 58.9%
2024-08-20 08:17:40,870 - INFO - Ep.: 20, Score: 4.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 37506, Mem Usage: 59.1%
2024-08-20 08:17:42,446 - INFO - Ep.: 21, Score: 4.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 39292, Mem Usage: 59.2%
2024-08-20 08:17:44,023 - INFO - Ep.: 22, Score: 3.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 41078, Mem Usage: 59.4%
2024-08-20 08:17:45,579 - INFO - Ep.: 23, Score: 4.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 42864, Mem Usage: 59.5%
2024-08-20 08:17:47,131 - INFO - Ep.: 24, Score: 8.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 44650, Mem Usage: 59.7%
2024-08-20 08:17:48,694 - INFO - Ep.: 25, Score: 5.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 46436, Mem Usage: 59.8%
2024-08-20 08:17:50,299 - INFO - Ep.: 26, Score: 5.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 48222, Mem Usage: 60.0%
2024-08-20 08:17:51,867 - INFO - Ep.: 27, Score: 5.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 50008, Mem Usage: 60.1%
2024-08-20 08:17:53,416 - INFO - Ep.: 28, Score: 2.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 51794, Mem Usage: 60.3%
2024-08-20 08:17:54,994 - INFO - Ep.: 29, Score: 2.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 53580, Mem Usage: 60.4%
2024-08-20 08:17:56,550 - INFO - Ep.: 30, Score: 2.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 55366, Mem Usage: 60.6%
2024-08-20 08:17:58,123 - INFO - Ep.: 31, Score: 7.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 57152, Mem Usage: 60.7%
2024-08-20 08:17:59,679 - INFO - Ep.: 32, Score: 0.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 58938, Mem Usage: 60.9%
2024-08-20 08:18:01,235 - INFO - Ep.: 33, Score: 0.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 60724, Mem Usage: 61.0%
2024-08-20 08:18:02,775 - INFO - Ep.: 34, Score: 6.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 62510, Mem Usage: 61.2%
2024-08-20 08:18:04,340 - INFO - Ep.: 35, Score: 2.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 64296, Mem Usage: 61.3%
2024-08-20 08:18:05,928 - INFO - Ep.: 36, Score: 6.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 66082, Mem Usage: 61.5%
2024-08-20 08:18:07,488 - INFO - Ep.: 37, Score: 3.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 67868, Mem Usage: 61.6%
2024-08-20 08:18:09,030 - INFO - Ep.: 38, Score: 7.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 69654, Mem Usage: 61.8%
2024-08-20 08:18:10,609 - INFO - Ep.: 39, Score: 2.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 71440, Mem Usage: 61.9%
2024-08-20 08:18:12,169 - INFO - Ep.: 40, Score: 4.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 73226, Mem Usage: 62.1%
2024-08-20 08:18:13,726 - INFO - Ep.: 41, Score: 2.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 75012, Mem Usage: 62.2%
2024-08-20 08:18:15,286 - INFO - Ep.: 42, Score: 5.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 76798, Mem Usage: 62.4%
2024-08-20 08:18:16,848 - INFO - Ep.: 43, Score: 4.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 78584, Mem Usage: 62.5%
2024-08-20 08:18:18,403 - INFO - Ep.: 44, Score: 2.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 80370, Mem Usage: 62.7%
2024-08-20 08:18:19,946 - INFO - Ep.: 45, Score: 9.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 82156, Mem Usage: 62.8%
2024-08-20 08:18:21,505 - INFO - Ep.: 46, Score: 8.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 83942, Mem Usage: 63.0%
2024-08-20 08:18:23,061 - INFO - Ep.: 47, Score: 2.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 85728, Mem Usage: 63.1%
2024-08-20 08:18:24,614 - INFO - Ep.: 48, Score: 2.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 87514, Mem Usage: 63.3%
2024-08-20 08:18:26,181 - INFO - Ep.: 49, Score: 5.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 89300, Mem Usage: 63.4%
2024-08-20 08:18:27,756 - INFO - Ep.: 50, Score: 3.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 91086, Mem Usage: 63.6%
2024-08-20 08:18:29,321 - INFO - Ep.: 51, Score: 1.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 92872, Mem Usage: 63.7%
2024-08-20 08:18:30,892 - INFO - Ep.: 52, Score: 6.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 94658, Mem Usage: 63.9%
2024-08-20 08:18:32,483 - INFO - Ep.: 53, Score: 9.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 96444, Mem Usage: 64.0%
2024-08-20 08:18:34,065 - INFO - Ep.: 54, Score: 1.0, e: 1.00, Steps: 1786, Avg Q-val: nan, replay: 98230, Mem Usage: 64.2%
2024-08-20 08:18:35,632 - INFO - Total steps: 100000
2024-08-20 08:18:36,111 - INFO - Ep.: 55, Score: 11.0, e: 0.81, Steps: 1786, Avg Q-val: 0.05, replay: 100000, Mem Usage: 64.5%
2024-08-20 08:18:45,521 - INFO - Ep.: 56, Score: 2.0, e: 0.81, Steps: 1786, Avg Q-val: 0.07, replay: 100000, Mem Usage: 64.5%
2024-08-20 08:18:54,869 - INFO - Ep.: 57, Score: 10.0, e: 0.80, Steps: 1786, Avg Q-val: 0.07, replay: 100000, Mem Usage: 64.5%
2024-08-20 08:19:04,349 - INFO - Ep.: 58, Score: 0.0, e: 0.80, Steps: 1786, Avg Q-val: 0.07, replay: 100000, Mem Usage: 64.5%
2024-08-20 08:19:13,955 - INFO - Ep.: 59, Score: 0.0, e: 0.80, Steps: 1786, Avg Q-val: 0.08, replay: 100000, Mem Usage: 64.5%
2024-08-20 08:19:23,654 - INFO - Ep.: 60, Score: 4.0, e: 0.79, Steps: 1786, Avg Q-val: 0.09, replay: 100000, Mem Usage: 64.5%
2024-08-20 08:19:33,190 - INFO - Ep.: 61, Score: 2.0, e: 0.79, Steps: 1786, Avg Q-val: 0.10, replay: 100000, Mem Usage: 64.5%
2024-08-20 08:19:42,801 - INFO - Ep.: 62, Score: 2.0, e: 0.79, Steps: 1786, Avg Q-val: 0.11, replay: 100000, Mem Usage: 64.5%
2024-08-20 08:19:52,514 - INFO - Ep.: 63, Score: 12.0, e: 0.78, Steps: 1786, Avg Q-val: 0.11, replay: 100000, Mem Usage: 64.5%
2024-08-20 08:20:02,103 - INFO - Ep.: 64, Score: 4.0, e: 0.78, Steps: 1786, Avg Q-val: 0.11, replay: 100000, Mem Usage: 64.5%
2024-08-20 08:20:11,421 - INFO - Ep.: 65, Score: 9.0, e: 0.78, Steps: 1786, Avg Q-val: 0.11, replay: 100000, Mem Usage: 64.5%
2024-08-20 08:20:21,101 - INFO - Ep.: 66, Score: 5.0, e: 0.77, Steps: 1786, Avg Q-val: 0.11, replay: 100000, Mem Usage: 64.5%
2024-08-20 08:20:31,098 - INFO - Ep.: 67, Score: 8.0, e: 0.77, Steps: 1786, Avg Q-val: 0.15, replay: 100000, Mem Usage: 64.5%
2024-08-20 08:20:40,802 - INFO - Ep.: 68, Score: 2.0, e: 0.77, Steps: 1786, Avg Q-val: 0.15, replay: 100000, Mem Usage: 64.6%
2024-08-20 08:20:50,400 - INFO - Ep.: 69, Score: 3.0, e: 0.76, Steps: 1786, Avg Q-val: 0.15, replay: 100000, Mem Usage: 64.6%
2024-08-20 08:21:00,272 - INFO - Ep.: 70, Score: 0.0, e: 0.76, Steps: 1786, Avg Q-val: 0.17, replay: 100000, Mem Usage: 64.6%
