2024-08-21 09:18:05,701 - INFO - Ep.: 0, Score: -4.0, e: 1.00, Steps: 173, Avg Q-val: nan, replay: 173, Mem Usage: 7.6%
2024-08-21 09:18:06,130 - INFO - Ep.: 1, Score: -2.0, e: 1.00, Steps: 263, Avg Q-val: nan, replay: 436, Mem Usage: 7.7%
2024-08-21 09:18:06,249 - INFO - Ep.: 2, Score: -4.0, e: 1.00, Steps: 188, Avg Q-val: nan, replay: 624, Mem Usage: 7.7%
2024-08-21 09:18:06,332 - INFO - Ep.: 3, Score: -5.0, e: 1.00, Steps: 126, Avg Q-val: nan, replay: 750, Mem Usage: 7.7%
2024-08-21 09:18:06,414 - INFO - Ep.: 4, Score: -5.0, e: 1.00, Steps: 124, Avg Q-val: nan, replay: 874, Mem Usage: 7.7%
2024-08-21 09:18:06,499 - INFO - Ep.: 5, Score: -5.0, e: 1.00, Steps: 132, Avg Q-val: nan, replay: 1006, Mem Usage: 7.7%
2024-08-21 09:18:06,583 - INFO - Ep.: 6, Score: -5.0, e: 1.00, Steps: 130, Avg Q-val: nan, replay: 1136, Mem Usage: 7.7%
2024-08-21 09:18:06,674 - INFO - Ep.: 7, Score: -5.0, e: 1.00, Steps: 141, Avg Q-val: nan, replay: 1277, Mem Usage: 7.7%
2024-08-21 09:18:06,754 - INFO - Ep.: 8, Score: -5.0, e: 1.00, Steps: 124, Avg Q-val: nan, replay: 1401, Mem Usage: 7.8%
2024-08-21 09:18:06,862 - INFO - Ep.: 9, Score: -4.0, e: 1.00, Steps: 170, Avg Q-val: nan, replay: 1571, Mem Usage: 7.8%
2024-08-21 09:18:06,972 - INFO - Ep.: 10, Score: -4.0, e: 1.00, Steps: 173, Avg Q-val: nan, replay: 1744, Mem Usage: 7.8%
2024-08-21 09:18:07,063 - INFO - Ep.: 11, Score: -5.0, e: 1.00, Steps: 141, Avg Q-val: nan, replay: 1885, Mem Usage: 7.8%
2024-08-21 09:18:07,188 - INFO - Ep.: 12, Score: -3.0, e: 1.00, Steps: 199, Avg Q-val: nan, replay: 2084, Mem Usage: 7.8%
2024-08-21 09:18:07,276 - INFO - Ep.: 13, Score: -5.0, e: 1.00, Steps: 136, Avg Q-val: nan, replay: 2220, Mem Usage: 7.8%
2024-08-21 09:18:07,387 - INFO - Ep.: 14, Score: -4.0, e: 1.00, Steps: 176, Avg Q-val: nan, replay: 2396, Mem Usage: 7.8%
2024-08-21 09:18:07,508 - INFO - Ep.: 15, Score: -3.0, e: 1.00, Steps: 188, Avg Q-val: nan, replay: 2584, Mem Usage: 7.9%
2024-08-21 09:18:07,599 - INFO - Ep.: 16, Score: -5.0, e: 1.00, Steps: 140, Avg Q-val: nan, replay: 2724, Mem Usage: 7.9%
2024-08-21 09:18:07,701 - INFO - Ep.: 17, Score: -4.0, e: 1.00, Steps: 161, Avg Q-val: nan, replay: 2885, Mem Usage: 7.9%
2024-08-21 09:18:07,785 - INFO - Ep.: 18, Score: -5.0, e: 1.00, Steps: 129, Avg Q-val: nan, replay: 3014, Mem Usage: 7.9%
2024-08-21 09:18:07,869 - INFO - Ep.: 19, Score: -5.0, e: 1.00, Steps: 130, Avg Q-val: nan, replay: 3144, Mem Usage: 7.9%
2024-08-21 09:18:07,963 - INFO - Ep.: 20, Score: -5.0, e: 1.00, Steps: 148, Avg Q-val: nan, replay: 3292, Mem Usage: 7.9%
