2024-08-15 13:37:53,354 - INFO - Ep.: 0, Score: -9.0, e: 1.00, Steps: 3551, Avg Q-val: nan, replay: 3551, Mem Usage: 63.2%
2024-08-15 13:37:56,471 - INFO - Ep.: 1, Score: -14.0, e: 1.00, Steps: 3612, Avg Q-val: nan, replay: 7163, Mem Usage: 63.6%
2024-08-15 13:37:59,245 - INFO - Ep.: 2, Score: -16.0, e: 1.00, Steps: 3672, Avg Q-val: nan, replay: 10835, Mem Usage: 63.8%
2024-08-15 13:38:01,622 - INFO - Ep.: 3, Score: -9.0, e: 1.00, Steps: 3153, Avg Q-val: nan, replay: 13988, Mem Usage: 64.1%
2024-08-15 13:38:04,249 - INFO - Ep.: 4, Score: -7.0, e: 1.00, Steps: 3462, Avg Q-val: nan, replay: 17450, Mem Usage: 64.4%
2024-08-15 13:38:06,635 - INFO - Ep.: 5, Score: -7.0, e: 1.00, Steps: 3075, Avg Q-val: nan, replay: 20525, Mem Usage: 64.7%
2024-08-15 13:38:09,173 - INFO - Ep.: 6, Score: -13.0, e: 1.00, Steps: 3318, Avg Q-val: nan, replay: 23843, Mem Usage: 64.9%
2024-08-15 13:38:11,694 - INFO - Ep.: 7, Score: -4.0, e: 1.00, Steps: 3285, Avg Q-val: nan, replay: 27128, Mem Usage: 65.2%
2024-08-15 13:38:14,358 - INFO - Ep.: 8, Score: -11.0, e: 1.00, Steps: 3487, Avg Q-val: nan, replay: 30615, Mem Usage: 65.5%
2024-08-15 13:38:16,941 - INFO - Ep.: 9, Score: -14.0, e: 1.00, Steps: 3380, Avg Q-val: nan, replay: 33995, Mem Usage: 65.8%
2024-08-15 13:38:19,484 - INFO - Ep.: 10, Score: -6.0, e: 1.00, Steps: 3344, Avg Q-val: nan, replay: 37339, Mem Usage: 66.1%
2024-08-15 13:38:22,109 - INFO - Ep.: 11, Score: -6.0, e: 1.00, Steps: 3490, Avg Q-val: nan, replay: 40829, Mem Usage: 66.4%
2024-08-15 13:38:24,677 - INFO - Ep.: 12, Score: -7.0, e: 1.00, Steps: 3388, Avg Q-val: nan, replay: 44217, Mem Usage: 66.6%
2024-08-15 13:38:27,149 - INFO - Ep.: 13, Score: -9.0, e: 1.00, Steps: 3243, Avg Q-val: nan, replay: 47460, Mem Usage: 66.9%
2024-08-15 13:38:29,616 - INFO - Ep.: 14, Score: -12.0, e: 1.00, Steps: 3245, Avg Q-val: nan, replay: 50705, Mem Usage: 67.2%
2024-08-15 13:38:32,243 - INFO - Ep.: 15, Score: -8.0, e: 1.00, Steps: 3443, Avg Q-val: nan, replay: 54148, Mem Usage: 67.5%
2024-08-15 13:38:34,663 - INFO - Ep.: 16, Score: -5.0, e: 1.00, Steps: 3200, Avg Q-val: nan, replay: 57348, Mem Usage: 67.7%
2024-08-15 13:38:37,257 - INFO - Ep.: 17, Score: -8.0, e: 1.00, Steps: 3424, Avg Q-val: nan, replay: 60772, Mem Usage: 68.0%
2024-08-15 13:38:39,666 - INFO - Ep.: 18, Score: -10.0, e: 1.00, Steps: 3200, Avg Q-val: nan, replay: 63972, Mem Usage: 68.3%
2024-08-15 13:38:42,154 - INFO - Ep.: 19, Score: -13.0, e: 1.00, Steps: 3238, Avg Q-val: nan, replay: 67210, Mem Usage: 68.6%
2024-08-15 13:38:44,577 - INFO - Ep.: 20, Score: -9.0, e: 1.00, Steps: 3158, Avg Q-val: nan, replay: 70368, Mem Usage: 68.8%
2024-08-15 13:38:47,082 - INFO - Ep.: 21, Score: -11.0, e: 1.00, Steps: 3240, Avg Q-val: nan, replay: 73608, Mem Usage: 69.1%
2024-08-15 13:38:49,620 - INFO - Ep.: 22, Score: -7.0, e: 1.00, Steps: 3394, Avg Q-val: nan, replay: 77002, Mem Usage: 69.4%
2024-08-15 13:38:52,131 - INFO - Ep.: 23, Score: -11.0, e: 1.00, Steps: 3303, Avg Q-val: nan, replay: 80305, Mem Usage: 69.6%
2024-08-15 13:38:54,708 - INFO - Ep.: 24, Score: -10.0, e: 1.00, Steps: 3360, Avg Q-val: nan, replay: 83665, Mem Usage: 69.9%
2024-08-15 13:38:57,359 - INFO - Ep.: 25, Score: -14.0, e: 1.00, Steps: 3507, Avg Q-val: nan, replay: 87172, Mem Usage: 70.2%
2024-08-15 13:38:59,855 - INFO - Ep.: 26, Score: -5.0, e: 1.00, Steps: 3320, Avg Q-val: nan, replay: 90492, Mem Usage: 70.5%
2024-08-15 13:39:02,311 - INFO - Ep.: 27, Score: -8.0, e: 1.00, Steps: 3172, Avg Q-val: nan, replay: 93664, Mem Usage: 70.8%
2024-08-15 13:39:05,050 - INFO - Ep.: 28, Score: -12.0, e: 1.00, Steps: 3496, Avg Q-val: nan, replay: 97160, Mem Usage: 71.1%
2024-08-15 13:39:07,217 - INFO - Total steps: 100000
2024-08-15 13:39:09,420 - INFO - Ep.: 29, Score: -11.0, e: 0.62, Steps: 3228, Avg Q-val: 0.61, replay: 100000, Mem Usage: 71.4%
2024-08-15 13:39:24,058 - INFO - Ep.: 30, Score: -15.0, e: 0.61, Steps: 3429, Avg Q-val: 1.44, replay: 100000, Mem Usage: 71.5%
2024-08-15 13:39:39,053 - INFO - Ep.: 31, Score: -13.0, e: 0.59, Steps: 3466, Avg Q-val: 3.21, replay: 100000, Mem Usage: 71.5%
2024-08-15 13:39:54,092 - INFO - Ep.: 32, Score: -12.0, e: 0.58, Steps: 3510, Avg Q-val: 4.99, replay: 100000, Mem Usage: 71.5%
2024-08-15 13:40:09,030 - INFO - Ep.: 33, Score: -16.0, e: 0.57, Steps: 3448, Avg Q-val: 6.70, replay: 100000, Mem Usage: 71.5%
2024-08-15 13:40:24,105 - INFO - Ep.: 34, Score: -9.0, e: 0.55, Steps: 3467, Avg Q-val: 8.52, replay: 100000, Mem Usage: 71.5%
2024-08-15 13:40:38,376 - INFO - Ep.: 35, Score: -12.0, e: 0.54, Steps: 3271, Avg Q-val: 10.23, replay: 100000, Mem Usage: 71.5%
2024-08-15 13:40:51,333 - INFO - Ep.: 36, Score: -5.0, e: 0.53, Steps: 3067, Avg Q-val: 11.86, replay: 100000, Mem Usage: 71.4%
2024-08-15 13:41:06,190 - INFO - Ep.: 37, Score: -15.0, e: 0.52, Steps: 3380, Avg Q-val: 13.73, replay: 100000, Mem Usage: 71.5%
2024-08-15 13:41:21,014 - INFO - Ep.: 38, Score: -18.0, e: 0.50, Steps: 3466, Avg Q-val: 15.23, replay: 100000, Mem Usage: 71.5%
2024-08-15 13:41:36,311 - INFO - Ep.: 39, Score: -8.0, e: 0.49, Steps: 3527, Avg Q-val: 16.98, replay: 100000, Mem Usage: 71.5%
2024-08-15 13:41:51,377 - INFO - Ep.: 40, Score: -9.0, e: 0.48, Steps: 3440, Avg Q-val: 18.88, replay: 100000, Mem Usage: 71.5%
