2024-08-10 15:21:45,298 - INFO - Ep.: 0, Score: -20.0, e: 1.00, Steps: 843, Avg Q-val: nan, replay: 843, Mem Usage: 45.1%
2024-08-10 15:21:45,984 - INFO - Ep.: 1, Score: -21.0, e: 1.00, Steps: 822, Avg Q-val: nan, replay: 1665, Mem Usage: 45.2%
2024-08-10 15:21:46,545 - INFO - Ep.: 2, Score: -20.0, e: 1.00, Steps: 937, Avg Q-val: nan, replay: 2602, Mem Usage: 45.3%
2024-08-10 15:21:47,006 - INFO - Ep.: 3, Score: -21.0, e: 1.00, Steps: 764, Avg Q-val: nan, replay: 3366, Mem Usage: 45.4%
2024-08-10 15:21:47,638 - INFO - Ep.: 4, Score: -18.0, e: 1.00, Steps: 1089, Avg Q-val: nan, replay: 4455, Mem Usage: 45.5%
2024-08-10 15:21:48,097 - INFO - Ep.: 5, Score: -21.0, e: 1.00, Steps: 764, Avg Q-val: nan, replay: 5219, Mem Usage: 45.5%
2024-08-10 15:21:48,654 - INFO - Ep.: 6, Score: -21.0, e: 1.00, Steps: 944, Avg Q-val: nan, replay: 6163, Mem Usage: 45.6%
2024-08-10 15:21:49,216 - INFO - Ep.: 7, Score: -20.0, e: 1.00, Steps: 960, Avg Q-val: nan, replay: 7123, Mem Usage: 45.7%
2024-08-10 15:21:49,779 - INFO - Ep.: 8, Score: -20.0, e: 1.00, Steps: 959, Avg Q-val: nan, replay: 8082, Mem Usage: 45.8%
2024-08-10 15:21:50,353 - INFO - Ep.: 9, Score: -20.0, e: 1.00, Steps: 980, Avg Q-val: nan, replay: 9062, Mem Usage: 45.8%
2024-08-10 15:21:50,911 - INFO - Ep.: 10, Score: -21.0, e: 1.00, Steps: 945, Avg Q-val: nan, replay: 10007, Mem Usage: 45.9%
2024-08-10 15:21:51,523 - INFO - Ep.: 11, Score: -19.0, e: 1.00, Steps: 1051, Avg Q-val: nan, replay: 11058, Mem Usage: 46.0%
2024-08-10 15:21:52,069 - INFO - Ep.: 12, Score: -20.0, e: 1.00, Steps: 930, Avg Q-val: nan, replay: 11988, Mem Usage: 46.1%
2024-08-10 15:21:52,648 - INFO - Ep.: 13, Score: -20.0, e: 1.00, Steps: 986, Avg Q-val: nan, replay: 12974, Mem Usage: 46.2%
2024-08-10 15:21:53,191 - INFO - Ep.: 14, Score: -20.0, e: 1.00, Steps: 919, Avg Q-val: nan, replay: 13893, Mem Usage: 46.2%
2024-08-10 15:21:53,677 - INFO - Ep.: 15, Score: -21.0, e: 1.00, Steps: 813, Avg Q-val: nan, replay: 14706, Mem Usage: 46.3%
2024-08-10 15:21:54,261 - INFO - Ep.: 16, Score: -19.0, e: 1.00, Steps: 1001, Avg Q-val: nan, replay: 15707, Mem Usage: 46.4%
2024-08-10 15:21:54,872 - INFO - Ep.: 17, Score: -20.0, e: 1.00, Steps: 1052, Avg Q-val: nan, replay: 16759, Mem Usage: 46.5%
2024-08-10 15:21:55,341 - INFO - Ep.: 18, Score: -21.0, e: 1.00, Steps: 783, Avg Q-val: nan, replay: 17542, Mem Usage: 46.6%
2024-08-10 15:21:55,912 - INFO - Ep.: 19, Score: -21.0, e: 1.00, Steps: 974, Avg Q-val: nan, replay: 18516, Mem Usage: 46.6%
2024-08-10 15:21:56,371 - INFO - Ep.: 20, Score: -21.0, e: 1.00, Steps: 764, Avg Q-val: nan, replay: 19280, Mem Usage: 46.7%
2024-08-10 15:21:56,907 - INFO - Ep.: 21, Score: -21.0, e: 1.00, Steps: 908, Avg Q-val: nan, replay: 20188, Mem Usage: 46.8%
2024-08-10 15:21:57,431 - INFO - Ep.: 22, Score: -21.0, e: 1.00, Steps: 886, Avg Q-val: nan, replay: 21074, Mem Usage: 46.8%
2024-08-10 15:21:57,959 - INFO - Ep.: 23, Score: -20.0, e: 1.00, Steps: 898, Avg Q-val: nan, replay: 21972, Mem Usage: 46.9%
2024-08-10 15:21:58,598 - INFO - Ep.: 24, Score: -19.0, e: 1.00, Steps: 1106, Avg Q-val: nan, replay: 23078, Mem Usage: 47.0%
2024-08-10 15:21:59,275 - INFO - Ep.: 25, Score: -19.0, e: 1.00, Steps: 1180, Avg Q-val: nan, replay: 24258, Mem Usage: 47.1%
2024-08-10 15:21:59,805 - INFO - Ep.: 26, Score: -20.0, e: 1.00, Steps: 900, Avg Q-val: nan, replay: 25158, Mem Usage: 47.2%
2024-08-10 15:22:00,262 - INFO - Ep.: 27, Score: -21.0, e: 1.00, Steps: 764, Avg Q-val: nan, replay: 25922, Mem Usage: 47.3%
2024-08-10 15:22:00,863 - INFO - Ep.: 28, Score: -20.0, e: 1.00, Steps: 1034, Avg Q-val: nan, replay: 26956, Mem Usage: 47.3%
2024-08-10 15:22:01,476 - INFO - Ep.: 29, Score: -20.0, e: 1.00, Steps: 1058, Avg Q-val: nan, replay: 28014, Mem Usage: 47.4%
2024-08-10 15:22:02,002 - INFO - Ep.: 30, Score: -21.0, e: 1.00, Steps: 892, Avg Q-val: nan, replay: 28906, Mem Usage: 47.5%
2024-08-10 15:22:02,538 - INFO - Ep.: 31, Score: -21.0, e: 1.00, Steps: 913, Avg Q-val: nan, replay: 29819, Mem Usage: 47.6%
