2024-08-29 11:35:25,295 - INFO - Ep.: 0, Score: 0.0, e: 1.00, Steps: 1204, Avg Q-val: nan, replay: 1204, Mem Usage: 27.5%
2024-08-29 11:35:25,923 - INFO - Ep.: 1, Score: 0.0, e: 1.00, Steps: 546, Avg Q-val: nan, replay: 1750, Mem Usage: 27.6%
2024-08-29 11:35:27,105 - INFO - Ep.: 2, Score: 0.0, e: 1.00, Steps: 1849, Avg Q-val: nan, replay: 3599, Mem Usage: 27.9%
2024-08-29 11:35:27,460 - INFO - Ep.: 3, Score: 0.0, e: 1.00, Steps: 551, Avg Q-val: nan, replay: 4150, Mem Usage: 28.0%
2024-08-29 11:35:27,997 - INFO - Ep.: 4, Score: 800.0, e: 1.00, Steps: 825, Avg Q-val: nan, replay: 4975, Mem Usage: 28.2%
2024-08-29 11:35:28,596 - INFO - Ep.: 5, Score: 1600.0, e: 1.00, Steps: 908, Avg Q-val: nan, replay: 5883, Mem Usage: 28.3%
2024-08-29 11:35:29,149 - INFO - Ep.: 6, Score: 0.0, e: 1.00, Steps: 859, Avg Q-val: nan, replay: 6742, Mem Usage: 28.4%
2024-08-29 11:35:29,459 - INFO - Ep.: 7, Score: 0.0, e: 1.00, Steps: 466, Avg Q-val: nan, replay: 7208, Mem Usage: 28.5%
2024-08-29 11:35:30,557 - INFO - Ep.: 8, Score: 1600.0, e: 1.00, Steps: 1707, Avg Q-val: nan, replay: 8915, Mem Usage: 28.8%
2024-08-29 11:35:31,032 - INFO - Ep.: 9, Score: 0.0, e: 1.00, Steps: 730, Avg Q-val: nan, replay: 9645, Mem Usage: 28.9%
2024-08-29 11:35:31,891 - INFO - Ep.: 10, Score: 0.0, e: 1.00, Steps: 1317, Avg Q-val: nan, replay: 10962, Mem Usage: 29.1%
2024-08-29 11:35:32,429 - INFO - Ep.: 11, Score: 0.0, e: 1.00, Steps: 796, Avg Q-val: nan, replay: 11758, Mem Usage: 29.3%
2024-08-29 11:35:32,899 - INFO - Ep.: 12, Score: 1600.0, e: 1.00, Steps: 720, Avg Q-val: nan, replay: 12478, Mem Usage: 29.4%
2024-08-29 11:35:33,394 - INFO - Ep.: 13, Score: 0.0, e: 1.00, Steps: 762, Avg Q-val: nan, replay: 13240, Mem Usage: 29.5%
2024-08-29 11:35:33,871 - INFO - Ep.: 14, Score: 0.0, e: 1.00, Steps: 734, Avg Q-val: nan, replay: 13974, Mem Usage: 29.7%
2024-08-29 11:35:34,398 - INFO - Ep.: 15, Score: 0.0, e: 1.00, Steps: 828, Avg Q-val: nan, replay: 14802, Mem Usage: 29.8%
2024-08-29 11:35:34,733 - INFO - Ep.: 16, Score: 0.0, e: 1.00, Steps: 516, Avg Q-val: nan, replay: 15318, Mem Usage: 29.9%
2024-08-29 11:35:35,745 - INFO - Ep.: 17, Score: 0.0, e: 1.00, Steps: 1559, Avg Q-val: nan, replay: 16877, Mem Usage: 30.1%
