2024-08-28 13:48:58,231 - INFO - Ep.: 0, Score: -19.0, e: 1.00, Steps: 1012, Avg Q-val: nan, replay: 1012, Mem Usage: 48.3%
2024-08-28 13:48:59,156 - INFO - Ep.: 1, Score: -21.0, e: 1.00, Steps: 882, Avg Q-val: nan, replay: 1894, Mem Usage: 48.3%
2024-08-28 13:48:59,919 - INFO - Ep.: 2, Score: -21.0, e: 1.00, Steps: 1029, Avg Q-val: nan, replay: 2923, Mem Usage: 48.5%
2024-08-28 13:49:00,493 - INFO - Ep.: 3, Score: -21.0, e: 1.00, Steps: 792, Avg Q-val: nan, replay: 3715, Mem Usage: 48.5%
2024-08-28 13:49:01,119 - INFO - Ep.: 4, Score: -20.0, e: 1.00, Steps: 877, Avg Q-val: nan, replay: 4592, Mem Usage: 48.5%
2024-08-28 13:49:01,800 - INFO - Ep.: 5, Score: -19.0, e: 1.00, Steps: 968, Avg Q-val: nan, replay: 5560, Mem Usage: 48.6%
2024-08-28 13:49:02,418 - INFO - Ep.: 6, Score: -20.0, e: 1.00, Steps: 887, Avg Q-val: nan, replay: 6447, Mem Usage: 48.7%
2024-08-28 13:49:03,122 - INFO - Ep.: 7, Score: -20.0, e: 1.00, Steps: 1007, Avg Q-val: nan, replay: 7454, Mem Usage: 48.8%
2024-08-28 13:49:03,784 - INFO - Ep.: 8, Score: -21.0, e: 1.00, Steps: 905, Avg Q-val: nan, replay: 8359, Mem Usage: 48.9%
2024-08-28 13:49:04,517 - INFO - Ep.: 9, Score: -21.0, e: 1.00, Steps: 1036, Avg Q-val: nan, replay: 9395, Mem Usage: 49.0%
2024-08-28 13:49:05,207 - INFO - Ep.: 10, Score: -21.0, e: 1.00, Steps: 980, Avg Q-val: nan, replay: 10375, Mem Usage: 49.1%
2024-08-28 13:49:05,819 - INFO - Ep.: 11, Score: -21.0, e: 1.00, Steps: 852, Avg Q-val: nan, replay: 11227, Mem Usage: 49.1%
2024-08-28 13:49:06,575 - INFO - Ep.: 12, Score: -19.0, e: 1.00, Steps: 1022, Avg Q-val: nan, replay: 12249, Mem Usage: 49.2%
2024-08-28 13:49:07,430 - INFO - Ep.: 13, Score: -18.0, e: 1.00, Steps: 1150, Avg Q-val: nan, replay: 13399, Mem Usage: 49.2%
2024-08-28 13:49:08,028 - INFO - Ep.: 14, Score: -21.0, e: 1.00, Steps: 852, Avg Q-val: nan, replay: 14251, Mem Usage: 49.3%
2024-08-28 13:49:08,690 - INFO - Ep.: 15, Score: -20.0, e: 1.00, Steps: 932, Avg Q-val: nan, replay: 15183, Mem Usage: 49.4%
2024-08-28 13:49:09,245 - INFO - Ep.: 16, Score: -21.0, e: 1.00, Steps: 793, Avg Q-val: nan, replay: 15976, Mem Usage: 49.5%
2024-08-28 13:49:09,855 - INFO - Ep.: 17, Score: -21.0, e: 1.00, Steps: 854, Avg Q-val: nan, replay: 16830, Mem Usage: 49.6%
2024-08-28 13:49:10,507 - INFO - Ep.: 18, Score: -20.0, e: 1.00, Steps: 931, Avg Q-val: nan, replay: 17761, Mem Usage: 49.7%
2024-08-28 13:49:11,095 - INFO - Ep.: 19, Score: -21.0, e: 1.00, Steps: 824, Avg Q-val: nan, replay: 18585, Mem Usage: 49.8%
2024-08-28 13:49:11,662 - INFO - Ep.: 20, Score: -21.0, e: 1.00, Steps: 824, Avg Q-val: nan, replay: 19409, Mem Usage: 49.9%
2024-08-28 13:49:12,331 - INFO - Ep.: 21, Score: -20.0, e: 1.00, Steps: 962, Avg Q-val: nan, replay: 20371, Mem Usage: 49.9%
2024-08-28 13:49:12,977 - INFO - Ep.: 22, Score: -21.0, e: 1.00, Steps: 902, Avg Q-val: nan, replay: 21273, Mem Usage: 50.0%
2024-08-28 13:49:13,517 - INFO - Ep.: 23, Score: -21.0, e: 1.00, Steps: 764, Avg Q-val: nan, replay: 22037, Mem Usage: 50.0%
