2024-09-27 09:44:48,391 - INFO - Cargando el modelo base desde /data/riwamoto/ALE_Pong_results/models/dqn_model_ALE_Pong_final_20240830_095849.pth
2024-09-27 09:44:48,396 - INFO - Modelo preentrenado cargado desde /data/riwamoto/ALE_Pong_results/models/dqn_model_ALE_Pong_final_20240830_095849.pth
2024-09-27 09:44:48,396 - INFO - Capas convolucionales congeladas.
2024-09-27 09:44:48,396 - INFO - Entrenando en dificultad 3
2024-09-27 09:44:50,289 - INFO - Ep.: 0, Score: -13.0, Steps: 1999, Avg Q-val: 1.29, Mem Usage: 4.3%, tot_steps: 2000
2024-09-27 09:44:51,946 - INFO - Ep.: 1, Score: -17.0, Steps: 1853, Avg Q-val: 1.29, Mem Usage: 4.5%, tot_steps: 3854
2024-09-27 09:44:53,683 - INFO - Ep.: 2, Score: -14.0, Steps: 1920, Avg Q-val: 1.30, Mem Usage: 4.7%, tot_steps: 5775
2024-09-27 09:44:54,992 - INFO - Ep.: 3, Score: -18.0, Steps: 1434, Avg Q-val: 1.29, Mem Usage: 5.0%, tot_steps: 7210
2024-09-27 09:44:55,994 - INFO - Ep.: 4, Score: -19.0, Steps: 999, Avg Q-val: 1.27, Mem Usage: 5.2%, tot_steps: 8210
2024-09-27 09:44:57,409 - INFO - Ep.: 5, Score: -16.0, Steps: 1475, Avg Q-val: 1.26, Mem Usage: 5.4%, tot_steps: 9686
2024-09-27 09:44:59,250 - INFO - Ep.: 6, Score: -17.0, Steps: 1918, Avg Q-val: 1.27, Mem Usage: 5.8%, tot_steps: 11605
2024-09-27 09:45:01,097 - INFO - Ep.: 7, Score: -17.0, Steps: 1917, Avg Q-val: 1.23, Mem Usage: 6.2%, tot_steps: 13523
2024-09-27 09:45:03,425 - INFO - Ep.: 8, Score: -13.0, Steps: 2440, Avg Q-val: 1.27, Mem Usage: 6.8%, tot_steps: 15964
2024-09-27 09:45:05,226 - INFO - Ep.: 9, Score: -17.0, Steps: 1779, Avg Q-val: 1.30, Mem Usage: 7.2%, tot_steps: 17744
2024-09-27 09:45:06,720 - INFO - Ep.: 10, Score: -17.0, Steps: 1457, Avg Q-val: 1.26, Mem Usage: 7.6%, tot_steps: 19202
2024-09-27 09:45:09,559 - INFO - Ep.: 11, Score: -10.0, Steps: 2827, Avg Q-val: 1.25, Mem Usage: 8.4%, tot_steps: 22030
2024-09-27 09:45:10,990 - INFO - Ep.: 12, Score: -19.0, Steps: 1372, Avg Q-val: 1.22, Mem Usage: 8.7%, tot_steps: 23403
2024-09-27 09:45:12,105 - INFO - Ep.: 13, Score: -18.0, Steps: 1045, Avg Q-val: 1.31, Mem Usage: 9.0%, tot_steps: 24449
2024-09-27 09:45:14,143 - INFO - Ep.: 14, Score: -16.0, Steps: 1956, Avg Q-val: 1.30, Mem Usage: 9.5%, tot_steps: 26406
2024-09-27 09:45:15,226 - INFO - Ep.: 15, Score: -19.0, Steps: 999, Avg Q-val: 1.27, Mem Usage: 9.8%, tot_steps: 27406
2024-09-27 09:45:16,581 - INFO - Ep.: 16, Score: -19.0, Steps: 1299, Avg Q-val: 1.26, Mem Usage: 10.1%, tot_steps: 28706
2024-09-27 09:45:19,109 - INFO - Ep.: 17, Score: -13.0, Steps: 2477, Avg Q-val: 1.28, Mem Usage: 10.8%, tot_steps: 31184
2024-09-27 09:45:20,438 - INFO - Ep.: 18, Score: -18.0, Steps: 1262, Avg Q-val: 1.30, Mem Usage: 11.1%, tot_steps: 32447
2024-09-27 09:45:23,636 - INFO - Ep.: 19, Score: -10.0, Steps: 3131, Avg Q-val: 1.25, Mem Usage: 12.0%, tot_steps: 35579
2024-09-27 09:45:26,112 - INFO - Ep.: 20, Score: -13.0, Steps: 2395, Avg Q-val: 1.29, Mem Usage: 12.7%, tot_steps: 37975
2024-09-27 09:45:28,234 - INFO - Ep.: 21, Score: -18.0, Steps: 2012, Avg Q-val: 1.24, Mem Usage: 13.2%, tot_steps: 39988
2024-09-27 09:45:31,189 - INFO - Ep.: 22, Score: -8.0, Steps: 2863, Avg Q-val: 1.27, Mem Usage: 14.0%, tot_steps: 42852
2024-09-27 09:45:33,040 - INFO - Ep.: 23, Score: -17.0, Steps: 1794, Avg Q-val: 1.27, Mem Usage: 14.5%, tot_steps: 44647
2024-09-27 09:45:34,355 - INFO - Ep.: 24, Score: -20.0, Steps: 1252, Avg Q-val: 1.30, Mem Usage: 14.8%, tot_steps: 45900
2024-09-27 09:45:36,581 - INFO - Ep.: 25, Score: -16.0, Steps: 2164, Avg Q-val: 1.24, Mem Usage: 15.3%, tot_steps: 48065
2024-09-27 09:45:39,039 - INFO - Ep.: 26, Score: -12.0, Steps: 2416, Avg Q-val: 1.27, Mem Usage: 16.0%, tot_steps: 50482
2024-09-27 09:45:40,799 - INFO - Ep.: 27, Score: -18.0, Steps: 1691, Avg Q-val: 1.27, Mem Usage: 16.4%, tot_steps: 52174
2024-09-27 09:45:42,731 - INFO - Ep.: 28, Score: -17.0, Steps: 1904, Avg Q-val: 1.29, Mem Usage: 16.9%, tot_steps: 54079
2024-09-27 09:45:44,658 - INFO - Ep.: 29, Score: -16.0, Steps: 1865, Avg Q-val: 1.30, Mem Usage: 17.3%, tot_steps: 55945
2024-09-27 09:45:47,055 - INFO - Ep.: 30, Score: -13.0, Steps: 2357, Avg Q-val: 1.25, Mem Usage: 17.9%, tot_steps: 58303
2024-09-27 09:45:49,185 - INFO - Ep.: 31, Score: -15.0, Steps: 2067, Avg Q-val: 1.26, Mem Usage: 18.5%, tot_steps: 60371
2024-09-27 09:45:51,672 - INFO - Ep.: 32, Score: -12.0, Steps: 2436, Avg Q-val: 1.28, Mem Usage: 19.1%, tot_steps: 62808
2024-09-27 09:45:52,890 - INFO - Ep.: 33, Score: -18.0, Steps: 1153, Avg Q-val: 1.32, Mem Usage: 19.4%, tot_steps: 63962
2024-09-27 09:45:56,325 - INFO - Ep.: 34, Score: -13.0, Steps: 3399, Avg Q-val: 1.26, Mem Usage: 20.2%, tot_steps: 67362
2024-09-27 09:45:58,535 - INFO - Ep.: 35, Score: -15.0, Steps: 2154, Avg Q-val: 1.24, Mem Usage: 20.8%, tot_steps: 69517
2024-09-27 09:46:01,942 - INFO - Ep.: 36, Score: -13.0, Steps: 3351, Avg Q-val: 1.26, Mem Usage: 21.6%, tot_steps: 72869
2024-09-27 09:46:03,779 - INFO - Ep.: 37, Score: -18.0, Steps: 1771, Avg Q-val: 1.25, Mem Usage: 22.1%, tot_steps: 74641
2024-09-27 09:46:05,428 - INFO - Ep.: 38, Score: -17.0, Steps: 1605, Avg Q-val: 1.31, Mem Usage: 22.5%, tot_steps: 76247
2024-09-27 09:46:07,466 - INFO - Ep.: 39, Score: -17.0, Steps: 1956, Avg Q-val: 1.25, Mem Usage: 23.0%, tot_steps: 78204
2024-09-27 09:46:09,466 - INFO - Ep.: 40, Score: -17.0, Steps: 1954, Avg Q-val: 1.31, Mem Usage: 23.5%, tot_steps: 80159
2024-09-27 09:46:11,737 - INFO - Ep.: 41, Score: -16.0, Steps: 2219, Avg Q-val: 1.25, Mem Usage: 24.1%, tot_steps: 82379
2024-09-27 09:46:13,835 - INFO - Ep.: 42, Score: -17.0, Steps: 2043, Avg Q-val: 1.29, Mem Usage: 24.6%, tot_steps: 84423
2024-09-27 09:46:16,510 - INFO - Ep.: 43, Score: -10.0, Steps: 2644, Avg Q-val: 1.27, Mem Usage: 25.2%, tot_steps: 87068
2024-09-27 09:46:17,726 - INFO - Ep.: 44, Score: -20.0, Steps: 1149, Avg Q-val: 1.32, Mem Usage: 25.5%, tot_steps: 88218
