2024-09-21 11:17:22,882 - INFO - Modelo preentrenado cargado desde /home/riwamoto/riwamoto_data/ALE_Alien_results/models/dqn_model_ALE_Alien_final_20240828_123131.pth
2024-09-21 11:17:23,716 - INFO - Ep.: 1, Score: 510.0, e: 0.05, Steps: 806, Avg Q-val: 0.03, replay: 806, Mem Usage: 12.1%
2024-09-21 11:17:24,218 - INFO - Ep.: 2, Score: 520.0, e: 0.05, Steps: 525, Avg Q-val: 0.03, replay: 1331, Mem Usage: 12.4%
2024-09-21 11:17:24,785 - INFO - Ep.: 3, Score: 2020.0, e: 0.05, Steps: 610, Avg Q-val: 0.03, replay: 1941, Mem Usage: 12.9%
2024-09-21 11:17:25,274 - INFO - Ep.: 4, Score: 360.0, e: 0.05, Steps: 510, Avg Q-val: 0.03, replay: 2451, Mem Usage: 13.3%
2024-09-21 11:17:25,890 - INFO - Ep.: 5, Score: 470.0, e: 0.05, Steps: 668, Avg Q-val: 0.03, replay: 3119, Mem Usage: 13.7%
2024-09-21 11:17:26,571 - INFO - Ep.: 6, Score: 1440.0, e: 0.05, Steps: 749, Avg Q-val: 0.03, replay: 3868, Mem Usage: 14.2%
2024-09-21 11:17:27,228 - INFO - Ep.: 7, Score: 330.0, e: 0.05, Steps: 711, Avg Q-val: 0.03, replay: 4579, Mem Usage: 14.7%
2024-09-21 11:17:27,854 - INFO - Ep.: 8, Score: 410.0, e: 0.05, Steps: 677, Avg Q-val: 0.03, replay: 5256, Mem Usage: 15.2%
2024-09-21 11:17:28,539 - INFO - Ep.: 9, Score: 1430.0, e: 0.05, Steps: 747, Avg Q-val: 0.03, replay: 6003, Mem Usage: 15.8%
2024-09-21 11:17:29,060 - INFO - Ep.: 10, Score: 990.0, e: 0.05, Steps: 557, Avg Q-val: 0.03, replay: 6560, Mem Usage: 16.1%
2024-09-21 11:17:29,744 - INFO - Ep.: 11, Score: 440.0, e: 0.05, Steps: 747, Avg Q-val: 0.03, replay: 7307, Mem Usage: 16.7%
2024-09-21 11:17:30,420 - INFO - Ep.: 12, Score: 270.0, e: 0.05, Steps: 730, Avg Q-val: 0.03, replay: 8037, Mem Usage: 17.2%
2024-09-21 11:17:31,087 - INFO - Ep.: 13, Score: 480.0, e: 0.05, Steps: 719, Avg Q-val: 0.03, replay: 8756, Mem Usage: 17.7%
2024-09-21 11:17:31,816 - INFO - Ep.: 14, Score: 520.0, e: 0.05, Steps: 798, Avg Q-val: 0.03, replay: 9554, Mem Usage: 18.3%
2024-09-21 11:17:32,351 - INFO - Ep.: 15, Score: 260.0, e: 0.05, Steps: 563, Avg Q-val: 0.03, replay: 10117, Mem Usage: 18.8%
2024-09-21 11:17:33,038 - INFO - Ep.: 16, Score: 520.0, e: 0.05, Steps: 767, Avg Q-val: 0.03, replay: 10884, Mem Usage: 19.3%
2024-09-21 11:17:33,752 - INFO - Ep.: 17, Score: 490.0, e: 0.05, Steps: 784, Avg Q-val: 0.03, replay: 11668, Mem Usage: 19.9%
2024-09-21 11:17:34,348 - INFO - Ep.: 18, Score: 960.0, e: 0.05, Steps: 636, Avg Q-val: 0.03, replay: 12304, Mem Usage: 20.3%
2024-09-21 11:17:35,133 - INFO - Ep.: 19, Score: 470.0, e: 0.05, Steps: 863, Avg Q-val: 0.03, replay: 13167, Mem Usage: 20.9%
2024-09-21 11:17:35,826 - INFO - Ep.: 20, Score: 600.0, e: 0.05, Steps: 760, Avg Q-val: 0.03, replay: 13927, Mem Usage: 21.5%
2024-09-21 11:17:36,780 - INFO - Ep.: 21, Score: 620.0, e: 0.05, Steps: 1090, Avg Q-val: 0.03, replay: 15017, Mem Usage: 22.2%
2024-09-21 11:17:37,568 - INFO - Ep.: 22, Score: 1090.0, e: 0.05, Steps: 880, Avg Q-val: 0.03, replay: 15897, Mem Usage: 22.8%
2024-09-21 11:17:38,347 - INFO - Ep.: 23, Score: 570.0, e: 0.05, Steps: 867, Avg Q-val: 0.03, replay: 16764, Mem Usage: 23.4%
2024-09-21 11:17:38,958 - INFO - Ep.: 24, Score: 330.0, e: 0.05, Steps: 663, Avg Q-val: 0.03, replay: 17427, Mem Usage: 23.9%
2024-09-21 11:17:39,961 - INFO - Ep.: 25, Score: 2060.0, e: 0.05, Steps: 1146, Avg Q-val: 0.03, replay: 18573, Mem Usage: 24.7%
2024-09-21 11:17:40,483 - INFO - Ep.: 26, Score: 240.0, e: 0.05, Steps: 546, Avg Q-val: 0.03, replay: 19119, Mem Usage: 25.1%
2024-09-21 11:17:41,346 - INFO - Ep.: 27, Score: 470.0, e: 0.05, Steps: 969, Avg Q-val: 0.03, replay: 20088, Mem Usage: 25.8%
2024-09-21 11:17:42,028 - INFO - Ep.: 28, Score: 930.0, e: 0.05, Steps: 751, Avg Q-val: 0.03, replay: 20839, Mem Usage: 26.3%
2024-09-21 11:17:42,577 - INFO - Ep.: 29, Score: 130.0, e: 0.05, Steps: 578, Avg Q-val: 0.03, replay: 21417, Mem Usage: 26.7%
2024-09-21 11:17:43,308 - INFO - Ep.: 30, Score: 390.0, e: 0.05, Steps: 803, Avg Q-val: 0.03, replay: 22220, Mem Usage: 27.3%
2024-09-21 11:17:43,962 - INFO - Ep.: 31, Score: 290.0, e: 0.05, Steps: 702, Avg Q-val: 0.03, replay: 22922, Mem Usage: 27.8%
2024-09-21 11:17:44,721 - INFO - Ep.: 32, Score: 1100.0, e: 0.05, Steps: 845, Avg Q-val: 0.03, replay: 23767, Mem Usage: 28.4%
2024-09-21 11:17:45,557 - INFO - Ep.: 33, Score: 370.0, e: 0.05, Steps: 919, Avg Q-val: 0.03, replay: 24686, Mem Usage: 29.1%
2024-09-21 11:17:46,294 - INFO - Ep.: 34, Score: 630.0, e: 0.05, Steps: 819, Avg Q-val: 0.03, replay: 25505, Mem Usage: 29.7%
2024-09-21 11:17:47,065 - INFO - Ep.: 35, Score: 940.0, e: 0.05, Steps: 845, Avg Q-val: 0.03, replay: 26350, Mem Usage: 30.3%
2024-09-21 11:17:47,561 - INFO - Ep.: 36, Score: 440.0, e: 0.05, Steps: 517, Avg Q-val: 0.03, replay: 26867, Mem Usage: 30.7%
2024-09-21 11:17:48,153 - INFO - Ep.: 37, Score: 430.0, e: 0.05, Steps: 633, Avg Q-val: 0.03, replay: 27500, Mem Usage: 31.2%
