2024-09-24 10:49:11,842 - INFO - Modelo preentrenado cargado desde /home/riwamoto/riwamoto_data/ALE_Frogger_results/models/dqn_model_ALE_Frogger_final_20240829_113617.pth
2024-09-24 10:49:12,215 - INFO - Ep.: 1, Score: 20.0, e: 0.05, Steps: 329, Avg Q-val: 0.05, replay: 329, Mem Usage: 4.0%
2024-09-24 10:49:12,816 - INFO - Ep.: 2, Score: 139.0, e: 0.05, Steps: 831, Avg Q-val: 0.05, replay: 1160, Mem Usage: 4.3%
2024-09-24 10:49:13,112 - INFO - Ep.: 3, Score: 21.0, e: 0.05, Steps: 361, Avg Q-val: 0.05, replay: 1521, Mem Usage: 4.4%
2024-09-24 10:49:13,449 - INFO - Ep.: 4, Score: 28.0, e: 0.05, Steps: 425, Avg Q-val: 0.05, replay: 1946, Mem Usage: 4.6%
2024-09-24 10:49:13,797 - INFO - Ep.: 5, Score: 90.0, e: 0.05, Steps: 441, Avg Q-val: 0.05, replay: 2387, Mem Usage: 4.7%
2024-09-24 10:49:14,231 - INFO - Ep.: 6, Score: 31.0, e: 0.05, Steps: 582, Avg Q-val: 0.05, replay: 2969, Mem Usage: 4.9%
2024-09-24 10:49:14,525 - INFO - Ep.: 7, Score: 19.0, e: 0.05, Steps: 361, Avg Q-val: 0.05, replay: 3330, Mem Usage: 5.1%
2024-09-24 10:49:14,853 - INFO - Ep.: 8, Score: 31.0, e: 0.05, Steps: 416, Avg Q-val: 0.05, replay: 3746, Mem Usage: 5.2%
2024-09-24 10:49:15,191 - INFO - Ep.: 9, Score: 18.0, e: 0.05, Steps: 434, Avg Q-val: 0.05, replay: 4180, Mem Usage: 5.3%
2024-09-24 10:49:15,534 - INFO - Ep.: 10, Score: 88.0, e: 0.05, Steps: 437, Avg Q-val: 0.05, replay: 4617, Mem Usage: 5.5%
2024-09-24 10:49:15,806 - INFO - Ep.: 11, Score: 22.0, e: 0.05, Steps: 328, Avg Q-val: 0.05, replay: 4945, Mem Usage: 5.6%
2024-09-24 10:49:16,238 - INFO - Ep.: 12, Score: 98.0, e: 0.05, Steps: 578, Avg Q-val: 0.05, replay: 5523, Mem Usage: 5.8%
2024-09-24 10:49:16,541 - INFO - Ep.: 13, Score: 31.0, e: 0.05, Steps: 376, Avg Q-val: 0.05, replay: 5899, Mem Usage: 5.9%
2024-09-24 10:49:16,835 - INFO - Ep.: 14, Score: 24.0, e: 0.05, Steps: 361, Avg Q-val: 0.05, replay: 6260, Mem Usage: 6.1%
2024-09-24 10:49:17,263 - INFO - Ep.: 15, Score: 78.0, e: 0.05, Steps: 577, Avg Q-val: 0.05, replay: 6837, Mem Usage: 6.2%
2024-09-24 10:49:17,721 - INFO - Ep.: 16, Score: 101.0, e: 0.05, Steps: 618, Avg Q-val: 0.05, replay: 7455, Mem Usage: 6.5%
2024-09-24 10:49:17,989 - INFO - Ep.: 17, Score: 20.0, e: 0.05, Steps: 322, Avg Q-val: 0.05, replay: 7777, Mem Usage: 6.6%
2024-09-24 10:49:18,426 - INFO - Ep.: 18, Score: 157.0, e: 0.05, Steps: 583, Avg Q-val: 0.05, replay: 8360, Mem Usage: 6.8%
2024-09-24 10:49:18,718 - INFO - Ep.: 19, Score: 22.0, e: 0.05, Steps: 361, Avg Q-val: 0.05, replay: 8721, Mem Usage: 6.9%
2024-09-24 10:49:19,339 - INFO - Ep.: 20, Score: 212.0, e: 0.05, Steps: 875, Avg Q-val: 0.05, replay: 9596, Mem Usage: 7.2%
2024-09-24 10:49:19,836 - INFO - Ep.: 21, Score: 166.0, e: 0.05, Steps: 681, Avg Q-val: 0.05, replay: 10277, Mem Usage: 7.4%
2024-09-24 10:49:20,248 - INFO - Ep.: 22, Score: 177.0, e: 0.05, Steps: 544, Avg Q-val: 0.05, replay: 10821, Mem Usage: 7.6%
2024-09-24 10:49:20,537 - INFO - Ep.: 23, Score: 18.0, e: 0.05, Steps: 357, Avg Q-val: 0.05, replay: 11178, Mem Usage: 7.7%
2024-09-24 10:49:21,063 - INFO - Ep.: 24, Score: 87.0, e: 0.05, Steps: 726, Avg Q-val: 0.05, replay: 11904, Mem Usage: 8.0%
2024-09-24 10:49:21,621 - INFO - Ep.: 25, Score: 192.0, e: 0.05, Steps: 779, Avg Q-val: 0.05, replay: 12683, Mem Usage: 8.2%
2024-09-24 10:49:21,947 - INFO - Ep.: 26, Score: 28.0, e: 0.05, Steps: 412, Avg Q-val: 0.05, replay: 13095, Mem Usage: 8.4%
2024-09-24 10:49:22,258 - INFO - Ep.: 27, Score: 23.0, e: 0.05, Steps: 390, Avg Q-val: 0.05, replay: 13485, Mem Usage: 8.5%
2024-09-24 10:49:22,763 - INFO - Ep.: 28, Score: 158.0, e: 0.05, Steps: 693, Avg Q-val: 0.05, replay: 14178, Mem Usage: 8.7%
2024-09-24 10:49:23,274 - INFO - Ep.: 29, Score: 175.0, e: 0.05, Steps: 703, Avg Q-val: 0.05, replay: 14881, Mem Usage: 9.0%
2024-09-24 10:49:23,568 - INFO - Ep.: 30, Score: 21.0, e: 0.05, Steps: 361, Avg Q-val: 0.05, replay: 15242, Mem Usage: 9.1%
