2024-09-22 12:12:20,426 - INFO - Modelo preentrenado cargado desde /home/riwamoto/riwamoto_data/ALE_MarioBros_results/models/dqn_model_ALE_MarioBros_final_20240831_094717.pth
2024-09-22 12:12:21,400 - INFO - Ep.: 1, Score: 1600.0, e: 0.05, Steps: 1273, Avg Q-val: 0.05, replay: 1273, Mem Usage: 4.4%
2024-09-22 12:12:21,886 - INFO - Ep.: 2, Score: 3200.0, e: 0.05, Steps: 664, Avg Q-val: 0.05, replay: 1937, Mem Usage: 4.6%
2024-09-22 12:12:22,202 - INFO - Ep.: 3, Score: 1600.0, e: 0.05, Steps: 394, Avg Q-val: 0.05, replay: 2331, Mem Usage: 4.7%
2024-09-22 12:12:23,328 - INFO - Ep.: 4, Score: 1600.0, e: 0.05, Steps: 1652, Avg Q-val: 0.05, replay: 3983, Mem Usage: 5.3%
2024-09-22 12:12:24,079 - INFO - Ep.: 5, Score: 0.0, e: 0.05, Steps: 1075, Avg Q-val: 0.05, replay: 5058, Mem Usage: 5.6%
2024-09-22 12:12:24,353 - INFO - Ep.: 6, Score: 800.0, e: 0.05, Steps: 332, Avg Q-val: 0.05, replay: 5390, Mem Usage: 5.8%
2024-09-22 12:12:25,025 - INFO - Ep.: 7, Score: 0.0, e: 0.05, Steps: 949, Avg Q-val: 0.05, replay: 6339, Mem Usage: 6.1%
2024-09-22 12:12:25,336 - INFO - Ep.: 8, Score: 0.0, e: 0.05, Steps: 390, Avg Q-val: 0.05, replay: 6729, Mem Usage: 6.2%
2024-09-22 12:12:26,429 - INFO - Ep.: 9, Score: 0.0, e: 0.05, Steps: 1602, Avg Q-val: 0.05, replay: 8331, Mem Usage: 6.8%
2024-09-22 12:12:26,994 - INFO - Ep.: 10, Score: 0.0, e: 0.05, Steps: 786, Avg Q-val: 0.05, replay: 9117, Mem Usage: 7.0%
2024-09-22 12:12:27,262 - INFO - Ep.: 11, Score: 0.0, e: 0.05, Steps: 318, Avg Q-val: 0.05, replay: 9435, Mem Usage: 7.1%
2024-09-22 12:12:27,950 - INFO - Ep.: 12, Score: 800.0, e: 0.05, Steps: 980, Avg Q-val: 0.05, replay: 10415, Mem Usage: 7.5%
2024-09-22 12:12:28,452 - INFO - Ep.: 13, Score: 800.0, e: 0.05, Steps: 684, Avg Q-val: 0.05, replay: 11099, Mem Usage: 7.7%
2024-09-22 12:12:29,564 - INFO - Ep.: 14, Score: 3200.0, e: 0.05, Steps: 1650, Avg Q-val: 0.05, replay: 12749, Mem Usage: 8.2%
