2024-09-24 10:49:26,279 - INFO - Modelo preentrenado cargado desde /home/riwamoto/riwamoto_data/ALE_Qbert_results/models/dqn_model_ALE_Qbert_final_20240831_094643.pth
2024-09-24 10:49:26,678 - INFO - Ep.: 1, Score: 125.0, e: 0.05, Steps: 329, Avg Q-val: 0.04, replay: 329, Mem Usage: 11.3%
2024-09-24 10:49:26,997 - INFO - Ep.: 2, Score: 450.0, e: 0.05, Steps: 349, Avg Q-val: 0.04, replay: 678, Mem Usage: 11.6%
2024-09-24 10:49:27,320 - INFO - Ep.: 3, Score: 475.0, e: 0.05, Steps: 366, Avg Q-val: 0.04, replay: 1044, Mem Usage: 11.9%
2024-09-24 10:49:27,606 - INFO - Ep.: 4, Score: 75.0, e: 0.05, Steps: 313, Avg Q-val: 0.04, replay: 1357, Mem Usage: 12.1%
2024-09-24 10:49:27,942 - INFO - Ep.: 5, Score: 175.0, e: 0.05, Steps: 389, Avg Q-val: 0.04, replay: 1746, Mem Usage: 12.4%
2024-09-24 10:49:28,251 - INFO - Ep.: 6, Score: 400.0, e: 0.05, Steps: 345, Avg Q-val: 0.04, replay: 2091, Mem Usage: 12.7%
2024-09-24 10:49:28,554 - INFO - Ep.: 7, Score: 125.0, e: 0.05, Steps: 336, Avg Q-val: 0.04, replay: 2427, Mem Usage: 12.9%
2024-09-24 10:49:28,809 - INFO - Ep.: 8, Score: 75.0, e: 0.05, Steps: 264, Avg Q-val: 0.04, replay: 2691, Mem Usage: 13.1%
2024-09-24 10:49:29,124 - INFO - Ep.: 9, Score: 175.0, e: 0.05, Steps: 363, Avg Q-val: 0.04, replay: 3054, Mem Usage: 13.3%
2024-09-24 10:49:29,415 - INFO - Ep.: 10, Score: 125.0, e: 0.05, Steps: 324, Avg Q-val: 0.04, replay: 3378, Mem Usage: 13.6%
2024-09-24 10:49:29,704 - INFO - Ep.: 11, Score: 75.0, e: 0.05, Steps: 315, Avg Q-val: 0.04, replay: 3693, Mem Usage: 13.8%
2024-09-24 10:49:29,988 - INFO - Ep.: 12, Score: 75.0, e: 0.05, Steps: 314, Avg Q-val: 0.04, replay: 4007, Mem Usage: 14.0%
2024-09-24 10:49:30,262 - INFO - Ep.: 13, Score: 100.0, e: 0.05, Steps: 299, Avg Q-val: 0.04, replay: 4306, Mem Usage: 14.2%
2024-09-24 10:49:30,536 - INFO - Ep.: 14, Score: 125.0, e: 0.05, Steps: 289, Avg Q-val: 0.04, replay: 4595, Mem Usage: 14.5%
