2024-09-21 11:17:08,882 - INFO - Modelo preentrenado cargado desde /home/riwamoto/riwamoto_data/ALE_MarioBros_results/models/dqn_model_ALE_MarioBros_final_20240831_094717.pth
2024-09-21 11:17:09,976 - INFO - Ep.: 1, Score: 0.0, e: 0.05, Steps: 1464, Avg Q-val: 0.04, replay: 1464, Mem Usage: 4.4%
2024-09-21 11:17:10,386 - INFO - Ep.: 2, Score: 2400.0, e: 0.05, Steps: 552, Avg Q-val: 0.04, replay: 2016, Mem Usage: 4.6%
2024-09-21 11:17:11,110 - INFO - Ep.: 3, Score: 1600.0, e: 0.05, Steps: 1036, Avg Q-val: 0.04, replay: 3052, Mem Usage: 5.0%
2024-09-21 11:17:11,564 - INFO - Ep.: 4, Score: 1600.0, e: 0.05, Steps: 616, Avg Q-val: 0.04, replay: 3668, Mem Usage: 5.2%
2024-09-21 11:17:12,384 - INFO - Ep.: 5, Score: 0.0, e: 0.05, Steps: 1186, Avg Q-val: 0.04, replay: 4854, Mem Usage: 5.6%
2024-09-21 11:17:13,125 - INFO - Ep.: 6, Score: 1600.0, e: 0.05, Steps: 1061, Avg Q-val: 0.04, replay: 5915, Mem Usage: 5.9%
2024-09-21 11:17:13,489 - INFO - Ep.: 7, Score: 0.0, e: 0.05, Steps: 470, Avg Q-val: 0.04, replay: 6385, Mem Usage: 6.1%
2024-09-21 11:17:13,981 - INFO - Ep.: 8, Score: 0.0, e: 0.05, Steps: 673, Avg Q-val: 0.04, replay: 7058, Mem Usage: 6.3%
2024-09-21 11:17:14,398 - INFO - Ep.: 9, Score: 1600.0, e: 0.05, Steps: 561, Avg Q-val: 0.04, replay: 7619, Mem Usage: 6.5%
2024-09-21 11:17:15,179 - INFO - Ep.: 10, Score: 0.0, e: 0.05, Steps: 1122, Avg Q-val: 0.04, replay: 8741, Mem Usage: 6.9%
2024-09-21 11:17:15,593 - INFO - Ep.: 11, Score: 1600.0, e: 0.05, Steps: 554, Avg Q-val: 0.04, replay: 9295, Mem Usage: 7.1%
2024-09-21 11:17:16,417 - INFO - Ep.: 12, Score: 0.0, e: 0.05, Steps: 1192, Avg Q-val: 0.04, replay: 10487, Mem Usage: 7.5%
2024-09-21 11:17:17,381 - INFO - Ep.: 13, Score: 0.0, e: 0.05, Steps: 1416, Avg Q-val: 0.04, replay: 11903, Mem Usage: 8.0%
2024-09-21 11:17:18,436 - INFO - Ep.: 14, Score: 0.0, e: 0.05, Steps: 1558, Avg Q-val: 0.04, replay: 13461, Mem Usage: 8.5%
2024-09-21 11:17:19,195 - INFO - Ep.: 15, Score: 0.0, e: 0.05, Steps: 1085, Avg Q-val: 0.04, replay: 14546, Mem Usage: 8.9%
2024-09-21 11:17:20,175 - INFO - Ep.: 16, Score: 0.0, e: 0.05, Steps: 1420, Avg Q-val: 0.04, replay: 15966, Mem Usage: 9.4%
2024-09-21 11:17:20,803 - INFO - Ep.: 17, Score: 1600.0, e: 0.05, Steps: 877, Avg Q-val: 0.04, replay: 16843, Mem Usage: 9.7%
2024-09-21 11:17:21,304 - INFO - Ep.: 18, Score: 1600.0, e: 0.05, Steps: 687, Avg Q-val: 0.04, replay: 17530, Mem Usage: 10.0%
2024-09-21 11:17:21,613 - INFO - Ep.: 19, Score: 1600.0, e: 0.05, Steps: 352, Avg Q-val: 0.04, replay: 17882, Mem Usage: 10.1%
2024-09-21 11:17:22,591 - INFO - Ep.: 20, Score: 1600.0, e: 0.05, Steps: 1390, Avg Q-val: 0.04, replay: 19272, Mem Usage: 11.1%
2024-09-21 11:17:23,571 - INFO - Ep.: 21, Score: 0.0, e: 0.05, Steps: 1251, Avg Q-val: 0.04, replay: 20523, Mem Usage: 12.0%
2024-09-21 11:17:24,164 - INFO - Ep.: 22, Score: 3200.0, e: 0.05, Steps: 696, Avg Q-val: 0.04, replay: 21219, Mem Usage: 12.4%
2024-09-21 11:17:25,246 - INFO - Ep.: 23, Score: 0.0, e: 0.05, Steps: 1352, Avg Q-val: 0.04, replay: 22571, Mem Usage: 13.3%
2024-09-21 11:17:25,619 - INFO - Ep.: 24, Score: 0.0, e: 0.05, Steps: 398, Avg Q-val: 0.04, replay: 22969, Mem Usage: 13.5%
2024-09-21 11:17:26,174 - INFO - Ep.: 25, Score: 0.0, e: 0.05, Steps: 648, Avg Q-val: 0.04, replay: 23617, Mem Usage: 13.9%
2024-09-21 11:17:26,474 - INFO - Ep.: 26, Score: 0.0, e: 0.05, Steps: 300, Avg Q-val: 0.04, replay: 23917, Mem Usage: 14.2%
2024-09-21 11:17:27,350 - INFO - Ep.: 27, Score: 1600.0, e: 0.05, Steps: 1074, Avg Q-val: 0.04, replay: 24991, Mem Usage: 14.8%
2024-09-21 11:17:28,116 - INFO - Ep.: 28, Score: 0.0, e: 0.05, Steps: 917, Avg Q-val: 0.04, replay: 25908, Mem Usage: 15.4%
2024-09-21 11:17:28,704 - INFO - Ep.: 29, Score: 0.0, e: 0.05, Steps: 690, Avg Q-val: 0.04, replay: 26598, Mem Usage: 15.9%
2024-09-21 11:17:28,967 - INFO - Ep.: 30, Score: 800.0, e: 0.05, Steps: 252, Avg Q-val: 0.04, replay: 26850, Mem Usage: 16.1%
