2024-09-23 09:09:59,854 - INFO - Modelo preentrenado cargado desde /home/riwamoto/riwamoto_data/ALE_Pong_results/models/dqn_model_ALE_Pong_final_20240830_095849.pth
2024-09-23 09:10:00,524 - INFO - Ep.: 1, Score: -21.0, e: 0.05, Steps: 826, Avg Q-val: 0.04, replay: 826, Mem Usage: 3.9%
2024-09-23 09:10:01,104 - INFO - Ep.: 2, Score: -20.0, e: 0.05, Steps: 838, Avg Q-val: 0.04, replay: 1664, Mem Usage: 4.2%
2024-09-23 09:10:01,749 - INFO - Ep.: 3, Score: -21.0, e: 0.05, Steps: 946, Avg Q-val: 0.04, replay: 2610, Mem Usage: 4.6%
2024-09-23 09:10:02,397 - INFO - Ep.: 4, Score: -20.0, e: 0.05, Steps: 955, Avg Q-val: 0.04, replay: 3565, Mem Usage: 4.9%
2024-09-23 09:10:03,020 - INFO - Ep.: 5, Score: -20.0, e: 0.05, Steps: 921, Avg Q-val: 0.04, replay: 4486, Mem Usage: 5.3%
2024-09-23 09:10:03,594 - INFO - Ep.: 6, Score: -20.0, e: 0.05, Steps: 842, Avg Q-val: 0.04, replay: 5328, Mem Usage: 5.6%
2024-09-23 09:10:04,162 - INFO - Ep.: 7, Score: -20.0, e: 0.05, Steps: 838, Avg Q-val: 0.04, replay: 6166, Mem Usage: 5.9%
2024-09-23 09:10:04,729 - INFO - Ep.: 8, Score: -21.0, e: 0.05, Steps: 826, Avg Q-val: 0.04, replay: 6992, Mem Usage: 6.2%
2024-09-23 09:10:05,370 - INFO - Ep.: 9, Score: -21.0, e: 0.05, Steps: 948, Avg Q-val: 0.04, replay: 7940, Mem Usage: 6.6%
2024-09-23 09:10:05,938 - INFO - Ep.: 10, Score: -21.0, e: 0.05, Steps: 826, Avg Q-val: 0.04, replay: 8766, Mem Usage: 6.9%
2024-09-23 09:10:06,559 - INFO - Ep.: 11, Score: -19.0, e: 0.05, Steps: 916, Avg Q-val: 0.04, replay: 9682, Mem Usage: 7.2%
2024-09-23 09:10:07,130 - INFO - Ep.: 12, Score: -20.0, e: 0.05, Steps: 842, Avg Q-val: 0.04, replay: 10524, Mem Usage: 7.5%
2024-09-23 09:10:07,827 - INFO - Ep.: 13, Score: -20.0, e: 0.05, Steps: 1050, Avg Q-val: 0.04, replay: 11574, Mem Usage: 7.9%
2024-09-23 09:10:08,461 - INFO - Ep.: 14, Score: -21.0, e: 0.05, Steps: 947, Avg Q-val: 0.04, replay: 12521, Mem Usage: 8.2%
2024-09-23 09:10:09,109 - INFO - Ep.: 15, Score: -19.0, e: 0.05, Steps: 972, Avg Q-val: 0.04, replay: 13493, Mem Usage: 8.5%
2024-09-23 09:10:09,669 - INFO - Ep.: 16, Score: -21.0, e: 0.05, Steps: 826, Avg Q-val: 0.04, replay: 14319, Mem Usage: 8.8%
2024-09-23 09:10:10,399 - INFO - Ep.: 17, Score: -19.0, e: 0.05, Steps: 1105, Avg Q-val: 0.04, replay: 15424, Mem Usage: 9.2%
2024-09-23 09:10:11,031 - INFO - Ep.: 18, Score: -19.0, e: 0.05, Steps: 944, Avg Q-val: 0.04, replay: 16368, Mem Usage: 9.5%
2024-09-23 09:10:11,612 - INFO - Ep.: 19, Score: -21.0, e: 0.05, Steps: 854, Avg Q-val: 0.04, replay: 17222, Mem Usage: 9.8%
2024-09-23 09:10:12,180 - INFO - Ep.: 20, Score: -20.0, e: 0.05, Steps: 838, Avg Q-val: 0.04, replay: 18060, Mem Usage: 10.1%
2024-09-23 09:10:12,875 - INFO - Ep.: 21, Score: -20.0, e: 0.05, Steps: 1043, Avg Q-val: 0.04, replay: 19103, Mem Usage: 10.4%
2024-09-23 09:10:13,492 - INFO - Ep.: 22, Score: -19.0, e: 0.05, Steps: 916, Avg Q-val: 0.04, replay: 20019, Mem Usage: 10.7%
2024-09-23 09:10:14,179 - INFO - Ep.: 23, Score: -19.0, e: 0.05, Steps: 977, Avg Q-val: 0.04, replay: 20996, Mem Usage: 11.3%
2024-09-23 09:10:14,752 - INFO - Ep.: 24, Score: -21.0, e: 0.05, Steps: 826, Avg Q-val: 0.04, replay: 21822, Mem Usage: 11.7%
2024-09-23 09:10:15,535 - INFO - Ep.: 25, Score: -18.0, e: 0.05, Steps: 1132, Avg Q-val: 0.04, replay: 22954, Mem Usage: 12.5%
2024-09-23 09:10:16,231 - INFO - Ep.: 26, Score: -20.0, e: 0.05, Steps: 927, Avg Q-val: 0.04, replay: 23881, Mem Usage: 13.1%
2024-09-23 09:10:16,874 - INFO - Ep.: 27, Score: -20.0, e: 0.05, Steps: 838, Avg Q-val: 0.04, replay: 24719, Mem Usage: 13.7%
2024-09-23 09:10:17,495 - INFO - Ep.: 28, Score: -21.0, e: 0.05, Steps: 826, Avg Q-val: 0.04, replay: 25545, Mem Usage: 14.2%
2024-09-23 09:10:18,232 - INFO - Ep.: 29, Score: -20.0, e: 0.05, Steps: 987, Avg Q-val: 0.04, replay: 26532, Mem Usage: 14.8%
2024-09-23 09:10:18,944 - INFO - Ep.: 30, Score: -20.0, e: 0.05, Steps: 959, Avg Q-val: 0.04, replay: 27491, Mem Usage: 15.4%
2024-09-23 09:10:19,836 - INFO - Ep.: 31, Score: -18.0, e: 0.05, Steps: 1232, Avg Q-val: 0.04, replay: 28723, Mem Usage: 16.1%
2024-09-23 09:10:20,565 - INFO - Ep.: 32, Score: -19.0, e: 0.05, Steps: 977, Avg Q-val: 0.04, replay: 29700, Mem Usage: 16.8%
2024-09-23 09:10:21,186 - INFO - Ep.: 33, Score: -21.0, e: 0.05, Steps: 826, Avg Q-val: 0.04, replay: 30526, Mem Usage: 17.4%
2024-09-23 09:10:21,871 - INFO - Ep.: 34, Score: -19.0, e: 0.05, Steps: 933, Avg Q-val: 0.04, replay: 31459, Mem Usage: 17.9%
2024-09-23 09:10:22,780 - INFO - Ep.: 35, Score: -19.0, e: 0.05, Steps: 1246, Avg Q-val: 0.04, replay: 32705, Mem Usage: 18.7%
2024-09-23 09:10:23,511 - INFO - Ep.: 36, Score: -19.0, e: 0.05, Steps: 993, Avg Q-val: 0.04, replay: 33698, Mem Usage: 19.2%
2024-09-23 09:10:24,204 - INFO - Ep.: 37, Score: -20.0, e: 0.05, Steps: 923, Avg Q-val: 0.04, replay: 34621, Mem Usage: 19.8%
2024-09-23 09:10:24,787 - INFO - Ep.: 38, Score: -21.0, e: 0.05, Steps: 792, Avg Q-val: 0.04, replay: 35413, Mem Usage: 20.2%
2024-09-23 09:10:25,450 - INFO - Ep.: 39, Score: -21.0, e: 0.05, Steps: 888, Avg Q-val: 0.04, replay: 36301, Mem Usage: 20.8%
2024-09-23 09:10:26,076 - INFO - Ep.: 40, Score: -21.0, e: 0.05, Steps: 826, Avg Q-val: 0.04, replay: 37127, Mem Usage: 21.3%
2024-09-23 09:10:26,778 - INFO - Ep.: 41, Score: -21.0, e: 0.05, Steps: 947, Avg Q-val: 0.04, replay: 38074, Mem Usage: 21.9%
