2024-09-20 22:43:57,183 - INFO - Modelo preentrenado cargado desde /home/riwamoto/riwamoto_data/ALE_Qbert_results/models/dqn_model_ALE_Qbert_final_20240831_094643.pth
2024-09-20 22:43:57,535 - INFO - Ep.: 1, Score: 50.0, e: 0.05, Steps: 263, Avg Q-val: 0.02, replay: 263, Mem Usage: 10.8%
2024-09-20 22:43:57,860 - INFO - Ep.: 2, Score: 400.0, e: 0.05, Steps: 370, Avg Q-val: 0.02, replay: 633, Mem Usage: 11.0%
2024-09-20 22:43:58,212 - INFO - Ep.: 3, Score: 200.0, e: 0.05, Steps: 408, Avg Q-val: 0.02, replay: 1041, Mem Usage: 11.3%
2024-09-20 22:43:58,474 - INFO - Ep.: 4, Score: 50.0, e: 0.05, Steps: 274, Avg Q-val: 0.02, replay: 1315, Mem Usage: 11.5%
2024-09-20 22:43:58,801 - INFO - Ep.: 5, Score: 250.0, e: 0.05, Steps: 373, Avg Q-val: 0.02, replay: 1688, Mem Usage: 11.8%
2024-09-20 22:43:59,109 - INFO - Ep.: 6, Score: 175.0, e: 0.05, Steps: 343, Avg Q-val: 0.02, replay: 2031, Mem Usage: 12.0%
2024-09-20 22:43:59,432 - INFO - Ep.: 7, Score: 425.0, e: 0.05, Steps: 366, Avg Q-val: 0.02, replay: 2397, Mem Usage: 12.2%
2024-09-20 22:43:59,701 - INFO - Ep.: 8, Score: 0.0, e: 0.05, Steps: 290, Avg Q-val: 0.02, replay: 2687, Mem Usage: 12.4%
2024-09-20 22:43:59,979 - INFO - Ep.: 9, Score: 50.0, e: 0.05, Steps: 303, Avg Q-val: 0.02, replay: 2990, Mem Usage: 12.6%
2024-09-20 22:44:00,261 - INFO - Ep.: 10, Score: 75.0, e: 0.05, Steps: 311, Avg Q-val: 0.02, replay: 3301, Mem Usage: 12.9%
2024-09-20 22:44:00,544 - INFO - Ep.: 11, Score: 75.0, e: 0.05, Steps: 314, Avg Q-val: 0.02, replay: 3615, Mem Usage: 13.1%
2024-09-20 22:44:00,809 - INFO - Ep.: 12, Score: 0.0, e: 0.05, Steps: 291, Avg Q-val: 0.02, replay: 3906, Mem Usage: 13.3%
2024-09-20 22:44:01,082 - INFO - Ep.: 13, Score: 125.0, e: 0.05, Steps: 296, Avg Q-val: 0.02, replay: 4202, Mem Usage: 13.5%
2024-09-20 22:44:01,347 - INFO - Ep.: 14, Score: 50.0, e: 0.05, Steps: 276, Avg Q-val: 0.02, replay: 4478, Mem Usage: 13.7%
2024-09-20 22:44:01,595 - INFO - Ep.: 15, Score: 50.0, e: 0.05, Steps: 259, Avg Q-val: 0.02, replay: 4737, Mem Usage: 13.9%
2024-09-20 22:44:01,882 - INFO - Ep.: 16, Score: 75.0, e: 0.05, Steps: 315, Avg Q-val: 0.02, replay: 5052, Mem Usage: 14.1%
2024-09-20 22:44:02,189 - INFO - Ep.: 17, Score: 475.0, e: 0.05, Steps: 346, Avg Q-val: 0.02, replay: 5398, Mem Usage: 14.3%
2024-09-20 22:44:02,465 - INFO - Ep.: 18, Score: 50.0, e: 0.05, Steps: 303, Avg Q-val: 0.02, replay: 5701, Mem Usage: 14.6%
2024-09-20 22:44:02,734 - INFO - Ep.: 19, Score: 125.0, e: 0.05, Steps: 290, Avg Q-val: 0.02, replay: 5991, Mem Usage: 14.7%
2024-09-20 22:44:03,016 - INFO - Ep.: 20, Score: 75.0, e: 0.05, Steps: 310, Avg Q-val: 0.02, replay: 6301, Mem Usage: 15.0%
2024-09-20 22:44:03,315 - INFO - Ep.: 21, Score: 125.0, e: 0.05, Steps: 328, Avg Q-val: 0.02, replay: 6629, Mem Usage: 15.2%
2024-09-20 22:44:03,626 - INFO - Ep.: 22, Score: 475.0, e: 0.05, Steps: 351, Avg Q-val: 0.02, replay: 6980, Mem Usage: 15.4%
2024-09-20 22:44:03,911 - INFO - Ep.: 23, Score: 75.0, e: 0.05, Steps: 310, Avg Q-val: 0.02, replay: 7290, Mem Usage: 15.7%
2024-09-20 22:44:04,194 - INFO - Ep.: 24, Score: 75.0, e: 0.05, Steps: 311, Avg Q-val: 0.02, replay: 7601, Mem Usage: 15.9%
2024-09-20 22:44:04,509 - INFO - Ep.: 25, Score: 425.0, e: 0.05, Steps: 358, Avg Q-val: 0.02, replay: 7959, Mem Usage: 16.1%
2024-09-20 22:44:04,789 - INFO - Ep.: 26, Score: 75.0, e: 0.05, Steps: 311, Avg Q-val: 0.02, replay: 8270, Mem Usage: 16.4%
2024-09-20 22:44:05,072 - INFO - Ep.: 27, Score: 75.0, e: 0.05, Steps: 315, Avg Q-val: 0.02, replay: 8585, Mem Usage: 16.5%
