2024-09-15 11:40:50,316 - INFO - Modelo preentrenado cargado desde /data/riwamoto/ALE_MarioBros_results/models/dqn_model_ALE_MarioBros_final_20240831_094717.pth
2024-09-15 11:40:51,593 - INFO - Ep.: 0, Score: 390.0, e: 1.00, Steps: 1169, Avg Q-val: nan, replay: 1169, Mem Usage: 3.3%
2024-09-15 11:40:52,312 - INFO - Ep.: 1, Score: 180.0, e: 1.00, Steps: 602, Avg Q-val: nan, replay: 1771, Mem Usage: 3.3%
2024-09-15 11:40:52,897 - INFO - Ep.: 2, Score: 220.0, e: 1.00, Steps: 697, Avg Q-val: nan, replay: 2468, Mem Usage: 3.4%
2024-09-15 11:40:53,457 - INFO - Ep.: 3, Score: 300.0, e: 1.00, Steps: 671, Avg Q-val: nan, replay: 3139, Mem Usage: 3.5%
2024-09-15 11:40:53,940 - INFO - Ep.: 4, Score: 160.0, e: 1.00, Steps: 552, Avg Q-val: nan, replay: 3691, Mem Usage: 3.5%
2024-09-15 11:40:54,753 - INFO - Ep.: 5, Score: 310.0, e: 1.00, Steps: 1022, Avg Q-val: nan, replay: 4713, Mem Usage: 3.6%
2024-09-15 11:40:55,315 - INFO - Ep.: 6, Score: 140.0, e: 1.00, Steps: 664, Avg Q-val: nan, replay: 5377, Mem Usage: 3.7%
2024-09-15 11:40:55,936 - INFO - Ep.: 7, Score: 270.0, e: 1.00, Steps: 754, Avg Q-val: nan, replay: 6131, Mem Usage: 3.7%
2024-09-15 11:40:56,499 - INFO - Ep.: 8, Score: 90.0, e: 1.00, Steps: 664, Avg Q-val: nan, replay: 6795, Mem Usage: 3.8%
2024-09-15 11:40:57,079 - INFO - Ep.: 9, Score: 170.0, e: 1.00, Steps: 689, Avg Q-val: nan, replay: 7484, Mem Usage: 3.8%
2024-09-15 11:40:57,564 - INFO - Ep.: 10, Score: 210.0, e: 1.00, Steps: 558, Avg Q-val: nan, replay: 8042, Mem Usage: 3.9%
2024-09-15 11:40:58,072 - INFO - Ep.: 11, Score: 130.0, e: 1.00, Steps: 588, Avg Q-val: nan, replay: 8630, Mem Usage: 3.9%
2024-09-15 11:40:58,733 - INFO - Ep.: 12, Score: 220.0, e: 1.00, Steps: 800, Avg Q-val: nan, replay: 9430, Mem Usage: 4.0%
2024-09-15 11:40:59,299 - INFO - Ep.: 13, Score: 170.0, e: 1.00, Steps: 674, Avg Q-val: nan, replay: 10104, Mem Usage: 4.0%
2024-09-15 11:40:59,875 - INFO - Ep.: 14, Score: 140.0, e: 1.00, Steps: 685, Avg Q-val: nan, replay: 10789, Mem Usage: 4.1%
2024-09-15 11:41:00,406 - INFO - Ep.: 15, Score: 150.0, e: 1.00, Steps: 619, Avg Q-val: nan, replay: 11408, Mem Usage: 4.2%
2024-09-15 11:41:00,850 - INFO - Ep.: 16, Score: 90.0, e: 1.00, Steps: 498, Avg Q-val: nan, replay: 11906, Mem Usage: 4.2%
2024-09-15 11:41:01,370 - INFO - Ep.: 17, Score: 90.0, e: 1.00, Steps: 603, Avg Q-val: nan, replay: 12509, Mem Usage: 4.2%
2024-09-15 11:41:01,915 - INFO - Ep.: 18, Score: 150.0, e: 1.00, Steps: 644, Avg Q-val: nan, replay: 13153, Mem Usage: 4.3%
