2024-09-15 11:41:35,403 - INFO - Modelo preentrenado cargado desde /data/riwamoto/ALE_Alien_results/models/dqn_model_ALE_Alien_final_20240830_095938.pth
2024-09-15 11:41:36,359 - INFO - Ep.: 0, Score: 200.0, e: 1.00, Steps: 680, Avg Q-val: nan, replay: 680, Mem Usage: 10.1%
2024-09-15 11:41:37,014 - INFO - Ep.: 1, Score: 170.0, e: 1.00, Steps: 491, Avg Q-val: nan, replay: 1171, Mem Usage: 10.3%
2024-09-15 11:41:37,680 - INFO - Ep.: 2, Score: 210.0, e: 1.00, Steps: 819, Avg Q-val: nan, replay: 1990, Mem Usage: 10.5%
2024-09-15 11:41:38,467 - INFO - Ep.: 3, Score: 280.0, e: 1.00, Steps: 995, Avg Q-val: nan, replay: 2985, Mem Usage: 10.8%
2024-09-15 11:41:38,945 - INFO - Ep.: 4, Score: 120.0, e: 1.00, Steps: 545, Avg Q-val: nan, replay: 3530, Mem Usage: 10.9%
2024-09-15 11:41:39,597 - INFO - Ep.: 5, Score: 200.0, e: 1.00, Steps: 793, Avg Q-val: nan, replay: 4323, Mem Usage: 11.1%
2024-09-15 11:41:40,132 - INFO - Ep.: 6, Score: 190.0, e: 1.00, Steps: 632, Avg Q-val: nan, replay: 4955, Mem Usage: 11.3%
2024-09-15 11:41:40,777 - INFO - Ep.: 7, Score: 220.0, e: 1.00, Steps: 783, Avg Q-val: nan, replay: 5738, Mem Usage: 11.5%
2024-09-15 11:41:41,297 - INFO - Ep.: 8, Score: 120.0, e: 1.00, Steps: 608, Avg Q-val: nan, replay: 6346, Mem Usage: 11.6%
2024-09-15 11:41:41,846 - INFO - Ep.: 9, Score: 230.0, e: 1.00, Steps: 648, Avg Q-val: nan, replay: 6994, Mem Usage: 11.8%
2024-09-15 11:41:42,359 - INFO - Ep.: 10, Score: 160.0, e: 1.00, Steps: 597, Avg Q-val: nan, replay: 7591, Mem Usage: 11.9%
2024-09-15 11:41:42,952 - INFO - Ep.: 11, Score: 130.0, e: 1.00, Steps: 707, Avg Q-val: nan, replay: 8298, Mem Usage: 12.1%
2024-09-15 11:41:43,634 - INFO - Ep.: 12, Score: 230.0, e: 1.00, Steps: 841, Avg Q-val: nan, replay: 9139, Mem Usage: 12.3%
2024-09-15 11:41:44,207 - INFO - Ep.: 13, Score: 270.0, e: 1.00, Steps: 693, Avg Q-val: nan, replay: 9832, Mem Usage: 12.5%
2024-09-15 11:41:44,751 - INFO - Ep.: 14, Score: 160.0, e: 1.00, Steps: 639, Avg Q-val: nan, replay: 10471, Mem Usage: 12.7%
2024-09-15 11:41:45,223 - INFO - Ep.: 15, Score: 160.0, e: 1.00, Steps: 542, Avg Q-val: nan, replay: 11013, Mem Usage: 12.8%
2024-09-15 11:41:45,913 - INFO - Ep.: 16, Score: 180.0, e: 1.00, Steps: 849, Avg Q-val: nan, replay: 11862, Mem Usage: 13.0%
2024-09-15 11:41:46,582 - INFO - Ep.: 17, Score: 230.0, e: 1.00, Steps: 820, Avg Q-val: nan, replay: 12682, Mem Usage: 13.2%
2024-09-15 11:41:47,048 - INFO - Ep.: 18, Score: 200.0, e: 1.00, Steps: 534, Avg Q-val: nan, replay: 13216, Mem Usage: 13.3%
2024-09-15 11:41:47,611 - INFO - Ep.: 19, Score: 180.0, e: 1.00, Steps: 673, Avg Q-val: nan, replay: 13889, Mem Usage: 13.5%
2024-09-15 11:41:48,072 - INFO - Ep.: 20, Score: 130.0, e: 1.00, Steps: 524, Avg Q-val: nan, replay: 14413, Mem Usage: 13.6%
2024-09-15 11:41:48,658 - INFO - Ep.: 21, Score: 220.0, e: 1.00, Steps: 706, Avg Q-val: nan, replay: 15119, Mem Usage: 13.8%
2024-09-15 11:41:49,353 - INFO - Ep.: 22, Score: 200.0, e: 1.00, Steps: 852, Avg Q-val: nan, replay: 15971, Mem Usage: 14.0%
2024-09-15 11:41:49,923 - INFO - Ep.: 23, Score: 210.0, e: 1.00, Steps: 679, Avg Q-val: nan, replay: 16650, Mem Usage: 14.2%
2024-09-15 11:41:50,537 - INFO - Ep.: 24, Score: 220.0, e: 1.00, Steps: 744, Avg Q-val: nan, replay: 17394, Mem Usage: 14.4%
2024-09-15 11:41:51,074 - INFO - Ep.: 25, Score: 210.0, e: 1.00, Steps: 635, Avg Q-val: nan, replay: 18029, Mem Usage: 14.5%
2024-09-15 11:41:51,783 - INFO - Ep.: 26, Score: 180.0, e: 1.00, Steps: 877, Avg Q-val: nan, replay: 18906, Mem Usage: 14.8%
2024-09-15 11:41:52,266 - INFO - Ep.: 27, Score: 200.0, e: 1.00, Steps: 560, Avg Q-val: nan, replay: 19466, Mem Usage: 14.9%
2024-09-15 11:41:53,144 - INFO - Ep.: 28, Score: 320.0, e: 1.00, Steps: 1121, Avg Q-val: nan, replay: 20587, Mem Usage: 15.2%
2024-09-15 11:41:54,014 - INFO - Ep.: 29, Score: 240.0, e: 1.00, Steps: 1110, Avg Q-val: nan, replay: 21697, Mem Usage: 15.4%
2024-09-15 11:41:54,481 - INFO - Ep.: 30, Score: 150.0, e: 1.00, Steps: 535, Avg Q-val: nan, replay: 22232, Mem Usage: 15.6%
2024-09-15 11:41:55,009 - INFO - Ep.: 31, Score: 210.0, e: 1.00, Steps: 617, Avg Q-val: nan, replay: 22849, Mem Usage: 15.7%
2024-09-15 11:41:55,534 - INFO - Ep.: 32, Score: 210.0, e: 1.00, Steps: 616, Avg Q-val: nan, replay: 23465, Mem Usage: 15.9%
2024-09-15 11:41:56,028 - INFO - Ep.: 33, Score: 150.0, e: 1.00, Steps: 571, Avg Q-val: nan, replay: 24036, Mem Usage: 16.0%
2024-09-15 11:41:56,616 - INFO - Ep.: 34, Score: 250.0, e: 1.00, Steps: 708, Avg Q-val: nan, replay: 24744, Mem Usage: 16.2%
2024-09-15 11:41:57,078 - INFO - Ep.: 35, Score: 260.0, e: 1.00, Steps: 530, Avg Q-val: nan, replay: 25274, Mem Usage: 16.4%
2024-09-15 11:41:57,635 - INFO - Ep.: 36, Score: 220.0, e: 1.00, Steps: 661, Avg Q-val: nan, replay: 25935, Mem Usage: 16.5%
2024-09-15 11:41:58,105 - INFO - Ep.: 37, Score: 120.0, e: 1.00, Steps: 537, Avg Q-val: nan, replay: 26472, Mem Usage: 16.7%
2024-09-15 11:41:58,670 - INFO - Ep.: 38, Score: 200.0, e: 1.00, Steps: 671, Avg Q-val: nan, replay: 27143, Mem Usage: 16.8%
2024-09-15 11:41:59,239 - INFO - Ep.: 39, Score: 110.0, e: 1.00, Steps: 673, Avg Q-val: nan, replay: 27816, Mem Usage: 17.0%
2024-09-15 11:41:59,746 - INFO - Ep.: 40, Score: 120.0, e: 1.00, Steps: 591, Avg Q-val: nan, replay: 28407, Mem Usage: 17.2%
2024-09-15 11:42:00,225 - INFO - Ep.: 41, Score: 140.0, e: 1.00, Steps: 542, Avg Q-val: nan, replay: 28949, Mem Usage: 17.3%
2024-09-15 11:42:00,727 - INFO - Ep.: 42, Score: 180.0, e: 1.00, Steps: 587, Avg Q-val: nan, replay: 29536, Mem Usage: 17.4%
2024-09-15 11:42:01,352 - INFO - Ep.: 43, Score: 180.0, e: 1.00, Steps: 755, Avg Q-val: nan, replay: 30291, Mem Usage: 17.6%
2024-09-15 11:42:01,892 - INFO - Ep.: 44, Score: 260.0, e: 1.00, Steps: 644, Avg Q-val: nan, replay: 30935, Mem Usage: 17.8%
2024-09-15 11:42:02,586 - INFO - Ep.: 45, Score: 230.0, e: 1.00, Steps: 856, Avg Q-val: nan, replay: 31791, Mem Usage: 18.0%
2024-09-15 11:42:03,232 - INFO - Ep.: 46, Score: 220.0, e: 1.00, Steps: 788, Avg Q-val: nan, replay: 32579, Mem Usage: 18.2%
2024-09-15 11:42:03,793 - INFO - Ep.: 47, Score: 110.0, e: 1.00, Steps: 660, Avg Q-val: nan, replay: 33239, Mem Usage: 18.4%
2024-09-15 11:42:04,286 - INFO - Ep.: 48, Score: 180.0, e: 1.00, Steps: 576, Avg Q-val: nan, replay: 33815, Mem Usage: 18.5%
2024-09-15 11:42:04,841 - INFO - Ep.: 49, Score: 130.0, e: 1.00, Steps: 657, Avg Q-val: nan, replay: 34472, Mem Usage: 18.7%
2024-09-15 11:42:05,474 - INFO - Ep.: 50, Score: 190.0, e: 1.00, Steps: 766, Avg Q-val: nan, replay: 35238, Mem Usage: 18.9%
2024-09-15 11:42:06,052 - INFO - Ep.: 51, Score: 200.0, e: 1.00, Steps: 690, Avg Q-val: nan, replay: 35928, Mem Usage: 19.0%
2024-09-15 11:42:06,591 - INFO - Ep.: 52, Score: 130.0, e: 1.00, Steps: 636, Avg Q-val: nan, replay: 36564, Mem Usage: 19.2%
2024-09-15 11:42:07,164 - INFO - Ep.: 53, Score: 180.0, e: 1.00, Steps: 691, Avg Q-val: nan, replay: 37255, Mem Usage: 19.4%
2024-09-15 11:42:07,711 - INFO - Ep.: 54, Score: 190.0, e: 1.00, Steps: 648, Avg Q-val: nan, replay: 37903, Mem Usage: 19.5%
2024-09-15 11:42:08,342 - INFO - Ep.: 55, Score: 230.0, e: 1.00, Steps: 770, Avg Q-val: nan, replay: 38673, Mem Usage: 19.7%
2024-09-15 11:42:08,947 - INFO - Ep.: 56, Score: 210.0, e: 1.00, Steps: 732, Avg Q-val: nan, replay: 39405, Mem Usage: 19.9%
2024-09-15 11:42:09,661 - INFO - Ep.: 57, Score: 230.0, e: 1.00, Steps: 893, Avg Q-val: nan, replay: 40298, Mem Usage: 20.1%
2024-09-15 11:42:10,140 - INFO - Ep.: 58, Score: 150.0, e: 1.00, Steps: 550, Avg Q-val: nan, replay: 40848, Mem Usage: 20.3%
2024-09-15 11:42:10,781 - INFO - Ep.: 59, Score: 240.0, e: 1.00, Steps: 783, Avg Q-val: nan, replay: 41631, Mem Usage: 20.5%
2024-09-15 11:42:11,353 - INFO - Ep.: 60, Score: 280.0, e: 1.00, Steps: 691, Avg Q-val: nan, replay: 42322, Mem Usage: 20.6%
