2024-09-15 11:45:44,380 - INFO - Modelo preentrenado cargado desde /data/riwamoto/ALE_Qbert_results/models/dqn_model_ALE_Qbert_final_20240831_094643.pth
2024-09-15 11:45:45,682 - INFO - Ep.: 0, Score: 150.0, e: 1.00, Steps: 745, Avg Q-val: nan, replay: 745, Mem Usage: 43.6%
2024-09-15 11:45:46,695 - INFO - Ep.: 1, Score: 160.0, e: 1.00, Steps: 682, Avg Q-val: nan, replay: 1427, Mem Usage: 43.7%
2024-09-15 11:45:47,583 - INFO - Ep.: 2, Score: 330.0, e: 1.00, Steps: 854, Avg Q-val: nan, replay: 2281, Mem Usage: 43.8%
2024-09-15 11:45:48,518 - INFO - Ep.: 3, Score: 290.0, e: 1.00, Steps: 923, Avg Q-val: nan, replay: 3204, Mem Usage: 43.9%
2024-09-15 11:45:49,350 - INFO - Ep.: 4, Score: 180.0, e: 1.00, Steps: 758, Avg Q-val: nan, replay: 3962, Mem Usage: 44.0%
2024-09-15 11:45:49,896 - INFO - Ep.: 5, Score: 160.0, e: 1.00, Steps: 487, Avg Q-val: nan, replay: 4449, Mem Usage: 44.2%
2024-09-15 11:45:50,649 - INFO - Ep.: 6, Score: 210.0, e: 1.00, Steps: 703, Avg Q-val: nan, replay: 5152, Mem Usage: 44.2%
2024-09-15 11:45:51,539 - INFO - Ep.: 7, Score: 310.0, e: 1.00, Steps: 844, Avg Q-val: nan, replay: 5996, Mem Usage: 44.4%
2024-09-15 11:45:52,224 - INFO - Ep.: 8, Score: 240.0, e: 1.00, Steps: 648, Avg Q-val: nan, replay: 6644, Mem Usage: 44.4%
2024-09-15 11:45:53,035 - INFO - Ep.: 9, Score: 250.0, e: 1.00, Steps: 770, Avg Q-val: nan, replay: 7414, Mem Usage: 44.6%
2024-09-15 11:45:53,638 - INFO - Ep.: 10, Score: 150.0, e: 1.00, Steps: 544, Avg Q-val: nan, replay: 7958, Mem Usage: 44.5%
2024-09-15 11:45:54,326 - INFO - Ep.: 11, Score: 200.0, e: 1.00, Steps: 630, Avg Q-val: nan, replay: 8588, Mem Usage: 44.7%
2024-09-15 11:45:55,057 - INFO - Ep.: 12, Score: 150.0, e: 1.00, Steps: 664, Avg Q-val: nan, replay: 9252, Mem Usage: 44.8%
2024-09-15 11:45:55,761 - INFO - Ep.: 13, Score: 180.0, e: 1.00, Steps: 663, Avg Q-val: nan, replay: 9915, Mem Usage: 44.9%
2024-09-15 11:45:56,435 - INFO - Ep.: 14, Score: 160.0, e: 1.00, Steps: 567, Avg Q-val: nan, replay: 10482, Mem Usage: 45.0%
2024-09-15 11:45:57,176 - INFO - Ep.: 15, Score: 150.0, e: 1.00, Steps: 656, Avg Q-val: nan, replay: 11138, Mem Usage: 45.1%
2024-09-15 11:45:58,262 - INFO - Ep.: 16, Score: 330.0, e: 1.00, Steps: 1026, Avg Q-val: nan, replay: 12164, Mem Usage: 45.4%
2024-09-15 11:45:59,147 - INFO - Ep.: 17, Score: 260.0, e: 1.00, Steps: 837, Avg Q-val: nan, replay: 13001, Mem Usage: 45.5%
2024-09-15 11:45:59,831 - INFO - Ep.: 18, Score: 200.0, e: 1.00, Steps: 620, Avg Q-val: nan, replay: 13621, Mem Usage: 45.5%
2024-09-15 11:46:00,642 - INFO - Ep.: 19, Score: 230.0, e: 1.00, Steps: 666, Avg Q-val: nan, replay: 14287, Mem Usage: 45.7%
2024-09-15 11:46:01,492 - INFO - Ep.: 20, Score: 100.0, e: 1.00, Steps: 827, Avg Q-val: nan, replay: 15114, Mem Usage: 45.8%
2024-09-15 11:46:02,171 - INFO - Ep.: 21, Score: 170.0, e: 1.00, Steps: 618, Avg Q-val: nan, replay: 15732, Mem Usage: 45.9%
2024-09-15 11:46:02,944 - INFO - Ep.: 22, Score: 300.0, e: 1.00, Steps: 690, Avg Q-val: nan, replay: 16422, Mem Usage: 46.0%
2024-09-15 11:46:03,818 - INFO - Ep.: 23, Score: 180.0, e: 1.00, Steps: 851, Avg Q-val: nan, replay: 17273, Mem Usage: 46.2%
2024-09-15 11:46:04,494 - INFO - Ep.: 24, Score: 300.0, e: 1.00, Steps: 642, Avg Q-val: nan, replay: 17915, Mem Usage: 46.3%
2024-09-15 11:46:05,174 - INFO - Ep.: 25, Score: 260.0, e: 1.00, Steps: 630, Avg Q-val: nan, replay: 18545, Mem Usage: 46.4%
2024-09-15 11:46:05,868 - INFO - Ep.: 26, Score: 170.0, e: 1.00, Steps: 646, Avg Q-val: nan, replay: 19191, Mem Usage: 46.5%
2024-09-15 11:46:06,671 - INFO - Ep.: 27, Score: 150.0, e: 1.00, Steps: 752, Avg Q-val: nan, replay: 19943, Mem Usage: 46.6%
2024-09-15 11:46:07,634 - INFO - Ep.: 28, Score: 210.0, e: 1.00, Steps: 926, Avg Q-val: nan, replay: 20869, Mem Usage: 46.8%
2024-09-15 11:46:08,533 - INFO - Ep.: 29, Score: 220.0, e: 1.00, Steps: 829, Avg Q-val: nan, replay: 21698, Mem Usage: 46.9%
