2024-09-20 08:49:29,536 - INFO - Modelo preentrenado cargado desde /data/riwamoto/ALE_Breakout_results/models/dqn_model_ALE_Breakout_final_20240830_095618.pth
2024-09-20 08:49:30,601 - INFO - Ep.: 0, Score: 180.0, e: 1.00, Steps: 692, Avg Q-val: nan, replay: 692, Mem Usage: 23.8%
2024-09-20 08:49:31,485 - INFO - Ep.: 1, Score: 160.0, e: 1.00, Steps: 681, Avg Q-val: nan, replay: 1373, Mem Usage: 24.0%
2024-09-20 08:49:32,025 - INFO - Ep.: 2, Score: 160.0, e: 1.00, Steps: 535, Avg Q-val: nan, replay: 1908, Mem Usage: 24.1%
2024-09-20 08:49:32,735 - INFO - Ep.: 3, Score: 170.0, e: 1.00, Steps: 775, Avg Q-val: nan, replay: 2683, Mem Usage: 24.3%
2024-09-20 08:49:33,374 - INFO - Ep.: 4, Score: 230.0, e: 1.00, Steps: 702, Avg Q-val: nan, replay: 3385, Mem Usage: 24.5%
2024-09-20 08:49:34,037 - INFO - Ep.: 5, Score: 160.0, e: 1.00, Steps: 718, Avg Q-val: nan, replay: 4103, Mem Usage: 24.7%
2024-09-20 08:49:34,540 - INFO - Ep.: 6, Score: 150.0, e: 1.00, Steps: 508, Avg Q-val: nan, replay: 4611, Mem Usage: 24.8%
2024-09-20 08:49:35,143 - INFO - Ep.: 7, Score: 250.0, e: 1.00, Steps: 640, Avg Q-val: nan, replay: 5251, Mem Usage: 25.0%
2024-09-20 08:49:35,786 - INFO - Ep.: 8, Score: 180.0, e: 1.00, Steps: 699, Avg Q-val: nan, replay: 5950, Mem Usage: 25.2%
2024-09-20 08:49:36,402 - INFO - Ep.: 9, Score: 160.0, e: 1.00, Steps: 654, Avg Q-val: nan, replay: 6604, Mem Usage: 25.3%
2024-09-20 08:49:37,157 - INFO - Ep.: 10, Score: 310.0, e: 1.00, Steps: 845, Avg Q-val: nan, replay: 7449, Mem Usage: 25.6%
2024-09-20 08:49:38,033 - INFO - Ep.: 11, Score: 250.0, e: 1.00, Steps: 980, Avg Q-val: nan, replay: 8429, Mem Usage: 25.8%
2024-09-20 08:49:38,558 - INFO - Ep.: 12, Score: 200.0, e: 1.00, Steps: 536, Avg Q-val: nan, replay: 8965, Mem Usage: 26.0%
2024-09-20 08:49:39,126 - INFO - Ep.: 13, Score: 110.0, e: 1.00, Steps: 593, Avg Q-val: nan, replay: 9558, Mem Usage: 26.1%
2024-09-20 08:49:39,647 - INFO - Ep.: 14, Score: 160.0, e: 1.00, Steps: 545, Avg Q-val: nan, replay: 10103, Mem Usage: 26.3%
2024-09-20 08:49:40,324 - INFO - Ep.: 15, Score: 300.0, e: 1.00, Steps: 733, Avg Q-val: nan, replay: 10836, Mem Usage: 26.4%
2024-09-20 08:49:40,945 - INFO - Ep.: 16, Score: 210.0, e: 1.00, Steps: 657, Avg Q-val: nan, replay: 11493, Mem Usage: 26.6%
2024-09-20 08:49:41,551 - INFO - Ep.: 17, Score: 120.0, e: 1.00, Steps: 653, Avg Q-val: nan, replay: 12146, Mem Usage: 26.8%
2024-09-20 08:49:42,135 - INFO - Ep.: 18, Score: 190.0, e: 1.00, Steps: 600, Avg Q-val: nan, replay: 12746, Mem Usage: 27.1%
2024-09-20 08:49:42,872 - INFO - Ep.: 19, Score: 150.0, e: 1.00, Steps: 712, Avg Q-val: nan, replay: 13458, Mem Usage: 27.2%
2024-09-20 08:49:43,925 - INFO - Ep.: 20, Score: 520.0, e: 1.00, Steps: 1107, Avg Q-val: nan, replay: 14565, Mem Usage: 27.5%
2024-09-20 08:49:44,699 - INFO - Ep.: 21, Score: 190.0, e: 1.00, Steps: 788, Avg Q-val: nan, replay: 15353, Mem Usage: 27.7%
2024-09-20 08:49:45,433 - INFO - Ep.: 22, Score: 240.0, e: 1.00, Steps: 737, Avg Q-val: nan, replay: 16090, Mem Usage: 27.9%
2024-09-20 08:49:46,096 - INFO - Ep.: 23, Score: 180.0, e: 1.00, Steps: 661, Avg Q-val: nan, replay: 16751, Mem Usage: 28.0%
2024-09-20 08:49:47,013 - INFO - Ep.: 24, Score: 270.0, e: 1.00, Steps: 955, Avg Q-val: nan, replay: 17706, Mem Usage: 28.2%
2024-09-20 08:49:47,596 - INFO - Ep.: 25, Score: 90.0, e: 1.00, Steps: 568, Avg Q-val: nan, replay: 18274, Mem Usage: 28.3%
2024-09-20 08:49:48,186 - INFO - Ep.: 26, Score: 190.0, e: 1.00, Steps: 583, Avg Q-val: nan, replay: 18857, Mem Usage: 28.4%
2024-09-20 08:49:48,783 - INFO - Ep.: 27, Score: 150.0, e: 1.00, Steps: 568, Avg Q-val: nan, replay: 19425, Mem Usage: 28.5%
2024-09-20 08:49:49,669 - INFO - Ep.: 28, Score: 260.0, e: 1.00, Steps: 913, Avg Q-val: nan, replay: 20338, Mem Usage: 28.6%
2024-09-20 08:49:50,178 - INFO - Ep.: 29, Score: 160.0, e: 1.00, Steps: 470, Avg Q-val: nan, replay: 20808, Mem Usage: 28.7%
2024-09-20 08:49:50,775 - INFO - Ep.: 30, Score: 140.0, e: 1.00, Steps: 564, Avg Q-val: nan, replay: 21372, Mem Usage: 28.8%
2024-09-20 08:49:51,473 - INFO - Ep.: 31, Score: 170.0, e: 1.00, Steps: 679, Avg Q-val: nan, replay: 22051, Mem Usage: 29.0%
2024-09-20 08:49:52,063 - INFO - Ep.: 32, Score: 100.0, e: 1.00, Steps: 519, Avg Q-val: nan, replay: 22570, Mem Usage: 29.1%
2024-09-20 08:49:52,934 - INFO - Ep.: 33, Score: 330.0, e: 1.00, Steps: 918, Avg Q-val: nan, replay: 23488, Mem Usage: 29.3%
2024-09-20 08:49:53,732 - INFO - Ep.: 34, Score: 270.0, e: 1.00, Steps: 799, Avg Q-val: nan, replay: 24287, Mem Usage: 29.5%
2024-09-20 08:49:54,326 - INFO - Ep.: 35, Score: 160.0, e: 1.00, Steps: 547, Avg Q-val: nan, replay: 24834, Mem Usage: 29.6%
2024-09-20 08:49:55,012 - INFO - Ep.: 36, Score: 210.0, e: 1.00, Steps: 681, Avg Q-val: nan, replay: 25515, Mem Usage: 29.8%
2024-09-20 08:49:55,672 - INFO - Ep.: 37, Score: 130.0, e: 1.00, Steps: 647, Avg Q-val: nan, replay: 26162, Mem Usage: 30.1%
2024-09-20 08:49:56,477 - INFO - Ep.: 38, Score: 680.0, e: 1.00, Steps: 828, Avg Q-val: nan, replay: 26990, Mem Usage: 30.3%
2024-09-20 08:49:57,028 - INFO - Ep.: 39, Score: 150.0, e: 1.00, Steps: 514, Avg Q-val: nan, replay: 27504, Mem Usage: 30.4%
