2024-09-23 23:45:04,341 - INFO - Modelo preentrenado cargado desde /data/riwamoto/ALE_Pong_results/models/dqn_model_ALE_Pong_final_20240830_095849.pth
2024-09-23 23:45:05,188 - INFO - Ep.: 0, Score: 220.0, e: 1.00, Steps: 541, Avg Q-val: nan, replay: 541, Mem Usage: 7.2%
2024-09-23 23:45:06,025 - INFO - Ep.: 1, Score: 160.0, e: 1.00, Steps: 755, Avg Q-val: nan, replay: 1296, Mem Usage: 7.4%
2024-09-23 23:45:06,484 - INFO - Ep.: 2, Score: 140.0, e: 1.00, Steps: 511, Avg Q-val: nan, replay: 1807, Mem Usage: 7.5%
2024-09-23 23:45:07,070 - INFO - Ep.: 3, Score: 120.0, e: 1.00, Steps: 686, Avg Q-val: nan, replay: 2493, Mem Usage: 7.6%
2024-09-23 23:45:07,529 - INFO - Ep.: 4, Score: 170.0, e: 1.00, Steps: 511, Avg Q-val: nan, replay: 3004, Mem Usage: 7.7%
2024-09-23 23:45:08,103 - INFO - Ep.: 5, Score: 130.0, e: 1.00, Steps: 672, Avg Q-val: nan, replay: 3676, Mem Usage: 7.8%
2024-09-23 23:45:08,644 - INFO - Ep.: 6, Score: 230.0, e: 1.00, Steps: 627, Avg Q-val: nan, replay: 4303, Mem Usage: 7.9%
2024-09-23 23:45:09,104 - INFO - Ep.: 7, Score: 100.0, e: 1.00, Steps: 514, Avg Q-val: nan, replay: 4817, Mem Usage: 8.0%
2024-09-23 23:45:09,596 - INFO - Ep.: 8, Score: 160.0, e: 1.00, Steps: 561, Avg Q-val: nan, replay: 5378, Mem Usage: 8.1%
2024-09-23 23:45:10,105 - INFO - Ep.: 9, Score: 250.0, e: 1.00, Steps: 587, Avg Q-val: nan, replay: 5965, Mem Usage: 8.2%
2024-09-23 23:45:10,633 - INFO - Ep.: 10, Score: 140.0, e: 1.00, Steps: 606, Avg Q-val: nan, replay: 6571, Mem Usage: 8.3%
2024-09-23 23:45:11,124 - INFO - Ep.: 11, Score: 130.0, e: 1.00, Steps: 557, Avg Q-val: nan, replay: 7128, Mem Usage: 8.4%
2024-09-23 23:45:11,694 - INFO - Ep.: 12, Score: 140.0, e: 1.00, Steps: 670, Avg Q-val: nan, replay: 7798, Mem Usage: 8.5%
2024-09-23 23:45:12,217 - INFO - Ep.: 13, Score: 190.0, e: 1.00, Steps: 598, Avg Q-val: nan, replay: 8396, Mem Usage: 8.6%
2024-09-23 23:45:12,698 - INFO - Ep.: 14, Score: 200.0, e: 1.00, Steps: 543, Avg Q-val: nan, replay: 8939, Mem Usage: 8.7%
2024-09-23 23:45:13,339 - INFO - Ep.: 15, Score: 190.0, e: 1.00, Steps: 765, Avg Q-val: nan, replay: 9704, Mem Usage: 8.8%
2024-09-23 23:45:14,104 - INFO - Ep.: 16, Score: 240.0, e: 1.00, Steps: 908, Avg Q-val: nan, replay: 10612, Mem Usage: 9.0%
2024-09-23 23:45:14,618 - INFO - Ep.: 17, Score: 140.0, e: 1.00, Steps: 589, Avg Q-val: nan, replay: 11201, Mem Usage: 9.1%
2024-09-23 23:45:15,106 - INFO - Ep.: 18, Score: 110.0, e: 1.00, Steps: 553, Avg Q-val: nan, replay: 11754, Mem Usage: 9.3%
2024-09-23 23:45:15,604 - INFO - Ep.: 19, Score: 120.0, e: 1.00, Steps: 567, Avg Q-val: nan, replay: 12321, Mem Usage: 9.4%
2024-09-23 23:45:16,266 - INFO - Ep.: 20, Score: 150.0, e: 1.00, Steps: 792, Avg Q-val: nan, replay: 13113, Mem Usage: 9.6%
