2024-09-23 23:45:55,024 - INFO - Modelo preentrenado cargado desde /data/riwamoto/ALE_Frogger_results/models/dqn_model_ALE_Frogger_final_20240829_113617.pth
2024-09-23 23:45:56,021 - INFO - Ep.: 0, Score: 240.0, e: 1.00, Steps: 725, Avg Q-val: nan, replay: 725, Mem Usage: 23.6%
2024-09-23 23:45:56,794 - INFO - Ep.: 1, Score: 200.0, e: 1.00, Steps: 683, Avg Q-val: nan, replay: 1408, Mem Usage: 23.9%
2024-09-23 23:45:57,262 - INFO - Ep.: 2, Score: 130.0, e: 1.00, Steps: 522, Avg Q-val: nan, replay: 1930, Mem Usage: 24.3%
2024-09-23 23:45:57,874 - INFO - Ep.: 3, Score: 190.0, e: 1.00, Steps: 642, Avg Q-val: nan, replay: 2572, Mem Usage: 24.5%
2024-09-23 23:45:58,537 - INFO - Ep.: 4, Score: 190.0, e: 1.00, Steps: 729, Avg Q-val: nan, replay: 3301, Mem Usage: 24.8%
2024-09-23 23:45:59,106 - INFO - Ep.: 5, Score: 230.0, e: 1.00, Steps: 608, Avg Q-val: nan, replay: 3909, Mem Usage: 25.0%
2024-09-23 23:45:59,540 - INFO - Ep.: 6, Score: 190.0, e: 1.00, Steps: 432, Avg Q-val: nan, replay: 4341, Mem Usage: 25.2%
2024-09-23 23:46:00,203 - INFO - Ep.: 7, Score: 170.0, e: 1.00, Steps: 722, Avg Q-val: nan, replay: 5063, Mem Usage: 25.4%
2024-09-23 23:46:00,871 - INFO - Ep.: 8, Score: 220.0, e: 1.00, Steps: 736, Avg Q-val: nan, replay: 5799, Mem Usage: 25.7%
2024-09-23 23:46:01,479 - INFO - Ep.: 9, Score: 160.0, e: 1.00, Steps: 652, Avg Q-val: nan, replay: 6451, Mem Usage: 25.9%
2024-09-23 23:46:02,120 - INFO - Ep.: 10, Score: 200.0, e: 1.00, Steps: 693, Avg Q-val: nan, replay: 7144, Mem Usage: 26.1%
2024-09-23 23:46:02,864 - INFO - Ep.: 11, Score: 140.0, e: 1.00, Steps: 833, Avg Q-val: nan, replay: 7977, Mem Usage: 26.4%
2024-09-23 23:46:03,386 - INFO - Ep.: 12, Score: 130.0, e: 1.00, Steps: 532, Avg Q-val: nan, replay: 8509, Mem Usage: 26.6%
2024-09-23 23:46:03,906 - INFO - Ep.: 13, Score: 100.0, e: 1.00, Steps: 523, Avg Q-val: nan, replay: 9032, Mem Usage: 26.8%
2024-09-23 23:46:04,439 - INFO - Ep.: 14, Score: 220.0, e: 1.00, Steps: 557, Avg Q-val: nan, replay: 9589, Mem Usage: 27.0%
2024-09-23 23:46:05,302 - INFO - Ep.: 15, Score: 330.0, e: 1.00, Steps: 978, Avg Q-val: nan, replay: 10567, Mem Usage: 27.3%
2024-09-23 23:46:06,026 - INFO - Ep.: 16, Score: 340.0, e: 1.00, Steps: 799, Avg Q-val: nan, replay: 11366, Mem Usage: 27.6%
2024-09-23 23:46:06,695 - INFO - Ep.: 17, Score: 160.0, e: 1.00, Steps: 727, Avg Q-val: nan, replay: 12093, Mem Usage: 27.8%
2024-09-23 23:46:07,247 - INFO - Ep.: 18, Score: 110.0, e: 1.00, Steps: 577, Avg Q-val: nan, replay: 12670, Mem Usage: 28.1%
2024-09-23 23:46:07,765 - INFO - Ep.: 19, Score: 180.0, e: 1.00, Steps: 548, Avg Q-val: nan, replay: 13218, Mem Usage: 28.2%
2024-09-23 23:46:08,411 - INFO - Ep.: 20, Score: 210.0, e: 1.00, Steps: 701, Avg Q-val: nan, replay: 13919, Mem Usage: 28.5%
2024-09-23 23:46:08,978 - INFO - Ep.: 21, Score: 140.0, e: 1.00, Steps: 599, Avg Q-val: nan, replay: 14518, Mem Usage: 28.7%
2024-09-23 23:46:09,533 - INFO - Ep.: 22, Score: 160.0, e: 1.00, Steps: 583, Avg Q-val: nan, replay: 15101, Mem Usage: 28.9%
2024-09-23 23:46:10,204 - INFO - Ep.: 23, Score: 280.0, e: 1.00, Steps: 728, Avg Q-val: nan, replay: 15829, Mem Usage: 29.1%
2024-09-23 23:46:10,800 - INFO - Ep.: 24, Score: 110.0, e: 1.00, Steps: 617, Avg Q-val: nan, replay: 16446, Mem Usage: 29.3%
2024-09-23 23:46:11,354 - INFO - Ep.: 25, Score: 200.0, e: 1.00, Steps: 586, Avg Q-val: nan, replay: 17032, Mem Usage: 29.5%
2024-09-23 23:46:11,866 - INFO - Ep.: 26, Score: 170.0, e: 1.00, Steps: 534, Avg Q-val: nan, replay: 17566, Mem Usage: 29.7%
2024-09-23 23:46:12,452 - INFO - Ep.: 27, Score: 140.0, e: 1.00, Steps: 638, Avg Q-val: nan, replay: 18204, Mem Usage: 29.9%
2024-09-23 23:46:13,135 - INFO - Ep.: 28, Score: 240.0, e: 1.00, Steps: 747, Avg Q-val: nan, replay: 18951, Mem Usage: 30.2%
2024-09-23 23:46:13,703 - INFO - Ep.: 29, Score: 230.0, e: 1.00, Steps: 603, Avg Q-val: nan, replay: 19554, Mem Usage: 30.4%
2024-09-23 23:46:14,214 - INFO - Ep.: 30, Score: 160.0, e: 1.00, Steps: 532, Avg Q-val: nan, replay: 20086, Mem Usage: 30.6%
2024-09-23 23:46:14,839 - INFO - Ep.: 31, Score: 160.0, e: 1.00, Steps: 675, Avg Q-val: nan, replay: 20761, Mem Usage: 30.8%
2024-09-23 23:46:15,378 - INFO - Ep.: 32, Score: 150.0, e: 1.00, Steps: 566, Avg Q-val: nan, replay: 21327, Mem Usage: 31.0%
2024-09-23 23:46:16,125 - INFO - Ep.: 33, Score: 190.0, e: 1.00, Steps: 844, Avg Q-val: nan, replay: 22171, Mem Usage: 31.3%
2024-09-23 23:46:16,688 - INFO - Ep.: 34, Score: 130.0, e: 1.00, Steps: 598, Avg Q-val: nan, replay: 22769, Mem Usage: 31.5%
2024-09-23 23:46:17,250 - INFO - Ep.: 35, Score: 170.0, e: 1.00, Steps: 590, Avg Q-val: nan, replay: 23359, Mem Usage: 31.8%
2024-09-23 23:46:17,831 - INFO - Ep.: 36, Score: 210.0, e: 1.00, Steps: 635, Avg Q-val: nan, replay: 23994, Mem Usage: 32.0%
2024-09-23 23:46:18,332 - INFO - Ep.: 37, Score: 200.0, e: 1.00, Steps: 516, Avg Q-val: nan, replay: 24510, Mem Usage: 32.2%
2024-09-23 23:46:19,084 - INFO - Ep.: 38, Score: 290.0, e: 1.00, Steps: 843, Avg Q-val: nan, replay: 25353, Mem Usage: 32.5%
