2024-09-15 00:00:53,855 - INFO - Modelo preentrenado cargado desde /data/riwamoto/ALE_Alien_results/models/dqn_model_ALE_Alien_final_20240830_095938.pth
2024-09-15 00:00:54,416 - INFO - Ep.: 0, Score: 1.0, e: 1.00, Steps: 174, Avg Q-val: nan, replay: 174, Mem Usage: 17.2%
2024-09-15 00:00:54,837 - INFO - Ep.: 1, Score: 2.0, e: 1.00, Steps: 230, Avg Q-val: nan, replay: 404, Mem Usage: 17.3%
2024-09-15 00:00:55,007 - INFO - Ep.: 2, Score: 0.0, e: 1.00, Steps: 141, Avg Q-val: nan, replay: 545, Mem Usage: 17.4%
2024-09-15 00:00:55,216 - INFO - Ep.: 3, Score: 2.0, e: 1.00, Steps: 205, Avg Q-val: nan, replay: 750, Mem Usage: 17.4%
2024-09-15 00:00:55,425 - INFO - Ep.: 4, Score: 2.0, e: 1.00, Steps: 206, Avg Q-val: nan, replay: 956, Mem Usage: 17.5%
2024-09-15 00:00:55,620 - INFO - Ep.: 5, Score: 1.0, e: 1.00, Steps: 183, Avg Q-val: nan, replay: 1139, Mem Usage: 17.5%
2024-09-15 00:00:55,817 - INFO - Ep.: 6, Score: 1.0, e: 1.00, Steps: 185, Avg Q-val: nan, replay: 1324, Mem Usage: 17.5%
2024-09-15 00:00:56,014 - INFO - Ep.: 7, Score: 1.0, e: 1.00, Steps: 187, Avg Q-val: nan, replay: 1511, Mem Usage: 17.6%
2024-09-15 00:00:56,179 - INFO - Ep.: 8, Score: 0.0, e: 1.00, Steps: 132, Avg Q-val: nan, replay: 1643, Mem Usage: 17.6%
2024-09-15 00:00:56,390 - INFO - Ep.: 9, Score: 2.0, e: 1.00, Steps: 208, Avg Q-val: nan, replay: 1851, Mem Usage: 17.7%
2024-09-15 00:00:56,583 - INFO - Ep.: 10, Score: 1.0, e: 1.00, Steps: 179, Avg Q-val: nan, replay: 2030, Mem Usage: 17.7%
2024-09-15 00:00:56,752 - INFO - Ep.: 11, Score: 0.0, e: 1.00, Steps: 139, Avg Q-val: nan, replay: 2169, Mem Usage: 17.8%
2024-09-15 00:00:56,949 - INFO - Ep.: 12, Score: 2.0, e: 1.00, Steps: 184, Avg Q-val: nan, replay: 2353, Mem Usage: 17.8%
2024-09-15 00:00:57,115 - INFO - Ep.: 13, Score: 0.0, e: 1.00, Steps: 134, Avg Q-val: nan, replay: 2487, Mem Usage: 17.8%
2024-09-15 00:00:57,295 - INFO - Ep.: 14, Score: 1.0, e: 1.00, Steps: 158, Avg Q-val: nan, replay: 2645, Mem Usage: 17.9%
2024-09-15 00:00:57,460 - INFO - Ep.: 15, Score: 0.0, e: 1.00, Steps: 133, Avg Q-val: nan, replay: 2778, Mem Usage: 17.9%
2024-09-15 00:00:57,689 - INFO - Ep.: 16, Score: 2.0, e: 1.00, Steps: 239, Avg Q-val: nan, replay: 3017, Mem Usage: 18.0%
2024-09-15 00:00:57,870 - INFO - Ep.: 17, Score: 1.0, e: 1.00, Steps: 159, Avg Q-val: nan, replay: 3176, Mem Usage: 18.0%
2024-09-15 00:00:58,038 - INFO - Ep.: 18, Score: 0.0, e: 1.00, Steps: 139, Avg Q-val: nan, replay: 3315, Mem Usage: 18.1%
2024-09-15 00:00:58,229 - INFO - Ep.: 19, Score: 1.0, e: 1.00, Steps: 175, Avg Q-val: nan, replay: 3490, Mem Usage: 18.1%
2024-09-15 00:00:58,470 - INFO - Ep.: 20, Score: 3.0, e: 1.00, Steps: 260, Avg Q-val: nan, replay: 3750, Mem Usage: 18.2%
2024-09-15 00:00:58,661 - INFO - Ep.: 21, Score: 1.0, e: 1.00, Steps: 177, Avg Q-val: nan, replay: 3927, Mem Usage: 18.2%
2024-09-15 00:00:58,830 - INFO - Ep.: 22, Score: 0.0, e: 1.00, Steps: 139, Avg Q-val: nan, replay: 4066, Mem Usage: 18.3%
2024-09-15 00:00:59,035 - INFO - Ep.: 23, Score: 2.0, e: 1.00, Steps: 200, Avg Q-val: nan, replay: 4266, Mem Usage: 18.3%
2024-09-15 00:00:59,220 - INFO - Ep.: 24, Score: 1.0, e: 1.00, Steps: 166, Avg Q-val: nan, replay: 4432, Mem Usage: 18.3%
2024-09-15 00:00:59,395 - INFO - Ep.: 25, Score: 0.0, e: 1.00, Steps: 150, Avg Q-val: nan, replay: 4582, Mem Usage: 18.4%
2024-09-15 00:00:59,597 - INFO - Ep.: 26, Score: 2.0, e: 1.00, Steps: 194, Avg Q-val: nan, replay: 4776, Mem Usage: 18.4%
2024-09-15 00:00:59,759 - INFO - Ep.: 27, Score: 0.0, e: 1.00, Steps: 127, Avg Q-val: nan, replay: 4903, Mem Usage: 18.5%
2024-09-15 00:00:59,945 - INFO - Ep.: 28, Score: 1.0, e: 1.00, Steps: 166, Avg Q-val: nan, replay: 5069, Mem Usage: 18.5%
2024-09-15 00:01:00,117 - INFO - Ep.: 29, Score: 0.0, e: 1.00, Steps: 145, Avg Q-val: nan, replay: 5214, Mem Usage: 18.6%
2024-09-15 00:01:00,299 - INFO - Ep.: 30, Score: 1.0, e: 1.00, Steps: 161, Avg Q-val: nan, replay: 5375, Mem Usage: 18.6%
2024-09-15 00:01:00,475 - INFO - Ep.: 31, Score: 0.0, e: 1.00, Steps: 147, Avg Q-val: nan, replay: 5522, Mem Usage: 18.6%
2024-09-15 00:01:00,657 - INFO - Ep.: 32, Score: 1.0, e: 1.00, Steps: 162, Avg Q-val: nan, replay: 5684, Mem Usage: 18.7%
2024-09-15 00:01:00,898 - INFO - Ep.: 33, Score: 3.0, e: 1.00, Steps: 254, Avg Q-val: nan, replay: 5938, Mem Usage: 18.7%
2024-09-15 00:01:01,125 - INFO - Ep.: 34, Score: 3.0, e: 1.00, Steps: 235, Avg Q-val: nan, replay: 6173, Mem Usage: 18.8%
2024-09-15 00:01:01,315 - INFO - Ep.: 35, Score: 1.0, e: 1.00, Steps: 170, Avg Q-val: nan, replay: 6343, Mem Usage: 18.8%
2024-09-15 00:01:01,488 - INFO - Ep.: 36, Score: 0.0, e: 1.00, Steps: 147, Avg Q-val: nan, replay: 6490, Mem Usage: 18.9%
2024-09-15 00:01:01,694 - INFO - Ep.: 37, Score: 2.0, e: 1.00, Steps: 195, Avg Q-val: nan, replay: 6685, Mem Usage: 18.9%
2024-09-15 00:01:01,876 - INFO - Ep.: 38, Score: 1.0, e: 1.00, Steps: 160, Avg Q-val: nan, replay: 6845, Mem Usage: 19.0%
2024-09-15 00:01:02,041 - INFO - Ep.: 39, Score: 0.0, e: 1.00, Steps: 131, Avg Q-val: nan, replay: 6976, Mem Usage: 19.0%
2024-09-15 00:01:02,254 - INFO - Ep.: 40, Score: 2.0, e: 1.00, Steps: 210, Avg Q-val: nan, replay: 7186, Mem Usage: 19.1%
2024-09-15 00:01:02,423 - INFO - Ep.: 41, Score: 0.0, e: 1.00, Steps: 136, Avg Q-val: nan, replay: 7322, Mem Usage: 19.1%
2024-09-15 00:01:02,592 - INFO - Ep.: 42, Score: 0.0, e: 1.00, Steps: 140, Avg Q-val: nan, replay: 7462, Mem Usage: 19.1%
2024-09-15 00:01:02,797 - INFO - Ep.: 43, Score: 1.0, e: 1.00, Steps: 195, Avg Q-val: nan, replay: 7657, Mem Usage: 19.2%
2024-09-15 00:01:02,963 - INFO - Ep.: 44, Score: 0.0, e: 1.00, Steps: 133, Avg Q-val: nan, replay: 7790, Mem Usage: 19.2%
2024-09-15 00:01:03,184 - INFO - Ep.: 45, Score: 2.0, e: 1.00, Steps: 212, Avg Q-val: nan, replay: 8002, Mem Usage: 19.3%
2024-09-15 00:01:03,374 - INFO - Ep.: 46, Score: 1.0, e: 1.00, Steps: 175, Avg Q-val: nan, replay: 8177, Mem Usage: 19.4%
2024-09-15 00:01:03,594 - INFO - Ep.: 47, Score: 1.0, e: 1.00, Steps: 183, Avg Q-val: nan, replay: 8360, Mem Usage: 19.4%
2024-09-15 00:01:03,833 - INFO - Ep.: 48, Score: 2.0, e: 1.00, Steps: 227, Avg Q-val: nan, replay: 8587, Mem Usage: 19.5%
2024-09-15 00:01:04,051 - INFO - Ep.: 49, Score: 1.0, e: 1.00, Steps: 188, Avg Q-val: nan, replay: 8775, Mem Usage: 19.5%
2024-09-15 00:01:04,237 - INFO - Ep.: 50, Score: 0.0, e: 1.00, Steps: 137, Avg Q-val: nan, replay: 8912, Mem Usage: 19.5%
2024-09-15 00:01:04,460 - INFO - Ep.: 51, Score: 1.0, e: 1.00, Steps: 205, Avg Q-val: nan, replay: 9117, Mem Usage: 19.6%
2024-09-15 00:01:04,648 - INFO - Ep.: 52, Score: 0.0, e: 1.00, Steps: 138, Avg Q-val: nan, replay: 9255, Mem Usage: 19.6%
2024-09-15 00:01:04,860 - INFO - Ep.: 53, Score: 1.0, e: 1.00, Steps: 185, Avg Q-val: nan, replay: 9440, Mem Usage: 19.6%
2024-09-15 00:01:05,044 - INFO - Ep.: 54, Score: 0.0, e: 1.00, Steps: 141, Avg Q-val: nan, replay: 9581, Mem Usage: 19.7%
2024-09-15 00:01:05,261 - INFO - Ep.: 55, Score: 1.0, e: 1.00, Steps: 182, Avg Q-val: nan, replay: 9763, Mem Usage: 19.7%
2024-09-15 00:01:05,466 - INFO - Ep.: 56, Score: 1.0, e: 1.00, Steps: 180, Avg Q-val: nan, replay: 9943, Mem Usage: 19.7%
2024-09-15 00:01:05,657 - INFO - Ep.: 57, Score: 0.0, e: 1.00, Steps: 141, Avg Q-val: nan, replay: 10084, Mem Usage: 19.8%
2024-09-15 00:01:05,862 - INFO - Ep.: 58, Score: 1.0, e: 1.00, Steps: 179, Avg Q-val: nan, replay: 10263, Mem Usage: 19.8%
2024-09-15 00:01:06,096 - INFO - Ep.: 59, Score: 2.0, e: 1.00, Steps: 208, Avg Q-val: nan, replay: 10471, Mem Usage: 19.8%
2024-09-15 00:01:06,285 - INFO - Ep.: 60, Score: 0.0, e: 1.00, Steps: 143, Avg Q-val: nan, replay: 10614, Mem Usage: 19.9%
2024-09-15 00:01:06,481 - INFO - Ep.: 61, Score: 1.0, e: 1.00, Steps: 162, Avg Q-val: nan, replay: 10776, Mem Usage: 19.9%
2024-09-15 00:01:06,739 - INFO - Ep.: 62, Score: 3.0, e: 1.00, Steps: 250, Avg Q-val: nan, replay: 11026, Mem Usage: 19.9%
2024-09-15 00:01:06,919 - INFO - Ep.: 63, Score: 0.0, e: 1.00, Steps: 134, Avg Q-val: nan, replay: 11160, Mem Usage: 20.0%
2024-09-15 00:01:07,119 - INFO - Ep.: 64, Score: 0.0, e: 1.00, Steps: 153, Avg Q-val: nan, replay: 11313, Mem Usage: 20.0%
2024-09-15 00:01:07,295 - INFO - Ep.: 65, Score: 0.0, e: 1.00, Steps: 134, Avg Q-val: nan, replay: 11447, Mem Usage: 20.0%
2024-09-15 00:01:07,478 - INFO - Ep.: 66, Score: 0.0, e: 1.00, Steps: 134, Avg Q-val: nan, replay: 11581, Mem Usage: 20.0%
2024-09-15 00:01:07,691 - INFO - Ep.: 67, Score: 1.0, e: 1.00, Steps: 175, Avg Q-val: nan, replay: 11756, Mem Usage: 20.1%
2024-09-15 00:01:07,869 - INFO - Ep.: 68, Score: 0.0, e: 1.00, Steps: 137, Avg Q-val: nan, replay: 11893, Mem Usage: 20.1%
2024-09-15 00:01:08,118 - INFO - Ep.: 69, Score: 2.0, e: 1.00, Steps: 229, Avg Q-val: nan, replay: 12122, Mem Usage: 20.1%
2024-09-15 00:01:08,300 - INFO - Ep.: 70, Score: 0.0, e: 1.00, Steps: 145, Avg Q-val: nan, replay: 12267, Mem Usage: 20.2%
2024-09-15 00:01:08,528 - INFO - Ep.: 71, Score: 2.0, e: 1.00, Steps: 199, Avg Q-val: nan, replay: 12466, Mem Usage: 20.2%
2024-09-15 00:01:08,717 - INFO - Ep.: 72, Score: 0.0, e: 1.00, Steps: 138, Avg Q-val: nan, replay: 12604, Mem Usage: 20.2%
2024-09-15 00:01:08,903 - INFO - Ep.: 73, Score: 0.0, e: 1.00, Steps: 151, Avg Q-val: nan, replay: 12755, Mem Usage: 20.3%
2024-09-15 00:01:09,152 - INFO - Ep.: 74, Score: 3.0, e: 1.00, Steps: 227, Avg Q-val: nan, replay: 12982, Mem Usage: 20.3%
2024-09-15 00:01:09,338 - INFO - Ep.: 75, Score: 0.0, e: 1.00, Steps: 134, Avg Q-val: nan, replay: 13116, Mem Usage: 20.3%
2024-09-15 00:01:09,531 - INFO - Ep.: 76, Score: 1.0, e: 1.00, Steps: 161, Avg Q-val: nan, replay: 13277, Mem Usage: 20.3%
2024-09-15 00:01:09,753 - INFO - Ep.: 77, Score: 2.0, e: 1.00, Steps: 189, Avg Q-val: nan, replay: 13466, Mem Usage: 20.4%
2024-09-15 00:01:09,986 - INFO - Ep.: 78, Score: 2.0, e: 1.00, Steps: 217, Avg Q-val: nan, replay: 13683, Mem Usage: 20.4%
2024-09-15 00:01:10,190 - INFO - Ep.: 79, Score: 1.0, e: 1.00, Steps: 167, Avg Q-val: nan, replay: 13850, Mem Usage: 20.4%
2024-09-15 00:01:10,412 - INFO - Ep.: 80, Score: 1.0, e: 1.00, Steps: 187, Avg Q-val: nan, replay: 14037, Mem Usage: 20.5%
2024-09-15 00:01:10,638 - INFO - Ep.: 81, Score: 2.0, e: 1.00, Steps: 208, Avg Q-val: nan, replay: 14245, Mem Usage: 20.5%
2024-09-15 00:01:10,825 - INFO - Ep.: 82, Score: 0.0, e: 1.00, Steps: 139, Avg Q-val: nan, replay: 14384, Mem Usage: 20.5%
2024-09-15 00:01:11,002 - INFO - Ep.: 83, Score: 0.0, e: 1.00, Steps: 139, Avg Q-val: nan, replay: 14523, Mem Usage: 20.6%
2024-09-15 00:01:11,245 - INFO - Ep.: 84, Score: 2.0, e: 1.00, Steps: 219, Avg Q-val: nan, replay: 14742, Mem Usage: 20.6%
2024-09-15 00:01:11,455 - INFO - Ep.: 85, Score: 1.0, e: 1.00, Steps: 186, Avg Q-val: nan, replay: 14928, Mem Usage: 20.6%
2024-09-15 00:01:11,646 - INFO - Ep.: 86, Score: 0.0, e: 1.00, Steps: 147, Avg Q-val: nan, replay: 15075, Mem Usage: 20.7%
2024-09-15 00:01:11,827 - INFO - Ep.: 87, Score: 0.0, e: 1.00, Steps: 127, Avg Q-val: nan, replay: 15202, Mem Usage: 20.7%
2024-09-15 00:01:12,003 - INFO - Ep.: 88, Score: 0.0, e: 1.00, Steps: 137, Avg Q-val: nan, replay: 15339, Mem Usage: 20.7%
2024-09-15 00:01:12,205 - INFO - Ep.: 89, Score: 1.0, e: 1.00, Steps: 160, Avg Q-val: nan, replay: 15499, Mem Usage: 20.7%
2024-09-15 00:01:12,397 - INFO - Ep.: 90, Score: 0.0, e: 1.00, Steps: 133, Avg Q-val: nan, replay: 15632, Mem Usage: 20.8%
2024-09-15 00:01:12,633 - INFO - Ep.: 91, Score: 1.0, e: 1.00, Steps: 196, Avg Q-val: nan, replay: 15828, Mem Usage: 20.8%
2024-09-15 00:01:12,874 - INFO - Ep.: 92, Score: 3.0, e: 1.00, Steps: 214, Avg Q-val: nan, replay: 16042, Mem Usage: 20.9%
2024-09-15 00:01:13,054 - INFO - Ep.: 93, Score: 0.0, e: 1.00, Steps: 134, Avg Q-val: nan, replay: 16176, Mem Usage: 20.9%
2024-09-15 00:01:13,314 - INFO - Ep.: 94, Score: 3.0, e: 1.00, Steps: 254, Avg Q-val: nan, replay: 16430, Mem Usage: 21.0%
2024-09-15 00:01:13,501 - INFO - Ep.: 95, Score: 0.0, e: 1.00, Steps: 143, Avg Q-val: nan, replay: 16573, Mem Usage: 21.0%
2024-09-15 00:01:13,745 - INFO - Ep.: 96, Score: 3.0, e: 1.00, Steps: 226, Avg Q-val: nan, replay: 16799, Mem Usage: 21.0%
2024-09-15 00:01:13,927 - INFO - Ep.: 97, Score: 0.0, e: 1.00, Steps: 126, Avg Q-val: nan, replay: 16925, Mem Usage: 21.1%
2024-09-15 00:01:14,118 - INFO - Ep.: 98, Score: 0.0, e: 1.00, Steps: 145, Avg Q-val: nan, replay: 17070, Mem Usage: 21.1%
2024-09-15 00:01:14,346 - INFO - Ep.: 99, Score: 2.0, e: 1.00, Steps: 213, Avg Q-val: nan, replay: 17283, Mem Usage: 21.2%
2024-09-15 00:01:14,553 - INFO - Ep.: 100, Score: 0.0, e: 1.00, Steps: 165, Avg Q-val: nan, replay: 17448, Mem Usage: 21.2%
2024-09-15 00:01:14,720 - INFO - Ep.: 101, Score: 0.0, e: 1.00, Steps: 124, Avg Q-val: nan, replay: 17572, Mem Usage: 21.3%
2024-09-15 00:01:14,909 - INFO - Ep.: 102, Score: 0.0, e: 1.00, Steps: 141, Avg Q-val: nan, replay: 17713, Mem Usage: 21.3%
2024-09-15 00:01:15,174 - INFO - Ep.: 103, Score: 3.0, e: 1.00, Steps: 254, Avg Q-val: nan, replay: 17967, Mem Usage: 21.3%
2024-09-15 00:01:15,393 - INFO - Ep.: 104, Score: 2.0, e: 1.00, Steps: 198, Avg Q-val: nan, replay: 18165, Mem Usage: 21.4%
2024-09-15 00:01:15,640 - INFO - Ep.: 105, Score: 2.0, e: 1.00, Steps: 227, Avg Q-val: nan, replay: 18392, Mem Usage: 21.5%
2024-09-15 00:01:15,824 - INFO - Ep.: 106, Score: 0.0, e: 1.00, Steps: 147, Avg Q-val: nan, replay: 18539, Mem Usage: 21.5%
2024-09-15 00:01:16,009 - INFO - Ep.: 107, Score: 0.0, e: 1.00, Steps: 137, Avg Q-val: nan, replay: 18676, Mem Usage: 21.5%
2024-09-15 00:01:16,284 - INFO - Ep.: 108, Score: 4.0, e: 1.00, Steps: 270, Avg Q-val: nan, replay: 18946, Mem Usage: 21.6%
2024-09-15 00:01:16,468 - INFO - Ep.: 109, Score: 0.0, e: 1.00, Steps: 130, Avg Q-val: nan, replay: 19076, Mem Usage: 21.6%
2024-09-15 00:01:16,685 - INFO - Ep.: 110, Score: 1.0, e: 1.00, Steps: 198, Avg Q-val: nan, replay: 19274, Mem Usage: 21.7%
2024-09-15 00:01:16,875 - INFO - Ep.: 111, Score: 0.0, e: 1.00, Steps: 144, Avg Q-val: nan, replay: 19418, Mem Usage: 21.7%
2024-09-15 00:01:17,127 - INFO - Ep.: 112, Score: 2.0, e: 1.00, Steps: 230, Avg Q-val: nan, replay: 19648, Mem Usage: 21.7%
2024-09-15 00:01:17,308 - INFO - Ep.: 113, Score: 0.0, e: 1.00, Steps: 130, Avg Q-val: nan, replay: 19778, Mem Usage: 21.8%
2024-09-15 00:01:17,485 - INFO - Ep.: 114, Score: 0.0, e: 1.00, Steps: 137, Avg Q-val: nan, replay: 19915, Mem Usage: 21.8%
2024-09-15 00:01:17,668 - INFO - Ep.: 115, Score: 0.0, e: 1.00, Steps: 130, Avg Q-val: nan, replay: 20045, Mem Usage: 21.9%
2024-09-15 00:01:17,897 - INFO - Ep.: 116, Score: 2.0, e: 1.00, Steps: 205, Avg Q-val: nan, replay: 20250, Mem Usage: 21.9%
2024-09-15 00:01:18,126 - INFO - Ep.: 117, Score: 2.0, e: 1.00, Steps: 208, Avg Q-val: nan, replay: 20458, Mem Usage: 21.9%
2024-09-15 00:01:18,365 - INFO - Ep.: 118, Score: 2.0, e: 1.00, Steps: 225, Avg Q-val: nan, replay: 20683, Mem Usage: 22.0%
2024-09-15 00:01:18,574 - INFO - Ep.: 119, Score: 1.0, e: 1.00, Steps: 176, Avg Q-val: nan, replay: 20859, Mem Usage: 22.0%
2024-09-15 00:01:18,790 - INFO - Ep.: 120, Score: 1.0, e: 1.00, Steps: 180, Avg Q-val: nan, replay: 21039, Mem Usage: 22.1%
2024-09-15 00:01:19,009 - INFO - Ep.: 121, Score: 2.0, e: 1.00, Steps: 200, Avg Q-val: nan, replay: 21239, Mem Usage: 22.2%
2024-09-15 00:01:19,327 - INFO - Ep.: 122, Score: 4.0, e: 1.00, Steps: 329, Avg Q-val: nan, replay: 21568, Mem Usage: 22.2%
2024-09-15 00:01:19,567 - INFO - Ep.: 123, Score: 3.0, e: 1.00, Steps: 233, Avg Q-val: nan, replay: 21801, Mem Usage: 22.3%
2024-09-15 00:01:19,751 - INFO - Ep.: 124, Score: 0.0, e: 1.00, Steps: 131, Avg Q-val: nan, replay: 21932, Mem Usage: 22.3%
