2024-09-23 09:21:34,272 - INFO - Modelo preentrenado cargado desde /data/riwamoto/ALE_Breakout_results/models/dqn_model_ALE_Breakout_final_20240830_095618.pth
2024-09-23 09:21:34,835 - INFO - Ep.: 0, Score: 1.0, e: 1.00, Steps: 175, Avg Q-val: nan, replay: 175, Mem Usage: 20.2%
2024-09-23 09:21:35,248 - INFO - Ep.: 1, Score: 2.0, e: 1.00, Steps: 215, Avg Q-val: nan, replay: 390, Mem Usage: 20.3%
2024-09-23 09:21:35,444 - INFO - Ep.: 2, Score: 1.0, e: 1.00, Steps: 185, Avg Q-val: nan, replay: 575, Mem Usage: 20.4%
2024-09-23 09:21:35,676 - INFO - Ep.: 3, Score: 3.0, e: 1.00, Steps: 244, Avg Q-val: nan, replay: 819, Mem Usage: 20.5%
2024-09-23 09:21:35,868 - INFO - Ep.: 4, Score: 1.0, e: 1.00, Steps: 177, Avg Q-val: nan, replay: 996, Mem Usage: 20.5%
2024-09-23 09:21:36,119 - INFO - Ep.: 5, Score: 4.0, e: 1.00, Steps: 276, Avg Q-val: nan, replay: 1272, Mem Usage: 20.6%
2024-09-23 09:21:36,303 - INFO - Ep.: 6, Score: 1.0, e: 1.00, Steps: 164, Avg Q-val: nan, replay: 1436, Mem Usage: 20.7%
2024-09-23 09:21:36,511 - INFO - Ep.: 7, Score: 2.0, e: 1.00, Steps: 204, Avg Q-val: nan, replay: 1640, Mem Usage: 20.7%
2024-09-23 09:21:36,702 - INFO - Ep.: 8, Score: 1.0, e: 1.00, Steps: 176, Avg Q-val: nan, replay: 1816, Mem Usage: 20.8%
2024-09-23 09:21:36,866 - INFO - Ep.: 9, Score: 0.0, e: 1.00, Steps: 131, Avg Q-val: nan, replay: 1947, Mem Usage: 20.8%
2024-09-23 09:21:37,060 - INFO - Ep.: 10, Score: 1.0, e: 1.00, Steps: 182, Avg Q-val: nan, replay: 2129, Mem Usage: 20.9%
2024-09-23 09:21:37,232 - INFO - Ep.: 11, Score: 0.0, e: 1.00, Steps: 144, Avg Q-val: nan, replay: 2273, Mem Usage: 20.9%
