2024-09-18 07:59:35,105 - INFO - Modelo preentrenado cargado desde /data/riwamoto/ALE_Qbert_results/models/dqn_model_ALE_Qbert_final_20240831_094643.pth
2024-09-18 07:59:35,972 - INFO - Ep.: 0, Score: 13.0, e: 1.00, Steps: 362, Avg Q-val: nan, replay: 362, Mem Usage: 43.1%
2024-09-18 07:59:36,504 - INFO - Ep.: 1, Score: 8.0, e: 1.00, Steps: 299, Avg Q-val: nan, replay: 661, Mem Usage: 43.2%
2024-09-18 07:59:36,811 - INFO - Ep.: 2, Score: 9.0, e: 1.00, Steps: 302, Avg Q-val: nan, replay: 963, Mem Usage: 43.4%
2024-09-18 07:59:37,094 - INFO - Ep.: 3, Score: 8.0, e: 1.00, Steps: 284, Avg Q-val: nan, replay: 1247, Mem Usage: 43.5%
2024-09-18 07:59:37,359 - INFO - Ep.: 4, Score: 8.0, e: 1.00, Steps: 255, Avg Q-val: nan, replay: 1502, Mem Usage: 43.6%
2024-09-18 07:59:37,622 - INFO - Ep.: 5, Score: 7.0, e: 1.00, Steps: 233, Avg Q-val: nan, replay: 1735, Mem Usage: 43.7%
2024-09-18 07:59:37,922 - INFO - Ep.: 6, Score: 7.0, e: 1.00, Steps: 247, Avg Q-val: nan, replay: 1982, Mem Usage: 43.8%
2024-09-18 07:59:38,220 - INFO - Ep.: 7, Score: 9.0, e: 1.00, Steps: 316, Avg Q-val: nan, replay: 2298, Mem Usage: 43.9%
2024-09-18 07:59:38,551 - INFO - Ep.: 8, Score: 10.0, e: 1.00, Steps: 337, Avg Q-val: nan, replay: 2635, Mem Usage: 44.0%
2024-09-18 07:59:38,855 - INFO - Ep.: 9, Score: 8.0, e: 1.00, Steps: 314, Avg Q-val: nan, replay: 2949, Mem Usage: 44.1%
2024-09-18 07:59:39,198 - INFO - Ep.: 10, Score: 9.0, e: 1.00, Steps: 356, Avg Q-val: nan, replay: 3305, Mem Usage: 44.2%
2024-09-18 07:59:39,501 - INFO - Ep.: 11, Score: 14.0, e: 1.00, Steps: 297, Avg Q-val: nan, replay: 3602, Mem Usage: 44.3%
2024-09-18 07:59:39,771 - INFO - Ep.: 12, Score: 6.0, e: 1.00, Steps: 269, Avg Q-val: nan, replay: 3871, Mem Usage: 44.4%
2024-09-18 07:59:40,083 - INFO - Ep.: 13, Score: 10.0, e: 1.00, Steps: 309, Avg Q-val: nan, replay: 4180, Mem Usage: 44.4%
2024-09-18 07:59:40,399 - INFO - Ep.: 14, Score: 7.0, e: 1.00, Steps: 328, Avg Q-val: nan, replay: 4508, Mem Usage: 44.5%
2024-09-18 07:59:40,659 - INFO - Ep.: 15, Score: 9.0, e: 1.00, Steps: 258, Avg Q-val: nan, replay: 4766, Mem Usage: 44.7%
2024-09-18 07:59:40,913 - INFO - Ep.: 16, Score: 8.0, e: 1.00, Steps: 225, Avg Q-val: nan, replay: 4991, Mem Usage: 44.8%
2024-09-18 07:59:41,223 - INFO - Ep.: 17, Score: 10.0, e: 1.00, Steps: 314, Avg Q-val: nan, replay: 5305, Mem Usage: 44.9%
2024-09-18 07:59:41,500 - INFO - Ep.: 18, Score: 7.0, e: 1.00, Steps: 275, Avg Q-val: nan, replay: 5580, Mem Usage: 45.0%
2024-09-18 07:59:41,814 - INFO - Ep.: 19, Score: 6.0, e: 1.00, Steps: 310, Avg Q-val: nan, replay: 5890, Mem Usage: 45.2%
