2024-09-15 11:43:13,160 - INFO - Modelo preentrenado cargado desde /data/riwamoto/ALE_Breakout_results/models/dqn_model_ALE_Breakout_final_20240830_095618.pth
2024-09-15 11:43:14,504 - INFO - Ep.: 0, Score: 240.0, e: 1.00, Steps: 768, Avg Q-val: nan, replay: 768, Mem Usage: 29.9%
2024-09-15 11:43:15,490 - INFO - Ep.: 1, Score: 160.0, e: 1.00, Steps: 691, Avg Q-val: nan, replay: 1459, Mem Usage: 29.9%
2024-09-15 11:43:16,222 - INFO - Ep.: 2, Score: 190.0, e: 1.00, Steps: 695, Avg Q-val: nan, replay: 2154, Mem Usage: 30.0%
2024-09-15 11:43:16,883 - INFO - Ep.: 3, Score: 150.0, e: 1.00, Steps: 605, Avg Q-val: nan, replay: 2759, Mem Usage: 30.0%
2024-09-15 11:43:17,515 - INFO - Ep.: 4, Score: 220.0, e: 1.00, Steps: 581, Avg Q-val: nan, replay: 3340, Mem Usage: 30.0%
2024-09-15 11:43:18,085 - INFO - Ep.: 5, Score: 160.0, e: 1.00, Steps: 523, Avg Q-val: nan, replay: 3863, Mem Usage: 30.0%
2024-09-15 11:43:19,013 - INFO - Ep.: 6, Score: 210.0, e: 1.00, Steps: 870, Avg Q-val: nan, replay: 4733, Mem Usage: 30.1%
2024-09-15 11:43:19,709 - INFO - Ep.: 7, Score: 150.0, e: 1.00, Steps: 653, Avg Q-val: nan, replay: 5386, Mem Usage: 30.2%
2024-09-15 11:43:20,471 - INFO - Ep.: 8, Score: 170.0, e: 1.00, Steps: 712, Avg Q-val: nan, replay: 6098, Mem Usage: 30.2%
2024-09-15 11:43:21,147 - INFO - Ep.: 9, Score: 160.0, e: 1.00, Steps: 625, Avg Q-val: nan, replay: 6723, Mem Usage: 30.3%
2024-09-15 11:43:21,816 - INFO - Ep.: 10, Score: 100.0, e: 1.00, Steps: 617, Avg Q-val: nan, replay: 7340, Mem Usage: 30.4%
2024-09-15 11:43:22,685 - INFO - Ep.: 11, Score: 270.0, e: 1.00, Steps: 789, Avg Q-val: nan, replay: 8129, Mem Usage: 30.5%
2024-09-15 11:43:23,674 - INFO - Ep.: 12, Score: 310.0, e: 1.00, Steps: 928, Avg Q-val: nan, replay: 9057, Mem Usage: 30.5%
2024-09-15 11:43:24,572 - INFO - Ep.: 13, Score: 170.0, e: 1.00, Steps: 858, Avg Q-val: nan, replay: 9915, Mem Usage: 30.6%
2024-09-15 11:43:25,194 - INFO - Ep.: 14, Score: 110.0, e: 1.00, Steps: 559, Avg Q-val: nan, replay: 10474, Mem Usage: 30.6%
2024-09-15 11:43:26,036 - INFO - Ep.: 15, Score: 260.0, e: 1.00, Steps: 813, Avg Q-val: nan, replay: 11287, Mem Usage: 30.6%
2024-09-15 11:43:26,626 - INFO - Ep.: 16, Score: 190.0, e: 1.00, Steps: 527, Avg Q-val: nan, replay: 11814, Mem Usage: 30.6%
2024-09-15 11:43:27,360 - INFO - Ep.: 17, Score: 170.0, e: 1.00, Steps: 705, Avg Q-val: nan, replay: 12519, Mem Usage: 30.7%
2024-09-15 11:43:28,132 - INFO - Ep.: 18, Score: 200.0, e: 1.00, Steps: 702, Avg Q-val: nan, replay: 13221, Mem Usage: 30.7%
2024-09-15 11:43:28,918 - INFO - Ep.: 19, Score: 200.0, e: 1.00, Steps: 707, Avg Q-val: nan, replay: 13928, Mem Usage: 30.8%
2024-09-15 11:43:29,772 - INFO - Ep.: 20, Score: 290.0, e: 1.00, Steps: 830, Avg Q-val: nan, replay: 14758, Mem Usage: 30.9%
2024-09-15 11:43:30,454 - INFO - Ep.: 21, Score: 160.0, e: 1.00, Steps: 597, Avg Q-val: nan, replay: 15355, Mem Usage: 30.9%
2024-09-15 11:43:31,148 - INFO - Ep.: 22, Score: 240.0, e: 1.00, Steps: 651, Avg Q-val: nan, replay: 16006, Mem Usage: 31.0%
2024-09-15 11:43:31,823 - INFO - Ep.: 23, Score: 240.0, e: 1.00, Steps: 617, Avg Q-val: nan, replay: 16623, Mem Usage: 31.1%
2024-09-15 11:43:32,685 - INFO - Ep.: 24, Score: 220.0, e: 1.00, Steps: 800, Avg Q-val: nan, replay: 17423, Mem Usage: 31.2%
2024-09-15 11:43:33,270 - INFO - Ep.: 25, Score: 170.0, e: 1.00, Steps: 541, Avg Q-val: nan, replay: 17964, Mem Usage: 31.2%
2024-09-15 11:43:34,168 - INFO - Ep.: 26, Score: 250.0, e: 1.00, Steps: 896, Avg Q-val: nan, replay: 18860, Mem Usage: 31.2%
2024-09-15 11:43:34,934 - INFO - Ep.: 27, Score: 180.0, e: 1.00, Steps: 690, Avg Q-val: nan, replay: 19550, Mem Usage: 31.3%
2024-09-15 11:43:35,598 - INFO - Ep.: 28, Score: 200.0, e: 1.00, Steps: 621, Avg Q-val: nan, replay: 20171, Mem Usage: 31.3%
2024-09-15 11:43:36,168 - INFO - Ep.: 29, Score: 190.0, e: 1.00, Steps: 514, Avg Q-val: nan, replay: 20685, Mem Usage: 31.4%
2024-09-15 11:43:36,956 - INFO - Ep.: 30, Score: 120.0, e: 1.00, Steps: 722, Avg Q-val: nan, replay: 21407, Mem Usage: 31.5%
