2024-09-20 08:48:50,399 - INFO - Modelo preentrenado cargado desde /data/riwamoto/ALE_Pong_results/models/dqn_model_ALE_Pong_final_20240830_095849.pth
2024-09-20 08:48:51,264 - INFO - Ep.: 0, Score: 140.0, e: 1.00, Steps: 555, Avg Q-val: nan, replay: 555, Mem Usage: 16.1%
2024-09-20 08:48:51,998 - INFO - Ep.: 1, Score: 170.0, e: 1.00, Steps: 621, Avg Q-val: nan, replay: 1176, Mem Usage: 16.3%
2024-09-20 08:48:52,635 - INFO - Ep.: 2, Score: 300.0, e: 1.00, Steps: 747, Avg Q-val: nan, replay: 1923, Mem Usage: 16.6%
2024-09-20 08:48:53,245 - INFO - Ep.: 3, Score: 160.0, e: 1.00, Steps: 649, Avg Q-val: nan, replay: 2572, Mem Usage: 16.8%
2024-09-20 08:48:53,790 - INFO - Ep.: 4, Score: 180.0, e: 1.00, Steps: 584, Avg Q-val: nan, replay: 3156, Mem Usage: 16.9%
2024-09-20 08:48:54,307 - INFO - Ep.: 5, Score: 170.0, e: 1.00, Steps: 534, Avg Q-val: nan, replay: 3690, Mem Usage: 17.0%
2024-09-20 08:48:54,887 - INFO - Ep.: 6, Score: 200.0, e: 1.00, Steps: 609, Avg Q-val: nan, replay: 4299, Mem Usage: 17.1%
2024-09-20 08:48:55,584 - INFO - Ep.: 7, Score: 240.0, e: 1.00, Steps: 764, Avg Q-val: nan, replay: 5063, Mem Usage: 17.2%
2024-09-20 08:48:56,321 - INFO - Ep.: 8, Score: 220.0, e: 1.00, Steps: 804, Avg Q-val: nan, replay: 5867, Mem Usage: 17.3%
2024-09-20 08:48:56,909 - INFO - Ep.: 9, Score: 140.0, e: 1.00, Steps: 622, Avg Q-val: nan, replay: 6489, Mem Usage: 17.5%
2024-09-20 08:48:57,524 - INFO - Ep.: 10, Score: 250.0, e: 1.00, Steps: 665, Avg Q-val: nan, replay: 7154, Mem Usage: 17.6%
2024-09-20 08:48:58,061 - INFO - Ep.: 11, Score: 200.0, e: 1.00, Steps: 559, Avg Q-val: nan, replay: 7713, Mem Usage: 17.7%
2024-09-20 08:48:58,761 - INFO - Ep.: 12, Score: 170.0, e: 1.00, Steps: 760, Avg Q-val: nan, replay: 8473, Mem Usage: 17.9%
2024-09-20 08:48:59,287 - INFO - Ep.: 13, Score: 210.0, e: 1.00, Steps: 548, Avg Q-val: nan, replay: 9021, Mem Usage: 17.9%
2024-09-20 08:48:59,917 - INFO - Ep.: 14, Score: 200.0, e: 1.00, Steps: 681, Avg Q-val: nan, replay: 9702, Mem Usage: 18.0%
2024-09-20 08:49:00,468 - INFO - Ep.: 15, Score: 100.0, e: 1.00, Steps: 568, Avg Q-val: nan, replay: 10270, Mem Usage: 18.1%
2024-09-20 08:49:01,015 - INFO - Ep.: 16, Score: 190.0, e: 1.00, Steps: 568, Avg Q-val: nan, replay: 10838, Mem Usage: 18.2%
2024-09-20 08:49:01,627 - INFO - Ep.: 17, Score: 200.0, e: 1.00, Steps: 648, Avg Q-val: nan, replay: 11486, Mem Usage: 18.3%
2024-09-20 08:49:02,236 - INFO - Ep.: 18, Score: 140.0, e: 1.00, Steps: 660, Avg Q-val: nan, replay: 12146, Mem Usage: 18.4%
2024-09-20 08:49:02,988 - INFO - Ep.: 19, Score: 350.0, e: 1.00, Steps: 828, Avg Q-val: nan, replay: 12974, Mem Usage: 18.6%
2024-09-20 08:49:03,543 - INFO - Ep.: 20, Score: 270.0, e: 1.00, Steps: 581, Avg Q-val: nan, replay: 13555, Mem Usage: 18.7%
2024-09-20 08:49:04,033 - INFO - Ep.: 21, Score: 190.0, e: 1.00, Steps: 503, Avg Q-val: nan, replay: 14058, Mem Usage: 18.8%
2024-09-20 08:49:04,545 - INFO - Ep.: 22, Score: 100.0, e: 1.00, Steps: 521, Avg Q-val: nan, replay: 14579, Mem Usage: 18.9%
2024-09-20 08:49:05,153 - INFO - Ep.: 23, Score: 140.0, e: 1.00, Steps: 638, Avg Q-val: nan, replay: 15217, Mem Usage: 19.0%
2024-09-20 08:49:05,658 - INFO - Ep.: 24, Score: 140.0, e: 1.00, Steps: 528, Avg Q-val: nan, replay: 15745, Mem Usage: 19.1%
2024-09-20 08:49:06,270 - INFO - Ep.: 25, Score: 150.0, e: 1.00, Steps: 649, Avg Q-val: nan, replay: 16394, Mem Usage: 19.2%
2024-09-20 08:49:06,955 - INFO - Ep.: 26, Score: 150.0, e: 1.00, Steps: 742, Avg Q-val: nan, replay: 17136, Mem Usage: 19.3%
2024-09-20 08:49:07,569 - INFO - Ep.: 27, Score: 230.0, e: 1.00, Steps: 668, Avg Q-val: nan, replay: 17804, Mem Usage: 19.4%
2024-09-20 08:49:08,134 - INFO - Ep.: 28, Score: 280.0, e: 1.00, Steps: 592, Avg Q-val: nan, replay: 18396, Mem Usage: 19.5%
2024-09-20 08:49:08,689 - INFO - Ep.: 29, Score: 140.0, e: 1.00, Steps: 576, Avg Q-val: nan, replay: 18972, Mem Usage: 19.6%
2024-09-20 08:49:09,483 - INFO - Ep.: 30, Score: 710.0, e: 1.00, Steps: 898, Avg Q-val: nan, replay: 19870, Mem Usage: 19.8%
2024-09-20 08:49:10,110 - INFO - Ep.: 31, Score: 140.0, e: 1.00, Steps: 674, Avg Q-val: nan, replay: 20544, Mem Usage: 19.9%
2024-09-20 08:49:10,687 - INFO - Ep.: 32, Score: 140.0, e: 1.00, Steps: 614, Avg Q-val: nan, replay: 21158, Mem Usage: 20.0%
2024-09-20 08:49:11,365 - INFO - Ep.: 33, Score: 220.0, e: 1.00, Steps: 731, Avg Q-val: nan, replay: 21889, Mem Usage: 20.1%
2024-09-20 08:49:12,334 - INFO - Ep.: 34, Score: 270.0, e: 1.00, Steps: 1099, Avg Q-val: nan, replay: 22988, Mem Usage: 20.3%
2024-09-20 08:49:13,011 - INFO - Ep.: 35, Score: 160.0, e: 1.00, Steps: 746, Avg Q-val: nan, replay: 23734, Mem Usage: 20.4%
2024-09-20 08:49:13,571 - INFO - Ep.: 36, Score: 140.0, e: 1.00, Steps: 580, Avg Q-val: nan, replay: 24314, Mem Usage: 20.5%
2024-09-20 08:49:14,657 - INFO - Ep.: 37, Score: 410.0, e: 1.00, Steps: 1269, Avg Q-val: nan, replay: 25583, Mem Usage: 20.7%
2024-09-20 08:49:15,169 - INFO - Ep.: 38, Score: 180.0, e: 1.00, Steps: 521, Avg Q-val: nan, replay: 26104, Mem Usage: 20.8%
2024-09-20 08:49:15,911 - INFO - Ep.: 39, Score: 190.0, e: 1.00, Steps: 818, Avg Q-val: nan, replay: 26922, Mem Usage: 20.9%
2024-09-20 08:49:16,588 - INFO - Ep.: 40, Score: 140.0, e: 1.00, Steps: 728, Avg Q-val: nan, replay: 27650, Mem Usage: 21.1%
2024-09-20 08:49:17,108 - INFO - Ep.: 41, Score: 180.0, e: 1.00, Steps: 535, Avg Q-val: nan, replay: 28185, Mem Usage: 21.1%
2024-09-20 08:49:17,768 - INFO - Ep.: 42, Score: 180.0, e: 1.00, Steps: 717, Avg Q-val: nan, replay: 28902, Mem Usage: 21.2%
2024-09-20 08:49:18,428 - INFO - Ep.: 43, Score: 250.0, e: 1.00, Steps: 713, Avg Q-val: nan, replay: 29615, Mem Usage: 21.4%
2024-09-20 08:49:19,094 - INFO - Ep.: 44, Score: 170.0, e: 1.00, Steps: 726, Avg Q-val: nan, replay: 30341, Mem Usage: 21.5%
2024-09-20 08:49:19,749 - INFO - Ep.: 45, Score: 150.0, e: 1.00, Steps: 701, Avg Q-val: nan, replay: 31042, Mem Usage: 21.6%
2024-09-20 08:49:20,558 - INFO - Ep.: 46, Score: 230.0, e: 1.00, Steps: 902, Avg Q-val: nan, replay: 31944, Mem Usage: 21.7%
2024-09-20 08:49:21,128 - INFO - Ep.: 47, Score: 200.0, e: 1.00, Steps: 603, Avg Q-val: nan, replay: 32547, Mem Usage: 21.8%
2024-09-20 08:49:22,066 - INFO - Ep.: 48, Score: 250.0, e: 1.00, Steps: 1063, Avg Q-val: nan, replay: 33610, Mem Usage: 22.0%
2024-09-20 08:49:22,812 - INFO - Ep.: 49, Score: 160.0, e: 1.00, Steps: 827, Avg Q-val: nan, replay: 34437, Mem Usage: 22.2%
2024-09-20 08:49:23,345 - INFO - Ep.: 50, Score: 120.0, e: 1.00, Steps: 551, Avg Q-val: nan, replay: 34988, Mem Usage: 22.3%
2024-09-20 08:49:24,060 - INFO - Ep.: 51, Score: 160.0, e: 1.00, Steps: 776, Avg Q-val: nan, replay: 35764, Mem Usage: 22.4%
2024-09-20 08:49:24,607 - INFO - Ep.: 52, Score: 120.0, e: 1.00, Steps: 580, Avg Q-val: nan, replay: 36344, Mem Usage: 22.5%
2024-09-20 08:49:25,122 - INFO - Ep.: 53, Score: 100.0, e: 1.00, Steps: 526, Avg Q-val: nan, replay: 36870, Mem Usage: 22.6%
2024-09-20 08:49:25,695 - INFO - Ep.: 54, Score: 180.0, e: 1.00, Steps: 599, Avg Q-val: nan, replay: 37469, Mem Usage: 22.7%
