2024-09-20 08:49:52,669 - INFO - Modelo preentrenado cargado desde /data/riwamoto/ALE_Frogger_results/models/dqn_model_ALE_Frogger_final_20240829_113617.pth
2024-09-20 08:49:53,901 - INFO - Ep.: 0, Score: 210.0, e: 1.00, Steps: 744, Avg Q-val: nan, replay: 744, Mem Usage: 29.5%
2024-09-20 08:49:54,743 - INFO - Ep.: 1, Score: 210.0, e: 1.00, Steps: 596, Avg Q-val: nan, replay: 1340, Mem Usage: 29.8%
2024-09-20 08:49:55,725 - INFO - Ep.: 2, Score: 180.0, e: 1.00, Steps: 989, Avg Q-val: nan, replay: 2329, Mem Usage: 30.1%
2024-09-20 08:49:56,373 - INFO - Ep.: 3, Score: 140.0, e: 1.00, Steps: 640, Avg Q-val: nan, replay: 2969, Mem Usage: 30.3%
2024-09-20 08:49:56,993 - INFO - Ep.: 4, Score: 150.0, e: 1.00, Steps: 611, Avg Q-val: nan, replay: 3580, Mem Usage: 30.4%
2024-09-20 08:49:57,706 - INFO - Ep.: 5, Score: 190.0, e: 1.00, Steps: 707, Avg Q-val: nan, replay: 4287, Mem Usage: 30.6%
2024-09-20 08:49:58,406 - INFO - Ep.: 6, Score: 320.0, e: 1.00, Steps: 719, Avg Q-val: nan, replay: 5006, Mem Usage: 30.7%
2024-09-20 08:49:59,097 - INFO - Ep.: 7, Score: 250.0, e: 1.00, Steps: 660, Avg Q-val: nan, replay: 5666, Mem Usage: 30.8%
2024-09-20 08:49:59,654 - INFO - Ep.: 8, Score: 150.0, e: 1.00, Steps: 524, Avg Q-val: nan, replay: 6190, Mem Usage: 31.0%
2024-09-20 08:50:00,428 - INFO - Ep.: 9, Score: 280.0, e: 1.00, Steps: 794, Avg Q-val: nan, replay: 6984, Mem Usage: 31.1%
2024-09-20 08:50:01,111 - INFO - Ep.: 10, Score: 210.0, e: 1.00, Steps: 651, Avg Q-val: nan, replay: 7635, Mem Usage: 31.3%
2024-09-20 08:50:01,764 - INFO - Ep.: 11, Score: 150.0, e: 1.00, Steps: 652, Avg Q-val: nan, replay: 8287, Mem Usage: 31.4%
2024-09-20 08:50:02,343 - INFO - Ep.: 12, Score: 100.0, e: 1.00, Steps: 556, Avg Q-val: nan, replay: 8843, Mem Usage: 31.5%
2024-09-20 08:50:03,050 - INFO - Ep.: 13, Score: 200.0, e: 1.00, Steps: 727, Avg Q-val: nan, replay: 9570, Mem Usage: 31.7%
2024-09-20 08:50:03,721 - INFO - Ep.: 14, Score: 280.0, e: 1.00, Steps: 677, Avg Q-val: nan, replay: 10247, Mem Usage: 32.0%
2024-09-20 08:50:04,521 - INFO - Ep.: 15, Score: 760.0, e: 1.00, Steps: 814, Avg Q-val: nan, replay: 11061, Mem Usage: 32.1%
2024-09-20 08:50:05,075 - INFO - Ep.: 16, Score: 130.0, e: 1.00, Steps: 538, Avg Q-val: nan, replay: 11599, Mem Usage: 32.2%
2024-09-20 08:50:05,673 - INFO - Ep.: 17, Score: 130.0, e: 1.00, Steps: 555, Avg Q-val: nan, replay: 12154, Mem Usage: 32.5%
2024-09-20 08:50:06,283 - INFO - Ep.: 18, Score: 140.0, e: 1.00, Steps: 603, Avg Q-val: nan, replay: 12757, Mem Usage: 32.5%
2024-09-20 08:50:06,934 - INFO - Ep.: 19, Score: 110.0, e: 1.00, Steps: 637, Avg Q-val: nan, replay: 13394, Mem Usage: 32.7%
2024-09-20 08:50:07,608 - INFO - Ep.: 20, Score: 210.0, e: 1.00, Steps: 666, Avg Q-val: nan, replay: 14060, Mem Usage: 32.9%
2024-09-20 08:50:08,221 - INFO - Ep.: 21, Score: 170.0, e: 1.00, Steps: 619, Avg Q-val: nan, replay: 14679, Mem Usage: 33.0%
2024-09-20 08:50:08,800 - INFO - Ep.: 22, Score: 150.0, e: 1.00, Steps: 551, Avg Q-val: nan, replay: 15230, Mem Usage: 33.1%
2024-09-20 08:50:09,447 - INFO - Ep.: 23, Score: 120.0, e: 1.00, Steps: 634, Avg Q-val: nan, replay: 15864, Mem Usage: 33.3%
2024-09-20 08:50:10,151 - INFO - Ep.: 24, Score: 160.0, e: 1.00, Steps: 694, Avg Q-val: nan, replay: 16558, Mem Usage: 33.5%
2024-09-20 08:50:10,768 - INFO - Ep.: 25, Score: 140.0, e: 1.00, Steps: 601, Avg Q-val: nan, replay: 17159, Mem Usage: 33.6%
2024-09-20 08:50:11,610 - INFO - Ep.: 26, Score: 210.0, e: 1.00, Steps: 825, Avg Q-val: nan, replay: 17984, Mem Usage: 33.9%
2024-09-20 08:50:12,201 - INFO - Ep.: 27, Score: 240.0, e: 1.00, Steps: 574, Avg Q-val: nan, replay: 18558, Mem Usage: 34.0%
2024-09-20 08:50:13,127 - INFO - Ep.: 28, Score: 270.0, e: 1.00, Steps: 919, Avg Q-val: nan, replay: 19477, Mem Usage: 34.3%
2024-09-20 08:50:13,673 - INFO - Ep.: 29, Score: 160.0, e: 1.00, Steps: 493, Avg Q-val: nan, replay: 19970, Mem Usage: 34.5%
2024-09-20 08:50:14,240 - INFO - Ep.: 30, Score: 160.0, e: 1.00, Steps: 547, Avg Q-val: nan, replay: 20517, Mem Usage: 34.7%
2024-09-20 08:50:14,929 - INFO - Ep.: 31, Score: 200.0, e: 1.00, Steps: 711, Avg Q-val: nan, replay: 21228, Mem Usage: 34.8%
2024-09-20 08:50:15,520 - INFO - Ep.: 32, Score: 220.0, e: 1.00, Steps: 586, Avg Q-val: nan, replay: 21814, Mem Usage: 34.9%
2024-09-20 08:50:16,376 - INFO - Ep.: 33, Score: 220.0, e: 1.00, Steps: 857, Avg Q-val: nan, replay: 22671, Mem Usage: 35.1%
2024-09-20 08:50:16,975 - INFO - Ep.: 34, Score: 110.0, e: 1.00, Steps: 592, Avg Q-val: nan, replay: 23263, Mem Usage: 35.2%
2024-09-20 08:50:17,501 - INFO - Ep.: 35, Score: 120.0, e: 1.00, Steps: 498, Avg Q-val: nan, replay: 23761, Mem Usage: 35.4%
2024-09-20 08:50:18,221 - INFO - Ep.: 36, Score: 210.0, e: 1.00, Steps: 723, Avg Q-val: nan, replay: 24484, Mem Usage: 35.6%
2024-09-20 08:50:18,817 - INFO - Ep.: 37, Score: 150.0, e: 1.00, Steps: 578, Avg Q-val: nan, replay: 25062, Mem Usage: 35.7%
