2024-09-23 23:46:30,626 - INFO - Modelo preentrenado cargado desde /data/riwamoto/ALE_Qbert_results/models/dqn_model_ALE_Qbert_final_20240831_094643.pth
2024-09-23 23:46:31,670 - INFO - Ep.: 0, Score: 170.0, e: 1.00, Steps: 626, Avg Q-val: nan, replay: 626, Mem Usage: 37.1%
2024-09-23 23:46:32,608 - INFO - Ep.: 1, Score: 210.0, e: 1.00, Steps: 781, Avg Q-val: nan, replay: 1407, Mem Usage: 37.5%
2024-09-23 23:46:33,498 - INFO - Ep.: 2, Score: 300.0, e: 1.00, Steps: 996, Avg Q-val: nan, replay: 2403, Mem Usage: 37.9%
2024-09-23 23:46:34,116 - INFO - Ep.: 3, Score: 160.0, e: 1.00, Steps: 652, Avg Q-val: nan, replay: 3055, Mem Usage: 38.2%
2024-09-23 23:46:34,758 - INFO - Ep.: 4, Score: 200.0, e: 1.00, Steps: 661, Avg Q-val: nan, replay: 3716, Mem Usage: 38.6%
2024-09-23 23:46:35,434 - INFO - Ep.: 5, Score: 170.0, e: 1.00, Steps: 680, Avg Q-val: nan, replay: 4396, Mem Usage: 38.9%
2024-09-23 23:46:36,113 - INFO - Ep.: 6, Score: 140.0, e: 1.00, Steps: 680, Avg Q-val: nan, replay: 5076, Mem Usage: 39.1%
2024-09-23 23:46:36,737 - INFO - Ep.: 7, Score: 210.0, e: 1.00, Steps: 612, Avg Q-val: nan, replay: 5688, Mem Usage: 39.3%
2024-09-23 23:46:37,467 - INFO - Ep.: 8, Score: 140.0, e: 1.00, Steps: 756, Avg Q-val: nan, replay: 6444, Mem Usage: 39.7%
2024-09-23 23:46:38,252 - INFO - Ep.: 9, Score: 210.0, e: 1.00, Steps: 820, Avg Q-val: nan, replay: 7264, Mem Usage: 39.9%
2024-09-23 23:46:39,092 - INFO - Ep.: 10, Score: 280.0, e: 1.00, Steps: 866, Avg Q-val: nan, replay: 8130, Mem Usage: 40.2%
2024-09-23 23:46:39,724 - INFO - Ep.: 11, Score: 150.0, e: 1.00, Steps: 634, Avg Q-val: nan, replay: 8764, Mem Usage: 40.5%
2024-09-23 23:46:40,312 - INFO - Ep.: 12, Score: 190.0, e: 1.00, Steps: 584, Avg Q-val: nan, replay: 9348, Mem Usage: 40.7%
2024-09-23 23:46:40,994 - INFO - Ep.: 13, Score: 170.0, e: 1.00, Steps: 660, Avg Q-val: nan, replay: 10008, Mem Usage: 41.0%
2024-09-23 23:46:41,871 - INFO - Ep.: 14, Score: 250.0, e: 1.00, Steps: 908, Avg Q-val: nan, replay: 10916, Mem Usage: 41.4%
2024-09-23 23:46:42,493 - INFO - Ep.: 15, Score: 180.0, e: 1.00, Steps: 563, Avg Q-val: nan, replay: 11479, Mem Usage: 41.6%
2024-09-23 23:46:43,240 - INFO - Ep.: 16, Score: 170.0, e: 1.00, Steps: 761, Avg Q-val: nan, replay: 12240, Mem Usage: 41.9%
2024-09-23 23:46:43,935 - INFO - Ep.: 17, Score: 240.0, e: 1.00, Steps: 709, Avg Q-val: nan, replay: 12949, Mem Usage: 42.1%
2024-09-23 23:46:44,637 - INFO - Ep.: 18, Score: 220.0, e: 1.00, Steps: 697, Avg Q-val: nan, replay: 13646, Mem Usage: 42.3%
2024-09-23 23:46:45,291 - INFO - Ep.: 19, Score: 240.0, e: 1.00, Steps: 653, Avg Q-val: nan, replay: 14299, Mem Usage: 42.6%
