2024-09-23 09:19:54,574 - INFO - Modelo preentrenado cargado desde /data/riwamoto/ALE_MarioBros_results/models/dqn_model_ALE_MarioBros_final_20240831_094717.pth
2024-09-23 09:19:55,124 - INFO - Ep.: 0, Score: 1.0, e: 1.00, Steps: 157, Avg Q-val: nan, replay: 157, Mem Usage: 4.4%
2024-09-23 09:19:55,492 - INFO - Ep.: 1, Score: 0.0, e: 1.00, Steps: 142, Avg Q-val: nan, replay: 299, Mem Usage: 4.5%
2024-09-23 09:19:55,670 - INFO - Ep.: 2, Score: 1.0, e: 1.00, Steps: 153, Avg Q-val: nan, replay: 452, Mem Usage: 4.5%
2024-09-23 09:19:55,907 - INFO - Ep.: 3, Score: 3.0, e: 1.00, Steps: 253, Avg Q-val: nan, replay: 705, Mem Usage: 4.5%
2024-09-23 09:19:56,074 - INFO - Ep.: 4, Score: 0.0, e: 1.00, Steps: 135, Avg Q-val: nan, replay: 840, Mem Usage: 4.5%
2024-09-23 09:19:56,251 - INFO - Ep.: 5, Score: 0.0, e: 1.00, Steps: 152, Avg Q-val: nan, replay: 992, Mem Usage: 4.5%
2024-09-23 09:19:56,433 - INFO - Ep.: 6, Score: 1.0, e: 1.00, Steps: 160, Avg Q-val: nan, replay: 1152, Mem Usage: 4.5%
2024-09-23 09:19:56,599 - INFO - Ep.: 7, Score: 0.0, e: 1.00, Steps: 134, Avg Q-val: nan, replay: 1286, Mem Usage: 4.5%
2024-09-23 09:19:56,802 - INFO - Ep.: 8, Score: 2.0, e: 1.00, Steps: 195, Avg Q-val: nan, replay: 1481, Mem Usage: 4.6%
2024-09-23 09:19:56,975 - INFO - Ep.: 9, Score: 0.0, e: 1.00, Steps: 146, Avg Q-val: nan, replay: 1627, Mem Usage: 4.6%
2024-09-23 09:19:57,146 - INFO - Ep.: 10, Score: 0.0, e: 1.00, Steps: 144, Avg Q-val: nan, replay: 1771, Mem Usage: 4.6%
2024-09-23 09:19:57,315 - INFO - Ep.: 11, Score: 0.0, e: 1.00, Steps: 138, Avg Q-val: nan, replay: 1909, Mem Usage: 4.6%
2024-09-23 09:19:57,510 - INFO - Ep.: 12, Score: 1.0, e: 1.00, Steps: 182, Avg Q-val: nan, replay: 2091, Mem Usage: 4.6%
2024-09-23 09:19:57,705 - INFO - Ep.: 13, Score: 1.0, e: 1.00, Steps: 184, Avg Q-val: nan, replay: 2275, Mem Usage: 4.6%
2024-09-23 09:19:57,912 - INFO - Ep.: 14, Score: 2.0, e: 1.00, Steps: 202, Avg Q-val: nan, replay: 2477, Mem Usage: 4.6%
2024-09-23 09:19:58,109 - INFO - Ep.: 15, Score: 1.0, e: 1.00, Steps: 185, Avg Q-val: nan, replay: 2662, Mem Usage: 4.7%
2024-09-23 09:19:58,334 - INFO - Ep.: 16, Score: 3.0, e: 1.00, Steps: 236, Avg Q-val: nan, replay: 2898, Mem Usage: 4.7%
2024-09-23 09:19:58,507 - INFO - Ep.: 17, Score: 0.0, e: 1.00, Steps: 146, Avg Q-val: nan, replay: 3044, Mem Usage: 4.7%
2024-09-23 09:19:58,702 - INFO - Ep.: 18, Score: 1.0, e: 1.00, Steps: 184, Avg Q-val: nan, replay: 3228, Mem Usage: 4.7%
2024-09-23 09:19:58,865 - INFO - Ep.: 19, Score: 0.0, e: 1.00, Steps: 131, Avg Q-val: nan, replay: 3359, Mem Usage: 4.7%
2024-09-23 09:19:59,093 - INFO - Ep.: 20, Score: 3.0, e: 1.00, Steps: 240, Avg Q-val: nan, replay: 3599, Mem Usage: 4.7%
2024-09-23 09:19:59,365 - INFO - Ep.: 21, Score: 4.0, e: 1.00, Steps: 316, Avg Q-val: nan, replay: 3915, Mem Usage: 4.8%
2024-09-23 09:19:59,525 - INFO - Ep.: 22, Score: 0.0, e: 1.00, Steps: 124, Avg Q-val: nan, replay: 4039, Mem Usage: 4.8%
2024-09-23 09:19:59,690 - INFO - Ep.: 23, Score: 0.0, e: 1.00, Steps: 134, Avg Q-val: nan, replay: 4173, Mem Usage: 4.8%
2024-09-23 09:19:59,856 - INFO - Ep.: 24, Score: 0.0, e: 1.00, Steps: 136, Avg Q-val: nan, replay: 4309, Mem Usage: 4.8%
2024-09-23 09:20:00,044 - INFO - Ep.: 25, Score: 1.0, e: 1.00, Steps: 171, Avg Q-val: nan, replay: 4480, Mem Usage: 4.8%
2024-09-23 09:20:00,208 - INFO - Ep.: 26, Score: 0.0, e: 1.00, Steps: 134, Avg Q-val: nan, replay: 4614, Mem Usage: 4.8%
2024-09-23 09:20:00,450 - INFO - Ep.: 27, Score: 3.0, e: 1.00, Steps: 264, Avg Q-val: nan, replay: 4878, Mem Usage: 4.8%
2024-09-23 09:20:00,634 - INFO - Ep.: 28, Score: 1.0, e: 1.00, Steps: 164, Avg Q-val: nan, replay: 5042, Mem Usage: 4.9%
2024-09-23 09:20:00,858 - INFO - Ep.: 29, Score: 2.0, e: 1.00, Steps: 232, Avg Q-val: nan, replay: 5274, Mem Usage: 4.9%
2024-09-23 09:20:01,110 - INFO - Ep.: 30, Score: 3.0, e: 1.00, Steps: 281, Avg Q-val: nan, replay: 5555, Mem Usage: 4.9%
2024-09-23 09:20:01,293 - INFO - Ep.: 31, Score: 1.0, e: 1.00, Steps: 164, Avg Q-val: nan, replay: 5719, Mem Usage: 4.9%
2024-09-23 09:20:01,500 - INFO - Ep.: 32, Score: 2.0, e: 1.00, Steps: 206, Avg Q-val: nan, replay: 5925, Mem Usage: 4.9%
2024-09-23 09:20:01,662 - INFO - Ep.: 33, Score: 0.0, e: 1.00, Steps: 128, Avg Q-val: nan, replay: 6053, Mem Usage: 4.9%
2024-09-23 09:20:01,829 - INFO - Ep.: 34, Score: 0.0, e: 1.00, Steps: 137, Avg Q-val: nan, replay: 6190, Mem Usage: 5.0%
2024-09-23 09:20:02,012 - INFO - Ep.: 35, Score: 0.0, e: 1.00, Steps: 164, Avg Q-val: nan, replay: 6354, Mem Usage: 5.0%
2024-09-23 09:20:02,187 - INFO - Ep.: 36, Score: 0.0, e: 1.00, Steps: 151, Avg Q-val: nan, replay: 6505, Mem Usage: 5.0%
2024-09-23 09:20:02,369 - INFO - Ep.: 37, Score: 1.0, e: 1.00, Steps: 163, Avg Q-val: nan, replay: 6668, Mem Usage: 5.0%
2024-09-23 09:20:02,550 - INFO - Ep.: 38, Score: 1.0, e: 1.00, Steps: 161, Avg Q-val: nan, replay: 6829, Mem Usage: 5.0%
2024-09-23 09:20:02,736 - INFO - Ep.: 39, Score: 1.0, e: 1.00, Steps: 170, Avg Q-val: nan, replay: 6999, Mem Usage: 5.0%
2024-09-23 09:20:02,955 - INFO - Ep.: 40, Score: 2.0, e: 1.00, Steps: 225, Avg Q-val: nan, replay: 7224, Mem Usage: 5.0%
2024-09-23 09:20:03,124 - INFO - Ep.: 41, Score: 0.0, e: 1.00, Steps: 140, Avg Q-val: nan, replay: 7364, Mem Usage: 5.0%
2024-09-23 09:20:03,353 - INFO - Ep.: 42, Score: 3.0, e: 1.00, Steps: 243, Avg Q-val: nan, replay: 7607, Mem Usage: 5.1%
2024-09-23 09:20:03,566 - INFO - Ep.: 43, Score: 2.0, e: 1.00, Steps: 215, Avg Q-val: nan, replay: 7822, Mem Usage: 5.1%
