2024-09-23 09:21:07,794 - INFO - Modelo preentrenado cargado desde /data/riwamoto/ALE_Pong_results/models/dqn_model_ALE_Pong_final_20240830_095849.pth
2024-09-23 09:21:08,376 - INFO - Ep.: 0, Score: 2.0, e: 1.00, Steps: 209, Avg Q-val: nan, replay: 209, Mem Usage: 13.8%
2024-09-23 09:21:08,802 - INFO - Ep.: 1, Score: 3.0, e: 1.00, Steps: 231, Avg Q-val: nan, replay: 440, Mem Usage: 13.9%
2024-09-23 09:21:08,969 - INFO - Ep.: 2, Score: 0.0, e: 1.00, Steps: 136, Avg Q-val: nan, replay: 576, Mem Usage: 13.9%
2024-09-23 09:21:09,153 - INFO - Ep.: 3, Score: 1.0, e: 1.00, Steps: 164, Avg Q-val: nan, replay: 740, Mem Usage: 14.0%
2024-09-23 09:21:09,321 - INFO - Ep.: 4, Score: 0.0, e: 1.00, Steps: 139, Avg Q-val: nan, replay: 879, Mem Usage: 14.0%
2024-09-23 09:21:09,518 - INFO - Ep.: 5, Score: 2.0, e: 1.00, Steps: 185, Avg Q-val: nan, replay: 1064, Mem Usage: 14.0%
2024-09-23 09:21:09,679 - INFO - Ep.: 6, Score: 0.0, e: 1.00, Steps: 126, Avg Q-val: nan, replay: 1190, Mem Usage: 14.1%
2024-09-23 09:21:09,938 - INFO - Ep.: 7, Score: 3.0, e: 1.00, Steps: 292, Avg Q-val: nan, replay: 1482, Mem Usage: 14.1%
2024-09-23 09:21:10,106 - INFO - Ep.: 8, Score: 0.0, e: 1.00, Steps: 139, Avg Q-val: nan, replay: 1621, Mem Usage: 14.2%
2024-09-23 09:21:10,340 - INFO - Ep.: 9, Score: 3.0, e: 1.00, Steps: 249, Avg Q-val: nan, replay: 1870, Mem Usage: 14.2%
2024-09-23 09:21:10,531 - INFO - Ep.: 10, Score: 1.0, e: 1.00, Steps: 175, Avg Q-val: nan, replay: 2045, Mem Usage: 14.3%
2024-09-23 09:21:10,763 - INFO - Ep.: 11, Score: 3.0, e: 1.00, Steps: 248, Avg Q-val: nan, replay: 2293, Mem Usage: 14.3%
2024-09-23 09:21:10,979 - INFO - Ep.: 12, Score: 2.0, e: 1.00, Steps: 219, Avg Q-val: nan, replay: 2512, Mem Usage: 14.4%
2024-09-23 09:21:11,144 - INFO - Ep.: 13, Score: 0.0, e: 1.00, Steps: 134, Avg Q-val: nan, replay: 2646, Mem Usage: 14.4%
2024-09-23 09:21:11,326 - INFO - Ep.: 14, Score: 1.0, e: 1.00, Steps: 162, Avg Q-val: nan, replay: 2808, Mem Usage: 14.5%
2024-09-23 09:21:11,563 - INFO - Ep.: 15, Score: 3.0, e: 1.00, Steps: 255, Avg Q-val: nan, replay: 3063, Mem Usage: 14.5%
2024-09-23 09:21:11,729 - INFO - Ep.: 16, Score: 0.0, e: 1.00, Steps: 135, Avg Q-val: nan, replay: 3198, Mem Usage: 14.6%
2024-09-23 09:21:11,896 - INFO - Ep.: 17, Score: 0.0, e: 1.00, Steps: 138, Avg Q-val: nan, replay: 3336, Mem Usage: 14.6%
2024-09-23 09:21:12,101 - INFO - Ep.: 18, Score: 2.0, e: 1.00, Steps: 201, Avg Q-val: nan, replay: 3537, Mem Usage: 14.7%
2024-09-23 09:21:12,282 - INFO - Ep.: 19, Score: 1.0, e: 1.00, Steps: 161, Avg Q-val: nan, replay: 3698, Mem Usage: 14.7%
2024-09-23 09:21:12,449 - INFO - Ep.: 20, Score: 0.0, e: 1.00, Steps: 136, Avg Q-val: nan, replay: 3834, Mem Usage: 14.7%
2024-09-23 09:21:12,620 - INFO - Ep.: 21, Score: 0.0, e: 1.00, Steps: 144, Avg Q-val: nan, replay: 3978, Mem Usage: 14.8%
2024-09-23 09:21:12,836 - INFO - Ep.: 22, Score: 2.0, e: 1.00, Steps: 221, Avg Q-val: nan, replay: 4199, Mem Usage: 14.8%
2024-09-23 09:21:12,998 - INFO - Ep.: 23, Score: 0.0, e: 1.00, Steps: 128, Avg Q-val: nan, replay: 4327, Mem Usage: 14.9%
2024-09-23 09:21:13,169 - INFO - Ep.: 24, Score: 0.0, e: 1.00, Steps: 144, Avg Q-val: nan, replay: 4471, Mem Usage: 14.9%
