2024-09-18 07:58:47,741 - INFO - Modelo preentrenado cargado desde /data/riwamoto/ALE_Frogger_results/models/dqn_model_ALE_Frogger_final_20240829_113617.pth
2024-09-18 07:58:48,378 - INFO - Ep.: 0, Score: 14.0, e: 1.00, Steps: 306, Avg Q-val: nan, replay: 306, Mem Usage: 25.5%
2024-09-18 07:58:48,786 - INFO - Ep.: 1, Score: 8.0, e: 1.00, Steps: 223, Avg Q-val: nan, replay: 529, Mem Usage: 25.7%
2024-09-18 07:58:49,033 - INFO - Ep.: 2, Score: 10.0, e: 1.00, Steps: 294, Avg Q-val: nan, replay: 823, Mem Usage: 25.8%
2024-09-18 07:58:49,238 - INFO - Ep.: 3, Score: 9.0, e: 1.00, Steps: 217, Avg Q-val: nan, replay: 1040, Mem Usage: 25.9%
2024-09-18 07:58:49,461 - INFO - Ep.: 4, Score: 9.0, e: 1.00, Steps: 249, Avg Q-val: nan, replay: 1289, Mem Usage: 26.0%
2024-09-18 07:58:49,686 - INFO - Ep.: 5, Score: 10.0, e: 1.00, Steps: 255, Avg Q-val: nan, replay: 1544, Mem Usage: 26.1%
2024-09-18 07:58:49,922 - INFO - Ep.: 6, Score: 7.0, e: 1.00, Steps: 274, Avg Q-val: nan, replay: 1818, Mem Usage: 26.2%
2024-09-18 07:58:50,159 - INFO - Ep.: 7, Score: 10.0, e: 1.00, Steps: 275, Avg Q-val: nan, replay: 2093, Mem Usage: 26.4%
2024-09-18 07:58:50,420 - INFO - Ep.: 8, Score: 9.0, e: 1.00, Steps: 319, Avg Q-val: nan, replay: 2412, Mem Usage: 26.5%
2024-09-18 07:58:50,646 - INFO - Ep.: 9, Score: 9.0, e: 1.00, Steps: 257, Avg Q-val: nan, replay: 2669, Mem Usage: 26.6%
2024-09-18 07:58:50,884 - INFO - Ep.: 10, Score: 9.0, e: 1.00, Steps: 279, Avg Q-val: nan, replay: 2948, Mem Usage: 26.7%
2024-09-18 07:58:51,102 - INFO - Ep.: 11, Score: 7.0, e: 1.00, Steps: 238, Avg Q-val: nan, replay: 3186, Mem Usage: 26.8%
2024-09-18 07:58:51,375 - INFO - Ep.: 12, Score: 8.0, e: 1.00, Steps: 343, Avg Q-val: nan, replay: 3529, Mem Usage: 27.0%
2024-09-18 07:58:51,606 - INFO - Ep.: 13, Score: 8.0, e: 1.00, Steps: 265, Avg Q-val: nan, replay: 3794, Mem Usage: 27.1%
2024-09-18 07:58:51,855 - INFO - Ep.: 14, Score: 11.0, e: 1.00, Steps: 297, Avg Q-val: nan, replay: 4091, Mem Usage: 27.2%
2024-09-18 07:58:52,107 - INFO - Ep.: 15, Score: 11.0, e: 1.00, Steps: 302, Avg Q-val: nan, replay: 4393, Mem Usage: 27.3%
2024-09-18 07:58:52,389 - INFO - Ep.: 16, Score: 10.0, e: 1.00, Steps: 357, Avg Q-val: nan, replay: 4750, Mem Usage: 27.5%
2024-09-18 07:58:52,616 - INFO - Ep.: 17, Score: 8.0, e: 1.00, Steps: 257, Avg Q-val: nan, replay: 5007, Mem Usage: 27.6%
2024-09-18 07:58:52,827 - INFO - Ep.: 18, Score: 10.0, e: 1.00, Steps: 229, Avg Q-val: nan, replay: 5236, Mem Usage: 27.7%
2024-09-18 07:58:53,088 - INFO - Ep.: 19, Score: 11.0, e: 1.00, Steps: 317, Avg Q-val: nan, replay: 5553, Mem Usage: 27.8%
2024-09-18 07:58:53,323 - INFO - Ep.: 20, Score: 7.0, e: 1.00, Steps: 271, Avg Q-val: nan, replay: 5824, Mem Usage: 27.9%
2024-09-18 07:58:53,544 - INFO - Ep.: 21, Score: 8.0, e: 1.00, Steps: 246, Avg Q-val: nan, replay: 6070, Mem Usage: 28.0%
2024-09-18 07:58:53,777 - INFO - Ep.: 22, Score: 9.0, e: 1.00, Steps: 267, Avg Q-val: nan, replay: 6337, Mem Usage: 28.1%
2024-09-18 07:58:54,006 - INFO - Ep.: 23, Score: 7.0, e: 1.00, Steps: 263, Avg Q-val: nan, replay: 6600, Mem Usage: 28.3%
2024-09-18 07:58:54,266 - INFO - Ep.: 24, Score: 7.0, e: 1.00, Steps: 316, Avg Q-val: nan, replay: 6916, Mem Usage: 28.4%
2024-09-18 07:58:54,496 - INFO - Ep.: 25, Score: 7.0, e: 1.00, Steps: 263, Avg Q-val: nan, replay: 7179, Mem Usage: 28.5%
2024-09-18 07:58:54,752 - INFO - Ep.: 26, Score: 11.0, e: 1.00, Steps: 310, Avg Q-val: nan, replay: 7489, Mem Usage: 28.6%
2024-09-18 07:58:54,967 - INFO - Ep.: 27, Score: 7.0, e: 1.00, Steps: 237, Avg Q-val: nan, replay: 7726, Mem Usage: 28.7%
2024-09-18 07:58:55,236 - INFO - Ep.: 28, Score: 12.0, e: 1.00, Steps: 333, Avg Q-val: nan, replay: 8059, Mem Usage: 28.9%
2024-09-18 07:58:55,477 - INFO - Ep.: 29, Score: 10.0, e: 1.00, Steps: 283, Avg Q-val: nan, replay: 8342, Mem Usage: 29.0%
2024-09-18 07:58:55,721 - INFO - Ep.: 30, Score: 8.0, e: 1.00, Steps: 289, Avg Q-val: nan, replay: 8631, Mem Usage: 29.1%
2024-09-18 07:58:55,962 - INFO - Ep.: 31, Score: 10.0, e: 1.00, Steps: 283, Avg Q-val: nan, replay: 8914, Mem Usage: 29.2%
2024-09-18 07:58:56,208 - INFO - Ep.: 32, Score: 9.0, e: 1.00, Steps: 292, Avg Q-val: nan, replay: 9206, Mem Usage: 29.4%
2024-09-18 07:58:56,478 - INFO - Ep.: 33, Score: 11.0, e: 1.00, Steps: 337, Avg Q-val: nan, replay: 9543, Mem Usage: 29.5%
2024-09-18 07:58:56,693 - INFO - Ep.: 34, Score: 7.0, e: 1.00, Steps: 236, Avg Q-val: nan, replay: 9779, Mem Usage: 29.6%
2024-09-18 07:58:56,914 - INFO - Ep.: 35, Score: 7.0, e: 1.00, Steps: 246, Avg Q-val: nan, replay: 10025, Mem Usage: 29.7%
2024-09-18 07:58:57,154 - INFO - Ep.: 36, Score: 11.0, e: 1.00, Steps: 282, Avg Q-val: nan, replay: 10307, Mem Usage: 29.8%
2024-09-18 07:58:57,407 - INFO - Ep.: 37, Score: 8.0, e: 1.00, Steps: 305, Avg Q-val: nan, replay: 10612, Mem Usage: 30.0%
2024-09-18 07:58:57,662 - INFO - Ep.: 38, Score: 10.0, e: 1.00, Steps: 308, Avg Q-val: nan, replay: 10920, Mem Usage: 30.1%
2024-09-18 07:58:57,910 - INFO - Ep.: 39, Score: 11.0, e: 1.00, Steps: 296, Avg Q-val: nan, replay: 11216, Mem Usage: 30.2%
2024-09-18 07:58:58,208 - INFO - Ep.: 40, Score: 9.0, e: 1.00, Steps: 387, Avg Q-val: nan, replay: 11603, Mem Usage: 30.4%
2024-09-18 07:58:58,442 - INFO - Ep.: 41, Score: 9.0, e: 1.00, Steps: 270, Avg Q-val: nan, replay: 11873, Mem Usage: 30.5%
2024-09-18 07:58:58,663 - INFO - Ep.: 42, Score: 5.0, e: 1.00, Steps: 244, Avg Q-val: nan, replay: 12117, Mem Usage: 30.6%
2024-09-18 07:58:58,905 - INFO - Ep.: 43, Score: 12.0, e: 1.00, Steps: 284, Avg Q-val: nan, replay: 12401, Mem Usage: 30.7%
2024-09-18 07:58:59,135 - INFO - Ep.: 44, Score: 8.0, e: 1.00, Steps: 263, Avg Q-val: nan, replay: 12664, Mem Usage: 30.8%
2024-09-18 07:58:59,373 - INFO - Ep.: 45, Score: 7.0, e: 1.00, Steps: 277, Avg Q-val: nan, replay: 12941, Mem Usage: 30.9%
2024-09-18 07:58:59,598 - INFO - Ep.: 46, Score: 6.0, e: 1.00, Steps: 253, Avg Q-val: nan, replay: 13194, Mem Usage: 31.0%
2024-09-18 07:58:59,842 - INFO - Ep.: 47, Score: 8.0, e: 1.00, Steps: 289, Avg Q-val: nan, replay: 13483, Mem Usage: 31.2%
2024-09-18 07:59:00,054 - INFO - Ep.: 48, Score: 7.0, e: 1.00, Steps: 231, Avg Q-val: nan, replay: 13714, Mem Usage: 31.3%
2024-09-18 07:59:00,309 - INFO - Ep.: 49, Score: 10.0, e: 1.00, Steps: 306, Avg Q-val: nan, replay: 14020, Mem Usage: 31.4%
2024-09-18 07:59:00,513 - INFO - Ep.: 50, Score: 6.0, e: 1.00, Steps: 217, Avg Q-val: nan, replay: 14237, Mem Usage: 31.5%
2024-09-18 07:59:00,743 - INFO - Ep.: 51, Score: 9.0, e: 1.00, Steps: 263, Avg Q-val: nan, replay: 14500, Mem Usage: 31.6%
2024-09-18 07:59:00,979 - INFO - Ep.: 52, Score: 8.0, e: 1.00, Steps: 266, Avg Q-val: nan, replay: 14766, Mem Usage: 31.7%
2024-09-18 07:59:01,248 - INFO - Ep.: 53, Score: 7.0, e: 1.00, Steps: 316, Avg Q-val: nan, replay: 15082, Mem Usage: 32.0%
2024-09-18 07:59:01,554 - INFO - Ep.: 54, Score: 11.0, e: 1.00, Steps: 338, Avg Q-val: nan, replay: 15420, Mem Usage: 32.1%
2024-09-18 07:59:01,816 - INFO - Ep.: 55, Score: 8.0, e: 1.00, Steps: 289, Avg Q-val: nan, replay: 15709, Mem Usage: 32.2%
2024-09-18 07:59:02,085 - INFO - Ep.: 56, Score: 10.0, e: 1.00, Steps: 281, Avg Q-val: nan, replay: 15990, Mem Usage: 32.3%
2024-09-18 07:59:02,385 - INFO - Ep.: 57, Score: 10.0, e: 1.00, Steps: 331, Avg Q-val: nan, replay: 16321, Mem Usage: 32.4%
2024-09-18 07:59:02,641 - INFO - Ep.: 58, Score: 7.0, e: 1.00, Steps: 277, Avg Q-val: nan, replay: 16598, Mem Usage: 32.5%
2024-09-18 07:59:02,892 - INFO - Ep.: 59, Score: 8.0, e: 1.00, Steps: 252, Avg Q-val: nan, replay: 16850, Mem Usage: 32.6%
2024-09-18 07:59:03,164 - INFO - Ep.: 60, Score: 11.0, e: 1.00, Steps: 295, Avg Q-val: nan, replay: 17145, Mem Usage: 32.7%
2024-09-18 07:59:03,440 - INFO - Ep.: 61, Score: 8.0, e: 1.00, Steps: 297, Avg Q-val: nan, replay: 17442, Mem Usage: 32.8%
2024-09-18 07:59:03,789 - INFO - Ep.: 62, Score: 13.0, e: 1.00, Steps: 406, Avg Q-val: nan, replay: 17848, Mem Usage: 33.0%
2024-09-18 07:59:04,054 - INFO - Ep.: 63, Score: 7.0, e: 1.00, Steps: 292, Avg Q-val: nan, replay: 18140, Mem Usage: 33.1%
2024-09-18 07:59:04,314 - INFO - Ep.: 64, Score: 8.0, e: 1.00, Steps: 265, Avg Q-val: nan, replay: 18405, Mem Usage: 33.1%
2024-09-18 07:59:04,598 - INFO - Ep.: 65, Score: 11.0, e: 1.00, Steps: 306, Avg Q-val: nan, replay: 18711, Mem Usage: 33.3%
