2024-09-25 09:06:19,121 - INFO - Modelo preentrenado cargado desde /data/riwamoto/ALE_Pong_results/models/dqn_model_ALE_Pong_final_20240830_095849.pth
2024-09-25 09:06:19,751 - INFO - Ep.: 0, Score: 9.0, e: 1.00, Steps: 306, Avg Q-val: nan, replay: 306, Mem Usage: 12.7%
2024-09-25 09:06:20,194 - INFO - Ep.: 1, Score: 14.0, e: 1.00, Steps: 287, Avg Q-val: nan, replay: 593, Mem Usage: 12.8%
2024-09-25 09:06:20,446 - INFO - Ep.: 2, Score: 11.0, e: 1.00, Steps: 303, Avg Q-val: nan, replay: 896, Mem Usage: 12.9%
2024-09-25 09:06:20,654 - INFO - Ep.: 3, Score: 9.0, e: 1.00, Steps: 223, Avg Q-val: nan, replay: 1119, Mem Usage: 13.0%
2024-09-25 09:06:20,911 - INFO - Ep.: 4, Score: 8.0, e: 1.00, Steps: 311, Avg Q-val: nan, replay: 1430, Mem Usage: 13.1%
2024-09-25 09:06:21,123 - INFO - Ep.: 5, Score: 9.0, e: 1.00, Steps: 231, Avg Q-val: nan, replay: 1661, Mem Usage: 13.1%
2024-09-25 09:06:21,345 - INFO - Ep.: 6, Score: 8.0, e: 1.00, Steps: 251, Avg Q-val: nan, replay: 1912, Mem Usage: 13.2%
2024-09-25 09:06:21,567 - INFO - Ep.: 7, Score: 8.0, e: 1.00, Steps: 249, Avg Q-val: nan, replay: 2161, Mem Usage: 13.3%
2024-09-25 09:06:21,806 - INFO - Ep.: 8, Score: 7.0, e: 1.00, Steps: 280, Avg Q-val: nan, replay: 2441, Mem Usage: 13.3%
2024-09-25 09:06:22,032 - INFO - Ep.: 9, Score: 11.0, e: 1.00, Steps: 250, Avg Q-val: nan, replay: 2691, Mem Usage: 13.4%
2024-09-25 09:06:22,258 - INFO - Ep.: 10, Score: 10.0, e: 1.00, Steps: 255, Avg Q-val: nan, replay: 2946, Mem Usage: 13.5%
2024-09-25 09:06:22,541 - INFO - Ep.: 11, Score: 12.0, e: 1.00, Steps: 360, Avg Q-val: nan, replay: 3306, Mem Usage: 13.6%
2024-09-25 09:06:22,794 - INFO - Ep.: 12, Score: 8.0, e: 1.00, Steps: 305, Avg Q-val: nan, replay: 3611, Mem Usage: 13.6%
2024-09-25 09:06:23,052 - INFO - Ep.: 13, Score: 11.0, e: 1.00, Steps: 315, Avg Q-val: nan, replay: 3926, Mem Usage: 13.7%
2024-09-25 09:06:23,287 - INFO - Ep.: 14, Score: 9.0, e: 1.00, Steps: 271, Avg Q-val: nan, replay: 4197, Mem Usage: 13.8%
2024-09-25 09:06:23,537 - INFO - Ep.: 15, Score: 8.0, e: 1.00, Steps: 300, Avg Q-val: nan, replay: 4497, Mem Usage: 13.9%
2024-09-25 09:06:23,771 - INFO - Ep.: 16, Score: 15.0, e: 1.00, Steps: 270, Avg Q-val: nan, replay: 4767, Mem Usage: 13.9%
2024-09-25 09:06:24,021 - INFO - Ep.: 17, Score: 8.0, e: 1.00, Steps: 300, Avg Q-val: nan, replay: 5067, Mem Usage: 14.0%
2024-09-25 09:06:24,252 - INFO - Ep.: 18, Score: 9.0, e: 1.00, Steps: 265, Avg Q-val: nan, replay: 5332, Mem Usage: 14.1%
2024-09-25 09:06:24,505 - INFO - Ep.: 19, Score: 10.0, e: 1.00, Steps: 305, Avg Q-val: nan, replay: 5637, Mem Usage: 14.1%
2024-09-25 09:06:24,780 - INFO - Ep.: 20, Score: 11.0, e: 1.00, Steps: 345, Avg Q-val: nan, replay: 5982, Mem Usage: 14.2%
2024-09-25 09:06:25,016 - INFO - Ep.: 21, Score: 9.0, e: 1.00, Steps: 273, Avg Q-val: nan, replay: 6255, Mem Usage: 14.3%
2024-09-25 09:06:25,247 - INFO - Ep.: 22, Score: 9.0, e: 1.00, Steps: 265, Avg Q-val: nan, replay: 6520, Mem Usage: 14.4%
2024-09-25 09:06:25,460 - INFO - Ep.: 23, Score: 10.0, e: 1.00, Steps: 232, Avg Q-val: nan, replay: 6752, Mem Usage: 14.4%
2024-09-25 09:06:25,685 - INFO - Ep.: 24, Score: 9.0, e: 1.00, Steps: 254, Avg Q-val: nan, replay: 7006, Mem Usage: 14.5%
2024-09-25 09:06:25,896 - INFO - Ep.: 25, Score: 7.0, e: 1.00, Steps: 228, Avg Q-val: nan, replay: 7234, Mem Usage: 14.5%
2024-09-25 09:06:26,134 - INFO - Ep.: 26, Score: 9.0, e: 1.00, Steps: 278, Avg Q-val: nan, replay: 7512, Mem Usage: 14.6%
2024-09-25 09:06:26,360 - INFO - Ep.: 27, Score: 14.0, e: 1.00, Steps: 258, Avg Q-val: nan, replay: 7770, Mem Usage: 14.7%
2024-09-25 09:06:26,605 - INFO - Ep.: 28, Score: 9.0, e: 1.00, Steps: 289, Avg Q-val: nan, replay: 8059, Mem Usage: 14.8%
2024-09-25 09:06:26,849 - INFO - Ep.: 29, Score: 8.0, e: 1.00, Steps: 289, Avg Q-val: nan, replay: 8348, Mem Usage: 14.8%
2024-09-25 09:06:27,085 - INFO - Ep.: 30, Score: 8.0, e: 1.00, Steps: 275, Avg Q-val: nan, replay: 8623, Mem Usage: 14.9%
2024-09-25 09:06:27,317 - INFO - Ep.: 31, Score: 11.0, e: 1.00, Steps: 268, Avg Q-val: nan, replay: 8891, Mem Usage: 15.0%
2024-09-25 09:06:27,546 - INFO - Ep.: 32, Score: 9.0, e: 1.00, Steps: 261, Avg Q-val: nan, replay: 9152, Mem Usage: 15.0%
2024-09-25 09:06:27,826 - INFO - Ep.: 33, Score: 8.0, e: 1.00, Steps: 354, Avg Q-val: nan, replay: 9506, Mem Usage: 15.1%
2024-09-25 09:06:28,061 - INFO - Ep.: 34, Score: 14.0, e: 1.00, Steps: 273, Avg Q-val: nan, replay: 9779, Mem Usage: 15.2%
2024-09-25 09:06:28,360 - INFO - Ep.: 35, Score: 11.0, e: 1.00, Steps: 388, Avg Q-val: nan, replay: 10167, Mem Usage: 15.3%
2024-09-25 09:06:28,613 - INFO - Ep.: 36, Score: 9.0, e: 1.00, Steps: 305, Avg Q-val: nan, replay: 10472, Mem Usage: 15.4%
2024-09-25 09:06:28,838 - INFO - Ep.: 37, Score: 8.0, e: 1.00, Steps: 254, Avg Q-val: nan, replay: 10726, Mem Usage: 15.4%
2024-09-25 09:06:29,094 - INFO - Ep.: 38, Score: 10.0, e: 1.00, Steps: 309, Avg Q-val: nan, replay: 11035, Mem Usage: 15.5%
2024-09-25 09:06:29,317 - INFO - Ep.: 39, Score: 9.0, e: 1.00, Steps: 251, Avg Q-val: nan, replay: 11286, Mem Usage: 15.6%
2024-09-25 09:06:29,583 - INFO - Ep.: 40, Score: 8.0, e: 1.00, Steps: 327, Avg Q-val: nan, replay: 11613, Mem Usage: 15.6%
2024-09-25 09:06:29,813 - INFO - Ep.: 41, Score: 7.0, e: 1.00, Steps: 265, Avg Q-val: nan, replay: 11878, Mem Usage: 15.7%
2024-09-25 09:06:30,039 - INFO - Ep.: 42, Score: 7.0, e: 1.00, Steps: 254, Avg Q-val: nan, replay: 12132, Mem Usage: 15.8%
2024-09-25 09:06:30,288 - INFO - Ep.: 43, Score: 9.0, e: 1.00, Steps: 297, Avg Q-val: nan, replay: 12429, Mem Usage: 15.8%
2024-09-25 09:06:30,498 - INFO - Ep.: 44, Score: 5.0, e: 1.00, Steps: 228, Avg Q-val: nan, replay: 12657, Mem Usage: 15.9%
2024-09-25 09:06:30,704 - INFO - Ep.: 45, Score: 5.0, e: 1.00, Steps: 219, Avg Q-val: nan, replay: 12876, Mem Usage: 16.0%
2024-09-25 09:06:30,949 - INFO - Ep.: 46, Score: 9.0, e: 1.00, Steps: 289, Avg Q-val: nan, replay: 13165, Mem Usage: 16.0%
2024-09-25 09:06:31,196 - INFO - Ep.: 47, Score: 8.0, e: 1.00, Steps: 296, Avg Q-val: nan, replay: 13461, Mem Usage: 16.1%
2024-09-25 09:06:31,475 - INFO - Ep.: 48, Score: 9.0, e: 1.00, Steps: 308, Avg Q-val: nan, replay: 13769, Mem Usage: 16.2%
2024-09-25 09:06:31,725 - INFO - Ep.: 49, Score: 8.0, e: 1.00, Steps: 299, Avg Q-val: nan, replay: 14068, Mem Usage: 16.3%
2024-09-25 09:06:31,978 - INFO - Ep.: 50, Score: 7.0, e: 1.00, Steps: 305, Avg Q-val: nan, replay: 14373, Mem Usage: 16.4%
2024-09-25 09:06:32,194 - INFO - Ep.: 51, Score: 9.0, e: 1.00, Steps: 237, Avg Q-val: nan, replay: 14610, Mem Usage: 16.5%
2024-09-25 09:06:32,474 - INFO - Ep.: 52, Score: 11.0, e: 1.00, Steps: 354, Avg Q-val: nan, replay: 14964, Mem Usage: 16.5%
2024-09-25 09:06:32,728 - INFO - Ep.: 53, Score: 13.0, e: 1.00, Steps: 305, Avg Q-val: nan, replay: 15269, Mem Usage: 16.6%
2024-09-25 09:06:32,982 - INFO - Ep.: 54, Score: 8.0, e: 1.00, Steps: 308, Avg Q-val: nan, replay: 15577, Mem Usage: 16.8%
2024-09-25 09:06:33,281 - INFO - Ep.: 55, Score: 8.0, e: 1.00, Steps: 388, Avg Q-val: nan, replay: 15965, Mem Usage: 16.9%
2024-09-25 09:06:33,494 - INFO - Ep.: 56, Score: 5.0, e: 1.00, Steps: 232, Avg Q-val: nan, replay: 16197, Mem Usage: 16.9%
2024-09-25 09:06:33,725 - INFO - Ep.: 57, Score: 7.0, e: 1.00, Steps: 264, Avg Q-val: nan, replay: 16461, Mem Usage: 17.0%
2024-09-25 09:06:33,947 - INFO - Ep.: 58, Score: 10.0, e: 1.00, Steps: 249, Avg Q-val: nan, replay: 16710, Mem Usage: 17.1%
2024-09-25 09:06:34,201 - INFO - Ep.: 59, Score: 10.0, e: 1.00, Steps: 305, Avg Q-val: nan, replay: 17015, Mem Usage: 17.2%
2024-09-25 09:06:34,429 - INFO - Ep.: 60, Score: 10.0, e: 1.00, Steps: 259, Avg Q-val: nan, replay: 17274, Mem Usage: 17.3%
2024-09-25 09:06:34,654 - INFO - Ep.: 61, Score: 9.0, e: 1.00, Steps: 253, Avg Q-val: nan, replay: 17527, Mem Usage: 17.4%
2024-09-25 09:06:34,880 - INFO - Ep.: 62, Score: 10.0, e: 1.00, Steps: 255, Avg Q-val: nan, replay: 17782, Mem Usage: 17.5%
2024-09-25 09:06:35,131 - INFO - Ep.: 63, Score: 10.0, e: 1.00, Steps: 299, Avg Q-val: nan, replay: 18081, Mem Usage: 17.6%
2024-09-25 09:06:35,377 - INFO - Ep.: 64, Score: 13.0, e: 1.00, Steps: 291, Avg Q-val: nan, replay: 18372, Mem Usage: 17.7%
2024-09-25 09:06:35,647 - INFO - Ep.: 65, Score: 12.0, e: 1.00, Steps: 335, Avg Q-val: nan, replay: 18707, Mem Usage: 17.8%
2024-09-25 09:06:35,888 - INFO - Ep.: 66, Score: 8.0, e: 1.00, Steps: 281, Avg Q-val: nan, replay: 18988, Mem Usage: 17.9%
2024-09-25 09:06:36,140 - INFO - Ep.: 67, Score: 6.0, e: 1.00, Steps: 302, Avg Q-val: nan, replay: 19290, Mem Usage: 18.0%
2024-09-25 09:06:36,441 - INFO - Ep.: 68, Score: 11.0, e: 1.00, Steps: 393, Avg Q-val: nan, replay: 19683, Mem Usage: 18.1%
2024-09-25 09:06:36,711 - INFO - Ep.: 69, Score: 13.0, e: 1.00, Steps: 336, Avg Q-val: nan, replay: 20019, Mem Usage: 18.2%
2024-09-25 09:06:36,963 - INFO - Ep.: 70, Score: 12.0, e: 1.00, Steps: 304, Avg Q-val: nan, replay: 20323, Mem Usage: 18.3%
2024-09-25 09:06:37,204 - INFO - Ep.: 71, Score: 9.0, e: 1.00, Steps: 285, Avg Q-val: nan, replay: 20608, Mem Usage: 18.4%
2024-09-25 09:06:37,457 - INFO - Ep.: 72, Score: 11.0, e: 1.00, Steps: 306, Avg Q-val: nan, replay: 20914, Mem Usage: 18.5%
2024-09-25 09:06:37,690 - INFO - Ep.: 73, Score: 8.0, e: 1.00, Steps: 268, Avg Q-val: nan, replay: 21182, Mem Usage: 18.6%
2024-09-25 09:06:37,923 - INFO - Ep.: 74, Score: 8.0, e: 1.00, Steps: 269, Avg Q-val: nan, replay: 21451, Mem Usage: 18.7%
2024-09-25 09:06:38,197 - INFO - Ep.: 75, Score: 12.0, e: 1.00, Steps: 344, Avg Q-val: nan, replay: 21795, Mem Usage: 18.8%
2024-09-25 09:06:38,454 - INFO - Ep.: 76, Score: 8.0, e: 1.00, Steps: 311, Avg Q-val: nan, replay: 22106, Mem Usage: 18.9%
