2024-09-14 11:21:08,501 - INFO - Modelo preentrenado cargado desde /data/riwamoto/ALE_Frogger_results/models/dqn_model_ALE_Frogger_final_20240829_113617.pth
2024-09-14 11:21:09,666 - INFO - Ep.: 0, Score: 800.0, e: 1.00, Steps: 793, Avg Q-val: nan, replay: 793, Mem Usage: 38.2%
2024-09-14 11:21:11,135 - INFO - Ep.: 1, Score: 800.0, e: 1.00, Steps: 1558, Avg Q-val: nan, replay: 2351, Mem Usage: 38.5%
2024-09-14 11:21:11,523 - INFO - Ep.: 2, Score: 0.0, e: 1.00, Steps: 404, Avg Q-val: nan, replay: 2755, Mem Usage: 38.4%
2024-09-14 11:21:12,466 - INFO - Ep.: 3, Score: 800.0, e: 1.00, Steps: 1192, Avg Q-val: nan, replay: 3947, Mem Usage: 38.5%
2024-09-14 11:21:13,209 - INFO - Ep.: 4, Score: 0.0, e: 1.00, Steps: 945, Avg Q-val: nan, replay: 4892, Mem Usage: 38.5%
2024-09-14 11:21:13,903 - INFO - Ep.: 5, Score: 0.0, e: 1.00, Steps: 838, Avg Q-val: nan, replay: 5730, Mem Usage: 38.5%
2024-09-14 11:21:14,256 - INFO - Ep.: 6, Score: 0.0, e: 1.00, Steps: 316, Avg Q-val: nan, replay: 6046, Mem Usage: 38.6%
2024-09-14 11:21:15,818 - INFO - Ep.: 7, Score: 2400.0, e: 1.00, Steps: 2076, Avg Q-val: nan, replay: 8122, Mem Usage: 38.7%
2024-09-14 11:21:16,569 - INFO - Ep.: 8, Score: 1600.0, e: 1.00, Steps: 889, Avg Q-val: nan, replay: 9011, Mem Usage: 39.0%
2024-09-14 11:21:17,126 - INFO - Ep.: 9, Score: 0.0, e: 1.00, Steps: 672, Avg Q-val: nan, replay: 9683, Mem Usage: 39.0%
2024-09-14 11:21:18,154 - INFO - Ep.: 10, Score: 0.0, e: 1.00, Steps: 1350, Avg Q-val: nan, replay: 11033, Mem Usage: 39.0%
2024-09-14 11:21:18,655 - INFO - Ep.: 11, Score: 1600.0, e: 1.00, Steps: 539, Avg Q-val: nan, replay: 11572, Mem Usage: 39.1%
2024-09-14 11:21:19,222 - INFO - Ep.: 12, Score: 0.0, e: 1.00, Steps: 690, Avg Q-val: nan, replay: 12262, Mem Usage: 39.2%
2024-09-14 11:21:19,719 - INFO - Ep.: 13, Score: 2400.0, e: 1.00, Steps: 549, Avg Q-val: nan, replay: 12811, Mem Usage: 39.1%
2024-09-14 11:21:20,381 - INFO - Ep.: 14, Score: 0.0, e: 1.00, Steps: 764, Avg Q-val: nan, replay: 13575, Mem Usage: 39.3%
2024-09-14 11:21:21,921 - INFO - Ep.: 15, Score: 0.0, e: 1.00, Steps: 2065, Avg Q-val: nan, replay: 15640, Mem Usage: 39.4%
2024-09-14 11:21:22,969 - INFO - Ep.: 16, Score: 1600.0, e: 1.00, Steps: 1399, Avg Q-val: nan, replay: 17039, Mem Usage: 39.6%
2024-09-14 11:21:23,598 - INFO - Ep.: 17, Score: 0.0, e: 1.00, Steps: 760, Avg Q-val: nan, replay: 17799, Mem Usage: 39.7%
2024-09-14 11:21:24,152 - INFO - Ep.: 18, Score: 0.0, e: 1.00, Steps: 654, Avg Q-val: nan, replay: 18453, Mem Usage: 39.8%
2024-09-14 11:21:24,553 - INFO - Ep.: 19, Score: 0.0, e: 1.00, Steps: 431, Avg Q-val: nan, replay: 18884, Mem Usage: 39.8%
2024-09-14 11:21:25,135 - INFO - Ep.: 20, Score: 0.0, e: 1.00, Steps: 690, Avg Q-val: nan, replay: 19574, Mem Usage: 39.7%
2024-09-14 11:21:25,776 - INFO - Ep.: 21, Score: 0.0, e: 1.00, Steps: 719, Avg Q-val: nan, replay: 20293, Mem Usage: 39.8%
2024-09-14 11:21:26,213 - INFO - Ep.: 22, Score: 800.0, e: 1.00, Steps: 485, Avg Q-val: nan, replay: 20778, Mem Usage: 39.9%
2024-09-14 11:21:26,594 - INFO - Ep.: 23, Score: 0.0, e: 1.00, Steps: 416, Avg Q-val: nan, replay: 21194, Mem Usage: 39.9%
2024-09-14 11:21:26,877 - INFO - Ep.: 24, Score: 0.0, e: 1.00, Steps: 236, Avg Q-val: nan, replay: 21430, Mem Usage: 39.8%
2024-09-14 11:21:27,197 - INFO - Ep.: 25, Score: 0.0, e: 1.00, Steps: 312, Avg Q-val: nan, replay: 21742, Mem Usage: 39.9%
2024-09-14 11:21:27,874 - INFO - Ep.: 26, Score: 0.0, e: 1.00, Steps: 838, Avg Q-val: nan, replay: 22580, Mem Usage: 40.0%
2024-09-14 11:21:28,175 - INFO - Ep.: 27, Score: 0.0, e: 1.00, Steps: 283, Avg Q-val: nan, replay: 22863, Mem Usage: 40.0%
2024-09-14 11:21:28,721 - INFO - Ep.: 28, Score: 0.0, e: 1.00, Steps: 666, Avg Q-val: nan, replay: 23529, Mem Usage: 40.0%
2024-09-14 11:21:29,109 - INFO - Ep.: 29, Score: 0.0, e: 1.00, Steps: 400, Avg Q-val: nan, replay: 23929, Mem Usage: 40.1%
2024-09-14 11:21:29,904 - INFO - Ep.: 30, Score: 0.0, e: 1.00, Steps: 950, Avg Q-val: nan, replay: 24879, Mem Usage: 40.1%
2024-09-14 11:21:31,045 - INFO - Ep.: 31, Score: 1600.0, e: 1.00, Steps: 1463, Avg Q-val: nan, replay: 26342, Mem Usage: 40.3%
2024-09-14 11:21:31,629 - INFO - Ep.: 32, Score: 0.0, e: 1.00, Steps: 701, Avg Q-val: nan, replay: 27043, Mem Usage: 40.4%
2024-09-14 11:21:31,969 - INFO - Ep.: 33, Score: 0.0, e: 1.00, Steps: 347, Avg Q-val: nan, replay: 27390, Mem Usage: 40.5%
2024-09-14 11:21:32,462 - INFO - Ep.: 34, Score: 1600.0, e: 1.00, Steps: 565, Avg Q-val: nan, replay: 27955, Mem Usage: 40.5%
2024-09-14 11:21:32,991 - INFO - Ep.: 35, Score: 0.0, e: 1.00, Steps: 627, Avg Q-val: nan, replay: 28582, Mem Usage: 40.5%
