2024-09-18 18:07:16,634 - INFO - Modelo preentrenado cargado desde /data/riwamoto/ALE_MarioBros_results/models/dqn_model_ALE_MarioBros_final_20240831_094717.pth
2024-09-18 18:07:17,393 - INFO - Ep.: 0, Score: 800.0, e: 1.00, Steps: 548, Avg Q-val: nan, replay: 548, Mem Usage: 5.9%
2024-09-18 18:07:18,013 - INFO - Ep.: 1, Score: 0.0, e: 1.00, Steps: 611, Avg Q-val: nan, replay: 1159, Mem Usage: 6.0%
2024-09-18 18:07:18,397 - INFO - Ep.: 2, Score: 0.0, e: 1.00, Steps: 556, Avg Q-val: nan, replay: 1715, Mem Usage: 6.0%
2024-09-18 18:07:18,763 - INFO - Ep.: 3, Score: 0.0, e: 1.00, Steps: 519, Avg Q-val: nan, replay: 2234, Mem Usage: 6.1%
2024-09-18 18:07:19,532 - INFO - Ep.: 4, Score: 0.0, e: 1.00, Steps: 1252, Avg Q-val: nan, replay: 3486, Mem Usage: 6.2%
2024-09-18 18:07:19,995 - INFO - Ep.: 5, Score: 800.0, e: 1.00, Steps: 704, Avg Q-val: nan, replay: 4190, Mem Usage: 6.2%
2024-09-18 18:07:20,926 - INFO - Ep.: 6, Score: 800.0, e: 1.00, Steps: 1569, Avg Q-val: nan, replay: 5759, Mem Usage: 6.4%
2024-09-18 18:07:21,580 - INFO - Ep.: 7, Score: 0.0, e: 1.00, Steps: 1059, Avg Q-val: nan, replay: 6818, Mem Usage: 6.5%
2024-09-18 18:07:21,980 - INFO - Ep.: 8, Score: 0.0, e: 1.00, Steps: 586, Avg Q-val: nan, replay: 7404, Mem Usage: 6.5%
2024-09-18 18:07:22,399 - INFO - Ep.: 9, Score: 0.0, e: 1.00, Steps: 625, Avg Q-val: nan, replay: 8029, Mem Usage: 6.6%
2024-09-18 18:07:22,573 - INFO - Ep.: 10, Score: 0.0, e: 1.00, Steps: 171, Avg Q-val: nan, replay: 8200, Mem Usage: 6.6%
2024-09-18 18:07:23,792 - INFO - Ep.: 11, Score: 1600.0, e: 1.00, Steps: 2101, Avg Q-val: nan, replay: 10301, Mem Usage: 6.8%
2024-09-18 18:07:24,482 - INFO - Ep.: 12, Score: 800.0, e: 1.00, Steps: 1128, Avg Q-val: nan, replay: 11429, Mem Usage: 6.9%
2024-09-18 18:07:24,992 - INFO - Ep.: 13, Score: 0.0, e: 1.00, Steps: 793, Avg Q-val: nan, replay: 12222, Mem Usage: 6.9%
2024-09-18 18:07:25,419 - INFO - Ep.: 14, Score: 0.0, e: 1.00, Steps: 643, Avg Q-val: nan, replay: 12865, Mem Usage: 7.0%
2024-09-18 18:07:25,864 - INFO - Ep.: 15, Score: 0.0, e: 1.00, Steps: 670, Avg Q-val: nan, replay: 13535, Mem Usage: 7.0%
2024-09-18 18:07:26,563 - INFO - Ep.: 16, Score: 0.0, e: 1.00, Steps: 1135, Avg Q-val: nan, replay: 14670, Mem Usage: 7.1%
2024-09-18 18:07:27,020 - INFO - Ep.: 17, Score: 1600.0, e: 1.00, Steps: 691, Avg Q-val: nan, replay: 15361, Mem Usage: 7.2%
2024-09-18 18:07:27,633 - INFO - Ep.: 18, Score: 0.0, e: 1.00, Steps: 983, Avg Q-val: nan, replay: 16344, Mem Usage: 7.3%
2024-09-18 18:07:27,851 - INFO - Ep.: 19, Score: 0.0, e: 1.00, Steps: 253, Avg Q-val: nan, replay: 16597, Mem Usage: 7.3%
2024-09-18 18:07:28,452 - INFO - Ep.: 20, Score: 0.0, e: 1.00, Steps: 962, Avg Q-val: nan, replay: 17559, Mem Usage: 7.4%
2024-09-18 18:07:28,941 - INFO - Ep.: 21, Score: 0.0, e: 1.00, Steps: 752, Avg Q-val: nan, replay: 18311, Mem Usage: 7.4%
2024-09-18 18:07:29,533 - INFO - Ep.: 22, Score: 0.0, e: 1.00, Steps: 947, Avg Q-val: nan, replay: 19258, Mem Usage: 7.5%
2024-09-18 18:07:30,176 - INFO - Ep.: 23, Score: 0.0, e: 1.00, Steps: 1049, Avg Q-val: nan, replay: 20307, Mem Usage: 7.6%
2024-09-18 18:07:30,626 - INFO - Ep.: 24, Score: 0.0, e: 1.00, Steps: 686, Avg Q-val: nan, replay: 20993, Mem Usage: 7.7%
2024-09-18 18:07:31,198 - INFO - Ep.: 25, Score: 0.0, e: 1.00, Steps: 908, Avg Q-val: nan, replay: 21901, Mem Usage: 7.7%
2024-09-18 18:07:31,464 - INFO - Ep.: 26, Score: 0.0, e: 1.00, Steps: 346, Avg Q-val: nan, replay: 22247, Mem Usage: 7.8%
2024-09-18 18:07:32,135 - INFO - Ep.: 27, Score: 0.0, e: 1.00, Steps: 1088, Avg Q-val: nan, replay: 23335, Mem Usage: 7.9%
2024-09-18 18:07:32,943 - INFO - Ep.: 28, Score: 800.0, e: 1.00, Steps: 1340, Avg Q-val: nan, replay: 24675, Mem Usage: 8.0%
2024-09-18 18:07:33,630 - INFO - Ep.: 29, Score: 1600.0, e: 1.00, Steps: 1122, Avg Q-val: nan, replay: 25797, Mem Usage: 8.1%
2024-09-18 18:07:34,319 - INFO - Ep.: 30, Score: 0.0, e: 1.00, Steps: 1135, Avg Q-val: nan, replay: 26932, Mem Usage: 8.2%
2024-09-18 18:07:34,494 - INFO - Ep.: 31, Score: 0.0, e: 1.00, Steps: 174, Avg Q-val: nan, replay: 27106, Mem Usage: 8.2%
2024-09-18 18:07:35,023 - INFO - Ep.: 32, Score: 0.0, e: 1.00, Steps: 842, Avg Q-val: nan, replay: 27948, Mem Usage: 8.2%
2024-09-18 18:07:35,395 - INFO - Ep.: 33, Score: 0.0, e: 1.00, Steps: 543, Avg Q-val: nan, replay: 28491, Mem Usage: 8.3%
2024-09-18 18:07:35,831 - INFO - Ep.: 34, Score: 800.0, e: 1.00, Steps: 596, Avg Q-val: nan, replay: 29087, Mem Usage: 8.4%
2024-09-18 18:07:36,285 - INFO - Ep.: 35, Score: 0.0, e: 1.00, Steps: 695, Avg Q-val: nan, replay: 29782, Mem Usage: 8.5%
2024-09-18 18:07:36,734 - INFO - Ep.: 36, Score: 0.0, e: 1.00, Steps: 686, Avg Q-val: nan, replay: 30468, Mem Usage: 8.6%
