2024-09-22 22:44:30,446 - INFO - Modelo preentrenado cargado desde /data/riwamoto/ALE_Qbert_results/models/dqn_model_ALE_Qbert_final_20240831_094643.pth
2024-09-22 22:44:31,105 - INFO - Ep.: 0, Score: 0.0, e: 1.00, Steps: 180, Avg Q-val: nan, replay: 180, Mem Usage: 32.0%
2024-09-22 22:44:31,824 - INFO - Ep.: 1, Score: 0.0, e: 1.00, Steps: 669, Avg Q-val: nan, replay: 849, Mem Usage: 32.5%
2024-09-22 22:44:32,463 - INFO - Ep.: 2, Score: 0.0, e: 1.00, Steps: 945, Avg Q-val: nan, replay: 1794, Mem Usage: 32.9%
2024-09-22 22:44:32,668 - INFO - Ep.: 3, Score: 0.0, e: 1.00, Steps: 195, Avg Q-val: nan, replay: 1989, Mem Usage: 33.0%
2024-09-22 22:44:33,142 - INFO - Ep.: 4, Score: 0.0, e: 1.00, Steps: 669, Avg Q-val: nan, replay: 2658, Mem Usage: 33.2%
2024-09-22 22:44:33,616 - INFO - Ep.: 5, Score: 0.0, e: 1.00, Steps: 648, Avg Q-val: nan, replay: 3306, Mem Usage: 33.5%
2024-09-22 22:44:34,597 - INFO - Ep.: 6, Score: 0.0, e: 1.00, Steps: 1483, Avg Q-val: nan, replay: 4789, Mem Usage: 34.1%
2024-09-22 22:44:34,916 - INFO - Ep.: 7, Score: 0.0, e: 1.00, Steps: 392, Avg Q-val: nan, replay: 5181, Mem Usage: 34.3%
2024-09-22 22:44:35,519 - INFO - Ep.: 8, Score: 0.0, e: 1.00, Steps: 862, Avg Q-val: nan, replay: 6043, Mem Usage: 34.7%
2024-09-22 22:44:36,294 - INFO - Ep.: 9, Score: 0.0, e: 1.00, Steps: 1068, Avg Q-val: nan, replay: 7111, Mem Usage: 35.2%
2024-09-22 22:44:37,383 - INFO - Ep.: 10, Score: 2400.0, e: 1.00, Steps: 1558, Avg Q-val: nan, replay: 8669, Mem Usage: 35.8%
2024-09-22 22:44:37,831 - INFO - Ep.: 11, Score: 0.0, e: 1.00, Steps: 501, Avg Q-val: nan, replay: 9170, Mem Usage: 36.0%
2024-09-22 22:44:38,220 - INFO - Ep.: 12, Score: 0.0, e: 1.00, Steps: 435, Avg Q-val: nan, replay: 9605, Mem Usage: 36.2%
2024-09-22 22:44:38,861 - INFO - Ep.: 13, Score: 0.0, e: 1.00, Steps: 841, Avg Q-val: nan, replay: 10446, Mem Usage: 36.5%
2024-09-22 22:44:39,297 - INFO - Ep.: 14, Score: 0.0, e: 1.00, Steps: 539, Avg Q-val: nan, replay: 10985, Mem Usage: 36.7%
2024-09-22 22:44:40,035 - INFO - Ep.: 15, Score: 0.0, e: 1.00, Steps: 996, Avg Q-val: nan, replay: 11981, Mem Usage: 37.1%
2024-09-22 22:44:40,262 - INFO - Ep.: 16, Score: 0.0, e: 1.00, Steps: 183, Avg Q-val: nan, replay: 12164, Mem Usage: 37.3%
2024-09-22 22:44:40,865 - INFO - Ep.: 17, Score: 1600.0, e: 1.00, Steps: 790, Avg Q-val: nan, replay: 12954, Mem Usage: 37.6%
2024-09-22 22:44:41,442 - INFO - Ep.: 18, Score: 1600.0, e: 1.00, Steps: 763, Avg Q-val: nan, replay: 13717, Mem Usage: 37.8%
2024-09-22 22:44:42,570 - INFO - Ep.: 19, Score: 0.0, e: 1.00, Steps: 1588, Avg Q-val: nan, replay: 15305, Mem Usage: 38.4%
2024-09-22 22:44:43,230 - INFO - Ep.: 20, Score: 1600.0, e: 1.00, Steps: 838, Avg Q-val: nan, replay: 16143, Mem Usage: 38.6%
2024-09-22 22:44:44,160 - INFO - Ep.: 21, Score: 0.0, e: 1.00, Steps: 1253, Avg Q-val: nan, replay: 17396, Mem Usage: 39.0%
2024-09-22 22:44:44,914 - INFO - Ep.: 22, Score: 800.0, e: 1.00, Steps: 1013, Avg Q-val: nan, replay: 18409, Mem Usage: 39.3%
2024-09-22 22:44:45,320 - INFO - Ep.: 23, Score: 0.0, e: 1.00, Steps: 482, Avg Q-val: nan, replay: 18891, Mem Usage: 39.5%
