2024-09-16 09:44:53,732 - INFO - Modelo preentrenado cargado desde /data/riwamoto/ALE_Breakout_results/models/dqn_model_ALE_Breakout_final_20240830_095618.pth
2024-09-16 09:44:54,824 - INFO - Ep.: 0, Score: -20.0, e: 1.00, Steps: 938, Avg Q-val: nan, replay: 938, Mem Usage: 24.1%
2024-09-16 09:44:55,592 - INFO - Ep.: 1, Score: -21.0, e: 1.00, Steps: 764, Avg Q-val: nan, replay: 1702, Mem Usage: 24.3%
2024-09-16 09:44:56,161 - INFO - Ep.: 2, Score: -21.0, e: 1.00, Steps: 792, Avg Q-val: nan, replay: 2494, Mem Usage: 24.5%
2024-09-16 09:44:56,716 - INFO - Ep.: 3, Score: -21.0, e: 1.00, Steps: 764, Avg Q-val: nan, replay: 3258, Mem Usage: 24.7%
2024-09-16 09:44:57,402 - INFO - Ep.: 4, Score: -20.0, e: 1.00, Steps: 981, Avg Q-val: nan, replay: 4239, Mem Usage: 25.0%
2024-09-16 09:44:57,962 - INFO - Ep.: 5, Score: -21.0, e: 1.00, Steps: 792, Avg Q-val: nan, replay: 5031, Mem Usage: 25.2%
2024-09-16 09:44:58,552 - INFO - Ep.: 6, Score: -21.0, e: 1.00, Steps: 824, Avg Q-val: nan, replay: 5855, Mem Usage: 25.4%
2024-09-16 09:44:59,308 - INFO - Ep.: 7, Score: -21.0, e: 1.00, Steps: 1108, Avg Q-val: nan, replay: 6963, Mem Usage: 25.7%
2024-09-16 09:44:59,944 - INFO - Ep.: 8, Score: -20.0, e: 1.00, Steps: 902, Avg Q-val: nan, replay: 7865, Mem Usage: 25.9%
2024-09-16 09:45:00,614 - INFO - Ep.: 9, Score: -21.0, e: 1.00, Steps: 974, Avg Q-val: nan, replay: 8839, Mem Usage: 26.1%
2024-09-16 09:45:01,204 - INFO - Ep.: 10, Score: -21.0, e: 1.00, Steps: 826, Avg Q-val: nan, replay: 9665, Mem Usage: 26.3%
2024-09-16 09:45:01,768 - INFO - Ep.: 11, Score: -21.0, e: 1.00, Steps: 783, Avg Q-val: nan, replay: 10448, Mem Usage: 26.5%
2024-09-16 09:45:02,367 - INFO - Ep.: 12, Score: -21.0, e: 1.00, Steps: 840, Avg Q-val: nan, replay: 11288, Mem Usage: 26.7%
2024-09-16 09:45:02,996 - INFO - Ep.: 13, Score: -20.0, e: 1.00, Steps: 901, Avg Q-val: nan, replay: 12189, Mem Usage: 27.0%
2024-09-16 09:45:03,646 - INFO - Ep.: 14, Score: -20.0, e: 1.00, Steps: 928, Avg Q-val: nan, replay: 13117, Mem Usage: 27.2%
