2024-09-24 10:29:15,199 - INFO - Modelo preentrenado cargado desde /data/riwamoto/ALE_Frogger_results/models/dqn_model_ALE_Frogger_final_20240829_113617.pth
2024-09-24 10:29:16,269 - INFO - Ep.: 0, Score: -20.0, e: 1.00, Steps: 878, Avg Q-val: nan, replay: 878, Mem Usage: 26.7%
2024-09-24 10:29:17,305 - INFO - Ep.: 1, Score: -19.0, e: 1.00, Steps: 1193, Avg Q-val: nan, replay: 2071, Mem Usage: 27.2%
2024-09-24 10:29:18,034 - INFO - Ep.: 2, Score: -19.0, e: 1.00, Steps: 1076, Avg Q-val: nan, replay: 3147, Mem Usage: 27.6%
2024-09-24 10:29:18,683 - INFO - Ep.: 3, Score: -21.0, e: 1.00, Steps: 932, Avg Q-val: nan, replay: 4079, Mem Usage: 27.9%
2024-09-24 10:29:19,237 - INFO - Ep.: 4, Score: -21.0, e: 1.00, Steps: 764, Avg Q-val: nan, replay: 4843, Mem Usage: 28.1%
2024-09-24 10:29:19,863 - INFO - Ep.: 5, Score: -21.0, e: 1.00, Steps: 886, Avg Q-val: nan, replay: 5729, Mem Usage: 28.5%
2024-09-24 10:29:20,546 - INFO - Ep.: 6, Score: -20.0, e: 1.00, Steps: 983, Avg Q-val: nan, replay: 6712, Mem Usage: 28.8%
2024-09-24 10:29:21,182 - INFO - Ep.: 7, Score: -21.0, e: 1.00, Steps: 885, Avg Q-val: nan, replay: 7597, Mem Usage: 29.1%
2024-09-24 10:29:21,865 - INFO - Ep.: 8, Score: -20.0, e: 1.00, Steps: 987, Avg Q-val: nan, replay: 8584, Mem Usage: 29.4%
2024-09-24 10:29:22,540 - INFO - Ep.: 9, Score: -20.0, e: 1.00, Steps: 981, Avg Q-val: nan, replay: 9565, Mem Usage: 29.8%
2024-09-24 10:29:23,182 - INFO - Ep.: 10, Score: -21.0, e: 1.00, Steps: 940, Avg Q-val: nan, replay: 10505, Mem Usage: 30.1%
2024-09-24 10:29:23,817 - INFO - Ep.: 11, Score: -21.0, e: 1.00, Steps: 910, Avg Q-val: nan, replay: 11415, Mem Usage: 30.4%
2024-09-24 10:29:24,418 - INFO - Ep.: 12, Score: -20.0, e: 1.00, Steps: 842, Avg Q-val: nan, replay: 12257, Mem Usage: 30.7%
2024-09-24 10:29:25,055 - INFO - Ep.: 13, Score: -20.0, e: 1.00, Steps: 918, Avg Q-val: nan, replay: 13175, Mem Usage: 31.1%
2024-09-24 10:29:25,716 - INFO - Ep.: 14, Score: -21.0, e: 1.00, Steps: 973, Avg Q-val: nan, replay: 14148, Mem Usage: 31.4%
2024-09-24 10:29:26,314 - INFO - Ep.: 15, Score: -21.0, e: 1.00, Steps: 852, Avg Q-val: nan, replay: 15000, Mem Usage: 31.7%
2024-09-24 10:29:26,896 - INFO - Ep.: 16, Score: -21.0, e: 1.00, Steps: 824, Avg Q-val: nan, replay: 15824, Mem Usage: 32.0%
2024-09-24 10:29:27,523 - INFO - Ep.: 17, Score: -20.0, e: 1.00, Steps: 903, Avg Q-val: nan, replay: 16727, Mem Usage: 32.3%
2024-09-24 10:29:28,272 - INFO - Ep.: 18, Score: -19.0, e: 1.00, Steps: 1129, Avg Q-val: nan, replay: 17856, Mem Usage: 32.7%
2024-09-24 10:29:28,958 - INFO - Ep.: 19, Score: -20.0, e: 1.00, Steps: 995, Avg Q-val: nan, replay: 18851, Mem Usage: 33.0%
2024-09-24 10:29:29,631 - INFO - Ep.: 20, Score: -21.0, e: 1.00, Steps: 872, Avg Q-val: nan, replay: 19723, Mem Usage: 33.3%
2024-09-24 10:29:30,286 - INFO - Ep.: 21, Score: -20.0, e: 1.00, Steps: 865, Avg Q-val: nan, replay: 20588, Mem Usage: 33.5%
2024-09-24 10:29:30,930 - INFO - Ep.: 22, Score: -21.0, e: 1.00, Steps: 852, Avg Q-val: nan, replay: 21440, Mem Usage: 33.7%
2024-09-24 10:29:31,564 - INFO - Ep.: 23, Score: -21.0, e: 1.00, Steps: 820, Avg Q-val: nan, replay: 22260, Mem Usage: 33.9%
2024-09-24 10:29:32,216 - INFO - Ep.: 24, Score: -20.0, e: 1.00, Steps: 862, Avg Q-val: nan, replay: 23122, Mem Usage: 34.2%
2024-09-24 10:29:32,975 - INFO - Ep.: 25, Score: -20.0, e: 1.00, Steps: 976, Avg Q-val: nan, replay: 24098, Mem Usage: 34.4%
2024-09-24 10:29:33,648 - INFO - Ep.: 26, Score: -21.0, e: 1.00, Steps: 852, Avg Q-val: nan, replay: 24950, Mem Usage: 34.7%
2024-09-24 10:29:34,367 - INFO - Ep.: 27, Score: -21.0, e: 1.00, Steps: 946, Avg Q-val: nan, replay: 25896, Mem Usage: 34.9%
2024-09-24 10:29:35,400 - INFO - Ep.: 28, Score: -15.0, e: 1.00, Steps: 1402, Avg Q-val: nan, replay: 27298, Mem Usage: 35.3%
2024-09-24 10:29:36,044 - INFO - Ep.: 29, Score: -21.0, e: 1.00, Steps: 825, Avg Q-val: nan, replay: 28123, Mem Usage: 35.6%
2024-09-24 10:29:36,758 - INFO - Ep.: 30, Score: -20.0, e: 1.00, Steps: 959, Avg Q-val: nan, replay: 29082, Mem Usage: 36.0%
2024-09-24 10:29:37,421 - INFO - Ep.: 31, Score: -21.0, e: 1.00, Steps: 824, Avg Q-val: nan, replay: 29906, Mem Usage: 36.2%
2024-09-24 10:29:38,154 - INFO - Ep.: 32, Score: -21.0, e: 1.00, Steps: 972, Avg Q-val: nan, replay: 30878, Mem Usage: 36.5%
