2024-10-31 12:37:04,079 - INFO - Modelo preentrenado cargado desde /data/riwamoto/ALE_Pong_results/models/dqn_model_ALE_Pong_final_20240830_095849.pth
2024-10-31 12:37:06,774 - INFO - Ep.: 0, Score: 18.0, e: 0.05, Steps: 1938, Avg Q-val: 1.54, replay: 1938, Mem Usage: 21.7%
2024-10-31 12:37:09,044 - INFO - Ep.: 1, Score: 18.0, e: 0.05, Steps: 1922, Avg Q-val: 1.53, replay: 3860, Mem Usage: 22.3%
2024-10-31 12:37:11,043 - INFO - Ep.: 2, Score: 19.0, e: 0.05, Steps: 1927, Avg Q-val: 1.55, replay: 5787, Mem Usage: 22.7%
2024-10-31 12:37:13,163 - INFO - Ep.: 3, Score: 17.0, e: 0.05, Steps: 2100, Avg Q-val: 1.47, replay: 7887, Mem Usage: 23.2%
2024-10-31 12:37:15,101 - INFO - Ep.: 4, Score: 18.0, e: 0.05, Steps: 1901, Avg Q-val: 1.57, replay: 9788, Mem Usage: 23.5%
2024-10-31 12:37:16,878 - INFO - Ep.: 5, Score: 19.0, e: 0.05, Steps: 1721, Avg Q-val: 1.59, replay: 11509, Mem Usage: 23.9%
2024-10-31 12:37:18,909 - INFO - Ep.: 6, Score: 18.0, e: 0.05, Steps: 2007, Avg Q-val: 1.51, replay: 13516, Mem Usage: 24.4%
2024-10-31 12:37:20,898 - INFO - Ep.: 7, Score: 17.0, e: 0.05, Steps: 1940, Avg Q-val: 1.56, replay: 15456, Mem Usage: 24.8%
2024-10-31 12:37:22,741 - INFO - Ep.: 8, Score: 18.0, e: 0.05, Steps: 1797, Avg Q-val: 1.54, replay: 17253, Mem Usage: 25.2%
2024-10-31 12:37:25,024 - INFO - Ep.: 9, Score: 16.0, e: 0.05, Steps: 2227, Avg Q-val: 1.51, replay: 19480, Mem Usage: 25.7%
2024-10-31 12:37:26,813 - INFO - Ep.: 10, Score: 20.0, e: 0.05, Steps: 1725, Avg Q-val: 1.54, replay: 21205, Mem Usage: 26.2%
2024-10-31 12:37:28,980 - INFO - Ep.: 11, Score: 17.0, e: 0.05, Steps: 2124, Avg Q-val: 1.36, replay: 23329, Mem Usage: 27.0%
2024-10-31 12:37:30,813 - INFO - Ep.: 12, Score: 20.0, e: 0.05, Steps: 1785, Avg Q-val: 1.54, replay: 25114, Mem Usage: 27.5%
2024-10-31 12:37:32,884 - INFO - Ep.: 13, Score: 17.0, e: 0.05, Steps: 2035, Avg Q-val: 1.48, replay: 27149, Mem Usage: 28.0%
2024-10-31 12:37:34,811 - INFO - Ep.: 14, Score: 19.0, e: 0.05, Steps: 1898, Avg Q-val: 1.52, replay: 29047, Mem Usage: 28.6%
2024-10-31 12:37:36,692 - INFO - Ep.: 15, Score: 20.0, e: 0.05, Steps: 1837, Avg Q-val: 1.54, replay: 30884, Mem Usage: 29.2%
2024-10-31 12:37:38,839 - INFO - Ep.: 16, Score: 17.0, e: 0.05, Steps: 2104, Avg Q-val: 1.50, replay: 32988, Mem Usage: 29.8%
2024-10-31 12:37:40,945 - INFO - Ep.: 17, Score: 19.0, e: 0.05, Steps: 2059, Avg Q-val: 1.43, replay: 35047, Mem Usage: 30.4%
2024-10-31 12:37:42,733 - INFO - Ep.: 18, Score: 20.0, e: 0.05, Steps: 1725, Avg Q-val: 1.58, replay: 36772, Mem Usage: 31.1%
2024-10-31 12:37:44,766 - INFO - Ep.: 19, Score: 20.0, e: 0.05, Steps: 1732, Avg Q-val: 1.57, replay: 38504, Mem Usage: 31.5%
2024-10-31 12:37:46,872 - INFO - Ep.: 20, Score: 19.0, e: 0.05, Steps: 1794, Avg Q-val: 1.52, replay: 40298, Mem Usage: 31.9%
2024-10-31 12:37:49,443 - INFO - Ep.: 21, Score: 16.0, e: 0.05, Steps: 2295, Avg Q-val: 1.44, replay: 42593, Mem Usage: 32.5%
2024-10-31 12:37:51,439 - INFO - Ep.: 22, Score: 20.0, e: 0.05, Steps: 1784, Avg Q-val: 1.55, replay: 44377, Mem Usage: 32.9%
2024-10-31 12:37:53,749 - INFO - Ep.: 23, Score: 19.0, e: 0.05, Steps: 2015, Avg Q-val: 1.50, replay: 46392, Mem Usage: 33.6%
2024-10-31 12:37:55,953 - INFO - Ep.: 24, Score: 17.0, e: 0.05, Steps: 1998, Avg Q-val: 1.53, replay: 48390, Mem Usage: 34.2%
2024-10-31 12:37:57,996 - INFO - Ep.: 25, Score: 17.0, e: 0.05, Steps: 1795, Avg Q-val: 1.58, replay: 50185, Mem Usage: 34.8%
2024-10-31 12:38:00,300 - INFO - Ep.: 26, Score: 18.0, e: 0.05, Steps: 2020, Avg Q-val: 1.47, replay: 52205, Mem Usage: 35.3%
2024-10-31 12:38:02,406 - INFO - Ep.: 27, Score: 19.0, e: 0.05, Steps: 1859, Avg Q-val: 1.56, replay: 54064, Mem Usage: 35.9%
2024-10-31 12:38:04,494 - INFO - Ep.: 28, Score: 16.0, e: 0.05, Steps: 1865, Avg Q-val: 1.52, replay: 55929, Mem Usage: 36.5%
2024-10-31 12:38:06,560 - INFO - Ep.: 29, Score: 19.0, e: 0.05, Steps: 1786, Avg Q-val: 1.57, replay: 57715, Mem Usage: 37.1%
2024-10-31 12:38:08,721 - INFO - Ep.: 30, Score: 17.0, e: 0.05, Steps: 1894, Avg Q-val: 1.55, replay: 59609, Mem Usage: 37.6%
2024-10-31 12:38:10,774 - INFO - Ep.: 31, Score: 19.0, e: 0.05, Steps: 1784, Avg Q-val: 1.58, replay: 61393, Mem Usage: 38.2%
2024-10-31 12:38:13,205 - INFO - Ep.: 32, Score: 17.0, e: 0.05, Steps: 2134, Avg Q-val: 1.48, replay: 63527, Mem Usage: 38.8%
2024-10-31 12:38:15,324 - INFO - Ep.: 33, Score: 16.0, e: 0.05, Steps: 1839, Avg Q-val: 1.58, replay: 65366, Mem Usage: 39.3%
2024-10-31 12:38:17,527 - INFO - Ep.: 34, Score: 18.0, e: 0.05, Steps: 1948, Avg Q-val: 1.52, replay: 67314, Mem Usage: 40.0%
2024-10-31 12:38:19,819 - INFO - Ep.: 35, Score: 17.0, e: 0.05, Steps: 1956, Avg Q-val: 1.56, replay: 69270, Mem Usage: 40.5%
2024-10-31 12:38:22,295 - INFO - Ep.: 36, Score: 18.0, e: 0.05, Steps: 2046, Avg Q-val: 1.51, replay: 71316, Mem Usage: 41.2%
2024-10-31 12:38:24,606 - INFO - Ep.: 37, Score: 17.0, e: 0.05, Steps: 2014, Avg Q-val: 1.50, replay: 73330, Mem Usage: 41.8%
2024-10-31 12:38:27,024 - INFO - Ep.: 38, Score: 17.0, e: 0.05, Steps: 2114, Avg Q-val: 1.46, replay: 75444, Mem Usage: 42.4%
2024-10-31 12:38:29,110 - INFO - Ep.: 39, Score: 19.0, e: 0.05, Steps: 1824, Avg Q-val: 1.58, replay: 77268, Mem Usage: 43.0%
2024-10-31 12:38:31,556 - INFO - Ep.: 40, Score: 18.0, e: 0.05, Steps: 2048, Avg Q-val: 1.51, replay: 79316, Mem Usage: 43.6%
2024-10-31 12:38:33,478 - INFO - Ep.: 41, Score: 20.0, e: 0.05, Steps: 1720, Avg Q-val: 1.57, replay: 81036, Mem Usage: 44.2%
2024-10-31 12:38:35,739 - INFO - Ep.: 42, Score: 16.0, e: 0.05, Steps: 2013, Avg Q-val: 1.54, replay: 83049, Mem Usage: 44.7%
2024-10-31 12:38:37,887 - INFO - Ep.: 43, Score: 18.0, e: 0.05, Steps: 1898, Avg Q-val: 1.58, replay: 84947, Mem Usage: 45.4%
2024-10-31 12:38:39,826 - INFO - Ep.: 44, Score: 20.0, e: 0.05, Steps: 1724, Avg Q-val: 1.54, replay: 86671, Mem Usage: 45.8%
2024-10-31 12:38:41,959 - INFO - Ep.: 45, Score: 18.0, e: 0.05, Steps: 1922, Avg Q-val: 1.53, replay: 88593, Mem Usage: 46.4%
2024-10-31 12:38:44,057 - INFO - Ep.: 46, Score: 19.0, e: 0.05, Steps: 1866, Avg Q-val: 1.54, replay: 90459, Mem Usage: 47.0%
2024-10-31 12:38:46,350 - INFO - Ep.: 47, Score: 18.0, e: 0.05, Steps: 2033, Avg Q-val: 1.47, replay: 92492, Mem Usage: 47.5%
2024-10-31 12:38:49,206 - INFO - Ep.: 48, Score: 14.0, e: 0.05, Steps: 2572, Avg Q-val: 1.52, replay: 95064, Mem Usage: 48.3%
2024-10-31 12:38:51,198 - INFO - Ep.: 49, Score: 20.0, e: 0.05, Steps: 1756, Avg Q-val: 1.55, replay: 96820, Mem Usage: 48.8%
2024-10-31 12:38:53,611 - INFO - Ep.: 50, Score: 16.0, e: 0.05, Steps: 2054, Avg Q-val: 1.50, replay: 98874, Mem Usage: 49.4%
2024-10-31 12:38:58,612 - INFO - Ep.: 51, Score: 16.0, e: 0.05, Steps: 2074, Avg Q-val: 1.53, replay: 100000, Mem Usage: 50.3%
2024-10-31 12:39:06,224 - INFO - Ep.: 52, Score: 16.0, e: 0.05, Steps: 1948, Avg Q-val: 1.52, replay: 100000, Mem Usage: 51.1%
