2024-09-21 11:13:38,021 - INFO - Modelo preentrenado cargado desde /data/riwamoto/ALE_Pong_results/models/dqn_model_ALE_Pong_final_20240830_095849.pth
2024-09-21 11:13:38,671 - INFO - Ep.: 0, Score: 175.0, e: 1.00, Steps: 340, Avg Q-val: nan, replay: 340, Mem Usage: 8.5%
2024-09-21 11:13:39,132 - INFO - Ep.: 1, Score: 25.0, e: 1.00, Steps: 287, Avg Q-val: nan, replay: 627, Mem Usage: 8.7%
2024-09-21 11:13:39,363 - INFO - Ep.: 2, Score: 25.0, e: 1.00, Steps: 265, Avg Q-val: nan, replay: 892, Mem Usage: 8.7%
2024-09-21 11:13:39,608 - INFO - Ep.: 3, Score: 0.0, e: 1.00, Steps: 291, Avg Q-val: nan, replay: 1183, Mem Usage: 8.8%
2024-09-21 11:13:39,854 - INFO - Ep.: 4, Score: 25.0, e: 1.00, Steps: 294, Avg Q-val: nan, replay: 1477, Mem Usage: 8.9%
2024-09-21 11:13:40,098 - INFO - Ep.: 5, Score: 0.0, e: 1.00, Steps: 293, Avg Q-val: nan, replay: 1770, Mem Usage: 8.9%
2024-09-21 11:13:40,362 - INFO - Ep.: 6, Score: 200.0, e: 1.00, Steps: 324, Avg Q-val: nan, replay: 2094, Mem Usage: 9.0%
2024-09-21 11:13:40,613 - INFO - Ep.: 7, Score: 25.0, e: 1.00, Steps: 303, Avg Q-val: nan, replay: 2397, Mem Usage: 9.1%
2024-09-21 11:13:40,855 - INFO - Ep.: 8, Score: 0.0, e: 1.00, Steps: 288, Avg Q-val: nan, replay: 2685, Mem Usage: 9.2%
2024-09-21 11:13:41,094 - INFO - Ep.: 9, Score: 0.0, e: 1.00, Steps: 281, Avg Q-val: nan, replay: 2966, Mem Usage: 9.3%
2024-09-21 11:13:41,387 - INFO - Ep.: 10, Score: 250.0, e: 1.00, Steps: 376, Avg Q-val: nan, replay: 3342, Mem Usage: 9.3%
2024-09-21 11:13:41,658 - INFO - Ep.: 11, Score: 200.0, e: 1.00, Steps: 339, Avg Q-val: nan, replay: 3681, Mem Usage: 9.4%
2024-09-21 11:13:41,910 - INFO - Ep.: 12, Score: 75.0, e: 1.00, Steps: 304, Avg Q-val: nan, replay: 3985, Mem Usage: 9.5%
2024-09-21 11:13:42,174 - INFO - Ep.: 13, Score: 175.0, e: 1.00, Steps: 324, Avg Q-val: nan, replay: 4309, Mem Usage: 9.6%
2024-09-21 11:13:42,482 - INFO - Ep.: 14, Score: 575.0, e: 1.00, Steps: 405, Avg Q-val: nan, replay: 4714, Mem Usage: 9.7%
2024-09-21 11:13:42,728 - INFO - Ep.: 15, Score: 25.0, e: 1.00, Steps: 293, Avg Q-val: nan, replay: 5007, Mem Usage: 9.8%
2024-09-21 11:13:43,011 - INFO - Ep.: 16, Score: 125.0, e: 1.00, Steps: 359, Avg Q-val: nan, replay: 5366, Mem Usage: 9.9%
2024-09-21 11:13:43,302 - INFO - Ep.: 17, Score: 200.0, e: 1.00, Steps: 375, Avg Q-val: nan, replay: 5741, Mem Usage: 9.9%
2024-09-21 11:13:43,577 - INFO - Ep.: 18, Score: 200.0, e: 1.00, Steps: 345, Avg Q-val: nan, replay: 6086, Mem Usage: 10.0%
2024-09-21 11:13:43,832 - INFO - Ep.: 19, Score: 100.0, e: 1.00, Steps: 310, Avg Q-val: nan, replay: 6396, Mem Usage: 10.1%
2024-09-21 11:13:44,093 - INFO - Ep.: 20, Score: 125.0, e: 1.00, Steps: 322, Avg Q-val: nan, replay: 6718, Mem Usage: 10.2%
2024-09-21 11:13:44,335 - INFO - Ep.: 21, Score: 0.0, e: 1.00, Steps: 285, Avg Q-val: nan, replay: 7003, Mem Usage: 10.3%
