2024-09-21 11:14:28,331 - INFO - Modelo preentrenado cargado desde /data/riwamoto/ALE_Qbert_results/models/dqn_model_ALE_Qbert_final_20240831_094643.pth
2024-09-21 11:14:28,968 - INFO - Ep.: 0, Score: 125.0, e: 1.00, Steps: 305, Avg Q-val: nan, replay: 305, Mem Usage: 30.4%
2024-09-21 11:14:29,451 - INFO - Ep.: 1, Score: 175.0, e: 1.00, Steps: 353, Avg Q-val: nan, replay: 658, Mem Usage: 30.6%
2024-09-21 11:14:29,694 - INFO - Ep.: 2, Score: 25.0, e: 1.00, Steps: 290, Avg Q-val: nan, replay: 948, Mem Usage: 30.8%
2024-09-21 11:14:29,964 - INFO - Ep.: 3, Score: 125.0, e: 1.00, Steps: 336, Avg Q-val: nan, replay: 1284, Mem Usage: 31.0%
2024-09-21 11:14:30,203 - INFO - Ep.: 4, Score: 150.0, e: 1.00, Steps: 281, Avg Q-val: nan, replay: 1565, Mem Usage: 31.1%
2024-09-21 11:14:30,431 - INFO - Ep.: 5, Score: 50.0, e: 1.00, Steps: 261, Avg Q-val: nan, replay: 1826, Mem Usage: 31.3%
2024-09-21 11:14:30,685 - INFO - Ep.: 6, Score: 50.0, e: 1.00, Steps: 309, Avg Q-val: nan, replay: 2135, Mem Usage: 31.4%
2024-09-21 11:14:30,958 - INFO - Ep.: 7, Score: 175.0, e: 1.00, Steps: 343, Avg Q-val: nan, replay: 2478, Mem Usage: 31.6%
2024-09-21 11:14:31,251 - INFO - Ep.: 8, Score: 225.0, e: 1.00, Steps: 381, Avg Q-val: nan, replay: 2859, Mem Usage: 31.8%
2024-09-21 11:14:31,573 - INFO - Ep.: 9, Score: 175.0, e: 1.00, Steps: 422, Avg Q-val: nan, replay: 3281, Mem Usage: 32.0%
2024-09-21 11:14:31,863 - INFO - Ep.: 10, Score: 150.0, e: 1.00, Steps: 334, Avg Q-val: nan, replay: 3615, Mem Usage: 32.3%
2024-09-21 11:14:32,189 - INFO - Ep.: 11, Score: 250.0, e: 1.00, Steps: 378, Avg Q-val: nan, replay: 3993, Mem Usage: 32.4%
2024-09-21 11:14:32,451 - INFO - Ep.: 12, Score: 50.0, e: 1.00, Steps: 288, Avg Q-val: nan, replay: 4281, Mem Usage: 32.6%
2024-09-21 11:14:32,933 - INFO - Ep.: 13, Score: 900.0, e: 1.00, Steps: 617, Avg Q-val: nan, replay: 4898, Mem Usage: 32.8%
2024-09-21 11:14:33,233 - INFO - Ep.: 14, Score: 100.0, e: 1.00, Steps: 328, Avg Q-val: nan, replay: 5226, Mem Usage: 32.9%
2024-09-21 11:14:33,543 - INFO - Ep.: 15, Score: 150.0, e: 1.00, Steps: 366, Avg Q-val: nan, replay: 5592, Mem Usage: 33.1%
2024-09-21 11:14:33,846 - INFO - Ep.: 16, Score: 75.0, e: 1.00, Steps: 325, Avg Q-val: nan, replay: 5917, Mem Usage: 33.3%
2024-09-21 11:14:34,236 - INFO - Ep.: 17, Score: 300.0, e: 1.00, Steps: 463, Avg Q-val: nan, replay: 6380, Mem Usage: 33.4%
2024-09-21 11:14:34,584 - INFO - Ep.: 18, Score: 200.0, e: 1.00, Steps: 405, Avg Q-val: nan, replay: 6785, Mem Usage: 33.6%
2024-09-21 11:14:34,904 - INFO - Ep.: 19, Score: 275.0, e: 1.00, Steps: 363, Avg Q-val: nan, replay: 7148, Mem Usage: 33.8%
2024-09-21 11:14:35,203 - INFO - Ep.: 20, Score: 225.0, e: 1.00, Steps: 341, Avg Q-val: nan, replay: 7489, Mem Usage: 33.9%
2024-09-21 11:14:35,545 - INFO - Ep.: 21, Score: 300.0, e: 1.00, Steps: 401, Avg Q-val: nan, replay: 7890, Mem Usage: 34.1%
2024-09-21 11:14:35,860 - INFO - Ep.: 22, Score: 200.0, e: 1.00, Steps: 340, Avg Q-val: nan, replay: 8230, Mem Usage: 34.2%
2024-09-21 11:14:36,116 - INFO - Ep.: 23, Score: 100.0, e: 1.00, Steps: 266, Avg Q-val: nan, replay: 8496, Mem Usage: 34.3%
2024-09-21 11:14:36,418 - INFO - Ep.: 24, Score: 475.0, e: 1.00, Steps: 344, Avg Q-val: nan, replay: 8840, Mem Usage: 34.5%
2024-09-21 11:14:36,690 - INFO - Ep.: 25, Score: 25.0, e: 1.00, Steps: 289, Avg Q-val: nan, replay: 9129, Mem Usage: 34.6%
2024-09-21 11:14:36,982 - INFO - Ep.: 26, Score: 50.0, e: 1.00, Steps: 310, Avg Q-val: nan, replay: 9439, Mem Usage: 34.8%
2024-09-21 11:14:37,250 - INFO - Ep.: 27, Score: 0.0, e: 1.00, Steps: 285, Avg Q-val: nan, replay: 9724, Mem Usage: 34.9%
2024-09-21 11:14:37,507 - INFO - Ep.: 28, Score: 0.0, e: 1.00, Steps: 282, Avg Q-val: nan, replay: 10006, Mem Usage: 35.0%
2024-09-21 11:14:37,781 - INFO - Ep.: 29, Score: 150.0, e: 1.00, Steps: 288, Avg Q-val: nan, replay: 10294, Mem Usage: 35.1%
2024-09-21 11:14:38,054 - INFO - Ep.: 30, Score: 125.0, e: 1.00, Steps: 280, Avg Q-val: nan, replay: 10574, Mem Usage: 35.2%
2024-09-21 11:14:38,416 - INFO - Ep.: 31, Score: 325.0, e: 1.00, Steps: 453, Avg Q-val: nan, replay: 11027, Mem Usage: 35.4%
2024-09-21 11:14:38,693 - INFO - Ep.: 32, Score: 25.0, e: 1.00, Steps: 296, Avg Q-val: nan, replay: 11323, Mem Usage: 35.6%
2024-09-21 11:14:38,983 - INFO - Ep.: 33, Score: 75.0, e: 1.00, Steps: 317, Avg Q-val: nan, replay: 11640, Mem Usage: 35.7%
2024-09-21 11:14:39,251 - INFO - Ep.: 34, Score: 25.0, e: 1.00, Steps: 296, Avg Q-val: nan, replay: 11936, Mem Usage: 35.8%
2024-09-21 11:14:39,566 - INFO - Ep.: 35, Score: 150.0, e: 1.00, Steps: 341, Avg Q-val: nan, replay: 12277, Mem Usage: 36.0%
2024-09-21 11:14:39,874 - INFO - Ep.: 36, Score: 200.0, e: 1.00, Steps: 330, Avg Q-val: nan, replay: 12607, Mem Usage: 36.1%
2024-09-21 11:14:40,167 - INFO - Ep.: 37, Score: 400.0, e: 1.00, Steps: 335, Avg Q-val: nan, replay: 12942, Mem Usage: 36.2%
2024-09-21 11:14:40,451 - INFO - Ep.: 38, Score: 50.0, e: 1.00, Steps: 305, Avg Q-val: nan, replay: 13247, Mem Usage: 36.4%
2024-09-21 11:14:40,775 - INFO - Ep.: 39, Score: 100.0, e: 1.00, Steps: 361, Avg Q-val: nan, replay: 13608, Mem Usage: 36.5%
2024-09-21 11:14:41,061 - INFO - Ep.: 40, Score: 75.0, e: 1.00, Steps: 309, Avg Q-val: nan, replay: 13917, Mem Usage: 36.7%
2024-09-21 11:14:41,359 - INFO - Ep.: 41, Score: 100.0, e: 1.00, Steps: 309, Avg Q-val: nan, replay: 14226, Mem Usage: 36.8%
2024-09-21 11:14:41,669 - INFO - Ep.: 42, Score: 175.0, e: 1.00, Steps: 347, Avg Q-val: nan, replay: 14573, Mem Usage: 37.0%
2024-09-21 11:14:42,007 - INFO - Ep.: 43, Score: 500.0, e: 1.00, Steps: 391, Avg Q-val: nan, replay: 14964, Mem Usage: 37.1%
2024-09-21 11:14:42,346 - INFO - Ep.: 44, Score: 300.0, e: 1.00, Steps: 410, Avg Q-val: nan, replay: 15374, Mem Usage: 37.3%
2024-09-21 11:14:42,617 - INFO - Ep.: 45, Score: 0.0, e: 1.00, Steps: 288, Avg Q-val: nan, replay: 15662, Mem Usage: 37.4%
2024-09-21 11:14:42,898 - INFO - Ep.: 46, Score: 50.0, e: 1.00, Steps: 302, Avg Q-val: nan, replay: 15964, Mem Usage: 37.6%
2024-09-21 11:14:43,184 - INFO - Ep.: 47, Score: 50.0, e: 1.00, Steps: 310, Avg Q-val: nan, replay: 16274, Mem Usage: 37.7%
2024-09-21 11:14:43,483 - INFO - Ep.: 48, Score: 125.0, e: 1.00, Steps: 337, Avg Q-val: nan, replay: 16611, Mem Usage: 37.8%
2024-09-21 11:14:43,795 - INFO - Ep.: 49, Score: 175.0, e: 1.00, Steps: 338, Avg Q-val: nan, replay: 16949, Mem Usage: 38.0%
2024-09-21 11:14:44,093 - INFO - Ep.: 50, Score: 125.0, e: 1.00, Steps: 329, Avg Q-val: nan, replay: 17278, Mem Usage: 38.1%
2024-09-21 11:14:44,426 - INFO - Ep.: 51, Score: 700.0, e: 1.00, Steps: 399, Avg Q-val: nan, replay: 17677, Mem Usage: 38.3%
2024-09-21 11:14:44,812 - INFO - Ep.: 52, Score: 325.0, e: 1.00, Steps: 462, Avg Q-val: nan, replay: 18139, Mem Usage: 38.5%
2024-09-21 11:14:45,123 - INFO - Ep.: 53, Score: 100.0, e: 1.00, Steps: 341, Avg Q-val: nan, replay: 18480, Mem Usage: 38.6%
2024-09-21 11:14:45,410 - INFO - Ep.: 54, Score: 100.0, e: 1.00, Steps: 309, Avg Q-val: nan, replay: 18789, Mem Usage: 38.7%
2024-09-21 11:14:45,696 - INFO - Ep.: 55, Score: 200.0, e: 1.00, Steps: 292, Avg Q-val: nan, replay: 19081, Mem Usage: 38.8%
2024-09-21 11:14:45,982 - INFO - Ep.: 56, Score: 0.0, e: 1.00, Steps: 289, Avg Q-val: nan, replay: 19370, Mem Usage: 39.0%
2024-09-21 11:14:46,271 - INFO - Ep.: 57, Score: 125.0, e: 1.00, Steps: 293, Avg Q-val: nan, replay: 19663, Mem Usage: 39.1%
2024-09-21 11:14:46,537 - INFO - Ep.: 58, Score: 0.0, e: 1.00, Steps: 286, Avg Q-val: nan, replay: 19949, Mem Usage: 39.2%
2024-09-21 11:14:46,890 - INFO - Ep.: 59, Score: 250.0, e: 1.00, Steps: 408, Avg Q-val: nan, replay: 20357, Mem Usage: 39.4%
2024-09-21 11:14:47,175 - INFO - Ep.: 60, Score: 0.0, e: 1.00, Steps: 299, Avg Q-val: nan, replay: 20656, Mem Usage: 39.6%
2024-09-21 11:14:47,464 - INFO - Ep.: 61, Score: 125.0, e: 1.00, Steps: 295, Avg Q-val: nan, replay: 20951, Mem Usage: 39.8%
2024-09-21 11:14:47,809 - INFO - Ep.: 62, Score: 125.0, e: 1.00, Steps: 373, Avg Q-val: nan, replay: 21324, Mem Usage: 39.9%
2024-09-21 11:14:48,110 - INFO - Ep.: 63, Score: 25.0, e: 1.00, Steps: 299, Avg Q-val: nan, replay: 21623, Mem Usage: 40.1%
2024-09-21 11:14:48,400 - INFO - Ep.: 64, Score: 0.0, e: 1.00, Steps: 289, Avg Q-val: nan, replay: 21912, Mem Usage: 40.2%
2024-09-21 11:14:48,735 - INFO - Ep.: 65, Score: 200.0, e: 1.00, Steps: 355, Avg Q-val: nan, replay: 22267, Mem Usage: 40.3%
2024-09-21 11:14:49,062 - INFO - Ep.: 66, Score: 100.0, e: 1.00, Steps: 320, Avg Q-val: nan, replay: 22587, Mem Usage: 40.4%
2024-09-21 11:14:49,406 - INFO - Ep.: 67, Score: 150.0, e: 1.00, Steps: 364, Avg Q-val: nan, replay: 22951, Mem Usage: 40.6%
2024-09-21 11:14:49,728 - INFO - Ep.: 68, Score: 200.0, e: 1.00, Steps: 327, Avg Q-val: nan, replay: 23278, Mem Usage: 40.7%
2024-09-21 11:14:50,052 - INFO - Ep.: 69, Score: 150.0, e: 1.00, Steps: 346, Avg Q-val: nan, replay: 23624, Mem Usage: 40.8%
