2024-09-14 11:18:18,492 - INFO - Modelo preentrenado cargado desde /data/riwamoto/ALE_Breakout_results/models/dqn_model_ALE_Breakout_final_20240830_095618.pth
2024-09-14 11:18:19,801 - INFO - Ep.: 0, Score: 1600.0, e: 1.00, Steps: 1020, Avg Q-val: nan, replay: 1020, Mem Usage: 29.7%
2024-09-14 11:18:20,496 - INFO - Ep.: 1, Score: 0.0, e: 1.00, Steps: 452, Avg Q-val: nan, replay: 1472, Mem Usage: 29.6%
2024-09-14 11:18:20,859 - INFO - Ep.: 2, Score: 0.0, e: 1.00, Steps: 390, Avg Q-val: nan, replay: 1862, Mem Usage: 29.7%
2024-09-14 11:18:21,544 - INFO - Ep.: 3, Score: 0.0, e: 1.00, Steps: 896, Avg Q-val: nan, replay: 2758, Mem Usage: 29.8%
2024-09-14 11:18:22,718 - INFO - Ep.: 4, Score: 800.0, e: 1.00, Steps: 1622, Avg Q-val: nan, replay: 4380, Mem Usage: 29.9%
2024-09-14 11:18:23,040 - INFO - Ep.: 5, Score: 1600.0, e: 1.00, Steps: 336, Avg Q-val: nan, replay: 4716, Mem Usage: 29.9%
2024-09-14 11:18:23,425 - INFO - Ep.: 6, Score: 0.0, e: 1.00, Steps: 398, Avg Q-val: nan, replay: 5114, Mem Usage: 30.0%
2024-09-14 11:18:23,752 - INFO - Ep.: 7, Score: 0.0, e: 1.00, Steps: 328, Avg Q-val: nan, replay: 5442, Mem Usage: 30.0%
2024-09-14 11:18:24,695 - INFO - Ep.: 8, Score: 0.0, e: 1.00, Steps: 1258, Avg Q-val: nan, replay: 6700, Mem Usage: 30.2%
2024-09-14 11:18:25,028 - INFO - Ep.: 9, Score: 800.0, e: 1.00, Steps: 345, Avg Q-val: nan, replay: 7045, Mem Usage: 30.2%
2024-09-14 11:18:25,704 - INFO - Ep.: 10, Score: 0.0, e: 1.00, Steps: 838, Avg Q-val: nan, replay: 7883, Mem Usage: 30.2%
2024-09-14 11:18:26,633 - INFO - Ep.: 11, Score: 0.0, e: 1.00, Steps: 1235, Avg Q-val: nan, replay: 9118, Mem Usage: 30.4%
2024-09-14 11:18:27,902 - INFO - Ep.: 12, Score: 0.0, e: 1.00, Steps: 1764, Avg Q-val: nan, replay: 10882, Mem Usage: 30.5%
2024-09-14 11:18:28,621 - INFO - Ep.: 13, Score: 800.0, e: 1.00, Steps: 906, Avg Q-val: nan, replay: 11788, Mem Usage: 30.5%
2024-09-14 11:18:29,208 - INFO - Ep.: 14, Score: 0.0, e: 1.00, Steps: 728, Avg Q-val: nan, replay: 12516, Mem Usage: 30.6%
2024-09-14 11:18:29,749 - INFO - Ep.: 15, Score: 1600.0, e: 1.00, Steps: 656, Avg Q-val: nan, replay: 13172, Mem Usage: 30.7%
2024-09-14 11:18:30,072 - INFO - Ep.: 16, Score: 0.0, e: 1.00, Steps: 323, Avg Q-val: nan, replay: 13495, Mem Usage: 30.6%
2024-09-14 11:18:30,781 - INFO - Ep.: 17, Score: 1600.0, e: 1.00, Steps: 927, Avg Q-val: nan, replay: 14422, Mem Usage: 30.8%
2024-09-14 11:18:31,443 - INFO - Ep.: 18, Score: 0.0, e: 1.00, Steps: 826, Avg Q-val: nan, replay: 15248, Mem Usage: 30.9%
2024-09-14 11:18:32,052 - INFO - Ep.: 19, Score: 0.0, e: 1.00, Steps: 735, Avg Q-val: nan, replay: 15983, Mem Usage: 30.7%
2024-09-14 11:18:32,621 - INFO - Ep.: 20, Score: 0.0, e: 1.00, Steps: 695, Avg Q-val: nan, replay: 16678, Mem Usage: 30.7%
2024-09-14 11:18:33,890 - INFO - Ep.: 21, Score: 1600.0, e: 1.00, Steps: 1672, Avg Q-val: nan, replay: 18350, Mem Usage: 30.9%
2024-09-14 11:18:34,297 - INFO - Ep.: 22, Score: 800.0, e: 1.00, Steps: 442, Avg Q-val: nan, replay: 18792, Mem Usage: 30.9%
2024-09-14 11:18:34,664 - INFO - Ep.: 23, Score: 0.0, e: 1.00, Steps: 404, Avg Q-val: nan, replay: 19196, Mem Usage: 31.0%
2024-09-14 11:18:35,163 - INFO - Ep.: 24, Score: 0.0, e: 1.00, Steps: 544, Avg Q-val: nan, replay: 19740, Mem Usage: 31.0%
2024-09-14 11:18:36,151 - INFO - Ep.: 25, Score: 0.0, e: 1.00, Steps: 1323, Avg Q-val: nan, replay: 21063, Mem Usage: 31.1%
2024-09-14 11:18:36,863 - INFO - Ep.: 26, Score: 0.0, e: 1.00, Steps: 894, Avg Q-val: nan, replay: 21957, Mem Usage: 31.2%
2024-09-14 11:18:37,447 - INFO - Ep.: 27, Score: 0.0, e: 1.00, Steps: 710, Avg Q-val: nan, replay: 22667, Mem Usage: 31.2%
