2024-09-14 11:22:04,485 - INFO - Modelo preentrenado cargado desde /data/riwamoto/ALE_Qbert_results/models/dqn_model_ALE_Qbert_final_20240831_094643.pth
2024-09-14 11:22:06,735 - INFO - Ep.: 0, Score: 0.0, e: 1.00, Steps: 2465, Avg Q-val: nan, replay: 2465, Mem Usage: 44.3%
2024-09-14 11:22:07,565 - INFO - Ep.: 1, Score: 0.0, e: 1.00, Steps: 694, Avg Q-val: nan, replay: 3159, Mem Usage: 44.5%
2024-09-14 11:22:07,815 - INFO - Ep.: 2, Score: 0.0, e: 1.00, Steps: 188, Avg Q-val: nan, replay: 3347, Mem Usage: 44.5%
2024-09-14 11:22:08,198 - INFO - Ep.: 3, Score: 0.0, e: 1.00, Steps: 384, Avg Q-val: nan, replay: 3731, Mem Usage: 44.6%
2024-09-14 11:22:08,835 - INFO - Ep.: 4, Score: 0.0, e: 1.00, Steps: 763, Avg Q-val: nan, replay: 4494, Mem Usage: 44.7%
2024-09-14 11:22:09,308 - INFO - Ep.: 5, Score: 1600.0, e: 1.00, Steps: 542, Avg Q-val: nan, replay: 5036, Mem Usage: 44.7%
2024-09-14 11:22:09,812 - INFO - Ep.: 6, Score: 0.0, e: 1.00, Steps: 612, Avg Q-val: nan, replay: 5648, Mem Usage: 44.9%
2024-09-14 11:22:10,481 - INFO - Ep.: 7, Score: 0.0, e: 1.00, Steps: 842, Avg Q-val: nan, replay: 6490, Mem Usage: 45.0%
2024-09-14 11:22:11,093 - INFO - Ep.: 8, Score: 0.0, e: 1.00, Steps: 679, Avg Q-val: nan, replay: 7169, Mem Usage: 45.1%
2024-09-14 11:22:12,102 - INFO - Ep.: 9, Score: 0.0, e: 1.00, Steps: 1327, Avg Q-val: nan, replay: 8496, Mem Usage: 45.4%
2024-09-14 11:22:13,415 - INFO - Ep.: 10, Score: 1600.0, e: 1.00, Steps: 1765, Avg Q-val: nan, replay: 10261, Mem Usage: 45.7%
2024-09-14 11:22:13,788 - INFO - Ep.: 11, Score: 0.0, e: 1.00, Steps: 397, Avg Q-val: nan, replay: 10658, Mem Usage: 45.8%
2024-09-14 11:22:14,341 - INFO - Ep.: 12, Score: 0.0, e: 1.00, Steps: 682, Avg Q-val: nan, replay: 11340, Mem Usage: 45.9%
2024-09-14 11:22:15,248 - INFO - Ep.: 13, Score: 0.0, e: 1.00, Steps: 1198, Avg Q-val: nan, replay: 12538, Mem Usage: 46.1%
2024-09-14 11:22:16,456 - INFO - Ep.: 14, Score: 2400.0, e: 1.00, Steps: 1638, Avg Q-val: nan, replay: 14176, Mem Usage: 46.3%
2024-09-14 11:22:17,029 - INFO - Ep.: 15, Score: 0.0, e: 1.00, Steps: 659, Avg Q-val: nan, replay: 14835, Mem Usage: 46.4%
2024-09-14 11:22:17,665 - INFO - Ep.: 16, Score: 0.0, e: 1.00, Steps: 704, Avg Q-val: nan, replay: 15539, Mem Usage: 46.5%
2024-09-14 11:22:18,673 - INFO - Ep.: 17, Score: 0.0, e: 1.00, Steps: 1284, Avg Q-val: nan, replay: 16823, Mem Usage: 46.8%
2024-09-14 11:22:19,414 - INFO - Ep.: 18, Score: 0.0, e: 1.00, Steps: 891, Avg Q-val: nan, replay: 17714, Mem Usage: 47.0%
2024-09-14 11:22:19,838 - INFO - Ep.: 19, Score: 0.0, e: 1.00, Steps: 437, Avg Q-val: nan, replay: 18151, Mem Usage: 47.1%
2024-09-14 11:22:20,619 - INFO - Ep.: 20, Score: 0.0, e: 1.00, Steps: 968, Avg Q-val: nan, replay: 19119, Mem Usage: 47.2%
2024-09-14 11:22:21,341 - INFO - Ep.: 21, Score: 1600.0, e: 1.00, Steps: 907, Avg Q-val: nan, replay: 20026, Mem Usage: 47.3%
2024-09-14 11:22:21,682 - INFO - Ep.: 22, Score: 0.0, e: 1.00, Steps: 328, Avg Q-val: nan, replay: 20354, Mem Usage: 47.4%
2024-09-14 11:22:22,337 - INFO - Ep.: 23, Score: 0.0, e: 1.00, Steps: 820, Avg Q-val: nan, replay: 21174, Mem Usage: 47.4%
2024-09-14 11:22:22,763 - INFO - Ep.: 24, Score: 0.0, e: 1.00, Steps: 464, Avg Q-val: nan, replay: 21638, Mem Usage: 47.6%
2024-09-14 11:22:23,249 - INFO - Ep.: 25, Score: 0.0, e: 1.00, Steps: 564, Avg Q-val: nan, replay: 22202, Mem Usage: 47.6%
2024-09-14 11:22:24,012 - INFO - Ep.: 26, Score: 0.0, e: 1.00, Steps: 979, Avg Q-val: nan, replay: 23181, Mem Usage: 47.8%
2024-09-14 11:22:24,517 - INFO - Ep.: 27, Score: 0.0, e: 1.00, Steps: 572, Avg Q-val: nan, replay: 23753, Mem Usage: 47.9%
2024-09-14 11:22:24,897 - INFO - Ep.: 28, Score: 0.0, e: 1.00, Steps: 400, Avg Q-val: nan, replay: 24153, Mem Usage: 47.9%
2024-09-14 11:22:25,831 - INFO - Ep.: 29, Score: 0.0, e: 1.00, Steps: 1255, Avg Q-val: nan, replay: 25408, Mem Usage: 48.2%
2024-09-14 11:22:26,341 - INFO - Ep.: 30, Score: 0.0, e: 1.00, Steps: 568, Avg Q-val: nan, replay: 25976, Mem Usage: 48.3%
2024-09-14 11:22:27,246 - INFO - Ep.: 31, Score: 0.0, e: 1.00, Steps: 1185, Avg Q-val: nan, replay: 27161, Mem Usage: 48.7%
2024-09-14 11:22:28,120 - INFO - Ep.: 32, Score: 0.0, e: 1.00, Steps: 1063, Avg Q-val: nan, replay: 28224, Mem Usage: 48.7%
2024-09-14 11:22:28,929 - INFO - Ep.: 33, Score: 1600.0, e: 1.00, Steps: 1002, Avg Q-val: nan, replay: 29226, Mem Usage: 48.8%
2024-09-14 11:22:30,138 - INFO - Ep.: 34, Score: 0.0, e: 1.00, Steps: 1581, Avg Q-val: nan, replay: 30807, Mem Usage: 49.0%
2024-09-14 11:22:31,051 - INFO - Ep.: 35, Score: 0.0, e: 1.00, Steps: 1207, Avg Q-val: nan, replay: 32014, Mem Usage: 49.3%
2024-09-14 11:22:31,700 - INFO - Ep.: 36, Score: 0.0, e: 1.00, Steps: 825, Avg Q-val: nan, replay: 32839, Mem Usage: 49.4%
2024-09-14 11:22:32,056 - INFO - Ep.: 37, Score: 0.0, e: 1.00, Steps: 397, Avg Q-val: nan, replay: 33236, Mem Usage: 49.5%
2024-09-14 11:22:32,383 - INFO - Ep.: 38, Score: 1600.0, e: 1.00, Steps: 330, Avg Q-val: nan, replay: 33566, Mem Usage: 49.6%
2024-09-14 11:22:33,118 - INFO - Ep.: 39, Score: 0.0, e: 1.00, Steps: 910, Avg Q-val: nan, replay: 34476, Mem Usage: 49.8%
2024-09-14 11:22:33,865 - INFO - Ep.: 40, Score: 0.0, e: 1.00, Steps: 935, Avg Q-val: nan, replay: 35411, Mem Usage: 49.7%
2024-09-14 11:22:34,543 - INFO - Ep.: 41, Score: 0.0, e: 1.00, Steps: 828, Avg Q-val: nan, replay: 36239, Mem Usage: 49.8%
2024-09-14 11:22:35,583 - INFO - Ep.: 42, Score: 0.0, e: 1.00, Steps: 1286, Avg Q-val: nan, replay: 37525, Mem Usage: 50.0%
2024-09-14 11:22:35,993 - INFO - Ep.: 43, Score: 0.0, e: 1.00, Steps: 353, Avg Q-val: nan, replay: 37878, Mem Usage: 49.9%
2024-09-14 11:22:36,630 - INFO - Ep.: 44, Score: 0.0, e: 1.00, Steps: 784, Avg Q-val: nan, replay: 38662, Mem Usage: 50.0%
2024-09-14 11:22:37,014 - INFO - Ep.: 45, Score: 800.0, e: 1.00, Steps: 399, Avg Q-val: nan, replay: 39061, Mem Usage: 50.2%
2024-09-14 11:22:37,552 - INFO - Ep.: 46, Score: 0.0, e: 1.00, Steps: 617, Avg Q-val: nan, replay: 39678, Mem Usage: 50.2%
2024-09-14 11:22:38,138 - INFO - Ep.: 47, Score: 0.0, e: 1.00, Steps: 689, Avg Q-val: nan, replay: 40367, Mem Usage: 50.3%
2024-09-14 11:22:39,127 - INFO - Ep.: 48, Score: 0.0, e: 1.00, Steps: 1276, Avg Q-val: nan, replay: 41643, Mem Usage: 50.4%
2024-09-14 11:22:40,356 - INFO - Ep.: 49, Score: 3200.0, e: 1.00, Steps: 1642, Avg Q-val: nan, replay: 43285, Mem Usage: 50.4%
2024-09-14 11:22:41,116 - INFO - Ep.: 50, Score: 800.0, e: 1.00, Steps: 922, Avg Q-val: nan, replay: 44207, Mem Usage: 50.7%
2024-09-14 11:22:42,274 - INFO - Ep.: 51, Score: 800.0, e: 1.00, Steps: 1558, Avg Q-val: nan, replay: 45765, Mem Usage: 50.8%
2024-09-14 11:22:43,378 - INFO - Ep.: 52, Score: 0.0, e: 1.00, Steps: 1453, Avg Q-val: nan, replay: 47218, Mem Usage: 50.8%
2024-09-14 11:22:43,926 - INFO - Ep.: 53, Score: 0.0, e: 1.00, Steps: 657, Avg Q-val: nan, replay: 47875, Mem Usage: 50.9%
2024-09-14 11:22:45,223 - INFO - Ep.: 54, Score: 1600.0, e: 1.00, Steps: 1718, Avg Q-val: nan, replay: 49593, Mem Usage: 51.0%
2024-09-14 11:22:45,582 - INFO - Ep.: 55, Score: 0.0, e: 1.00, Steps: 379, Avg Q-val: nan, replay: 49972, Mem Usage: 51.0%
2024-09-14 11:22:46,266 - INFO - Ep.: 56, Score: 1600.0, e: 1.00, Steps: 825, Avg Q-val: nan, replay: 50797, Mem Usage: 51.0%
2024-09-14 11:22:46,871 - INFO - Ep.: 57, Score: 0.0, e: 1.00, Steps: 686, Avg Q-val: nan, replay: 51483, Mem Usage: 51.1%
2024-09-14 11:22:47,627 - INFO - Ep.: 58, Score: 0.0, e: 1.00, Steps: 910, Avg Q-val: nan, replay: 52393, Mem Usage: 51.2%
2024-09-14 11:22:48,595 - INFO - Ep.: 59, Score: 0.0, e: 1.00, Steps: 1204, Avg Q-val: nan, replay: 53597, Mem Usage: 51.3%
2024-09-14 11:22:48,966 - INFO - Ep.: 60, Score: 800.0, e: 1.00, Steps: 396, Avg Q-val: nan, replay: 53993, Mem Usage: 51.3%
2024-09-14 11:22:49,462 - INFO - Ep.: 61, Score: 0.0, e: 1.00, Steps: 542, Avg Q-val: nan, replay: 54535, Mem Usage: 51.4%
2024-09-14 11:22:50,244 - INFO - Ep.: 62, Score: 0.0, e: 1.00, Steps: 936, Avg Q-val: nan, replay: 55471, Mem Usage: 51.4%
2024-09-14 11:22:50,920 - INFO - Ep.: 63, Score: 1600.0, e: 1.00, Steps: 818, Avg Q-val: nan, replay: 56289, Mem Usage: 51.5%
