2024-09-18 18:08:46,971 - INFO - Modelo preentrenado cargado desde /data/riwamoto/ALE_Pong_results/models/dqn_model_ALE_Pong_final_20240830_095849.pth
2024-09-18 18:08:48,086 - INFO - Ep.: 0, Score: 0.0, e: 1.00, Steps: 825, Avg Q-val: nan, replay: 825, Mem Usage: 23.8%
2024-09-18 18:08:49,199 - INFO - Ep.: 1, Score: 0.0, e: 1.00, Steps: 1124, Avg Q-val: nan, replay: 1949, Mem Usage: 23.8%
2024-09-18 18:08:49,802 - INFO - Ep.: 2, Score: 3200.0, e: 1.00, Steps: 802, Avg Q-val: nan, replay: 2751, Mem Usage: 23.9%
2024-09-18 18:08:50,481 - INFO - Ep.: 3, Score: 0.0, e: 1.00, Steps: 897, Avg Q-val: nan, replay: 3648, Mem Usage: 23.9%
2024-09-18 18:08:51,043 - INFO - Ep.: 4, Score: 0.0, e: 1.00, Steps: 718, Avg Q-val: nan, replay: 4366, Mem Usage: 24.1%
2024-09-18 18:08:51,577 - INFO - Ep.: 5, Score: 1600.0, e: 1.00, Steps: 686, Avg Q-val: nan, replay: 5052, Mem Usage: 24.1%
2024-09-18 18:08:52,101 - INFO - Ep.: 6, Score: 0.0, e: 1.00, Steps: 654, Avg Q-val: nan, replay: 5706, Mem Usage: 24.2%
2024-09-18 18:08:52,966 - INFO - Ep.: 7, Score: 0.0, e: 1.00, Steps: 1192, Avg Q-val: nan, replay: 6898, Mem Usage: 24.4%
2024-09-18 18:08:53,496 - INFO - Ep.: 8, Score: 1600.0, e: 1.00, Steps: 655, Avg Q-val: nan, replay: 7553, Mem Usage: 24.5%
2024-09-18 18:08:54,097 - INFO - Ep.: 9, Score: 1600.0, e: 1.00, Steps: 780, Avg Q-val: nan, replay: 8333, Mem Usage: 24.6%
2024-09-18 18:08:54,623 - INFO - Ep.: 10, Score: 0.0, e: 1.00, Steps: 676, Avg Q-val: nan, replay: 9009, Mem Usage: 24.6%
2024-09-18 18:08:54,976 - INFO - Ep.: 11, Score: 800.0, e: 1.00, Steps: 396, Avg Q-val: nan, replay: 9405, Mem Usage: 24.6%
2024-09-18 18:08:55,303 - INFO - Ep.: 12, Score: 0.0, e: 1.00, Steps: 360, Avg Q-val: nan, replay: 9765, Mem Usage: 24.6%
