2024-09-22 22:44:16,201 - INFO - Modelo preentrenado cargado desde /data/riwamoto/ALE_Frogger_results/models/dqn_model_ALE_Frogger_final_20240829_113617.pth
2024-09-22 22:44:17,258 - INFO - Ep.: 0, Score: 0.0, e: 1.00, Steps: 898, Avg Q-val: nan, replay: 898, Mem Usage: 25.1%
2024-09-22 22:44:18,027 - INFO - Ep.: 1, Score: 0.0, e: 1.00, Steps: 777, Avg Q-val: nan, replay: 1675, Mem Usage: 25.5%
2024-09-22 22:44:19,003 - INFO - Ep.: 2, Score: 0.0, e: 1.00, Steps: 1480, Avg Q-val: nan, replay: 3155, Mem Usage: 26.0%
2024-09-22 22:44:19,497 - INFO - Ep.: 3, Score: 1600.0, e: 1.00, Steps: 672, Avg Q-val: nan, replay: 3827, Mem Usage: 26.2%
2024-09-22 22:44:20,173 - INFO - Ep.: 4, Score: 0.0, e: 1.00, Steps: 978, Avg Q-val: nan, replay: 4805, Mem Usage: 26.6%
2024-09-22 22:44:20,689 - INFO - Ep.: 5, Score: 0.0, e: 1.00, Steps: 727, Avg Q-val: nan, replay: 5532, Mem Usage: 26.8%
2024-09-22 22:44:21,676 - INFO - Ep.: 6, Score: 1600.0, e: 1.00, Steps: 1501, Avg Q-val: nan, replay: 7033, Mem Usage: 27.3%
2024-09-22 22:44:21,972 - INFO - Ep.: 7, Score: 800.0, e: 1.00, Steps: 343, Avg Q-val: nan, replay: 7376, Mem Usage: 27.4%
2024-09-22 22:44:22,430 - INFO - Ep.: 8, Score: 0.0, e: 1.00, Steps: 632, Avg Q-val: nan, replay: 8008, Mem Usage: 27.6%
2024-09-22 22:44:22,801 - INFO - Ep.: 9, Score: 800.0, e: 1.00, Steps: 467, Avg Q-val: nan, replay: 8475, Mem Usage: 27.8%
2024-09-22 22:44:23,337 - INFO - Ep.: 10, Score: 0.0, e: 1.00, Steps: 746, Avg Q-val: nan, replay: 9221, Mem Usage: 28.0%
2024-09-22 22:44:24,529 - INFO - Ep.: 11, Score: 3200.0, e: 1.00, Steps: 1854, Avg Q-val: nan, replay: 11075, Mem Usage: 28.6%
2024-09-22 22:44:25,401 - INFO - Ep.: 12, Score: 0.0, e: 1.00, Steps: 1295, Avg Q-val: nan, replay: 12370, Mem Usage: 29.0%
2024-09-22 22:44:26,490 - INFO - Ep.: 13, Score: 0.0, e: 1.00, Steps: 1659, Avg Q-val: nan, replay: 14029, Mem Usage: 29.6%
2024-09-22 22:44:27,471 - INFO - Ep.: 14, Score: 0.0, e: 1.00, Steps: 1489, Avg Q-val: nan, replay: 15518, Mem Usage: 30.1%
2024-09-22 22:44:28,060 - INFO - Ep.: 15, Score: 1600.0, e: 1.00, Steps: 840, Avg Q-val: nan, replay: 16358, Mem Usage: 30.4%
2024-09-22 22:44:28,810 - INFO - Ep.: 16, Score: 0.0, e: 1.00, Steps: 1086, Avg Q-val: nan, replay: 17444, Mem Usage: 30.8%
2024-09-22 22:44:29,855 - INFO - Ep.: 17, Score: 3200.0, e: 1.00, Steps: 1589, Avg Q-val: nan, replay: 19033, Mem Usage: 31.3%
