2024-09-16 09:43:02,423 - INFO - Modelo preentrenado cargado desde /data/riwamoto/ALE_MarioBros_results/models/dqn_model_ALE_MarioBros_final_20240831_094717.pth
2024-09-16 09:43:03,359 - INFO - Ep.: 0, Score: -21.0, e: 1.00, Steps: 912, Avg Q-val: nan, replay: 912, Mem Usage: 5.2%
2024-09-16 09:43:04,143 - INFO - Ep.: 1, Score: -20.0, e: 1.00, Steps: 947, Avg Q-val: nan, replay: 1859, Mem Usage: 5.3%
2024-09-16 09:43:04,710 - INFO - Ep.: 2, Score: -20.0, e: 1.00, Steps: 908, Avg Q-val: nan, replay: 2767, Mem Usage: 5.3%
2024-09-16 09:43:05,251 - INFO - Ep.: 3, Score: -20.0, e: 1.00, Steps: 861, Avg Q-val: nan, replay: 3628, Mem Usage: 5.4%
2024-09-16 09:43:05,797 - INFO - Ep.: 4, Score: -21.0, e: 1.00, Steps: 864, Avg Q-val: nan, replay: 4492, Mem Usage: 5.5%
2024-09-16 09:43:06,367 - INFO - Ep.: 5, Score: -20.0, e: 1.00, Steps: 915, Avg Q-val: nan, replay: 5407, Mem Usage: 5.6%
2024-09-16 09:43:06,950 - INFO - Ep.: 6, Score: -20.0, e: 1.00, Steps: 938, Avg Q-val: nan, replay: 6345, Mem Usage: 5.6%
2024-09-16 09:43:07,553 - INFO - Ep.: 7, Score: -19.0, e: 1.00, Steps: 976, Avg Q-val: nan, replay: 7321, Mem Usage: 5.7%
2024-09-16 09:43:08,105 - INFO - Ep.: 8, Score: -21.0, e: 1.00, Steps: 880, Avg Q-val: nan, replay: 8201, Mem Usage: 5.8%
2024-09-16 09:43:08,666 - INFO - Ep.: 9, Score: -20.0, e: 1.00, Steps: 895, Avg Q-val: nan, replay: 9096, Mem Usage: 5.9%
2024-09-16 09:43:09,198 - INFO - Ep.: 10, Score: -20.0, e: 1.00, Steps: 842, Avg Q-val: nan, replay: 9938, Mem Usage: 5.9%
2024-09-16 09:43:09,689 - INFO - Ep.: 11, Score: -21.0, e: 1.00, Steps: 764, Avg Q-val: nan, replay: 10702, Mem Usage: 6.0%
2024-09-16 09:43:10,204 - INFO - Ep.: 12, Score: -21.0, e: 1.00, Steps: 811, Avg Q-val: nan, replay: 11513, Mem Usage: 6.1%
2024-09-16 09:43:10,725 - INFO - Ep.: 13, Score: -21.0, e: 1.00, Steps: 824, Avg Q-val: nan, replay: 12337, Mem Usage: 6.1%
2024-09-16 09:43:11,260 - INFO - Ep.: 14, Score: -21.0, e: 1.00, Steps: 852, Avg Q-val: nan, replay: 13189, Mem Usage: 6.2%
2024-09-16 09:43:11,823 - INFO - Ep.: 15, Score: -21.0, e: 1.00, Steps: 902, Avg Q-val: nan, replay: 14091, Mem Usage: 6.3%
