2024-09-16 09:44:27,570 - INFO - Modelo preentrenado cargado desde /data/riwamoto/ALE_Pong_results/models/dqn_model_ALE_Pong_final_20240830_095849.pth
2024-09-16 09:44:28,657 - INFO - Ep.: 0, Score: -21.0, e: 1.00, Steps: 914, Avg Q-val: nan, replay: 914, Mem Usage: 17.5%
2024-09-16 09:44:29,574 - INFO - Ep.: 1, Score: -21.0, e: 1.00, Steps: 978, Avg Q-val: nan, replay: 1892, Mem Usage: 17.7%
2024-09-16 09:44:30,197 - INFO - Ep.: 2, Score: -21.0, e: 1.00, Steps: 884, Avg Q-val: nan, replay: 2776, Mem Usage: 17.8%
2024-09-16 09:44:30,934 - INFO - Ep.: 3, Score: -20.0, e: 1.00, Steps: 1100, Avg Q-val: nan, replay: 3876, Mem Usage: 18.0%
2024-09-16 09:44:31,691 - INFO - Ep.: 4, Score: -19.0, e: 1.00, Steps: 1119, Avg Q-val: nan, replay: 4995, Mem Usage: 18.2%
2024-09-16 09:44:32,238 - INFO - Ep.: 5, Score: -21.0, e: 1.00, Steps: 764, Avg Q-val: nan, replay: 5759, Mem Usage: 18.3%
2024-09-16 09:44:32,978 - INFO - Ep.: 6, Score: -18.0, e: 1.00, Steps: 1076, Avg Q-val: nan, replay: 6835, Mem Usage: 18.5%
2024-09-16 09:44:33,626 - INFO - Ep.: 7, Score: -20.0, e: 1.00, Steps: 933, Avg Q-val: nan, replay: 7768, Mem Usage: 18.7%
2024-09-16 09:44:34,297 - INFO - Ep.: 8, Score: -21.0, e: 1.00, Steps: 963, Avg Q-val: nan, replay: 8731, Mem Usage: 18.8%
2024-09-16 09:44:35,036 - INFO - Ep.: 9, Score: -20.0, e: 1.00, Steps: 1065, Avg Q-val: nan, replay: 9796, Mem Usage: 19.0%
2024-09-16 09:44:35,765 - INFO - Ep.: 10, Score: -20.0, e: 1.00, Steps: 1057, Avg Q-val: nan, replay: 10853, Mem Usage: 19.2%
2024-09-16 09:44:36,553 - INFO - Ep.: 11, Score: -20.0, e: 1.00, Steps: 1173, Avg Q-val: nan, replay: 12026, Mem Usage: 19.4%
2024-09-16 09:44:37,118 - INFO - Ep.: 12, Score: -21.0, e: 1.00, Steps: 792, Avg Q-val: nan, replay: 12818, Mem Usage: 19.5%
2024-09-16 09:44:37,669 - INFO - Ep.: 13, Score: -21.0, e: 1.00, Steps: 764, Avg Q-val: nan, replay: 13582, Mem Usage: 19.6%
2024-09-16 09:44:38,257 - INFO - Ep.: 14, Score: -21.0, e: 1.00, Steps: 824, Avg Q-val: nan, replay: 14406, Mem Usage: 19.8%
2024-09-16 09:44:38,802 - INFO - Ep.: 15, Score: -21.0, e: 1.00, Steps: 764, Avg Q-val: nan, replay: 15170, Mem Usage: 19.9%
2024-09-16 09:44:39,399 - INFO - Ep.: 16, Score: -20.0, e: 1.00, Steps: 842, Avg Q-val: nan, replay: 16012, Mem Usage: 20.1%
2024-09-16 09:44:39,949 - INFO - Ep.: 17, Score: -21.0, e: 1.00, Steps: 764, Avg Q-val: nan, replay: 16776, Mem Usage: 20.2%
2024-09-16 09:44:40,527 - INFO - Ep.: 18, Score: -21.0, e: 1.00, Steps: 811, Avg Q-val: nan, replay: 17587, Mem Usage: 20.3%
2024-09-16 09:44:41,273 - INFO - Ep.: 19, Score: -19.0, e: 1.00, Steps: 1086, Avg Q-val: nan, replay: 18673, Mem Usage: 20.5%
2024-09-16 09:44:41,850 - INFO - Ep.: 20, Score: -21.0, e: 1.00, Steps: 824, Avg Q-val: nan, replay: 19497, Mem Usage: 20.7%
2024-09-16 09:44:42,466 - INFO - Ep.: 21, Score: -21.0, e: 1.00, Steps: 873, Avg Q-val: nan, replay: 20370, Mem Usage: 20.8%
2024-09-16 09:44:43,139 - INFO - Ep.: 22, Score: -20.0, e: 1.00, Steps: 964, Avg Q-val: nan, replay: 21334, Mem Usage: 21.0%
2024-09-16 09:44:43,776 - INFO - Ep.: 23, Score: -21.0, e: 1.00, Steps: 908, Avg Q-val: nan, replay: 22242, Mem Usage: 21.2%
2024-09-16 09:44:44,415 - INFO - Ep.: 24, Score: -21.0, e: 1.00, Steps: 912, Avg Q-val: nan, replay: 23154, Mem Usage: 21.3%
2024-09-16 09:44:45,021 - INFO - Ep.: 25, Score: -21.0, e: 1.00, Steps: 873, Avg Q-val: nan, replay: 24027, Mem Usage: 21.4%
2024-09-16 09:44:45,789 - INFO - Ep.: 26, Score: -21.0, e: 1.00, Steps: 1123, Avg Q-val: nan, replay: 25150, Mem Usage: 21.6%
