2024-09-24 10:28:59,961 - INFO - Modelo preentrenado cargado desde /data/riwamoto/ALE_Breakout_results/models/dqn_model_ALE_Breakout_final_20240830_095618.pth
2024-09-24 10:29:00,891 - INFO - Ep.: 0, Score: -21.0, e: 1.00, Steps: 884, Avg Q-val: nan, replay: 884, Mem Usage: 19.9%
2024-09-24 10:29:01,657 - INFO - Ep.: 1, Score: -21.0, e: 1.00, Steps: 884, Avg Q-val: nan, replay: 1768, Mem Usage: 20.3%
2024-09-24 10:29:02,211 - INFO - Ep.: 2, Score: -21.0, e: 1.00, Steps: 886, Avg Q-val: nan, replay: 2654, Mem Usage: 20.6%
2024-09-24 10:29:02,728 - INFO - Ep.: 3, Score: -21.0, e: 1.00, Steps: 820, Avg Q-val: nan, replay: 3474, Mem Usage: 20.9%
2024-09-24 10:29:03,379 - INFO - Ep.: 4, Score: -19.0, e: 1.00, Steps: 1068, Avg Q-val: nan, replay: 4542, Mem Usage: 21.2%
2024-09-24 10:29:03,947 - INFO - Ep.: 5, Score: -21.0, e: 1.00, Steps: 912, Avg Q-val: nan, replay: 5454, Mem Usage: 21.5%
2024-09-24 10:29:04,491 - INFO - Ep.: 6, Score: -20.0, e: 1.00, Steps: 871, Avg Q-val: nan, replay: 6325, Mem Usage: 21.8%
2024-09-24 10:29:05,000 - INFO - Ep.: 7, Score: -21.0, e: 1.00, Steps: 792, Avg Q-val: nan, replay: 7117, Mem Usage: 22.2%
2024-09-24 10:29:05,804 - INFO - Ep.: 8, Score: -18.0, e: 1.00, Steps: 1214, Avg Q-val: nan, replay: 8331, Mem Usage: 22.5%
2024-09-24 10:29:06,414 - INFO - Ep.: 9, Score: -20.0, e: 1.00, Steps: 872, Avg Q-val: nan, replay: 9203, Mem Usage: 22.8%
2024-09-24 10:29:06,961 - INFO - Ep.: 10, Score: -21.0, e: 1.00, Steps: 764, Avg Q-val: nan, replay: 9967, Mem Usage: 23.0%
2024-09-24 10:29:07,647 - INFO - Ep.: 11, Score: -20.0, e: 1.00, Steps: 1011, Avg Q-val: nan, replay: 10978, Mem Usage: 23.3%
2024-09-24 10:29:08,209 - INFO - Ep.: 12, Score: -21.0, e: 1.00, Steps: 783, Avg Q-val: nan, replay: 11761, Mem Usage: 23.5%
2024-09-24 10:29:08,919 - INFO - Ep.: 13, Score: -21.0, e: 1.00, Steps: 1006, Avg Q-val: nan, replay: 12767, Mem Usage: 23.8%
2024-09-24 10:29:09,524 - INFO - Ep.: 14, Score: -21.0, e: 1.00, Steps: 856, Avg Q-val: nan, replay: 13623, Mem Usage: 24.0%
2024-09-24 10:29:10,125 - INFO - Ep.: 15, Score: -20.0, e: 1.00, Steps: 870, Avg Q-val: nan, replay: 14493, Mem Usage: 24.2%
2024-09-24 10:29:10,864 - INFO - Ep.: 16, Score: -20.0, e: 1.00, Steps: 1082, Avg Q-val: nan, replay: 15575, Mem Usage: 24.5%
2024-09-24 10:29:11,445 - INFO - Ep.: 17, Score: -21.0, e: 1.00, Steps: 813, Avg Q-val: nan, replay: 16388, Mem Usage: 24.7%
2024-09-24 10:29:12,159 - INFO - Ep.: 18, Score: -18.0, e: 1.00, Steps: 1043, Avg Q-val: nan, replay: 17431, Mem Usage: 25.0%
2024-09-24 10:29:12,748 - INFO - Ep.: 19, Score: -21.0, e: 1.00, Steps: 839, Avg Q-val: nan, replay: 18270, Mem Usage: 25.2%
2024-09-24 10:29:13,334 - INFO - Ep.: 20, Score: -21.0, e: 1.00, Steps: 824, Avg Q-val: nan, replay: 19094, Mem Usage: 25.4%
2024-09-24 10:29:14,015 - INFO - Ep.: 21, Score: -21.0, e: 1.00, Steps: 968, Avg Q-val: nan, replay: 20062, Mem Usage: 25.7%
2024-09-24 10:29:14,598 - INFO - Ep.: 22, Score: -21.0, e: 1.00, Steps: 824, Avg Q-val: nan, replay: 20886, Mem Usage: 25.9%
2024-09-24 10:29:15,232 - INFO - Ep.: 23, Score: -20.0, e: 1.00, Steps: 934, Avg Q-val: nan, replay: 21820, Mem Usage: 26.2%
2024-09-24 10:29:15,910 - INFO - Ep.: 24, Score: -20.0, e: 1.00, Steps: 980, Avg Q-val: nan, replay: 22800, Mem Usage: 26.5%
2024-09-24 10:29:16,661 - INFO - Ep.: 25, Score: -17.0, e: 1.00, Steps: 1111, Avg Q-val: nan, replay: 23911, Mem Usage: 26.9%
2024-09-24 10:29:17,398 - INFO - Ep.: 26, Score: -19.0, e: 1.00, Steps: 1085, Avg Q-val: nan, replay: 24996, Mem Usage: 27.2%
2024-09-24 10:29:18,091 - INFO - Ep.: 27, Score: -19.0, e: 1.00, Steps: 1008, Avg Q-val: nan, replay: 26004, Mem Usage: 27.6%
2024-09-24 10:29:18,696 - INFO - Ep.: 28, Score: -20.0, e: 1.00, Steps: 861, Avg Q-val: nan, replay: 26865, Mem Usage: 27.9%
2024-09-24 10:29:19,382 - INFO - Ep.: 29, Score: -20.0, e: 1.00, Steps: 992, Avg Q-val: nan, replay: 27857, Mem Usage: 28.2%
2024-09-24 10:29:19,949 - INFO - Ep.: 30, Score: -21.0, e: 1.00, Steps: 801, Avg Q-val: nan, replay: 28658, Mem Usage: 28.5%
2024-09-24 10:29:20,595 - INFO - Ep.: 31, Score: -20.0, e: 1.00, Steps: 951, Avg Q-val: nan, replay: 29609, Mem Usage: 28.8%
2024-09-24 10:29:21,241 - INFO - Ep.: 32, Score: -20.0, e: 1.00, Steps: 927, Avg Q-val: nan, replay: 30536, Mem Usage: 29.1%
2024-09-24 10:29:21,929 - INFO - Ep.: 33, Score: -20.0, e: 1.00, Steps: 992, Avg Q-val: nan, replay: 31528, Mem Usage: 29.5%
2024-09-24 10:29:22,512 - INFO - Ep.: 34, Score: -21.0, e: 1.00, Steps: 824, Avg Q-val: nan, replay: 32352, Mem Usage: 29.8%
2024-09-24 10:29:23,144 - INFO - Ep.: 35, Score: -21.0, e: 1.00, Steps: 927, Avg Q-val: nan, replay: 33279, Mem Usage: 30.1%
2024-09-24 10:29:23,817 - INFO - Ep.: 36, Score: -20.0, e: 1.00, Steps: 976, Avg Q-val: nan, replay: 34255, Mem Usage: 30.4%
2024-09-24 10:29:24,618 - INFO - Ep.: 37, Score: -16.0, e: 1.00, Steps: 1191, Avg Q-val: nan, replay: 35446, Mem Usage: 30.8%
2024-09-24 10:29:25,202 - INFO - Ep.: 38, Score: -21.0, e: 1.00, Steps: 824, Avg Q-val: nan, replay: 36270, Mem Usage: 31.1%
2024-09-24 10:29:25,738 - INFO - Ep.: 39, Score: -21.0, e: 1.00, Steps: 764, Avg Q-val: nan, replay: 37034, Mem Usage: 31.4%
