2024-09-17 08:53:08,764 - INFO - Modelo preentrenado cargado desde /data/riwamoto/ALE_Breakout_results/models/dqn_model_ALE_Breakout_final_20240830_095618.pth
2024-09-17 08:53:09,464 - INFO - Ep.: 0, Score: 50.0, e: 1.00, Steps: 308, Avg Q-val: nan, replay: 308, Mem Usage: 23.2%
2024-09-17 08:53:09,983 - INFO - Ep.: 1, Score: 100.0, e: 1.00, Steps: 325, Avg Q-val: nan, replay: 633, Mem Usage: 23.3%
2024-09-17 08:53:10,255 - INFO - Ep.: 2, Score: 100.0, e: 1.00, Steps: 305, Avg Q-val: nan, replay: 938, Mem Usage: 23.4%
2024-09-17 08:53:10,535 - INFO - Ep.: 3, Score: 50.0, e: 1.00, Steps: 300, Avg Q-val: nan, replay: 1238, Mem Usage: 23.5%
2024-09-17 08:53:10,812 - INFO - Ep.: 4, Score: 50.0, e: 1.00, Steps: 300, Avg Q-val: nan, replay: 1538, Mem Usage: 23.5%
2024-09-17 08:53:11,076 - INFO - Ep.: 5, Score: 25.0, e: 1.00, Steps: 295, Avg Q-val: nan, replay: 1833, Mem Usage: 23.6%
2024-09-17 08:53:11,353 - INFO - Ep.: 6, Score: 225.0, e: 1.00, Steps: 299, Avg Q-val: nan, replay: 2132, Mem Usage: 23.7%
2024-09-17 08:53:11,674 - INFO - Ep.: 7, Score: 200.0, e: 1.00, Steps: 368, Avg Q-val: nan, replay: 2500, Mem Usage: 23.8%
2024-09-17 08:53:11,956 - INFO - Ep.: 8, Score: 50.0, e: 1.00, Steps: 309, Avg Q-val: nan, replay: 2809, Mem Usage: 23.9%
2024-09-17 08:53:12,226 - INFO - Ep.: 9, Score: 100.0, e: 1.00, Steps: 300, Avg Q-val: nan, replay: 3109, Mem Usage: 24.0%
2024-09-17 08:53:12,510 - INFO - Ep.: 10, Score: 125.0, e: 1.00, Steps: 308, Avg Q-val: nan, replay: 3417, Mem Usage: 24.0%
2024-09-17 08:53:12,807 - INFO - Ep.: 11, Score: 75.0, e: 1.00, Steps: 330, Avg Q-val: nan, replay: 3747, Mem Usage: 24.1%
2024-09-17 08:53:13,159 - INFO - Ep.: 12, Score: 300.0, e: 1.00, Steps: 433, Avg Q-val: nan, replay: 4180, Mem Usage: 24.2%
2024-09-17 08:53:13,484 - INFO - Ep.: 13, Score: 175.0, e: 1.00, Steps: 380, Avg Q-val: nan, replay: 4560, Mem Usage: 24.3%
2024-09-17 08:53:13,759 - INFO - Ep.: 14, Score: 25.0, e: 1.00, Steps: 295, Avg Q-val: nan, replay: 4855, Mem Usage: 24.4%
2024-09-17 08:53:14,041 - INFO - Ep.: 15, Score: 100.0, e: 1.00, Steps: 306, Avg Q-val: nan, replay: 5161, Mem Usage: 24.5%
2024-09-17 08:53:14,311 - INFO - Ep.: 16, Score: 50.0, e: 1.00, Steps: 308, Avg Q-val: nan, replay: 5469, Mem Usage: 24.5%
2024-09-17 08:53:14,601 - INFO - Ep.: 17, Score: 125.0, e: 1.00, Steps: 322, Avg Q-val: nan, replay: 5791, Mem Usage: 24.6%
2024-09-17 08:53:14,875 - INFO - Ep.: 18, Score: 25.0, e: 1.00, Steps: 296, Avg Q-val: nan, replay: 6087, Mem Usage: 24.7%
2024-09-17 08:53:15,153 - INFO - Ep.: 19, Score: 125.0, e: 1.00, Steps: 318, Avg Q-val: nan, replay: 6405, Mem Usage: 24.8%
2024-09-17 08:53:15,474 - INFO - Ep.: 20, Score: 200.0, e: 1.00, Steps: 357, Avg Q-val: nan, replay: 6762, Mem Usage: 24.9%
2024-09-17 08:53:15,756 - INFO - Ep.: 21, Score: 100.0, e: 1.00, Steps: 285, Avg Q-val: nan, replay: 7047, Mem Usage: 25.0%
2024-09-17 08:53:16,029 - INFO - Ep.: 22, Score: 50.0, e: 1.00, Steps: 255, Avg Q-val: nan, replay: 7302, Mem Usage: 25.1%
2024-09-17 08:53:16,360 - INFO - Ep.: 23, Score: 125.0, e: 1.00, Steps: 345, Avg Q-val: nan, replay: 7647, Mem Usage: 25.1%
