2024-09-24 22:00:00,583 - INFO - Modelo preentrenado cargado desde /data/riwamoto/ALE_MarioBros_results/models/dqn_model_ALE_MarioBros_final_20240831_094717.pth
2024-09-24 22:00:01,298 - INFO - Ep.: 0, Score: 400.0, e: 1.00, Steps: 461, Avg Q-val: nan, replay: 461, Mem Usage: 5.1%
2024-09-24 22:00:01,758 - INFO - Ep.: 1, Score: 50.0, e: 1.00, Steps: 306, Avg Q-val: nan, replay: 767, Mem Usage: 5.1%
2024-09-24 22:00:02,027 - INFO - Ep.: 2, Score: 150.0, e: 1.00, Steps: 324, Avg Q-val: nan, replay: 1091, Mem Usage: 5.1%
2024-09-24 22:00:02,372 - INFO - Ep.: 3, Score: 625.0, e: 1.00, Steps: 459, Avg Q-val: nan, replay: 1550, Mem Usage: 5.2%
2024-09-24 22:00:02,629 - INFO - Ep.: 4, Score: 75.0, e: 1.00, Steps: 305, Avg Q-val: nan, replay: 1855, Mem Usage: 5.2%
2024-09-24 22:00:02,953 - INFO - Ep.: 5, Score: 300.0, e: 1.00, Steps: 424, Avg Q-val: nan, replay: 2279, Mem Usage: 5.2%
2024-09-24 22:00:03,227 - INFO - Ep.: 6, Score: 100.0, e: 1.00, Steps: 336, Avg Q-val: nan, replay: 2615, Mem Usage: 5.2%
2024-09-24 22:00:03,477 - INFO - Ep.: 7, Score: 25.0, e: 1.00, Steps: 292, Avg Q-val: nan, replay: 2907, Mem Usage: 5.3%
2024-09-24 22:00:03,734 - INFO - Ep.: 8, Score: 50.0, e: 1.00, Steps: 305, Avg Q-val: nan, replay: 3212, Mem Usage: 5.3%
2024-09-24 22:00:04,027 - INFO - Ep.: 9, Score: 225.0, e: 1.00, Steps: 367, Avg Q-val: nan, replay: 3579, Mem Usage: 5.3%
2024-09-24 22:00:04,339 - INFO - Ep.: 10, Score: 300.0, e: 1.00, Steps: 401, Avg Q-val: nan, replay: 3980, Mem Usage: 5.4%
2024-09-24 22:00:04,600 - INFO - Ep.: 11, Score: 125.0, e: 1.00, Steps: 311, Avg Q-val: nan, replay: 4291, Mem Usage: 5.4%
2024-09-24 22:00:04,928 - INFO - Ep.: 12, Score: 650.0, e: 1.00, Steps: 431, Avg Q-val: nan, replay: 4722, Mem Usage: 5.4%
2024-09-24 22:00:05,205 - INFO - Ep.: 13, Score: 150.0, e: 1.00, Steps: 338, Avg Q-val: nan, replay: 5060, Mem Usage: 5.5%
2024-09-24 22:00:05,442 - INFO - Ep.: 14, Score: 75.0, e: 1.00, Steps: 268, Avg Q-val: nan, replay: 5328, Mem Usage: 5.5%
2024-09-24 22:00:05,724 - INFO - Ep.: 15, Score: 250.0, e: 1.00, Steps: 348, Avg Q-val: nan, replay: 5676, Mem Usage: 5.5%
2024-09-24 22:00:06,028 - INFO - Ep.: 16, Score: 625.0, e: 1.00, Steps: 384, Avg Q-val: nan, replay: 6060, Mem Usage: 5.5%
2024-09-24 22:00:06,282 - INFO - Ep.: 17, Score: 25.0, e: 1.00, Steps: 300, Avg Q-val: nan, replay: 6360, Mem Usage: 5.6%
2024-09-24 22:00:06,571 - INFO - Ep.: 18, Score: 225.0, e: 1.00, Steps: 360, Avg Q-val: nan, replay: 6720, Mem Usage: 5.6%
2024-09-24 22:00:06,896 - INFO - Ep.: 19, Score: 225.0, e: 1.00, Steps: 424, Avg Q-val: nan, replay: 7144, Mem Usage: 5.6%
2024-09-24 22:00:07,142 - INFO - Ep.: 20, Score: 0.0, e: 1.00, Steps: 286, Avg Q-val: nan, replay: 7430, Mem Usage: 5.7%
2024-09-24 22:00:07,367 - INFO - Ep.: 21, Score: 50.0, e: 1.00, Steps: 246, Avg Q-val: nan, replay: 7676, Mem Usage: 5.7%
2024-09-24 22:00:07,605 - INFO - Ep.: 22, Score: 75.0, e: 1.00, Steps: 270, Avg Q-val: nan, replay: 7946, Mem Usage: 5.7%
2024-09-24 22:00:07,878 - INFO - Ep.: 23, Score: 150.0, e: 1.00, Steps: 332, Avg Q-val: nan, replay: 8278, Mem Usage: 5.7%
2024-09-24 22:00:08,145 - INFO - Ep.: 24, Score: 75.0, e: 1.00, Steps: 324, Avg Q-val: nan, replay: 8602, Mem Usage: 5.8%
2024-09-24 22:00:08,429 - INFO - Ep.: 25, Score: 150.0, e: 1.00, Steps: 354, Avg Q-val: nan, replay: 8956, Mem Usage: 5.8%
2024-09-24 22:00:08,689 - INFO - Ep.: 26, Score: 50.0, e: 1.00, Steps: 311, Avg Q-val: nan, replay: 9267, Mem Usage: 5.8%
2024-09-24 22:00:08,930 - INFO - Ep.: 27, Score: 150.0, e: 1.00, Steps: 278, Avg Q-val: nan, replay: 9545, Mem Usage: 5.8%
2024-09-24 22:00:09,174 - INFO - Ep.: 28, Score: 25.0, e: 1.00, Steps: 287, Avg Q-val: nan, replay: 9832, Mem Usage: 5.9%
2024-09-24 22:00:09,433 - INFO - Ep.: 29, Score: 75.0, e: 1.00, Steps: 313, Avg Q-val: nan, replay: 10145, Mem Usage: 5.9%
2024-09-24 22:00:09,698 - INFO - Ep.: 30, Score: 125.0, e: 1.00, Steps: 323, Avg Q-val: nan, replay: 10468, Mem Usage: 5.9%
2024-09-24 22:00:09,961 - INFO - Ep.: 31, Score: 150.0, e: 1.00, Steps: 320, Avg Q-val: nan, replay: 10788, Mem Usage: 5.9%
2024-09-24 22:00:10,214 - INFO - Ep.: 32, Score: 200.0, e: 1.00, Steps: 299, Avg Q-val: nan, replay: 11087, Mem Usage: 6.0%
2024-09-24 22:00:10,500 - INFO - Ep.: 33, Score: 225.0, e: 1.00, Steps: 357, Avg Q-val: nan, replay: 11444, Mem Usage: 6.0%
2024-09-24 22:00:10,772 - INFO - Ep.: 34, Score: 175.0, e: 1.00, Steps: 335, Avg Q-val: nan, replay: 11779, Mem Usage: 6.0%
2024-09-24 22:00:11,036 - INFO - Ep.: 35, Score: 150.0, e: 1.00, Steps: 319, Avg Q-val: nan, replay: 12098, Mem Usage: 6.0%
2024-09-24 22:00:11,258 - INFO - Ep.: 36, Score: 25.0, e: 1.00, Steps: 245, Avg Q-val: nan, replay: 12343, Mem Usage: 6.1%
2024-09-24 22:00:11,597 - INFO - Ep.: 37, Score: 250.0, e: 1.00, Steps: 455, Avg Q-val: nan, replay: 12798, Mem Usage: 6.1%
2024-09-24 22:00:11,862 - INFO - Ep.: 38, Score: 125.0, e: 1.00, Steps: 323, Avg Q-val: nan, replay: 13121, Mem Usage: 6.1%
2024-09-24 22:00:12,151 - INFO - Ep.: 39, Score: 250.0, e: 1.00, Steps: 366, Avg Q-val: nan, replay: 13487, Mem Usage: 6.2%
2024-09-24 22:00:12,374 - INFO - Ep.: 40, Score: 25.0, e: 1.00, Steps: 246, Avg Q-val: nan, replay: 13733, Mem Usage: 6.2%
2024-09-24 22:00:12,646 - INFO - Ep.: 41, Score: 125.0, e: 1.00, Steps: 335, Avg Q-val: nan, replay: 14068, Mem Usage: 6.2%
2024-09-24 22:00:12,969 - INFO - Ep.: 42, Score: 350.0, e: 1.00, Steps: 424, Avg Q-val: nan, replay: 14492, Mem Usage: 6.2%
2024-09-24 22:00:13,246 - INFO - Ep.: 43, Score: 150.0, e: 1.00, Steps: 344, Avg Q-val: nan, replay: 14836, Mem Usage: 6.3%
2024-09-24 22:00:13,573 - INFO - Ep.: 44, Score: 300.0, e: 1.00, Steps: 432, Avg Q-val: nan, replay: 15268, Mem Usage: 6.3%
2024-09-24 22:00:13,838 - INFO - Ep.: 45, Score: 125.0, e: 1.00, Steps: 324, Avg Q-val: nan, replay: 15592, Mem Usage: 6.3%
2024-09-24 22:00:14,107 - INFO - Ep.: 46, Score: 100.0, e: 1.00, Steps: 288, Avg Q-val: nan, replay: 15880, Mem Usage: 6.4%
2024-09-24 22:00:14,355 - INFO - Ep.: 47, Score: 150.0, e: 1.00, Steps: 290, Avg Q-val: nan, replay: 16170, Mem Usage: 6.5%
2024-09-24 22:00:14,581 - INFO - Ep.: 48, Score: 25.0, e: 1.00, Steps: 250, Avg Q-val: nan, replay: 16420, Mem Usage: 6.5%
2024-09-24 22:00:14,839 - INFO - Ep.: 49, Score: 75.0, e: 1.00, Steps: 311, Avg Q-val: nan, replay: 16731, Mem Usage: 6.5%
2024-09-24 22:00:15,182 - INFO - Ep.: 50, Score: 250.0, e: 1.00, Steps: 458, Avg Q-val: nan, replay: 17189, Mem Usage: 6.6%
2024-09-24 22:00:15,463 - INFO - Ep.: 51, Score: 175.0, e: 1.00, Steps: 351, Avg Q-val: nan, replay: 17540, Mem Usage: 6.6%
2024-09-24 22:00:15,727 - INFO - Ep.: 52, Score: 125.0, e: 1.00, Steps: 320, Avg Q-val: nan, replay: 17860, Mem Usage: 6.7%
2024-09-24 22:00:15,975 - INFO - Ep.: 53, Score: 50.0, e: 1.00, Steps: 290, Avg Q-val: nan, replay: 18150, Mem Usage: 6.7%
2024-09-24 22:00:16,247 - INFO - Ep.: 54, Score: 75.0, e: 1.00, Steps: 336, Avg Q-val: nan, replay: 18486, Mem Usage: 6.8%
2024-09-24 22:00:16,490 - INFO - Ep.: 55, Score: 75.0, e: 1.00, Steps: 280, Avg Q-val: nan, replay: 18766, Mem Usage: 6.8%
2024-09-24 22:00:16,756 - INFO - Ep.: 56, Score: 100.0, e: 1.00, Steps: 324, Avg Q-val: nan, replay: 19090, Mem Usage: 6.9%
2024-09-24 22:00:17,024 - INFO - Ep.: 57, Score: 400.0, e: 1.00, Steps: 326, Avg Q-val: nan, replay: 19416, Mem Usage: 6.9%
2024-09-24 22:00:17,323 - INFO - Ep.: 58, Score: 200.0, e: 1.00, Steps: 379, Avg Q-val: nan, replay: 19795, Mem Usage: 7.0%
2024-09-24 22:00:17,570 - INFO - Ep.: 59, Score: 0.0, e: 1.00, Steps: 289, Avg Q-val: nan, replay: 20084, Mem Usage: 7.0%
2024-09-24 22:00:17,819 - INFO - Ep.: 60, Score: 25.0, e: 1.00, Steps: 292, Avg Q-val: nan, replay: 20376, Mem Usage: 7.1%
2024-09-24 22:00:18,167 - INFO - Ep.: 61, Score: 275.0, e: 1.00, Steps: 470, Avg Q-val: nan, replay: 20846, Mem Usage: 7.2%
2024-09-24 22:00:18,410 - INFO - Ep.: 62, Score: 100.0, e: 1.00, Steps: 279, Avg Q-val: nan, replay: 21125, Mem Usage: 7.2%
2024-09-24 22:00:18,718 - INFO - Ep.: 63, Score: 300.0, e: 1.00, Steps: 397, Avg Q-val: nan, replay: 21522, Mem Usage: 7.3%
2024-09-24 22:00:19,093 - INFO - Ep.: 64, Score: 775.0, e: 1.00, Steps: 517, Avg Q-val: nan, replay: 22039, Mem Usage: 7.4%
2024-09-24 22:00:19,370 - INFO - Ep.: 65, Score: 425.0, e: 1.00, Steps: 344, Avg Q-val: nan, replay: 22383, Mem Usage: 7.4%
2024-09-24 22:00:19,673 - INFO - Ep.: 66, Score: 550.0, e: 1.00, Steps: 388, Avg Q-val: nan, replay: 22771, Mem Usage: 7.5%
2024-09-24 22:00:19,967 - INFO - Ep.: 67, Score: 500.0, e: 1.00, Steps: 374, Avg Q-val: nan, replay: 23145, Mem Usage: 7.5%
2024-09-24 22:00:20,305 - INFO - Ep.: 68, Score: 325.0, e: 1.00, Steps: 451, Avg Q-val: nan, replay: 23596, Mem Usage: 7.6%
2024-09-24 22:00:20,611 - INFO - Ep.: 69, Score: 200.0, e: 1.00, Steps: 391, Avg Q-val: nan, replay: 23987, Mem Usage: 7.7%
2024-09-24 22:00:20,862 - INFO - Ep.: 70, Score: 50.0, e: 1.00, Steps: 299, Avg Q-val: nan, replay: 24286, Mem Usage: 7.7%
2024-09-24 22:00:21,115 - INFO - Ep.: 71, Score: 50.0, e: 1.00, Steps: 300, Avg Q-val: nan, replay: 24586, Mem Usage: 7.8%
2024-09-24 22:00:21,398 - INFO - Ep.: 72, Score: 525.0, e: 1.00, Steps: 355, Avg Q-val: nan, replay: 24941, Mem Usage: 7.8%
2024-09-24 22:00:21,679 - INFO - Ep.: 73, Score: 200.0, e: 1.00, Steps: 349, Avg Q-val: nan, replay: 25290, Mem Usage: 7.9%
2024-09-24 22:00:21,939 - INFO - Ep.: 74, Score: 75.0, e: 1.00, Steps: 313, Avg Q-val: nan, replay: 25603, Mem Usage: 8.0%
2024-09-24 22:00:22,203 - INFO - Ep.: 75, Score: 425.0, e: 1.00, Steps: 320, Avg Q-val: nan, replay: 25923, Mem Usage: 8.0%
2024-09-24 22:00:22,462 - INFO - Ep.: 76, Score: 50.0, e: 1.00, Steps: 311, Avg Q-val: nan, replay: 26234, Mem Usage: 8.1%
2024-09-24 22:00:22,707 - INFO - Ep.: 77, Score: 0.0, e: 1.00, Steps: 286, Avg Q-val: nan, replay: 26520, Mem Usage: 8.1%
2024-09-24 22:00:23,064 - INFO - Ep.: 78, Score: 850.0, e: 1.00, Steps: 484, Avg Q-val: nan, replay: 27004, Mem Usage: 8.2%
2024-09-24 22:00:23,340 - INFO - Ep.: 79, Score: 125.0, e: 1.00, Steps: 341, Avg Q-val: nan, replay: 27345, Mem Usage: 8.2%
2024-09-24 22:00:23,636 - INFO - Ep.: 80, Score: 150.0, e: 1.00, Steps: 378, Avg Q-val: nan, replay: 27723, Mem Usage: 8.3%
2024-09-24 22:00:23,941 - INFO - Ep.: 81, Score: 175.0, e: 1.00, Steps: 395, Avg Q-val: nan, replay: 28118, Mem Usage: 8.4%
2024-09-24 22:00:24,189 - INFO - Ep.: 82, Score: 25.0, e: 1.00, Steps: 291, Avg Q-val: nan, replay: 28409, Mem Usage: 8.4%
2024-09-24 22:00:24,436 - INFO - Ep.: 83, Score: 25.0, e: 1.00, Steps: 290, Avg Q-val: nan, replay: 28699, Mem Usage: 8.5%
2024-09-24 22:00:24,679 - INFO - Ep.: 84, Score: 0.0, e: 1.00, Steps: 284, Avg Q-val: nan, replay: 28983, Mem Usage: 8.5%
2024-09-24 22:00:24,927 - INFO - Ep.: 85, Score: 0.0, e: 1.00, Steps: 288, Avg Q-val: nan, replay: 29271, Mem Usage: 8.6%
2024-09-24 22:00:25,315 - INFO - Ep.: 86, Score: 700.0, e: 1.00, Steps: 539, Avg Q-val: nan, replay: 29810, Mem Usage: 8.7%
2024-09-24 22:00:25,593 - INFO - Ep.: 87, Score: 525.0, e: 1.00, Steps: 341, Avg Q-val: nan, replay: 30151, Mem Usage: 8.7%
2024-09-24 22:00:25,916 - INFO - Ep.: 88, Score: 525.0, e: 1.00, Steps: 423, Avg Q-val: nan, replay: 30574, Mem Usage: 8.8%
2024-09-24 22:00:26,158 - INFO - Ep.: 89, Score: 50.0, e: 1.00, Steps: 280, Avg Q-val: nan, replay: 30854, Mem Usage: 8.8%
2024-09-24 22:00:26,413 - INFO - Ep.: 90, Score: 50.0, e: 1.00, Steps: 303, Avg Q-val: nan, replay: 31157, Mem Usage: 8.9%
2024-09-24 22:00:26,654 - INFO - Ep.: 91, Score: 100.0, e: 1.00, Steps: 278, Avg Q-val: nan, replay: 31435, Mem Usage: 8.9%
2024-09-24 22:00:26,907 - INFO - Ep.: 92, Score: 100.0, e: 1.00, Steps: 301, Avg Q-val: nan, replay: 31736, Mem Usage: 9.0%
2024-09-24 22:00:27,250 - INFO - Ep.: 93, Score: 250.0, e: 1.00, Steps: 461, Avg Q-val: nan, replay: 32197, Mem Usage: 9.1%
2024-09-24 22:00:27,501 - INFO - Ep.: 94, Score: 50.0, e: 1.00, Steps: 300, Avg Q-val: nan, replay: 32497, Mem Usage: 9.1%
2024-09-24 22:00:27,782 - INFO - Ep.: 95, Score: 200.0, e: 1.00, Steps: 351, Avg Q-val: nan, replay: 32848, Mem Usage: 9.2%
2024-09-24 22:00:28,049 - INFO - Ep.: 96, Score: 100.0, e: 1.00, Steps: 325, Avg Q-val: nan, replay: 33173, Mem Usage: 9.2%
2024-09-24 22:00:28,309 - INFO - Ep.: 97, Score: 200.0, e: 1.00, Steps: 313, Avg Q-val: nan, replay: 33486, Mem Usage: 9.3%
2024-09-24 22:00:28,593 - INFO - Ep.: 98, Score: 175.0, e: 1.00, Steps: 360, Avg Q-val: nan, replay: 33846, Mem Usage: 9.3%
2024-09-24 22:00:28,861 - INFO - Ep.: 99, Score: 150.0, e: 1.00, Steps: 329, Avg Q-val: nan, replay: 34175, Mem Usage: 9.4%
2024-09-24 22:00:29,184 - INFO - Ep.: 100, Score: 275.0, e: 1.00, Steps: 422, Avg Q-val: nan, replay: 34597, Mem Usage: 9.5%
2024-09-24 22:00:29,475 - INFO - Ep.: 101, Score: 100.0, e: 1.00, Steps: 371, Avg Q-val: nan, replay: 34968, Mem Usage: 9.5%
2024-09-24 22:00:29,742 - INFO - Ep.: 102, Score: 125.0, e: 1.00, Steps: 329, Avg Q-val: nan, replay: 35297, Mem Usage: 9.6%
2024-09-24 22:00:30,065 - INFO - Ep.: 103, Score: 275.0, e: 1.00, Steps: 424, Avg Q-val: nan, replay: 35721, Mem Usage: 9.7%
2024-09-24 22:00:30,356 - INFO - Ep.: 104, Score: 225.0, e: 1.00, Steps: 370, Avg Q-val: nan, replay: 36091, Mem Usage: 9.7%
2024-09-24 22:00:30,601 - INFO - Ep.: 105, Score: 0.0, e: 1.00, Steps: 291, Avg Q-val: nan, replay: 36382, Mem Usage: 9.8%
