2024-09-24 22:00:32,112 - INFO - Modelo preentrenado cargado desde /data/riwamoto/ALE_Pong_results/models/dqn_model_ALE_Pong_final_20240830_095849.pth
2024-09-24 22:00:32,736 - INFO - Ep.: 0, Score: 125.0, e: 1.00, Steps: 298, Avg Q-val: nan, replay: 298, Mem Usage: 10.4%
2024-09-24 22:00:33,248 - INFO - Ep.: 1, Score: 300.0, e: 1.00, Steps: 412, Avg Q-val: nan, replay: 710, Mem Usage: 10.5%
2024-09-24 22:00:33,489 - INFO - Ep.: 2, Score: 0.0, e: 1.00, Steps: 284, Avg Q-val: nan, replay: 994, Mem Usage: 10.6%
2024-09-24 22:00:33,743 - INFO - Ep.: 3, Score: 50.0, e: 1.00, Steps: 308, Avg Q-val: nan, replay: 1302, Mem Usage: 10.7%
2024-09-24 22:00:34,061 - INFO - Ep.: 4, Score: 225.0, e: 1.00, Steps: 417, Avg Q-val: nan, replay: 1719, Mem Usage: 10.8%
2024-09-24 22:00:34,310 - INFO - Ep.: 5, Score: 125.0, e: 1.00, Steps: 295, Avg Q-val: nan, replay: 2014, Mem Usage: 10.9%
2024-09-24 22:00:34,533 - INFO - Ep.: 6, Score: 50.0, e: 1.00, Steps: 250, Avg Q-val: nan, replay: 2264, Mem Usage: 10.9%
2024-09-24 22:00:34,785 - INFO - Ep.: 7, Score: 50.0, e: 1.00, Steps: 305, Avg Q-val: nan, replay: 2569, Mem Usage: 11.0%
2024-09-24 22:00:35,053 - INFO - Ep.: 8, Score: 175.0, e: 1.00, Steps: 328, Avg Q-val: nan, replay: 2897, Mem Usage: 11.1%
2024-09-24 22:00:35,338 - INFO - Ep.: 9, Score: 200.0, e: 1.00, Steps: 362, Avg Q-val: nan, replay: 3259, Mem Usage: 11.2%
2024-09-24 22:00:35,624 - INFO - Ep.: 10, Score: 275.0, e: 1.00, Steps: 363, Avg Q-val: nan, replay: 3622, Mem Usage: 11.3%
2024-09-24 22:00:35,882 - INFO - Ep.: 11, Score: 75.0, e: 1.00, Steps: 314, Avg Q-val: nan, replay: 3936, Mem Usage: 11.4%
2024-09-24 22:00:36,114 - INFO - Ep.: 12, Score: 75.0, e: 1.00, Steps: 265, Avg Q-val: nan, replay: 4201, Mem Usage: 11.4%
2024-09-24 22:00:36,386 - INFO - Ep.: 13, Score: 125.0, e: 1.00, Steps: 340, Avg Q-val: nan, replay: 4541, Mem Usage: 11.5%
2024-09-24 22:00:36,614 - INFO - Ep.: 14, Score: 50.0, e: 1.00, Steps: 257, Avg Q-val: nan, replay: 4798, Mem Usage: 11.6%
2024-09-24 22:00:36,877 - INFO - Ep.: 15, Score: 100.0, e: 1.00, Steps: 322, Avg Q-val: nan, replay: 5120, Mem Usage: 11.7%
2024-09-24 22:00:37,180 - INFO - Ep.: 16, Score: 275.0, e: 1.00, Steps: 393, Avg Q-val: nan, replay: 5513, Mem Usage: 11.8%
2024-09-24 22:00:37,429 - INFO - Ep.: 17, Score: 100.0, e: 1.00, Steps: 299, Avg Q-val: nan, replay: 5812, Mem Usage: 11.8%
2024-09-24 22:00:37,719 - INFO - Ep.: 18, Score: 275.0, e: 1.00, Steps: 370, Avg Q-val: nan, replay: 6182, Mem Usage: 11.9%
2024-09-24 22:00:37,969 - INFO - Ep.: 19, Score: 100.0, e: 1.00, Steps: 300, Avg Q-val: nan, replay: 6482, Mem Usage: 12.0%
2024-09-24 22:00:38,234 - INFO - Ep.: 20, Score: 125.0, e: 1.00, Steps: 326, Avg Q-val: nan, replay: 6808, Mem Usage: 12.1%
2024-09-24 22:00:38,490 - INFO - Ep.: 21, Score: 125.0, e: 1.00, Steps: 309, Avg Q-val: nan, replay: 7117, Mem Usage: 12.2%
2024-09-24 22:00:38,779 - INFO - Ep.: 22, Score: 250.0, e: 1.00, Steps: 368, Avg Q-val: nan, replay: 7485, Mem Usage: 12.3%
2024-09-24 22:00:39,075 - INFO - Ep.: 23, Score: 175.0, e: 1.00, Steps: 381, Avg Q-val: nan, replay: 7866, Mem Usage: 12.3%
2024-09-24 22:00:39,377 - INFO - Ep.: 24, Score: 150.0, e: 1.00, Steps: 393, Avg Q-val: nan, replay: 8259, Mem Usage: 12.4%
2024-09-24 22:00:39,675 - INFO - Ep.: 25, Score: 500.0, e: 1.00, Steps: 388, Avg Q-val: nan, replay: 8647, Mem Usage: 12.5%
2024-09-24 22:00:39,937 - INFO - Ep.: 26, Score: 100.0, e: 1.00, Steps: 320, Avg Q-val: nan, replay: 8967, Mem Usage: 12.6%
2024-09-24 22:00:40,170 - INFO - Ep.: 27, Score: 50.0, e: 1.00, Steps: 266, Avg Q-val: nan, replay: 9233, Mem Usage: 12.7%
2024-09-24 22:00:40,434 - INFO - Ep.: 28, Score: 100.0, e: 1.00, Steps: 326, Avg Q-val: nan, replay: 9559, Mem Usage: 12.8%
2024-09-24 22:00:40,676 - INFO - Ep.: 29, Score: 0.0, e: 1.00, Steps: 284, Avg Q-val: nan, replay: 9843, Mem Usage: 12.8%
2024-09-24 22:00:40,972 - INFO - Ep.: 30, Score: 600.0, e: 1.00, Steps: 380, Avg Q-val: nan, replay: 10223, Mem Usage: 12.9%
2024-09-24 22:00:41,238 - INFO - Ep.: 31, Score: 125.0, e: 1.00, Steps: 331, Avg Q-val: nan, replay: 10554, Mem Usage: 13.0%
2024-09-24 22:00:41,473 - INFO - Ep.: 32, Score: 75.0, e: 1.00, Steps: 270, Avg Q-val: nan, replay: 10824, Mem Usage: 13.1%
2024-09-24 22:00:41,720 - INFO - Ep.: 33, Score: 50.0, e: 1.00, Steps: 294, Avg Q-val: nan, replay: 11118, Mem Usage: 13.2%
2024-09-24 22:00:42,022 - INFO - Ep.: 34, Score: 175.0, e: 1.00, Steps: 392, Avg Q-val: nan, replay: 11510, Mem Usage: 13.3%
2024-09-24 22:00:42,271 - INFO - Ep.: 35, Score: 50.0, e: 1.00, Steps: 299, Avg Q-val: nan, replay: 11809, Mem Usage: 13.3%
2024-09-24 22:00:42,529 - INFO - Ep.: 36, Score: 75.0, e: 1.00, Steps: 312, Avg Q-val: nan, replay: 12121, Mem Usage: 13.4%
2024-09-24 22:00:42,770 - INFO - Ep.: 37, Score: 0.0, e: 1.00, Steps: 284, Avg Q-val: nan, replay: 12405, Mem Usage: 13.5%
2024-09-24 22:00:43,038 - INFO - Ep.: 38, Score: 200.0, e: 1.00, Steps: 328, Avg Q-val: nan, replay: 12733, Mem Usage: 13.6%
2024-09-24 22:00:43,274 - INFO - Ep.: 39, Score: 100.0, e: 1.00, Steps: 272, Avg Q-val: nan, replay: 13005, Mem Usage: 13.6%
2024-09-24 22:00:43,516 - INFO - Ep.: 40, Score: 25.0, e: 1.00, Steps: 286, Avg Q-val: nan, replay: 13291, Mem Usage: 13.7%
2024-09-24 22:00:43,760 - INFO - Ep.: 41, Score: 0.0, e: 1.00, Steps: 292, Avg Q-val: nan, replay: 13583, Mem Usage: 13.8%
2024-09-24 22:00:44,007 - INFO - Ep.: 42, Score: 50.0, e: 1.00, Steps: 296, Avg Q-val: nan, replay: 13879, Mem Usage: 13.9%
2024-09-24 22:00:44,285 - INFO - Ep.: 43, Score: 150.0, e: 1.00, Steps: 351, Avg Q-val: nan, replay: 14230, Mem Usage: 14.0%
2024-09-24 22:00:44,525 - INFO - Ep.: 44, Score: 0.0, e: 1.00, Steps: 284, Avg Q-val: nan, replay: 14514, Mem Usage: 14.0%
2024-09-24 22:00:44,783 - INFO - Ep.: 45, Score: 200.0, e: 1.00, Steps: 314, Avg Q-val: nan, replay: 14828, Mem Usage: 14.1%
2024-09-24 22:00:45,040 - INFO - Ep.: 46, Score: 75.0, e: 1.00, Steps: 313, Avg Q-val: nan, replay: 15141, Mem Usage: 14.2%
2024-09-24 22:00:45,283 - INFO - Ep.: 47, Score: 0.0, e: 1.00, Steps: 289, Avg Q-val: nan, replay: 15430, Mem Usage: 14.3%
2024-09-24 22:00:45,565 - INFO - Ep.: 48, Score: 200.0, e: 1.00, Steps: 357, Avg Q-val: nan, replay: 15787, Mem Usage: 14.3%
