2024-09-24 22:01:05,587 - INFO - Modelo preentrenado cargado desde /data/riwamoto/ALE_Qbert_results/models/dqn_model_ALE_Qbert_final_20240831_094643.pth
2024-09-24 22:01:06,221 - INFO - Ep.: 0, Score: 150.0, e: 1.00, Steps: 300, Avg Q-val: nan, replay: 300, Mem Usage: 22.9%
2024-09-24 22:01:06,760 - INFO - Ep.: 1, Score: 600.0, e: 1.00, Steps: 448, Avg Q-val: nan, replay: 748, Mem Usage: 23.2%
2024-09-24 22:01:07,007 - INFO - Ep.: 2, Score: 75.0, e: 1.00, Steps: 291, Avg Q-val: nan, replay: 1039, Mem Usage: 23.3%
2024-09-24 22:01:07,356 - INFO - Ep.: 3, Score: 275.0, e: 1.00, Steps: 475, Avg Q-val: nan, replay: 1514, Mem Usage: 23.5%
2024-09-24 22:01:07,592 - INFO - Ep.: 4, Score: 75.0, e: 1.00, Steps: 274, Avg Q-val: nan, replay: 1788, Mem Usage: 23.6%
2024-09-24 22:01:07,855 - INFO - Ep.: 5, Score: 100.0, e: 1.00, Steps: 322, Avg Q-val: nan, replay: 2110, Mem Usage: 23.7%
2024-09-24 22:01:08,104 - INFO - Ep.: 6, Score: 50.0, e: 1.00, Steps: 295, Avg Q-val: nan, replay: 2405, Mem Usage: 23.9%
2024-09-24 22:01:08,385 - INFO - Ep.: 7, Score: 200.0, e: 1.00, Steps: 357, Avg Q-val: nan, replay: 2762, Mem Usage: 24.0%
2024-09-24 22:01:08,642 - INFO - Ep.: 8, Score: 75.0, e: 1.00, Steps: 310, Avg Q-val: nan, replay: 3072, Mem Usage: 24.1%
2024-09-24 22:01:08,943 - INFO - Ep.: 9, Score: 425.0, e: 1.00, Steps: 394, Avg Q-val: nan, replay: 3466, Mem Usage: 24.3%
2024-09-24 22:01:09,217 - INFO - Ep.: 10, Score: 175.0, e: 1.00, Steps: 344, Avg Q-val: nan, replay: 3810, Mem Usage: 24.5%
2024-09-24 22:01:09,473 - INFO - Ep.: 11, Score: 75.0, e: 1.00, Steps: 311, Avg Q-val: nan, replay: 4121, Mem Usage: 24.6%
2024-09-24 22:01:09,732 - INFO - Ep.: 12, Score: 75.0, e: 1.00, Steps: 316, Avg Q-val: nan, replay: 4437, Mem Usage: 24.7%
2024-09-24 22:01:10,020 - INFO - Ep.: 13, Score: 200.0, e: 1.00, Steps: 369, Avg Q-val: nan, replay: 4806, Mem Usage: 24.9%
2024-09-24 22:01:10,296 - INFO - Ep.: 14, Score: 150.0, e: 1.00, Steps: 346, Avg Q-val: nan, replay: 5152, Mem Usage: 25.0%
2024-09-24 22:01:10,536 - INFO - Ep.: 15, Score: 175.0, e: 1.00, Steps: 280, Avg Q-val: nan, replay: 5432, Mem Usage: 25.1%
2024-09-24 22:01:10,787 - INFO - Ep.: 16, Score: 125.0, e: 1.00, Steps: 300, Avg Q-val: nan, replay: 5732, Mem Usage: 25.3%
2024-09-24 22:01:11,089 - INFO - Ep.: 17, Score: 225.0, e: 1.00, Steps: 392, Avg Q-val: nan, replay: 6124, Mem Usage: 25.4%
2024-09-24 22:01:11,310 - INFO - Ep.: 18, Score: 50.0, e: 1.00, Steps: 247, Avg Q-val: nan, replay: 6371, Mem Usage: 25.5%
2024-09-24 22:01:11,634 - INFO - Ep.: 19, Score: 225.0, e: 1.00, Steps: 435, Avg Q-val: nan, replay: 6806, Mem Usage: 25.7%
2024-09-24 22:01:11,897 - INFO - Ep.: 20, Score: 250.0, e: 1.00, Steps: 324, Avg Q-val: nan, replay: 7130, Mem Usage: 25.8%
2024-09-24 22:01:12,161 - INFO - Ep.: 21, Score: 125.0, e: 1.00, Steps: 326, Avg Q-val: nan, replay: 7456, Mem Usage: 26.0%
