2024-09-08 22:43:40,405 - INFO - Modelo preentrenado cargado desde /data/riwamoto/ALE_MarioBros_results/models/dqn_model_ALE_MarioBros_final_20240831_094717.pth
2024-09-08 22:43:42,499 - INFO - Ep.: 0, Score: 0.0, e: 0.05, Steps: 1141, Avg Q-val: 5.18, replay: 1141, Mem Usage: 30.0%
2024-09-08 22:43:43,713 - INFO - Ep.: 1, Score: 0.0, e: 0.05, Steps: 728, Avg Q-val: 4.77, replay: 1869, Mem Usage: 30.1%
2024-09-08 22:43:45,938 - INFO - Ep.: 2, Score: 2400.0, e: 0.05, Steps: 1726, Avg Q-val: 5.41, replay: 3595, Mem Usage: 30.3%
2024-09-08 22:43:47,042 - INFO - Ep.: 3, Score: 0.0, e: 0.05, Steps: 816, Avg Q-val: 5.36, replay: 4411, Mem Usage: 30.3%
2024-09-08 22:43:48,114 - INFO - Ep.: 4, Score: 0.0, e: 0.05, Steps: 813, Avg Q-val: 5.14, replay: 5224, Mem Usage: 30.3%
2024-09-08 22:43:48,668 - INFO - Ep.: 5, Score: 0.0, e: 0.05, Steps: 402, Avg Q-val: 5.19, replay: 5626, Mem Usage: 30.4%
2024-09-08 22:43:50,537 - INFO - Ep.: 6, Score: 800.0, e: 0.05, Steps: 1438, Avg Q-val: 5.66, replay: 7064, Mem Usage: 30.7%
2024-09-08 22:43:52,603 - INFO - Ep.: 7, Score: 800.0, e: 0.05, Steps: 1621, Avg Q-val: 5.98, replay: 8685, Mem Usage: 30.8%
2024-09-08 22:43:55,151 - INFO - Ep.: 8, Score: 0.0, e: 0.05, Steps: 2116, Avg Q-val: 5.58, replay: 10801, Mem Usage: 30.8%
2024-09-08 22:43:56,101 - INFO - Ep.: 9, Score: 0.0, e: 0.05, Steps: 694, Avg Q-val: 5.10, replay: 11495, Mem Usage: 30.9%
2024-09-08 22:43:57,926 - INFO - Ep.: 10, Score: 800.0, e: 0.05, Steps: 1479, Avg Q-val: 5.67, replay: 12974, Mem Usage: 31.2%
2024-09-08 22:43:59,268 - INFO - Ep.: 11, Score: 0.0, e: 0.05, Steps: 995, Avg Q-val: 5.49, replay: 13969, Mem Usage: 31.3%
2024-09-08 22:44:01,516 - INFO - Ep.: 12, Score: 0.0, e: 0.05, Steps: 1810, Avg Q-val: 5.80, replay: 15779, Mem Usage: 31.6%
2024-09-08 22:44:02,416 - INFO - Ep.: 13, Score: 0.0, e: 0.05, Steps: 682, Avg Q-val: 5.29, replay: 16461, Mem Usage: 31.6%
2024-09-08 22:44:04,306 - INFO - Ep.: 14, Score: 0.0, e: 0.05, Steps: 1443, Avg Q-val: 5.49, replay: 17904, Mem Usage: 31.8%
2024-09-08 22:44:05,840 - INFO - Ep.: 15, Score: 0.0, e: 0.05, Steps: 1204, Avg Q-val: 5.24, replay: 19108, Mem Usage: 31.8%
2024-09-08 22:44:07,208 - INFO - Ep.: 16, Score: 0.0, e: 0.05, Steps: 1043, Avg Q-val: 5.25, replay: 20151, Mem Usage: 31.8%
2024-09-08 22:44:08,781 - INFO - Ep.: 17, Score: 0.0, e: 0.05, Steps: 1224, Avg Q-val: 5.25, replay: 21375, Mem Usage: 31.8%
2024-09-08 22:44:09,705 - INFO - Ep.: 18, Score: 0.0, e: 0.05, Steps: 702, Avg Q-val: 4.76, replay: 22077, Mem Usage: 31.7%
