2024-09-08 23:00:52,899 - INFO - Modelo preentrenado cargado desde /data/riwamoto/ALE_MarioBros_results/models/dqn_model_ALE_MarioBros_final_20240831_094717.pth
2024-09-08 23:00:54,615 - INFO - Ep.: 0, Score: 0.0, e: 0.05, Steps: 775, Avg Q-val: 3.82, replay: 775, Mem Usage: 32.6%
2024-09-08 23:00:56,439 - INFO - Ep.: 1, Score: 0.0, e: 0.05, Steps: 1125, Avg Q-val: 3.66, replay: 1900, Mem Usage: 32.8%
2024-09-08 23:00:56,889 - INFO - Ep.: 2, Score: 0.0, e: 0.05, Steps: 278, Avg Q-val: 3.53, replay: 2178, Mem Usage: 32.9%
2024-09-08 23:00:58,236 - INFO - Ep.: 3, Score: 0.0, e: 0.05, Steps: 960, Avg Q-val: 3.74, replay: 3138, Mem Usage: 33.1%
2024-09-08 23:00:59,757 - INFO - Ep.: 4, Score: 3200.0, e: 0.05, Steps: 1093, Avg Q-val: 3.32, replay: 4231, Mem Usage: 33.4%
2024-09-08 23:01:01,194 - INFO - Ep.: 5, Score: 0.0, e: 0.05, Steps: 1027, Avg Q-val: 3.87, replay: 5258, Mem Usage: 33.6%
2024-09-08 23:01:02,679 - INFO - Ep.: 6, Score: 1600.0, e: 0.05, Steps: 1108, Avg Q-val: 3.57, replay: 6366, Mem Usage: 33.7%
2024-09-08 23:01:03,955 - INFO - Ep.: 7, Score: 0.0, e: 0.05, Steps: 964, Avg Q-val: 3.55, replay: 7330, Mem Usage: 33.9%
2024-09-08 23:01:05,047 - INFO - Ep.: 8, Score: 0.0, e: 0.05, Steps: 820, Avg Q-val: 3.61, replay: 8150, Mem Usage: 34.0%
2024-09-08 23:01:06,580 - INFO - Ep.: 9, Score: 1600.0, e: 0.05, Steps: 1085, Avg Q-val: 3.57, replay: 9235, Mem Usage: 34.1%
2024-09-08 23:01:07,392 - INFO - Ep.: 10, Score: 0.0, e: 0.05, Steps: 575, Avg Q-val: 3.68, replay: 9810, Mem Usage: 34.4%
2024-09-08 23:01:09,218 - INFO - Ep.: 11, Score: 0.0, e: 0.05, Steps: 1354, Avg Q-val: 4.07, replay: 11164, Mem Usage: 34.5%
2024-09-08 23:01:10,993 - INFO - Ep.: 12, Score: 0.0, e: 0.05, Steps: 1288, Avg Q-val: 3.62, replay: 12452, Mem Usage: 34.8%
2024-09-08 23:01:12,121 - INFO - Ep.: 13, Score: 0.0, e: 0.05, Steps: 837, Avg Q-val: 4.15, replay: 13289, Mem Usage: 34.8%
2024-09-08 23:01:13,074 - INFO - Ep.: 14, Score: 3200.0, e: 0.05, Steps: 696, Avg Q-val: 3.65, replay: 13985, Mem Usage: 35.0%
2024-09-08 23:01:13,759 - INFO - Ep.: 15, Score: 0.0, e: 0.05, Steps: 469, Avg Q-val: 3.67, replay: 14454, Mem Usage: 35.1%
2024-09-08 23:01:15,887 - INFO - Ep.: 16, Score: 1600.0, e: 0.05, Steps: 1565, Avg Q-val: 3.93, replay: 16019, Mem Usage: 35.5%
2024-09-08 23:01:17,337 - INFO - Ep.: 17, Score: 0.0, e: 0.05, Steps: 1066, Avg Q-val: 3.72, replay: 17085, Mem Usage: 35.6%
2024-09-08 23:01:17,771 - INFO - Ep.: 18, Score: 0.0, e: 0.05, Steps: 263, Avg Q-val: 3.59, replay: 17348, Mem Usage: 35.7%
2024-09-08 23:01:18,979 - INFO - Ep.: 19, Score: 0.0, e: 0.05, Steps: 829, Avg Q-val: 3.52, replay: 18177, Mem Usage: 35.8%
