2024-09-08 23:07:44,126 - INFO - Modelo preentrenado cargado desde /data/riwamoto/ALE_Alien_results/models/dqn_model_ALE_Alien_final_20240828_123131.pth
2024-09-08 23:07:46,610 - INFO - Ep.: 0, Score: 1600.0, e: 0.05, Steps: 1291, Avg Q-val: 8.93, replay: 1291, Mem Usage: 50.9%
2024-09-08 23:07:48,495 - INFO - Ep.: 1, Score: 0.0, e: 0.05, Steps: 1191, Avg Q-val: 9.65, replay: 2482, Mem Usage: 51.2%
2024-09-08 23:07:49,225 - INFO - Ep.: 2, Score: 0.0, e: 0.05, Steps: 465, Avg Q-val: 9.36, replay: 2947, Mem Usage: 51.3%
2024-09-08 23:07:50,393 - INFO - Ep.: 3, Score: 0.0, e: 0.05, Steps: 796, Avg Q-val: 9.36, replay: 3743, Mem Usage: 51.4%
2024-09-08 23:07:51,098 - INFO - Ep.: 4, Score: 0.0, e: 0.05, Steps: 434, Avg Q-val: 9.41, replay: 4177, Mem Usage: 51.5%
2024-09-08 23:07:51,862 - INFO - Ep.: 5, Score: 0.0, e: 0.05, Steps: 499, Avg Q-val: 9.30, replay: 4676, Mem Usage: 51.5%
2024-09-08 23:07:52,567 - INFO - Ep.: 6, Score: 0.0, e: 0.05, Steps: 457, Avg Q-val: 9.39, replay: 5133, Mem Usage: 51.6%
2024-09-08 23:07:53,538 - INFO - Ep.: 7, Score: 0.0, e: 0.05, Steps: 662, Avg Q-val: 9.74, replay: 5795, Mem Usage: 51.8%
2024-09-08 23:07:54,515 - INFO - Ep.: 8, Score: 0.0, e: 0.05, Steps: 667, Avg Q-val: 9.69, replay: 6462, Mem Usage: 51.9%
2024-09-08 23:07:55,267 - INFO - Ep.: 9, Score: 0.0, e: 0.05, Steps: 498, Avg Q-val: 9.36, replay: 6960, Mem Usage: 52.0%
2024-09-08 23:07:56,403 - INFO - Ep.: 10, Score: 0.0, e: 0.05, Steps: 816, Avg Q-val: 9.59, replay: 7776, Mem Usage: 52.2%
2024-09-08 23:07:57,829 - INFO - Ep.: 11, Score: 0.0, e: 0.05, Steps: 1011, Avg Q-val: 9.02, replay: 8787, Mem Usage: 52.2%
2024-09-08 23:07:59,031 - INFO - Ep.: 12, Score: 0.0, e: 0.05, Steps: 858, Avg Q-val: 8.91, replay: 9645, Mem Usage: 52.1%
2024-09-08 23:07:59,756 - INFO - Ep.: 13, Score: 0.0, e: 0.05, Steps: 454, Avg Q-val: 9.42, replay: 10099, Mem Usage: 52.1%
2024-09-08 23:08:01,042 - INFO - Ep.: 14, Score: 0.0, e: 0.05, Steps: 897, Avg Q-val: 8.90, replay: 10996, Mem Usage: 52.1%
